ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2ff98e0f-6214-4694-ab2f-d0e86679ebd0,4733,,,,3869220,120,,,,,,,,,,,,,,,,,,,,,,,5,From Corner,,,,223,Spain,772,['f2239965-e504-4fcb-ad4b-1699c7002c61'],0,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f2239965-e504-4fcb-ad4b-1699c7002c61,4734,,,,3869220,120,,,,,,,,,,,,,,,,,,,,,,,5,From Corner,,,,223,Spain,772,['2ff98e0f-6214-4694-ab2f-d0e86679ebd0'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.599705,,,,,,,,,,,,,,,0dcccdef-d2e8-4d81-b910-315a0fa7b4be,5,,,"[60.0, 40.0]",3869220,0,,,,,-2.6975155,,Right Foot,,"[37.3, 29.2]",Ground Pass,,25.138218,,,,Aymeric Laporte,4353.0,,,,,Kick Off,1,From Kick Off,Pablo Martín Páez Gavira,133353.0,Right Center Midfield,2,Spain,772,['bbe96de0-bfb9-4946-90da-d7b7eec4eba6'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.762,Pass,
,,,,,,,,,,,,,,,1.594008,,,,,,,,,,,,,,,9a66a6e1-b63b-43fb-b070-f8c33b08f942,8,,,"[41.6, 33.3]",3869220,0,,,,,1.2464948,,Left Foot,,"[49.5, 56.8]",Ground Pass,,24.792337,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['ce0fdcb9-8cf6-44d9-b455-f97479de9441'],5,,,,,,,,,,,,,,,,,Spain,772,00:00:05.556,Pass,
,,,,,,,,,,,,,,,3.270824,,,,,,,,,,,,,,,0f05970b-4c19-497c-b542-0bbcec9902a9,11,,,"[61.4, 54.1]",3869220,0,,,,,-0.9320501,,Right Foot,,"[94.0, 10.2]",High Pass,,54.68062,,,,Daniel Olmo Carvajal,16532.0,,True,,,,1,From Kick Off,Rodrigo Hernández Cascante,6765.0,Right Center Back,2,Spain,772,['f97f4424-e72a-4459-8a17-03ecae528862'],9,,,,,,,,,,,,,,,,,Spain,772,00:00:09.993,Pass,
,,,,,,,,,,,,,,,0.960983,,,,,,,,,,,,,,,5139b540-a06e-4746-a4cd-a9694355b5f1,14,,,"[89.3, 9.8]",3869220,0,,,,,-2.858497,,Left Foot,,"[78.3, 6.6]",Ground Pass,,11.456003,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Wing,2,Spain,772,['e8f405c2-221a-4adb-b2a8-44f6146caffd'],14,,,,,,,,,,,,,,,,,Spain,772,00:00:14.096,Pass,
,,,,,,,,,,,,,,,0.709157,,,,,,,,,,,,,,,f298f02d-1927-46c9-8944-c3904e2386ee,20,,,"[75.6, 4.6]",3869220,0,,True,,,2.323479,,Right Foot,,"[62.3, 18.8]",Ground Pass,,19.455847,,,,Aymeric Laporte,4353.0,,,,,Free Kick,1,From Free Kick,Pedro González López,30486.0,Left Center Midfield,3,Spain,772,['2f8cf900-ed10-46c9-a9bc-c4eb79692d9d'],39,,,,,,,,,,,,,,,,,Spain,772,00:00:39.285,Pass,
,,,,,,,,,,,,,,,1.241584,,,,,,,,,,,,,,,9815f1d3-3ba8-413e-90c0-7690f4f55545,22,,,"[65.9, 23.5]",3869220,0,,,,,1.82812,,Left Foot,,"[61.4, 40.6]",Ground Pass,,17.682194,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,3,Spain,772,['e0c5ea3c-724e-4f47-869f-3998e8ab8f07'],44,,,,,,,,,,,,,,,,,Spain,772,00:00:44.422,Pass,
,,,,,,,,,,,,,,,1.31915,,,,,,,,,,,,,,,fb4c0ba4-fcec-4242-964b-ecdb5e8b0def,25,,,"[61.4, 40.6]",3869220,0,,,,,-1.5267996,,Right Foot,,"[62.1, 24.7]",Ground Pass,,15.915401,,,,Aymeric Laporte,4353.0,,,,,,1,From Free Kick,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['6a8e57df-8201-4e77-aa98-aa48772a939c'],48,,,,,,,,,,,,,,,,,Spain,772,00:00:48.760,Pass,
,,,,,,,,,,,,,,,1.091667,,,,,,,,,,,,,,,8ded7542-8e43-4e10-9e76-2770bbd867b3,29,,,"[58.9, 23.9]",3869220,0,,,,,1.9724393,,Left Foot,,"[51.0, 42.5]",Ground Pass,,20.208166,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,3,Spain,772,"['61711385-7c8d-491c-bbff-7f42f4cfb542', 'fbe9bc24-a94b-41e1-a55f-3bf40914d191']",51,,,,,,,,,,,,,,,,,Spain,772,00:00:51.529,Pass,True
