50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.325874,,,,,,,,,,,a97f8fd5-8917-4d50-a87b-187a742d1d9d,21,,"[55.3, 28.5]",3869118,0,,,,,2.0499465,,Right Foot,,,"[42.0, 54.1]",,Ground Pass,,28.848743,,,,,Kalidou Koulibaly,5675.0,,,,,1,From Kick Off,Nampalys Mendy,4506.0,Left Defensive Midfield,2,Senegal,787,['8c2c2783-928d-415c-9872-4383f7c0e626'],9,,,,,,,,,,,,,,,Senegal,787,00:00:09.442,Pass,
,,,,,,,,,,,,,,,,,0.822698,,,,,,,,,,,21922ba0-bdad-48cd-8d64-278c8e50e2ff,25,,"[44.7, 56.7]",3869118,0,,,,,0.17821325,,Left Foot,,,"[60.8, 59.6]",,Ground Pass,,16.359095,,,,,Pathé Ismaël Ciss,31751.0,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Senegal,787,"['2cc82277-5734-4b96-8b4e-c4315060d7d9', 'd347d957-6096-4e8c-aec6-987472f00840']",12,,,,,,,,,,,,,,,Senegal,787,00:00:12.612,Pass,True
,,,,,,,,,,,,,,,,,0.858977,,,,,,,,,,,5b7a162c-b8dc-4006-b824-4a296f22942f,28,,"[63.7, 60.3]",3869118,0,,,,,0.076284796,,Right Foot,,,"[79.4, 61.5]",,Ground Pass,,15.745793,,,,,Iliman Ndiaye,80484.0,,,,,1,From Kick Off,Pathé Ismaël Ciss,31751.0,Right Defensive Midfield,2,Senegal,787,['772148bb-0c39-45cc-aa72-d2c6d63f6ac2'],15,,,,,,,,,,,,,,,Senegal,787,00:00:15.036,Pass,
,,,,,,,,,,,,,,,,,0.949483,,,,,,,,,,,f51c46e9-2d33-405a-9c2d-28fc2014abb4,34,,"[71.2, 76.2]",3869118,0,,,,,0.2044212,,Right Foot,,,"[79.4, 77.9]",,Ground Pass,,8.374366,,,,,Krépin Diatta,20758.0,,,,Recovery,1,From Kick Off,Youssouf Sabaly,3404.0,Right Back,2,Senegal,787,['5fbb8899-8f72-4d2b-9b55-38bf00e98656'],18,,,,,,,,,,,,,,,Senegal,787,00:00:18.195,Pass,
,,,,,,,,,,,,,,,,,1.005718,,,,,,,,,,,e62d3c8e-ec22-4409-9edd-82054b3318ce,38,,"[78.9, 77.7]",3869118,0,,,,,-1.3028859,,Right Foot,,,"[80.3, 72.6]",,Ground Pass,,5.288667,,,Incomplete,,Youssouf Sabaly,3404.0,,,,,1,From Kick Off,Krépin Diatta,20758.0,Right Wing,2,Senegal,787,"['82887552-d236-46f1-bf67-f095debfc7b8', '9c73dd13-3567-4020-ad00-11ca01bc3fdc', 'c41d7f71-a262-477b-af7a-7f1410765224']",19,,,,,,,,,,,,,,,Senegal,787,00:00:19.205,Pass,True
,,,,,,,,,,,True,,,,,,2.724149,,,,,,,,,,,82887552-d236-46f1-bf67-f095debfc7b8,40,,"[39.8, 7.5]",3869118,0,,,,,2.6158676,,Left Foot,,,"[18.6, 19.8]",,Ground Pass,,24.509794,,,,,Declan Rice,3943.0,,,,Interception,1,Regular Play,Philip Foden,4354.0,Left Wing,3,England,768,"['c3c8c765-cfc0-41b5-90b2-adb4502bbd66', 'e62d3c8e-ec22-4409-9edd-82054b3318ce']",20,,,,,,,,,,,,,,,England,768,00:00:20.211,Pass,
,,,,,,,,,,,,,,,,,1.165276,,,,,,,,,,,0b88f578-4e4d-4a41-be09-b58eeeff5f04,44,,"[15.9, 20.5]",3869118,0,,,,,2.3838553,,Left Foot,,,"[2.9, 32.8]",,Ground Pass,,17.896648,,,,,Jordan Pickford,3468.0,,,,,1,Regular Play,Declan Rice,3943.0,Center Defensive Midfield,3,England,768,"['7b732aed-b667-4975-aac5-72811ceb3a4e', 'eb5b81a9-3669-4457-9810-de68f091a706']",23,,,,,,,,,,,,,,,England,768,00:00:23.091,Pass,True
,,,,,,,,,,,,,,,,,3.0824,,,,,,,,,,,b218b0da-aa51-4075-9c60-11c8b23267b4,47,,"[2.7, 32.8]",3869118,0,,,,,-0.9806796,,Left Foot,,,"[24.6, 0.1]",,High Pass,,39.356068,,,Out,,,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,3,England,768,,24,,,,,,,,,,,,,,,England,768,00:00:24.307,Pass,
,,,,,,,,,,,,,,,,,0.931259,,,,,,,,,,,f9fe8eee-3d1e-4415-8f7a-6af85ac43b44,48,,"[100.1, 80.0]",3869118,0,,,,,-1.8925469,,,,,"[98.2, 74.3]",,Low Pass,,6.0083275,,,,,Krépin Diatta,20758.0,,,,Throw-in,1,From Throw In,Youssouf Sabaly,3404.0,Right Back,4,Senegal,787,['086e1ef2-543e-445d-ad37-0fb08c5aa8f2'],39,,,,,,,,,,,,,,,Senegal,787,00:00:39.659,Pass,
,,,,,,,,,,,,,,,,,2.280175,,,,,,,,,,,d998a738-f290-4e3f-bc93-c964745f847f,52,,"[99.1, 72.6]",3869118,0,,,,,-2.462838,,Right Foot,,,"[77.9, 55.5]",,Ground Pass,,27.236923,,,,,Nampalys Mendy,4506.0,,,,,1,From Throw In,Krépin Diatta,20758.0,Right Wing,4,Senegal,787,['f80d32ed-72fc-4eb6-848a-a4ec833f3746'],41,,,,,,,,,,,,,,,Senegal,787,00:00:41.191,Pass,
