ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.046691,,,,,,,,,,,,,e308fd2f-7cc2-40e9-ba78-d470ffde5e55,17,,,"[78.7, 68.2]",3857264,0,,,,,-0.62319934,,Right Foot,,,"[81.9, 65.9]",,Low Pass,,3.940812,,Incomplete,,Piotr Zieliński,5660.0,,,,,,1,From Throw In,Grzegorz Krychowiak,3637.0,Left Defensive Midfield,3,Argentina,779,"['30ced13d-d588-4f7b-8769-344c09616425', '7af03a82-a0af-4c0e-88f1-44efe63536f9', 'd44e55c4-b3b9-455f-9172-ad994e6438a1']",21,,,,,,,,,,,,,,,,,Poland,789,00:00:21.587,Pass,True
,,,,,,,,,,,,,,,,,,1.936668,,,,,,,,,,,,,c591c6a0-a72c-42b8-9808-4d3f386f7958,27,,,"[58.5, 67.6]",3857264,0,,,,,-2.4853804,,Right Foot,,,"[39.8, 53.2]",,Ground Pass,,23.601906,,,,Jakub Piotr Kiwior,44166.0,,,,,Recovery,1,Regular Play,Kamil Glik,3034.0,Right Center Back,4,Poland,789,"['09f37a14-96ef-45bb-9941-c69828492239', 'a4f2a203-abb5-427e-9fac-01a0d1de08c9']",24,,,,,,,,,,,,,,,,,Poland,789,00:00:24.961,Pass,True
,,,,,,,,,,,,,,,,,,3.239997,,,,,,,,,,,,,63d719b4-06cd-479d-8f56-edeb5a873e31,30,,,"[38.0, 47.0]",3857264,0,,,,,-2.8534157,,Right Foot,,,"[10.0, 38.7]",,Ground Pass,,29.20428,,,,Wojciech Szczęsny,5669.0,,,,,,1,Regular Play,Jakub Piotr Kiwior,44166.0,Left Center Back,4,Poland,789,['9de08d05-105b-4bde-ba4a-72803792afa7'],28,,,,,,,,,,,,,,,,,Poland,789,00:00:28.228,Pass,
,,,,,,,,,,,,,,,,,,2.552446,,,,,,,,,,,,,d4440712-e7c6-48b2-9584-3fb4c1259b09,33,,,"[12.6, 43.7]",3857264,0,,,,,-0.7804842,,Right Foot,,,"[53.5, 3.2]",,High Pass,,57.559185,,,,Bartosz Bereszyński,5673.0,,True,,,,1,Regular Play,Wojciech Szczęsny,5669.0,Goalkeeper,4,Poland,789,['860ac34c-2d94-4947-a99a-474cccfac3af'],37,,,,,,,,,,,,,,,,,Poland,789,00:00:37.538,Pass,
,,,,,,,,,,,,,,,,,,2.214679,,,,,,,,,,,,,76791ee3-5bff-47b6-b2d4-2ed9aaa6dca8,35,,,"[53.7, 3.0]",3857264,0,,,,,-0.1293191,,Head,,,"[76.0, 0.1]",,High Pass,,22.487774,,Out,,Przemysław Frankowski,7979.0,,,,,,1,Regular Play,Bartosz Bereszyński,5673.0,Left Back,4,Poland,789,['88262729-02bc-4210-ac71-f1a83cb7f8d4'],40,,,,,,,,,,,,,,,,,Poland,789,00:00:40.171,Pass,
,,,,,,,,,,,,,,,,,,0.694709,,,,,,,,,,,,,5d957fa5-c79c-40d6-a1c3-71fa2a00d3be,37,,,"[45.6, 80.0]",3857264,0,,True,,,-2.1922126,,,,,"[39.8, 71.9]",,Low Pass,,9.962429,,,,Rodrigo Javier De Paul,7797.0,,,,,Throw-in,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,5,Argentina,779,['28accd7c-51f1-4ac2-a3f8-42388c2c14be'],49,,,,,,,,,,,,,,,,,Argentina,779,00:00:49.965,Pass,
,,,,,,,,,,,,,,,,,,0.508358,,,,,,,,,,,,,47525320-2467-4a70-bc06-540c86b22481,39,,,"[39.5, 72.2]",3857264,0,,True,,,2.4468544,,Left Foot,,,"[33.5, 77.2]",,Ground Pass,,7.81025,,,,Nahuel Molina Lucero,29201.0,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Center Midfield,5,Argentina,779,['bb8eb4a2-3a02-4ac9-8586-7a163932dd0d'],51,,,,,,,,,,,,,,,,,Argentina,779,00:00:51.151,Pass,
,,,,,,,,,,,,,,,,,,1.097874,,,,,,,,,,,,,f28e05d5-4afb-419d-83ce-a06647ce29a2,41,,,"[33.8, 76.1]",3857264,0,,,,,-2.2008302,,Right Foot,,,"[23.3, 61.7]",,Ground Pass,,17.821615,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,5,Argentina,779,['8f04de84-e46d-47a8-ac26-8965ba1ec36c'],51,,,,,,,,,,,,,,,,,Argentina,779,00:00:51.659,Pass,
,,,,,,,,,,,,,,,,,,2.207284,,,,,,,,,,,,,7021a8dd-842e-405c-a662-4fee634b0edd,44,,,"[25.9, 57.0]",3857264,0,,,,,-1.4669368,,Right Foot,,,"[29.1, 26.3]",,Ground Pass,,30.866325,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,5,Argentina,779,['ddb26fd2-a052-4eb4-8ae2-6d2fafe91596'],57,,,,,,,,,,,,,,,,,Argentina,779,00:00:57.305,Pass,
,,,,,,,,,,,,,,,,,,0.856384,,,,,,,,,,,,,aff21a3a-b061-4c3e-b578-bdddb34851ee,47,,,"[35.4, 23.4]",3857264,1,,,,,1.7818897,,Right Foot,,,"[32.7, 36.0]",,Ground Pass,,12.886039,,,,Enzo Fernandez,38718.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,5,Argentina,779,['d325de98-3da8-42f7-8992-02712250396f'],1,,,,,,,,,,,,,,,,,Argentina,779,00:01:01.987,Pass,
