50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ed92cdc9-ae8c-4ac0-a25d-34c909572fba,2152,,,"[24.9, 39.5]",3857278,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Tyler Adams,12751.0,Center Defensive Midfield,115,United States,1839,['c5cd3a46-b522-465f-a268-a521a055f2fb'],37,,,,,,,,,,,,,,,,,,United States,1839,00:06:37.863,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a40ea48f-07f4-40f5-915b-03afdccfe68e,2156,,,"[39.0, 48.9]",3857278,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Yunus Dimoara Musah,38792.0,Right Center Midfield,115,United States,1839,['540f47b9-9fd7-49aa-97fb-620807ed65cc'],40,,,,,,,,,,,,,,,,,,United States,1839,00:06:40.450,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e97fc996-632e-4835-adca-ac00b34c7c9f,2163,,,"[68.9, 7.3]",3857278,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Antonee Robinson,4614.0,Left Back,115,United States,1839,['d3483d24-18fe-44fd-af34-c97cc7f516e1'],44,,,,,,,,,,,,,,,,,,United States,1839,00:06:44.768,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262474fd-a112-47e3-b320-e7bef443536e,2166,,,"[109.1, 11.3]",3857278,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Brenden Aaronson,24243.0,Left Wing,115,United States,1839,['300a301d-55c9-4a8f-9480-4b6d61421958'],49,,,,,,,,,,,,,,,,,,United States,1839,00:06:49.980,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3fbe97d8-461e-4b34-bd1e-8bc896101e3c,2169,,,"[7.4, 62.5]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Seyed Majid Hosseini,5228.0,Right Center Back,116,Iran,797,['edd7c1d9-154e-4b46-94d2-1fe8d6b239f2'],6,,,,,,,,,,,,,,,,,,Iran,797,00:07:06.808,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b99df57f-9282-4955-ad08-13010c82574a,2171,,,"[20.6, 25.8]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Morteza Pouraliganji,5220.0,Left Center Back,116,Iran,797,['416b8979-fd12-438f-93a1-02b3d5be02bb'],14,,,,,,,,,,,,,,,,,,Iran,797,00:07:14.272,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d09b0e4-ccc7-4a0e-9942-2ad32f9510e3,2174,,,"[35.7, 6.6]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Ehsan Hajsafi,5230.0,Left Back,116,Iran,797,['9fa93a56-67ff-4d6e-b10a-6aa3c1c857b1'],16,,,,,,,,,,,,,,,,,,Iran,797,00:07:16.534,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031d3b29-d80c-49cf-808b-a65aea931a2a,2176,,,"[14.5, 23.5]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Morteza Pouraliganji,5220.0,Left Center Back,116,Iran,797,['fbcf4ba7-8163-4654-a67f-41e9ee4a5c13'],18,,,,,,,,,,,,,,,,,,Iran,797,00:07:18.968,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b6d4e69-2f95-4233-b350-c2c1ec65403b,2179,,,"[8.3, 46.9]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Alireza Safar Beiranvand,5227.0,Goalkeeper,116,Iran,797,['39a7fca5-eda5-4b51-9420-c496a48a1329'],21,,,,,,,,,,,,,,,,,,Iran,797,00:07:21.642,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a9773d6-dfa9-4f1b-a5ae-163787dafa05,2182,,,"[14.2, 28.1]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Morteza Pouraliganji,5220.0,Left Center Back,116,Iran,797,['49832125-bacb-4f94-8a4a-5a01ee7b31d7'],25,,,,,,,,,,,,,,,,,,Iran,797,00:07:25.066,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3542d074-dbf9-4b62-995e-cc19f3882e25,2185,,,"[22.0, 58.6]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Seyed Majid Hosseini,5228.0,Right Center Back,116,Iran,797,['3a396929-af44-464c-a201-c509989211dc'],29,,,,,,,,,,,,,,,,,,Iran,797,00:07:29.276,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adde6c6a-a28a-48b1-b26f-4a325945d96b,2189,,,"[65.7, 13.3]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Brenden Aaronson,24243.0,Left Midfield,116,Iran,797,['da0373dc-44da-4a78-82d6-db27353cea8d'],35,,,,,,,,,,,,,,,,,,United States,1839,00:07:35.978,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42becd7f-3d24-4d9c-8615-f2b7a4e813df,2195,,,"[63.2, 61.5]",3857278,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Saeid Ezatolahi Afagh,5722.0,Center Defensive Midfield,116,Iran,797,"['46da107b-60de-4767-bd33-393b2a9f7f60', 'ec5d924d-f9c1-4662-9846-db4c0718d658']",38,,,,,,,,,,,,,,,,,,Iran,797,00:07:38.140,Ball Receipt*,True
