50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.676769,,,,,,,,,,,,,,,b65b1f7e-6b4d-47c5-a028-ff6c9a352348,23,,,"[56.0, 72.1]",3857293,0,,,,0.79570705,,Left Foot,,,"[60.8, 77.0]",,Ground Pass,,6.8593,,,,Iñaki Williams Arthuer,6393.0,,,,,,,1,Regular Play,André Ayew Pelé,3347.0,Center Attacking Midfield,3,Ghana,4885,['3ea52188-77ec-4925-a18f-c0504ab5a1d4'],11,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:11.454,Pass,
,,,,,,,,,,,,,,,,,,,1.168626,,,,,,,,,,,,,,,20374778-2b49-401a-944f-4fff3bede39b,28,,,"[57.9, 78.1]",3857293,0,,,,-1.953283,,Right Foot,,,"[54.4, 69.4]",,Ground Pass,,9.377633,,,,Thomas Teye Partey,6383.0,,,,,,,1,Regular Play,Iñaki Williams Arthuer,6393.0,Right Wing,3,Ghana,4885,"['4317c9c9-48f6-4fb0-a01c-c7c2e5c611b2', '6267a5d2-bf02-4cf5-8f7d-b4214cd6acd5']",13,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:13.071,Pass,True
,,,,,,,,,,,,,,,,,,,1.136398,,,,,,,,,,,,,,,36ff283f-a05a-44dc-8df8-2101c9ef79b5,31,,,"[54.4, 69.4]",3857293,0,,,,2.590351,,Right Foot,,,"[40.9, 77.7]",,Ground Pass,,15.847397,,,,Alidu Seidu,45047.0,,,,,,,1,Regular Play,Thomas Teye Partey,6383.0,Right Defensive Midfield,3,Ghana,4885,['cf1d3d47-e614-41f8-92e0-b022e50f191d'],14,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:14.643,Pass,
,,,,,,,,,,,,,,,,,,,1.296281,,,,,,,,,,,,,,,795be02f-2714-464d-9531-670f13fa7a4c,34,,,"[39.1, 75.9]",3857293,0,,,,-2.5730681,,Right Foot,,,"[21.1, 64.4]",,Ground Pass,,21.36001,,,,Daniel Amartey,3709.0,,,,,,,1,Regular Play,Alidu Seidu,45047.0,Right Back,3,Ghana,4885,['3bb396c6-22e7-4887-876b-55c956444ed2'],16,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:16.871,Pass,
,,,,,,,,,,,,,,,,,,,1.825841,,,,,,,,,,,,,,,76b5b2f7-4ff2-4d9a-8126-1c7c581beb48,37,,,"[20.7, 63.2]",3857293,0,,,,-1.6594522,,Right Foot,,,"[17.9, 31.7]",,Ground Pass,,31.624199,,,,Mohamed Salisu,30519.0,,,,,,,1,Regular Play,Daniel Amartey,3709.0,Right Center Back,3,Ghana,4885,['fda9e3f1-1192-4875-b671-0bb6826f38ac'],19,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:19.197,Pass,
,,,,,,,,,,,,,,,,,,,2.322255,,,,,,,,,,,,,,,65efe8df-d4da-41f9-8c75-5064435945ca,40,,,"[16.6, 32.0]",3857293,0,,,,1.7149507,,Left Foot,,,"[13.0, 56.8]",,Ground Pass,,25.059929,,,,Daniel Amartey,3709.0,,,,,,,1,Regular Play,Mohamed Salisu,30519.0,Left Center Back,3,Ghana,4885,['cd79fd32-1a2e-4a91-86d9-d9c330d4fa3a'],22,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:22.333,Pass,
,,,,,,,,,,,,,,,,,,,0.901024,,,,,,,,,,,,,,,04e4c291-edb4-42b8-99dc-7a143a104f59,43,,,"[13.0, 56.8]",3857293,0,,,,-0.67607963,,Right Foot,,,"[22.1, 49.5]",,Ground Pass,,11.66619,,,,Thomas Teye Partey,6383.0,,,,,,,1,Regular Play,Daniel Amartey,3709.0,Right Center Back,3,Ghana,4885,['27e97ee9-8914-473a-bdcf-6ac70bb0a208'],26,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:26.263,Pass,
,,,,,,,,,,,,,,,,,,,3.020247,,,,,,,,,,,,,,,7f745779-6fa4-4ef2-a1f6-16e31f40f1b3,46,,,"[25.9, 49.7]",3857293,0,,,,-0.51367635,,Right Foot,,,"[81.2, 18.5]",,High Pass,,63.49433,,Incomplete,,Jordan Ayew,3450.0,,,,,,,1,Regular Play,Thomas Teye Partey,6383.0,Right Defensive Midfield,3,Ghana,4885,"['2796293c-16f4-4ad8-ba74-53e35569f7f4', '9f354f88-7b51-4e92-838a-dd96e30feba6']",28,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:28.224,Pass,
,,,,,,,,,,,,,,,,,,,1.703945,,,,,,,,,,,,,,,3708dc48-983d-45e6-a08e-1dd2042a52cf,50,,,"[79.4, 4.7]",3857293,0,,,,-2.8581715,,Head,,,"[69.1, 1.7]",,Low Pass,,10.728001,,,,Abdul Rahman Baba,12325.0,,,,,,Recovery,1,Regular Play,Jordan Ayew,3450.0,Left Wing,3,Ghana,4885,['140cdfb0-ec9c-46e7-b293-6c1e8a470b73'],33,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:33.314,Pass,
,,,,,,,,,,,,,,,,,,,1.255452,,,,,,,,,,,,,,,c2ecb343-939d-478b-b09c-633fd88fe100,53,,,"[68.9, 1.8]",3857293,0,,,,2.5748634,,Right Foot,,,"[61.2, 6.7]",,Ground Pass,,9.1268835,,,,Salis Abdul Samed,31029.0,,,,,,,1,Regular Play,Abdul Rahman Baba,12325.0,Left Back,3,Ghana,4885,['29a369ef-f2f3-4951-b723-02f52cfbebbf'],35,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:35.792,Pass,
