bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.027257,,,,,,,,,,,,,4e522fda-61fb-4c73-afd0-4d2a44c9f802,17,,,"[29.5, 40.6]",3857280,0,,,,1.7022183,,Right Foot,,,,"[27.2, 58.0]",,Ground Pass,,17.551353,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Kick Off,Gleison Bremer Silva Nascimento,11493.0,Left Center Back,2,Brazil,781,['0794d2be-aedb-4c97-936b-00ab2f9e40a8'],8,,,,,,,,,,,,,,,,Brazil,781,00:00:08.819,Pass,
,,,,,,,,,,,,,,,0.901116,,,,,,,,,,,,,a4641560-94d1-4e28-abd4-7bd5ca392f0e,20,,,"[27.2, 58.0]",3857280,0,,,,-1.7393932,,Right Foot,,,,"[25.6, 48.6]",,Ground Pass,,9.535198,,,,,Gleison Bremer Silva Nascimento,11493.0,,,,,,1,From Kick Off,Éder Gabriel Militão,13620.0,Right Center Back,2,Brazil,781,['9ffb9a82-804f-4779-966e-49376c1ceb5a'],12,,,,,,,,,,,,,,,,Brazil,781,00:00:12.227,Pass,
,,,,,,,,,,,,,,,1.026746,,,,,,,,,,,,,93d3c1d6-6f35-4304-9cb4-29c469f7d4fc,23,,,"[26.7, 46.9]",3857280,0,,,,1.3476263,,Right Foot,,,,"[29.9, 61.0]",,Ground Pass,,14.458562,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Kick Off,Gleison Bremer Silva Nascimento,11493.0,Left Center Back,2,Brazil,781,['38f94fd9-eaf8-44f3-b3bf-f657991ba1e9'],15,,,,,,,,,,,,,,,,Brazil,781,00:00:15.568,Pass,
,,,,,,,,,,,,,,,1.180802,,,,,,,,,,,,,c04d078b-7aa8-4dc1-84c5-0d10ab53e4c3,26,,,"[33.1, 61.9]",3857280,0,,,,-2.019236,,Right Foot,,,,"[28.0, 51.3]",,Ground Pass,,11.763078,,,,,Gleison Bremer Silva Nascimento,11493.0,,,,,,1,From Kick Off,Éder Gabriel Militão,13620.0,Right Center Back,2,Brazil,781,['664de33a-8bab-46be-a7cd-08d563026781'],19,,,,,,,,,,,,,,,,Brazil,781,00:00:19.561,Pass,
,,,,,,,,,,,,,,,2.405738,,,,,,,,,,,,,7267ff68-c14c-4bc4-8bc3-ea23c8709ee4,29,,,"[31.7, 51.3]",3857280,0,,,,-1.4025106,,Right Foot,,,,"[39.6, 4.8]",,Ground Pass,,47.1663,,,,,Alex Nicolao Telles,11183.0,,True,,,,1,From Kick Off,Gleison Bremer Silva Nascimento,11493.0,Left Center Back,2,Brazil,781,['3410cf03-dd4b-4ee2-9a7b-a9a343ee0734'],24,,,,,,,,,,,,,,,,Brazil,781,00:00:24.300,Pass,
,,,,,,,,,,,,,,,1.339208,,,,,,,,,,,,,a07aa3a5-43fd-440b-8fa9-a2a56a2de400,31,,,"[39.6, 4.8]",3857280,0,,,,-0.360566,,Left Foot,,,,"[51.8, 0.2]",,Ground Pass,,13.038404,,,Out,,Gabriel Teodoro Martinelli Silva,29976.0,,,,,,1,From Kick Off,Alex Nicolao Telles,11183.0,Left Back,2,Brazil,781,['c93a409f-1da2-4788-851d-c7f8489771f6'],26,,,,,,,,,,,,,,,,Brazil,781,00:00:26.706,Pass,
,,,,,,,,,,,,,,,1.026539,,,,,,,,,,,,,27fb2f81-d750-4761-932d-4c97beed073f,33,,,"[73.9, 80.0]",3857280,0,,,,-0.3941626,,,,,,"[85.2, 75.3]",,High Pass,,12.238464,,,,,Jean-Eric Maxim Choupo-Moting,3499.0,,,,,Throw-in,1,From Throw In,Ngoran Suiru Fai Collins,16346.0,Right Back,3,Cameroon,2722,['e5352a14-40a5-4e1d-b0ad-bddc49c50b20'],36,,,,,,,,,,,,,,,,Cameroon,2722,00:00:36.921,Pass,
,,,,,,,,,,,,,,,0.653242,,,,,,,,,,,,,102f1d88-da44-49d4-934b-82b9c0e6ba45,38,,,"[79.4, 60.3]",3857280,0,,,,-2.1272004,,Right Foot,,,,"[74.3, 52.1]",,Ground Pass,,9.656604,,,,,André-Frank Zambo Anguissa,3141.0,,,,,,1,From Throw In,Jean-Eric Maxim Choupo-Moting,3499.0,Left Center Forward,3,Cameroon,2722,['486a4d2d-b40a-4c73-9ec8-7c31c0a29222'],40,,,,,,,,,,,,,,,,Cameroon,2722,00:00:40.650,Pass,
,,,,,,,,,,,,,,,0.297177,,,,,,,,,,,,,e284279a-a8c3-4812-a3a5-59659ca7a0f8,46,,,"[77.4, 57.0]",3857280,0,,,,2.0647378,,Right Foot,,,,"[76.7, 58.3]",,Ground Pass,,1.4764823,,,Incomplete,,Pierre Kunde Malong,12623.0,,,,,,1,From Throw In,André-Frank Zambo Anguissa,3141.0,Left Defensive Midfield,3,Cameroon,2722,"['14a7d40e-7dd5-4444-bf04-1811f6d1917c', '1cf7db19-3ac2-4a23-bc7c-8ab372907af2', '5d13f714-805d-4f8a-9ba7-68d95e2bcb04']",43,,,,,,,,,,,,,,,,Cameroon,2722,00:00:43.238,Pass,True
,,,,,,,,,,,,,,,1.995864,,,,,,,,,,,,,c3505e82-ebc4-4074-a1b5-aa24f33b3696,53,,,"[51.8, 21.5]",3857280,0,,,,-1.3357841,,Right Foot,,,,"[56.9, 0.2]",,Ground Pass,,21.902054,,,Out,,Gabriel Teodoro Martinelli Silva,29976.0,,,,,,1,From Throw In,Rodrygo Silva de Goes,25104.0,Center Attacking Midfield,3,Cameroon,2722,"['2e67cb35-b94d-44ab-9e13-687c92fe9b49', 'd773a668-2d16-44d2-8c2e-9fb8cca87f2f']",45,,,,,,,,,,,,,,,,Brazil,781,00:00:45.597,Pass,True
,,,,,,,,,,,,,,,3.108219,,,,,,,,,,,,,35621c8f-76b7-4bd6-806a-d4bb07efaaf8,55,,,"[63.5, 80.0]",3857280,0,True,,,-0.06802142,,,,,,"[104.6, 77.2]",,Low Pass,,41.195267,,,,,Vincent Paté Aboubakar,11174.0,,,,,Throw-in,1,From Throw In,Ngoran Suiru Fai Collins,16346.0,Right Back,4,Cameroon,2722,['709eea35-9a47-412f-9861-ef01e7288f2b'],52,,,,,,,,,,,,,,,,Cameroon,2722,00:00:52.794,Pass,
,,,,,,,,,,,,,,,1.866452,,,,,,,,,,,,,d5b6043d-96c6-4a77-ac59-bbb08449d9d5,60,,,"[15.8, 0.1]",3857280,1,True,,,1.7341624,,,,,,"[12.8, 18.3]",,Low Pass,,18.445595,,,,,Gleison Bremer Silva Nascimento,11493.0,,,,,Throw-in,1,From Throw In,Alex Nicolao Telles,11183.0,Left Back,5,Brazil,781,['9e847e09-a2ab-4cdd-b659-aaf619801d39'],7,,,,,,,,,,,,,,,,Brazil,781,00:01:07.828,Pass,
,,,,,,,,,,,,,,,1.461412,,,,,,,,,,,,,8629ede0-6bdd-476f-8b4a-687fc2899ccd,62,,,"[8.2, 25.6]",3857280,1,True,,,1.4004878,,Right Foot,,,,"[13.6, 57.0]",,Ground Pass,,31.860949,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Throw In,Gleison Bremer Silva Nascimento,11493.0,Left Center Back,5,Brazil,781,['c3be9a22-86ae-4ce6-9dff-c953fd7ab73b'],10,,,,,,,,,,,,,,,,Brazil,781,00:01:10.336,Pass,
,,,,,,,,,,,,,,,1.411364,,,,,,,,,,,,,bb2d961b-3c43-4545-8512-edde55056efc,64,,,"[15.3, 56.3]",3857280,1,,,,-1.979554,,Right Foot,,,,"[7.2, 37.6]",,Ground Pass,,20.37891,,,,,Ederson Santana de Moraes,3067.0,,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Center Back,5,Brazil,781,['c0c55818-bc05-49da-8c0d-3626bdfdf1e9'],13,,,,,,,,,,,,,,,,Brazil,781,00:01:13.319,Pass,
,,,,,,,,,,,,,,,1.722407,,,,,,,,,,,,,5f7e25be-e98a-41b3-b741-b0251bb09989,68,,,"[8.6, 40.0]",3857280,1,,,,1.2646917,,Left Foot,,,,"[15.3, 61.2]",,Ground Pass,,22.233534,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Throw In,Ederson Santana de Moraes,3067.0,Goalkeeper,5,Brazil,781,['d0a8ce0a-0204-4bac-acac-71dc448fb6ae'],17,,,,,,,,,,,,,,,,Brazil,781,00:01:17.832,Pass,
,,,,,,,,,,,,,,,1.321387,,,,,,,,,,,,,ff218651-207e-45da-a294-1c73f441de12,71,,,"[24.4, 62.9]",3857280,1,,,,0.4671198,,Right Foot,,,,"[47.4, 74.5]",,Ground Pass,,25.759659,,,,,Rodrygo Silva de Goes,25104.0,,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Center Back,5,Brazil,781,['6bbc8331-0a96-42fd-9768-ebb89784cbbd'],22,,,,,,,,,,,,,,,,Brazil,781,00:01:22.225,Pass,
,,,,,,,,,,,,,,,1.071919,,,,,,,,,,,,,31259159-524c-4265-9a9e-7b6980211e5e,74,,,"[51.6, 77.0]",3857280,1,,,,0.076123804,,Right Foot,,,,"[63.4, 77.9]",,Ground Pass,,11.834272,,,,,Antony Matheus dos Santos,25363.0,,,,,,1,From Throw In,Rodrygo Silva de Goes,25104.0,Center Attacking Midfield,5,Brazil,781,['08157cff-e2e5-40de-9990-6857280f6409'],24,,,,,,,,,,,,,,,,Brazil,781,00:01:24.607,Pass,
