50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.800553,,,,,,,,,,,,,24267009-03d1-40c9-9a60-f6cadfc4b4a8,16,,"[14.8, 29.9]",3857286,0,,,,1.1684008,,Left Foot,,,"[25.1, 54.1]",,High Pass,,26.30076,,,Angelo Smit Preciado Quiñónez,37737.0,,,,,,1,Regular Play,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,3,Ecuador,3565,"['6e913195-ae95-48d6-807c-c86f1abe3d54', 'f0a8f511-5968-4da7-8e1d-5186807e4d1e']",8,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:08.184,Pass,True
,,,,,,,,,,,,,,,,1.361172,,,,,,,,,,,,,d0f7b593-6dd2-4930-9655-712a1408a1a0,19,,"[25.1, 54.1]",3857286,0,,,True,-0.18280989,,,,,"[37.0, 51.9]",,High Pass,,12.101653,,,Michael Steveen Estrada Martínez,34396.0,,,,,,1,Regular Play,Angelo Smit Preciado Quiñónez,37737.0,Right Back,3,Ecuador,3565,"['1d4812f5-e16d-4b0f-b620-22c3aa52380a', '3dfe7ef3-1b56-4838-a7c3-648faa93f093']",11,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:11.060,Pass,True
,,,,,,,,,,,,,,,,1.28781,,,,,,,,,,,,,f96c6668-95c5-428a-9315-8b0ba36f6183,22,,"[35.3, 53.6]",3857286,0,,,,2.7252634,,Right Foot,,,"[20.6, 60.1]",,Ground Pass,,16.072958,,,Felix Eduardo Torres Caicedo,30111.0,,,,,,1,Regular Play,Michael Steveen Estrada Martínez,34396.0,Left Center Forward,3,Ecuador,3565,['f2bd55be-9f22-40de-8d6d-d1bbe345292b'],13,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:13.460,Pass,
,,,,,,,,,,,,,,,,2.953587,,,,,,,,,,,,,92174655-ecdc-4f7c-8bc8-1612704ae8be,24,,"[20.8, 60.1]",3857286,0,,,,-0.2261372,,Right Foot,,,"[76.0, 47.4]",,High Pass,,56.64212,Incomplete,,Enner Remberto Valencia Lastra,28559.0,,,,,,1,Regular Play,Felix Eduardo Torres Caicedo,30111.0,Right Center Back,3,Ecuador,3565,"['90e200aa-6be3-4982-978b-93ab8295e159', 'e5432dda-cbb1-4901-9b76-95e68a92e35d']",14,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:14.748,Pass,
,,,,,,,,,,,,,,,,1.356989,,,,,,,,,,,,,ccd636ac-ff2d-443d-860c-bb7e82ffe443,28,,"[40.9, 43.6]",3857286,0,,,,0.45479828,,Right Foot,,,"[63.6, 54.7]",,Low Pass,,25.268557,Incomplete,,Pedro Miguel Correia,124506.0,,,,,,1,Regular Play,Boualem Khoukhi,124493.0,Center Back,3,Ecuador,3565,"['46f4b4eb-47a3-4311-b7e5-1d9360da0a17', '870aae0a-a797-4159-bcaa-7838cff693b4']",19,,,,,,,,,,,,,,,,,Qatar,3566,00:00:19.346,Pass,
,,,,,,,,,,,,,,,,1.381982,,,,,,,,,,,,,58769328-2742-4805-91a6-0b0add1b94e4,32,,"[61.6, 23.9]",3857286,0,,,,0.05088197,,Left Foot,,,"[83.2, 25.0]",,Ground Pass,,21.62799,Incomplete,,Enner Remberto Valencia Lastra,28559.0,,,,,,1,Regular Play,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,3,Ecuador,3565,"['11f33dbc-8997-4979-8a8e-510986ff1bb2', 'd7ab2372-2490-48fe-8eb2-19a9a780157b']",21,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:21.693,Pass,
,,,,,,,,,,,,,,,,1.333799,,,,,,,,,,,,,d7ab2372-2490-48fe-8eb2-19a9a780157b,34,,"[36.9, 55.1]",3857286,0,,,,0.76499283,,Right Foot,,,"[46.9, 64.7]",,Ground Pass,,13.862179,,,Pedro Miguel Correia,124506.0,,,,,Recovery,1,Regular Play,Bassam Hisham Al Rawi,124503.0,Right Center Back,4,Qatar,3566,"['28f93eaa-b420-4b8e-a654-8f7b9dd401ad', '58769328-2742-4805-91a6-0b0add1b94e4']",23,,,,,,,,,,,,,,,,,Qatar,3566,00:00:23.075,Pass,
,,,,,,,,,,,,,,,,1.476982,,,,,,,,,,,,,a8f67add-926d-4018-a3e0-73fabfe7a0d2,40,,"[53.3, 72.2]",3857286,0,True,,,-2.5985277,,Right Foot,,,"[31.1, 58.8]",,Ground Pass,,25.930677,,,Boualem Khoukhi,124493.0,,,,,Free Kick,1,From Free Kick,Bassam Hisham Al Rawi,124503.0,Right Center Back,5,Qatar,3566,['ab52ade5-fbef-4968-a135-8ee2d1a1748d'],38,,,,,,,,,,,,,,,,,Qatar,3566,00:00:38.959,Pass,
,,,,,,,,,,,,,,,,1.937302,,,,,,,,,,,,,beb91a46-874b-41f8-ac9c-7b60b24b87b3,42,,"[34.3, 57.7]",3857286,0,,,,-1.4972746,,Right Foot,,,"[36.9, 22.4]",,Ground Pass,,35.395622,,,Abdelkarim Hassan Al Haj Fadlalla,124494.0,,,,,,1,From Free Kick,Boualem Khoukhi,124493.0,Center Back,5,Qatar,3566,['ecbe0c9a-515a-403e-aaf9-ddb0b9f04f70'],41,,,,,,,,,,,,,,,,,Qatar,3566,00:00:41.336,Pass,
,,,,,,,,,,,,,,,,2.740938,,,,,,,,,,,,,65efbe8c-13fb-4ffa-ad7e-1812394ea050,45,,"[51.0, 14.9]",3857286,0,,,,1.6021113,,Left Foot,,,"[49.7, 56.4]",,Ground Pass,,41.520355,,,Bassam Hisham Al Rawi,124503.0,,True,,,,1,From Free Kick,Abdelkarim Hassan Al Haj Fadlalla,124494.0,Left Center Back,5,Qatar,3566,['b41410f1-bc45-4341-a4fe-ceee8a20ef1a'],47,,,,,,,,,,,,,,,,,Qatar,3566,00:00:47.742,Pass,
