50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.271643,,,,,,,,,,,,,1f2153bb-0cdb-4ae1-8f1c-df5774b28086,17,,"[30.7, 56.2]",3857283,0,,,,-1.845791,,Right Foot,,,,"[22.8, 28.2]",,Ground Pass,,29.093126,,,,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,['e6c77dc8-e1f6-4d69-822e-345908ea4d12'],7,,,,,,,,,,,,,,,,,,Belgium,782,00:00:07.358,Pass,
,,,,,,,,,,,,,,,,,,1.297277,,,,,,,,,,,,,09590132-43c9-45dd-87f3-a969390e199e,20,,"[22.8, 28.2]",3857283,0,,,,1.2995979,,Left Foot,,,,"[28.5, 48.7]",,Ground Pass,,21.277687,,,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['4e4dd60f-9ad7-47fd-a3ce-1a5d25186eb3'],10,,,,,,,,,,,,,,,,,,Belgium,782,00:00:10.263,Pass,
,,,,,,,,,,,,,,,,,,1.26591,,,,,,,,,,,,,78ce1dec-af04-4f6f-8a1c-0a4d729a7d9d,23,,"[35.2, 51.8]",3857283,0,,,,-1.7903739,,Right Foot,,,,"[30.0, 28.5]",,Ground Pass,,23.873207,,,,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,['f4674f4c-cd56-467a-9486-f9848bf80ea1'],14,,,,,,,,,,,,,,,,,,Belgium,782,00:00:14.571,Pass,
,,,,,,,,,,,,,,,,,,1.168189,,,,,,,,,,,,,c7026da6-1345-4e63-ab9b-01e6d201e2e3,26,,"[30.0, 28.5]",3857283,0,,,,1.4300661,,Left Foot,,,,"[33.4, 52.5]",,Ground Pass,,24.239637,,,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['b9035382-acce-40f1-97ff-5d83c5d6ebd7'],18,,,,,,,,,,,,,,,,,,Belgium,782,00:00:18.528,Pass,
,,,,,,,,,,,,,,,,,,1.201509,,,,,,,,,,,,,c3399c99-09d3-4148-8d87-ca0a1c898537,30,,"[33.4, 58.3]",3857283,0,,,,0.61072594,,Right Foot,,,,"[56.4, 74.4]",,Low Pass,,28.075077,,,,,Thomas Meunier,3176.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,"['3d926e26-8115-4d79-9bc7-66f74674c78c', 'e94cb713-2bf8-4d9d-bee6-fa2fefca374c']",21,,,,,,,,,,,,,,,,,,Belgium,782,00:00:21.164,Pass,True
,,,,,,,,,,,,,,,,,,0.688763,,,,,,,,,,,,,5c5a4861-7059-480c-9a90-6b4119553de4,33,,"[56.4, 74.4]",3857283,0,,,,-0.96146995,,Right Foot,,,,"[63.1, 64.8]",,Low Pass,,11.706836,,,,,Kevin De Bruyne,3089.0,,,,,,1,From Kick Off,Thomas Meunier,3176.0,Right Back,2,Belgium,782,['a6733227-0e76-46f9-95ee-d4d39689663b'],22,,,,,,,,,,,,,,,,,,Belgium,782,00:00:22.591,Pass,
,,,,,,,,,,,,,,,,,,0.393039,,,,,,,,,,,,,d4b18e15-bb1d-41ea-a13d-d3e734728f2f,36,,"[63.1, 64.8]",3857283,0,,,,-1.0101093,,Right Foot,,,,"[65.8, 60.5]",,Ground Pass,,5.0774007,,,Incomplete,,,,,,,,,1,From Kick Off,Kevin De Bruyne,3089.0,Right Wing,2,Belgium,782,['ab796759-55eb-45ee-8ce9-362138363ade'],23,,,,,,,,,,,,,,,,,,Belgium,782,00:00:23.389,Pass,
,,,,,,,,,,,,,,,,,,1.096408,,,,,,,,,,,,,5b3712f9-165f-46d1-8084-701367eac772,41,,"[77.0, 51.8]",3857283,0,,,,-1.2932973,,Right Foot,,,,"[81.7, 35.3]",,Low Pass,,17.15634,,,,,Eden Hazard,3621.0,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Belgium,782,"['27048d57-6849-4ed1-9a32-3fca069968b5', '992c0c3f-1b73-4d48-befa-e6f4e63bc660']",25,,,,,,,,,,,,,,,,,,Belgium,782,00:00:25.757,Pass,True
,,,,,,,,,,,,,,,,,,1.630436,,,,,,,,,,,,,9d93d163-c9e8-4121-8667-8f694b1f6504,52,,"[95.6, 70.5]",3857283,0,,,,-0.90837,,Right Foot,True,,,"[115.1, 45.5]",,Low Pass,,31.705677,,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Wing,2,Belgium,782,"['455364db-3696-4de8-8d90-e51d5fe07fdc', 'afa69cc9-8c10-489b-bf40-7a525754f5a5']",38,,,,,,,,,,,,,,,,,,Morocco,788,00:00:38.881,Pass,
,,,,,,,,,,,,,,,,,,1.106638,,,,,,,,,,,,,9d911ed9-a02c-4725-878e-5b8cb2d15e30,55,,"[12.4, 34.0]",3857283,0,True,,,-1.041043,,Keeper Arm,,,,"[18.9, 22.9]",,Ground Pass,,12.863126,,,,,Axel Witsel,5642.0,,,,,,1,From Kick Off,Thibaut Courtois,3509.0,Goalkeeper,2,Belgium,782,['ae96acb0-22fc-422d-a16e-099807b3aee6'],44,,,,,,,,,,,,,,,,,,Belgium,782,00:00:44.721,Pass,
