ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.395723,,,,,,,,,,,,,,99476cd4-869e-4991-a373-f60c2f2e4661,18,,,"[100.3, 17.2]",3857254,0,,,,1.1378919,,Right Foot,True,,,"[118.0, 55.5]",High Pass,,42.19218,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Joakim Mæhle,16554.0,Left Wing Back,2,Denmark,776,['467419a7-cd0b-4792-9cdf-78c2d01eb5e7'],9,,,,,,,,,,,,,,,,,Denmark,776,00:00:09.902,Pass,
,,,,,,,,,,,,,,,,1.403892,,,,,,,,,,,,,,d8b57d7a-ab1e-4b99-8470-5fd641866cb3,20,,,"[120.0, 80.0]",3857254,0,,,,-1.7793472,,Right Foot,,,,"[110.9, 37.0]",High Pass,,43.952362,,Incomplete,True,,,,,True,Outswinging,,Corner,1,From Corner,Christian Dannemann Eriksen,3043.0,Left Center Midfield,3,Denmark,776,['cde474de-6feb-4371-be69-acf73ced0559'],41,,,,,,,,,,,,,,,,,Denmark,776,00:00:41.384,Pass,
,,,,,,,,,,,,,,,,1.182131,,,,,,,,,,,,,,47c2039f-1be9-4569-a258-27745c6cdf96,25,,,"[82.0, 31.2]",3857254,0,,,,-1.5707964,,Right Foot,,,,"[82.0, 15.7]",Ground Pass,,15.5,,,,Pierre-Emile Højbjerg,3570.0,,,,,,,1,From Corner,Joakim Mæhle,16554.0,Left Wing Back,3,Denmark,776,"['48fbc0ef-daae-42fe-ba03-8013cab1aac7', '88c1cb37-1331-4e0e-bd62-db054da015a2']",47,,,,,,,,,,,,,,,,,Denmark,776,00:00:47.188,Pass,True
,,,,,,,,,,,,,,,,3.968226,,,,,,,,,,,,,,affcdde2-f9cf-4a34-b199-6a3c1ae9e7b8,29,,,"[82.2, 16.0]",3857254,0,,,,1.2959305,,Right Foot,,,,"[97.4, 69.9]",High Pass,,56.00223,,,,Christian Dannemann Eriksen,3043.0,,,True,,,,1,From Corner,Pierre-Emile Højbjerg,3570.0,Right Center Midfield,3,Denmark,776,"['559bf2ad-d15f-4ec9-8af8-48c369871c20', 'ae2e0c68-1321-46ee-8494-8b4049e9ab0f']",48,,,,,,,,,,,,,,,,,Denmark,776,00:00:48.450,Pass,True
,,,,,,,,,,,,,,,,0.954918,,,,,,,,,,,,,,1814c3b6-4615-45a8-bc9a-e81e43486849,35,,,"[107.2, 80.0]",3857254,1,,,,-0.77877575,,,,,,"[114.8, 72.5]",Low Pass,,10.6775465,,,,Andreas Skov Olsen,17042.0,,,,,,Throw-in,1,From Throw In,Rasmus Nissen Kristensen,16190.0,Right Wing Back,4,Denmark,776,['726d4d55-d2cb-4800-bec1-1eee99bd8786'],3,,,,,,,,,,,,,,,,,Denmark,776,00:01:03.633,Pass,
,,,,,,,,,,,,,,,,1.224235,,,,,,,,,,,,,,d20616a4-b0c9-4caa-9ae9-f4715354d4c3,39,,,"[115.2, 72.5]",3857254,1,,,,2.6493814,,Right Foot,,,,"[108.3, 76.2]",Ground Pass,,7.8294315,,,,Rasmus Nissen Kristensen,16190.0,,,,,,,1,From Throw In,Andreas Skov Olsen,17042.0,Right Center Forward,4,Denmark,776,"['04969011-6a40-405e-a750-3be678377876', '247e8ff2-669e-4ac5-a13e-5d4b522bef01']",4,,,,,,,,,,,,,,,,,Denmark,776,00:01:04.668,Pass,True
,,,,,,,,,,,,,,,,2.145188,,,,,,,,,,,,,,84399af8-6780-41b6-bc57-f9ab1e4ebe81,42,,,"[108.3, 76.2]",3857254,1,,,,-1.0281059,,Right Foot,,,,"[120.0, 56.8]",Ground Pass,,22.655022,,Out,,Andreas Skov Olsen,17042.0,,,,,,,1,From Throw In,Rasmus Nissen Kristensen,16190.0,Right Wing Back,4,Denmark,776,['faaa1070-7936-48ad-b91b-cce8666a7fd1'],6,,,,,,,,,,,,,,,,,Denmark,776,00:01:06.057,Pass,
,,,,,,,,,,,,,,,,3.335498,,,,,,,,,,,,,,b52b96fb-3b28-4c58-9728-3bfe964210fc,44,,,"[7.0, 44.1]",3857254,1,,,,0.4684885,,Right Foot,,,,"[64.7, 73.3]",High Pass,,64.66785,,Incomplete,,Anis Ben Slimane,35592.0,,,,,,Goal Kick,1,From Goal Kick,Aymen Dahmen,105943.0,Goalkeeper,5,Tunisia,777,"['3a7a40bf-74fe-4482-a1bf-1f989e9ce91b', '658d5486-506e-4c11-82b8-5614d48b032c']",39,,,,,,,,,,,,,,,,,Tunisia,777,00:01:39.649,Pass,
,,,,,,,,,,,,,,,,3.195995,,,,,,,,,,,,,,3a7a40bf-74fe-4482-a1bf-1f989e9ce91b,47,,,"[55.4, 6.8]",3857254,1,,,True,-0.08036346,,,,,,"[85.2, 4.4]",High Pass,,29.896488,,Incomplete,,,,,,,,,Recovery,1,From Goal Kick,Andreas Christensen,3959.0,Left Center Back,5,Tunisia,777,"['452bec21-0c7d-4d80-8767-e6962391e050', '9d3f1af7-fdc3-4ee6-a6a0-02cba1ddee75', 'b52b96fb-3b28-4c58-9728-3bfe964210fc']",42,,,,,,,,,,,,,,,,,Denmark,776,00:01:42.985,Pass,True
,,,,,,,,,,,,,,,,1.254207,,,,,,,,,,,,,,9d3f1af7-fdc3-4ee6-a6a0-02cba1ddee75,48,,,"[34.9, 75.7]",3857254,1,,,,-2.2821252,,Left Foot,,,,"[21.8, 60.5]",Low Pass,,20.066141,,,,Yassine Meriah,5651.0,,,,,,Recovery,1,From Goal Kick,Dylan Daniel Mahmoud Bronn,5655.0,Right Center Back,5,Tunisia,777,"['3a7a40bf-74fe-4482-a1bf-1f989e9ce91b', 'e6dd6f6d-ad73-4d10-b005-ee4a9140156d']",46,,,,,,,,,,,,,,,,,Tunisia,777,00:01:46.181,Pass,
