ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[75.5, 11.8]",,,,,,,,,,,2.56023,,,,,,,,,,,,,77645504-cd74-4349-b3ed-4eb91cf8160b,714,,,"[86.7, 16.9]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,50,Uruguay,783,"['21d2dfee-f314-47ce-9abb-7ec7c86fc85a', '96d35436-e4ef-47dc-ae9a-a208d7c83edb', 'fc27580f-56be-4ca4-958f-955c34a70599']",23,,,,,,,,,,,,,,,,Uruguay,783,00:20:23.025,Carry,True
,,,"[55.0, 13.4]",,,,,,,,,,,0.948624,,,,,,,,,,,,,3b447bff-1c2a-4302-9082-adee0096b066,718,,,"[58.7, 11.5]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Left Center Back,50,Uruguay,783,"['74be6b12-0b8f-4bac-a701-78b3c6c4f1b2', 'f0403249-c548-4c2d-8693-7670e7450a0b']",26,,,,,,,,,,,,,,,,Uruguay,783,00:20:26.991,Carry,
,,,"[45.8, 48.8]",,,,,,,,,,,1.311787,,,,,,,,,,,,,ed88ca42-c783-47a3-9bb1-051e4a637c35,721,,,"[45.8, 48.6]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Right Center Back,50,Uruguay,783,"['0765e2cb-43ef-4ff3-bdd9-09747ceb5547', '7fa5c084-b520-4d5d-8b6c-0818c3e491c5']",30,,,,,,,,,,,,,,,,Uruguay,783,00:20:30.160,Carry,
,,,"[56.9, 43.6]",,,,,,,,,,,0.10629,,,,,,,,,,,,,b872862e-1e3a-4906-bb6a-d34d3d8f54fd,724,,,"[56.9, 43.5]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Federico Santiago Valverde Dipetta,6773.0,Right Center Midfield,50,Uruguay,783,"['4682f3d2-1a85-4f49-942f-c3c95a4d2345', '831f159f-af5b-4e32-b837-3afce9ae91ec']",32,,,,,,,,,,,,,,,,Uruguay,783,00:20:32.256,Carry,
,,,"[46.5, 67.7]",,,,,,,,,,,1.453203,,,,,,,,,,,,,85ba85ce-61e4-4a84-b8c9-6a4ae8fc99fd,727,,,"[46.1, 71.5]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Martín Cáceres Silva,5248.0,Right Back,50,Uruguay,783,"['2ef93239-7096-4eb1-879b-c55658253e62', 'fb248944-03ef-4c42-aae7-6cdb0e7bfa84']",33,,,,,,,,,,,,,,,,Uruguay,783,00:20:33.924,Carry,
,,,"[39.2, 54.2]",,,,,,,,,,,4.328628,,,,,,,,,,,,,53abf0a6-c255-40a5-abf2-f95274d15e4e,730,,,"[34.9, 56.9]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Right Center Back,50,Uruguay,783,"['934f86ee-bdae-4b26-8bf7-f9882584a6f8', 'c75bab53-7ccd-4277-a808-1ed85d499fe3']",36,,,,,,,,,,,,,,,,Uruguay,783,00:20:36.904,Carry,
,,,"[39.5, 15.5]",,,,,,,,,,,2.291768,,,,,,,,,,,,,1393d23b-f7be-4452-8aa7-71e2db2ea012,733,,,"[32.3, 16.8]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Left Center Back,50,Uruguay,783,"['55ec365c-4cd9-4e47-bf82-11fdc910f1dc', '71dbfa0e-c326-4d3f-8976-e05e8d8cc877']",42,,,,,,,,,,,,,,,,Uruguay,783,00:20:42.982,Carry,
,,,"[45.1, 4.5]",,,,,,,,,,,0.486223,,,,,,,,,,,,,ac68f2b3-9163-4343-b4a8-47d62c1d2651,736,,,"[45.8, 5.1]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,50,Uruguay,783,"['3988b1af-e1c0-4daf-acad-32be60debe5f', 'bffaf4f5-69ce-423c-876a-0558b4da9ce6']",46,,,,,,,,,,,,,,,,Uruguay,783,00:20:46.400,Carry,
,,,"[54.6, 22.1]",,,,,,,,,,,0.011938001,,,,,,,,,,,,,6e3b61b6-e1cf-410e-ac14-fdbb39b424d5,740,,,"[54.0, 21.5]",3857287,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mathías Olivera Miramontes,7104.0,Left Back,50,Uruguay,783,"['6fe02a6b-2287-44f0-b26a-03baf48eb2bd', 'be8f612b-a92b-46b2-a86a-3c902fbefba1']",48,,,,,,,,,,,,,,,,Uruguay,783,00:20:48.866,Carry,
,,,"[112.4, 34.5]",,,,,,,,,,,0.110738,,,,,,,,,,,,,18d890d4-a402-4c4d-b841-e86dcea2384a,752,,,"[112.4, 35.6]",3857287,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luis Alberto Suárez Díaz,5246.0,Center Forward,51,Uruguay,783,"['07d32ed3-fc65-4e85-a0ca-7ba421055245', '1671b72e-e54a-4dd9-998f-d7a59f991299']",22,,,,,,,,,,,,,,,,Uruguay,783,00:21:22.216,Carry,
,,,"[24.9, 69.8]",,,,,,,,,,,0.199809,,,,,,,,,,,,,2ff73b7d-7627-45ac-ba1d-a0ccc44a6e1a,756,,,"[24.9, 68.3]",3857287,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jae-Sung Lee,5623.0,Center Attacking Midfield,52,South Korea,791,"['d9988d85-c6fb-4199-848c-381b3385f5ec', 'f6f8602f-ef4f-498e-9776-9742e68eae7c']",50,,,,,,,,,,,,,,,,South Korea,791,00:21:50.135,Carry,
,,,"[20.6, 76.0]",,,,,,,,,,,0.571901,,,,,,,,,,,,,acb5848e-ec2f-4e55-928c-439e8c13d204,759,,,"[22.0, 75.2]",3857287,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Moon-Hwan Kim,40672.0,Right Back,52,South Korea,791,"['4e0739c2-bfe8-4d01-af2b-f739c7031964', 'd2f393b2-19df-4e98-8509-da1a2b3f85a7']",51,,,,,,,,,,,,,,,,South Korea,791,00:21:51.503,Carry,
,,,"[93.9, 8.4]",,,,,,,,,,,2.563234,,,,,,,,,,,,,54638e9f-d2a3-4c01-b307-ce8b66e5ff65,765,,,"[102.4, 4.5]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mathías Olivera Miramontes,7104.0,Left Back,53,Uruguay,783,"['b380be9c-ed63-4a09-9d1d-3c13826cb7a4', 'b90af5bb-3b06-4c1f-8ceb-ff17fa52f905', 'c0998964-c9d8-409d-9031-9996dcf0bb3b']",7,,,,,,,,,,,,,,,,Uruguay,783,00:22:07.677,Carry,True
