50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.851384,,,,,,,,,,,,d848e109-9fe2-4f6d-bae3-123adda524e4,1299,,"[50.3, 7.7]",3857277,30,,,,-0.15431878,,Left Foot,,,,"[68.3, 4.9]",Ground Pass,,18.216476,,,,Ivan Perišić,5474.0,,,,,,1,From Throw In,Borna Sosa,12625.0,Left Back,49,Croatia,785,['4fedc796-219a-48db-8075-f208e401ec4f'],5,,,,,,,,,,,,,,,,Croatia,785,00:30:05.267,Pass,
,,,,,,,,,,,,,,,,,,1.699013,,,,,,,,,,,,464b4804-bd40-49ad-88e3-6d5f5324aa36,1302,,"[68.3, 4.9]",3857277,30,,,,2.7254062,,Right Foot,,,,"[36.4, 19.0]",Ground Pass,,34.877213,,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Wing,49,Croatia,785,['b7d922b0-19c9-4740-90a7-fcf1812f9aab'],6,,,,,,,,,,,,,,,,Croatia,785,00:30:06.933,Pass,
,,,,,,,,,,,,,,,,,,1.205607,,,,,,,,,,,,79f6602e-8afd-4a4c-b16c-ee8dd82968bc,1305,,"[36.4, 19.0]",3857277,30,,,,1.3065363,,Left Foot,,,,"[45.6, 53.0]",Ground Pass,,35.22272,,,,Luka Modrić,5463.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,49,Croatia,785,['eb710c52-b505-4b5c-812e-7ceb5241f47b'],10,,,,,,,,,,,,,,,,Croatia,785,00:30:10.280,Pass,
,,,,,,,,,,,,,,,,,,1.204779,,,,,,,,,,,,b0011d3f-6d6a-438e-a66f-2bef2ed4eed8,1308,,"[46.2, 53.4]",3857277,30,,,,0.12033087,,Right Foot,,,,"[76.8, 57.1]",High Pass,,30.822882,,,,Nikola Vlašić,3441.0,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Center Midfield,49,Croatia,785,['6c357a38-b151-426e-a4bc-08cb3bf40fe9'],13,,,,,,,,,,,,,,,,Croatia,785,00:30:13.163,Pass,
,,,,,,,,,,,,,,,,,,1.605713,,,,,,,,,,,,19e25f22-28f8-4a7e-bdde-baa5b818dec2,1311,,"[76.8, 57.1]",3857277,30,,,,1.6017143,,Other,,,,"[76.2, 76.5]",Low Pass,,19.409277,,,,Josip Juranović,29163.0,,,,,,1,From Throw In,Nikola Vlašić,3441.0,Right Wing,49,Croatia,785,['1482d3e1-73be-4c0e-a163-556674d235a9'],14,,,,,,,,,,,,,,,,Croatia,785,00:30:14.586,Pass,
,,,,,,,,,,,,,,,,,,1.21859,,,,,,,,,,,,111c33da-f67b-4893-9ad1-b4c25ba4006a,1314,,"[76.2, 76.1]",3857277,30,,,,-2.613159,,Right Foot,,,,"[58.9, 66.0]",Ground Pass,,20.032475,,,,Luka Modrić,5463.0,,,,,,1,From Throw In,Josip Juranović,29163.0,Right Back,49,Croatia,785,['6d8ad8cf-d74a-4205-87ab-44d23872db1f'],17,,,,,,,,,,,,,,,,Croatia,785,00:30:17.630,Pass,
,,,,,,,,,,,,,,,,,,0.690814,,,,,,,,,,,,027a5390-8e85-4a78-b055-0811614686ee,1317,,"[58.9, 66.0]",3857277,30,,,,-1.8614337,,Right Foot,,,,"[52.2, 43.6]",Ground Pass,,23.380547,,,,Dejan Lovren,3471.0,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Center Midfield,49,Croatia,785,['aad7408a-d8c2-41c9-9f2d-f5fd48335cb8'],21,,,,,,,,,,,,,,,,Croatia,785,00:30:21.101,Pass,
,,,,,,,,,,,,,,,,,,1.247713,,,,,,,,,,,,60c126d7-9deb-4991-9299-aa3c2e296c3d,1320,,"[52.2, 43.6]",3857277,30,,,,-1.3169026,,Right Foot,,,,"[56.3, 27.8]",Ground Pass,,16.323296,,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Dejan Lovren,3471.0,Right Center Back,49,Croatia,785,['d55cfa37-da82-4669-b74e-5412ef474391'],22,,,,,,,,,,,,,,,,Croatia,785,00:30:22.865,Pass,
,,,,,,,,,,,,,,,,,,0.825216,,,,,,,,,,,,5912b827-7f84-4fdd-9f40-1fd42c41873c,1324,,"[66.6, 21.1]",3857277,30,,,,0.18980557,,Left Foot,,,,"[86.9, 25.0]",Low Pass,,20.671236,,Incomplete,,Andrej Kramarić,5460.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,49,Croatia,785,"['d7996f88-4c6f-4463-a186-74bc5aa73b68', 'e9889268-bf93-4fba-8252-48b7c2fb5d01']",26,,,,,,,,,,,,,,,,Croatia,785,00:30:26.533,Pass,
,,,,,,,,,,,,,,,,,,0.871779,,,,,,,,,,,,d8f388af-bacc-4621-af86-891091073574,1327,,"[26.4, 56.8]",3857277,30,,,,0.14932266,,Right Foot,,,,"[37.7, 58.5]",Ground Pass,,11.42716,,,,Hakim Ziyech,5237.0,,,,,Recovery,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,50,Morocco,788,['fee34c8b-d53f-4096-a7bb-fc4ab0de0508'],28,,,,,,,,,,,,,,,,Morocco,788,00:30:28.674,Pass,
,,,,,,,,,,,,,,,,,,1.1722,,,,,,,,,,,,cf83bb65-2c45-48ee-b9b0-39be9f5d132f,1329,,"[37.9, 58.5]",3857277,30,,,,-1.353685,,Left Foot,,,,"[39.4, 51.7]",Ground Pass,,6.963476,,,,Azzedine Ounahi,46258.0,,,,,,1,Regular Play,Hakim Ziyech,5237.0,Right Midfield,50,Morocco,788,['0a7fb438-55a0-40b0-a9f7-79bf4172fb53'],29,,,,,,,,,,,,,,,,Morocco,788,00:30:29.546,Pass,
,,,,,,,,,,,,,,,,,,1.303934,,,,,,,,,,,,92f89de3-ee02-4191-a1ef-4bb51f8eb3a9,1332,,"[42.6, 52.6]",3857277,30,,,,-0.9477497,,Right Foot,,,,"[52.3, 39.1]",Ground Pass,,16.623478,,,,Selim Amallah,23774.0,,,,,,1,Regular Play,Azzedine Ounahi,46258.0,Right Center Midfield,50,Morocco,788,['72361d13-bce5-4c17-b6a7-f12d743d9e01'],31,,,,,,,,,,,,,,,,Morocco,788,00:30:31.361,Pass,
,,,,,,,,,,,,,,,,,,1.477899,,,,,,,,,,,,088b3f2b-c269-40af-a285-f46c26cf7c2d,1337,,"[53.5, 40.6]",3857277,30,,,,2.8773327,,Right Foot,,,,"[45.0, 42.9]",Ground Pass,,8.80568,,,,Sofyan Amrabat,5234.0,,,,,,1,Regular Play,Selim Amallah,23774.0,Left Center Midfield,50,Morocco,788,"['6a9c49a1-f2ec-4efb-9e7e-2cfa3b29e695', 'db2c494e-86c2-4d50-9ad8-f7fab83112c8']",34,,,,,,,,,,,,,,,,Morocco,788,00:30:34.652,Pass,True
,,,,,,,,,,,,,,,,,,1.337567,,,,,,,,,,,,9338754e-f1b4-4d87-a330-bed92b2d776d,1341,,"[44.6, 43.6]",3857277,30,,,,2.221873,,Right Foot,,,,"[33.4, 58.3]",Ground Pass,,18.48053,,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,50,Morocco,788,['56c4c66f-8fb3-4784-ab69-a64619e83b2d'],36,,,,,,,,,,,,,,,,Morocco,788,00:30:36.250,Pass,
