50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.577206,,,,,,,,,,,,,,3f29d872-2ce1-4b5b-8ab0-1da8a25c9a7c,20,,,"[44.1, 60.3]",3857282,0,,,,,-1.3047397,,Right Foot,,,,"[55.9, 17.0]",,Ground Pass,,44.87906,,,,,Antonee Robinson,4614.0,,,True,,,,1,From Throw In,Tim Ream,18242.0,Left Center Back,3,United States,1839,['3a959b17-30aa-4507-9c54-20b54361215a'],16,,,,,,,,,,,,,,,,United States,1839,00:00:16.287,Pass,
,,,,,,,,,,,,,,,,,1.42417,,,,,,,,,,,,,,3d203fe7-0462-4917-9983-1ccd78855819,23,,,"[63.8, 12.1]",3857282,0,,,,,2.0727732,,Left Foot,,,,"[56.5, 25.4]",,Ground Pass,,15.171684,,,,,Yunus Dimoara Musah,38792.0,,,,,,,1,From Throw In,Antonee Robinson,4614.0,Left Back,3,United States,1839,['d3bc4ad6-ddbd-46fa-8efe-0af608f9075c'],22,,,,,,,,,,,,,,,,United States,1839,00:00:22.270,Pass,
,,,,,,,,,,,,,,,,,1.71303,,,,,,,,,,,,,,d793f2a6-fa0d-43e9-99fe-ca8973ffa3af,27,,,"[56.3, 26.5]",3857282,0,,,,,2.0260408,,Right Foot,,,,"[44.6, 50.4]",,Ground Pass,,26.61015,,,,,Walker Zimmerman,12524.0,,,,,,,1,From Throw In,Yunus Dimoara Musah,38792.0,Left Center Midfield,3,United States,1839,"['87aadaee-66b6-4921-b819-89e47ea29ca4', 'f7154ab1-428d-4794-b565-6d22693e1b1c']",24,,,,,,,,,,,,,,,,United States,1839,00:00:24.181,Pass,True
,,,,,,,,,,,,,,,,,1.231951,,,,,,,,,,,,,,cb0a0bf6-f2ef-4bea-b4c3-be583b41aff5,30,,,"[44.6, 50.4]",3857282,0,,,,,1.0641887,,Right Foot,,,,"[54.2, 67.7]",,Ground Pass,,19.785095,,,,,Sergino Dest,21881.0,,,,,,,1,From Throw In,Walker Zimmerman,12524.0,Right Center Back,3,United States,1839,['6689e793-fce4-46ea-9ae8-808a90511fa9'],26,,,,,,,,,,,,,,,,United States,1839,00:00:26.934,Pass,
,,,,,,,,,,,,,,,,,1.7705,,,,,,,,,,,,,,c71acfac-cb90-4613-bdfb-390f1dbc092b,33,,,"[54.8, 67.7]",3857282,0,,,,,-2.4344656,,Right Foot,,,,"[38.3, 53.6]",,Ground Pass,,21.703917,,,,,Walker Zimmerman,12524.0,,,,,,,1,From Throw In,Sergino Dest,21881.0,Right Back,3,United States,1839,['553aa1bd-7a2a-482b-8dbc-8b6d7215fcaf'],29,,,,,,,,,,,,,,,,United States,1839,00:00:29.075,Pass,
,,,,,,,,,,,,,,,,,1.192113,,,,,,,,,,,,,,b4d3a608-6bec-4907-b5ad-591bb89e033b,36,,,"[38.3, 53.6]",3857282,0,,,,,-1.3510013,,Right Foot,,,,"[44.6, 25.4]",,Ground Pass,,28.895155,,,,,Tim Ream,18242.0,,,,,,,1,From Throw In,Walker Zimmerman,12524.0,Right Center Back,3,United States,1839,['580aad5c-d6d2-4ecf-8eba-2e0315c7e659'],31,,,,,,,,,,,,,,,,United States,1839,00:00:31.811,Pass,
,,,,,,,,,,,,,,,,,1.379893,,,,,,,,,,,,,,fea80c29-3465-41d7-beff-3a808aaf7208,39,,,"[44.6, 25.4]",3857282,0,,,,,-1.0653975,,Left Foot,,,,"[52.9, 10.4]",,Ground Pass,,17.14322,,,,,Yunus Dimoara Musah,38792.0,,,,,,,1,From Throw In,Tim Ream,18242.0,Left Center Back,3,United States,1839,['b5154dab-c388-4551-beaa-09fba74f4783'],34,,,,,,,,,,,,,,,,United States,1839,00:00:34.050,Pass,
,,,,,,,,,,,,,,,,,0.870724,,,,,,,,,,,,,,a7f3e02b-c744-4799-b7ea-19c30f4f2c7f,47,,,"[51.2, 70.8]",3857282,0,,,,,-2.4242709,,Right Foot,,,,"[46.5, 66.7]",,Ground Pass,,6.2369866,,,,,Chris Mepham,4767.0,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Right Center Midfield,4,Wales,907,['9adb1927-b437-40df-b29c-3688928464f2'],39,,,,,,,,,,,,,,,,Wales,907,00:00:39.092,Pass,
,,,,,,,,,,,,,,,,,0.933286,,,,,,,,,,,,,,b1ba1e96-0c73-46c2-b240-ba839d658499,50,,,"[45.6, 66.9]",3857282,0,,,,,2.2522757,,Right Foot,,,,"[38.3, 75.9]",,Ground Pass,,11.588356,,,,,Connor Roberts,4774.0,,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,4,Wales,907,['3f81a3c2-1c0a-4afc-a30b-636453f2b167'],39,,,,,,,,,,,,,,,,Wales,907,00:00:39.997,Pass,
,,,,,,,,,,,,,,,,,1.003284,,,,,,,,,,,,,,86f5c1c5-83d0-4462-93a9-006ea0785f6e,54,,,"[37.9, 75.9]",3857282,0,,,,,-0.44237423,,Right Foot,,,,"[56.9, 66.9]",,High Pass,,21.023796,,,Incomplete,,Gareth Frank Bale,6399.0,,,,,,,1,Regular Play,Connor Roberts,4774.0,Right Wing Back,4,Wales,907,"['0ba950d8-3deb-450a-854d-7023b22558ed', '5659e815-f854-49ea-9377-a70582c8c453']",41,,,,,,,,,,,,,,,,Wales,907,00:00:41.981,Pass,
,,,,,,,,,,,,,,,,,1.366929,,,,,,,,,,,,,,87b1fbd2-0644-4275-8b3c-1312e4dd6411,57,,,"[53.1, 80.0]",3857282,0,,,,,-0.71754134,,,,,,"[69.6, 65.6]",,Low Pass,,21.9,,,,,Daniel James,11252.0,,,,,,Throw-in,1,From Throw In,Connor Roberts,4774.0,Right Wing Back,5,Wales,907,['a503d556-adb0-4a4e-a7aa-0b788cc657e8'],54,,,,,,,,,,,,,,,,Wales,907,00:00:54.259,Pass,
