50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.28015,,,,,,,,,,,7f6036fb-9dc6-4a77-a5c9-2777ca0409e3,17,,"[67.9, 3.0]",3857269,0,,,,0.92634916,,Right Foot,,,"[80.6, 19.9]",,Ground Pass,,21.140009,,,Breel-Donald Embolo,5545.0,,,,,1,From Kick Off,Ruben Vargas,30401.0,Left Wing,2,Switzerland,773,['81fcc27b-31c2-4a4d-aeab-b406b01221a5'],14,,,,,,,,,,,,,,,,,Switzerland,773,00:00:14.964,Pass,
,,,,,,,,,,,,,,,,,1.490568,,,,,,,,,,,23575e19-60bc-43ef-a23a-36fb548fe75b,22,,"[45.8, 55.0]",3857269,0,,,,-1.1393956,,Left Foot,,,"[54.5, 36.1]",,Ground Pass,,20.80625,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,Recovery,1,Regular Play,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Brazil,781,['04b722cb-8614-47f2-a74e-a06bcc89a359'],17,,,,,,,,,,,,,,,,,Brazil,781,00:00:17.386,Pass,
,,,,,,,,,,,,,,,,,1.110823,,,,,,,,,,,137297b6-5f68-413d-bd78-0c50f935ce77,29,,"[70.3, 28.0]",3857269,0,,,,-1.6750679,,Right Foot,,,"[69.4, 19.4]",,Ground Pass,,8.646965,,,Lucas Tolentino Coelho de Lima,22600.0,,,,Free Kick,1,From Free Kick,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,4,Brazil,781,['7f9c84d5-9795-45b4-a242-e98312ac08a6'],32,,,,,,,,,,,,,,,,,Brazil,781,00:00:32.366,Pass,
,,,,,,,,,,,,,,,,,1.04432,,,,,,,,,,,d2a5d7a2-dc95-42d2-a1cb-38ef111670e9,32,,"[69.4, 19.4]",3857269,0,,,,-1.2643118,,Left Foot,,,"[74.4, 3.6]",,Ground Pass,,16.572266,,,Alex Sandro Lobo Silva,6945.0,,,,,1,From Free Kick,Lucas Tolentino Coelho de Lima,22600.0,Left Center Midfield,4,Brazil,781,['31c2d297-a02c-4058-82a9-e6b345e97037'],34,,,,,,,,,,,,,,,,,Brazil,781,00:00:34.137,Pass,
,,,,,,,,,,,,,,,,,0.636612,,,,,,,,,,,96754730-6afd-4fe3-8d14-12c681d8ca16,35,,"[74.4, 3.6]",3857269,0,,,,2.5770233,,Left Foot,,,"[68.4, 7.4]",,Ground Pass,,7.1021123,,,Lucas Tolentino Coelho de Lima,22600.0,,,,,1,From Free Kick,Alex Sandro Lobo Silva,6945.0,Left Back,4,Brazil,781,['b264fe2f-8a12-4ae9-8f3f-187db8a8a12f'],35,,,,,,,,,,,,,,,,,Brazil,781,00:00:35.301,Pass,
,,,,,,,,,,,,,,,,,1.399333,,,,,,,,,,,46b63a48-d2d6-485e-9afa-1e3fcb718388,39,,"[69.8, 12.2]",3857269,0,,,,3.0776799,,Left Foot,,,"[44.8, 13.8]",,Ground Pass,,25.051147,,,Thiago Emiliano da Silva,3295.0,,,,,1,From Free Kick,Lucas Tolentino Coelho de Lima,22600.0,Left Center Midfield,4,Brazil,781,['3bbbde4a-305b-40da-b64f-3c1cc930034d'],37,,,,,,,,,,,,,,,,,Brazil,781,00:00:37.074,Pass,
,,,,,,,,,,,,,,,,,1.914856,,,,,,,,,,,187ff46e-35ff-4e76-b414-e0ef675de8f8,42,,"[45.3, 14.1]",3857269,0,,,,1.5707964,,Right Foot,,,"[45.3, 43.0]",,Ground Pass,,28.9,,,Marcos Aoás Corrêa,4372.0,,,,,1,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,4,Brazil,781,['905f331f-059a-4488-8cc5-123fdc6c0b70'],40,,,,,,,,,,,,,,,,,Brazil,781,00:00:40.190,Pass,
,,,,,,,,,,,,,,,,,1.38812,,,,,,,,,,,bacfc3c9-68f3-4bf1-82a5-58f3b535ac4f,45,,"[52.0, 56.5]",3857269,0,,,,2.1969,,Left Foot,,,"[39.2, 74.2]",,Ground Pass,,21.843306,,,Éder Gabriel Militão,13620.0,,,,,1,From Free Kick,Marcos Aoás Corrêa,4372.0,Right Center Back,4,Brazil,781,['67ae0146-c515-4cdf-81cb-bf43cad91b04'],44,,,,,,,,,,,,,,,,,Brazil,781,00:00:44.735,Pass,
,,,,,,,,,,,,,,,,,1.817545,,,,,,,,,,,3ef16445-4ee9-475f-95ed-f31b51d411d2,48,,"[33.3, 72.2]",3857269,0,,,,-2.4168675,,Right Foot,,,"[10.6, 52.1]",,Ground Pass,,30.31996,,,Alisson Ramsés Becker,5547.0,,,,,1,From Free Kick,Éder Gabriel Militão,13620.0,Right Back,4,Brazil,781,['8921798d-ff96-420f-809d-0c617474844c'],47,,,,,,,,,,,,,,,,,Brazil,781,00:00:47.696,Pass,
,,,,,,,,,,,,,,,,,1.166306,,,,,,,,,,,93c06472-2ea9-4030-9403-fce7ad56766d,51,,"[10.6, 48.8]",3857269,0,,,,-1.13072,,Right Foot,,,"[20.3, 28.2]",,Ground Pass,,22.769497,,,Thiago Emiliano da Silva,3295.0,,,,,1,From Free Kick,Alisson Ramsés Becker,5547.0,Goalkeeper,4,Brazil,781,['cb542a98-bac1-4fe4-901a-2f17581f57c1'],51,,,,,,,,,,,,,,,,,Brazil,781,00:00:51.114,Pass,
,,,,,,,,,,,,,,,,,2.473971,,,,,,,,,,,2625216a-d0e6-4fc7-bbe3-0b6f35c43af6,54,,"[27.2, 27.5]",3857269,0,,,,-0.37760532,,Right Foot,,,"[86.7, 3.9]",,High Pass,,64.00945,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,1,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,4,Brazil,781,['42d57fc4-6a22-4175-8095-575e46a357f0'],57,,,,,,,,,,,,,,,,,Brazil,781,00:00:57.802,Pass,
,,,,,,,,,,,,,,,,,2.052365,,,,,,,,,,,f3c56dcd-13d8-45b3-9dbc-55ea4a52dea1,59,,"[85.3, 0.1]",3857269,1,,,,1.6438369,,,,,"[84.7, 8.3]",,Low Pass,,8.221922,,,Thiago Emiliano da Silva,3295.0,,,,Throw-in,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,5,Brazil,781,['dcddcc3c-62c0-4b72-b3fc-202b17e695c6'],8,,,,,,,,,,,,,,,,,Brazil,781,00:01:08.637,Pass,
,,,,,,,,,,,,,,,,,1.015944,,,,,,,,,,,e3d93463-11d0-4210-a0dc-915b60438936,62,,"[54.5, 22.9]",3857269,1,,,,1.8798894,,Right Foot,,,"[46.9, 46.7]",,Ground Pass,,24.983995,,,Marcos Aoás Corrêa,4372.0,,,,,1,From Throw In,Thiago Emiliano da Silva,3295.0,Left Center Back,5,Brazil,781,['440c9198-9011-44b5-a694-7754a383fabd'],16,,,,,,,,,,,,,,,,,Brazil,781,00:01:16.568,Pass,
,,,,,,,,,,,,,,,,,1.015158,,,,,,,,,,,2a22f698-4c79-40ee-9861-a45ba8edc96c,65,,"[46.7, 47.2]",3857269,1,,,,1.7557099,,Right Foot,,,"[44.1, 61.1]",,Ground Pass,,14.141075,,,Éder Gabriel Militão,13620.0,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,5,Brazil,781,['31906056-a22a-4637-9e78-1a0dad714690'],19,,,,,,,,,,,,,,,,,Brazil,781,00:01:19.160,Pass,
,,,,,,,,,,,,,,,,,1.939553,,,,,,,,,,,16b91b0b-7b83-40ef-ac04-846c423f9e11,68,,"[41.4, 77.5]",3857269,1,,,,0.057672694,,Right Foot,,,"[84.7, 80.0]",,Low Pass,,43.372112,Out,,Frederico Rodrigues Santos,9904.0,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Back,5,Brazil,781,['e7f400de-006a-4933-82b3-1233104906ab'],21,,,,,,,,,,,,,,,,,Brazil,781,00:01:21.196,Pass,
