50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.209854,,,,,,,,,,,,,,6c225af4-d0cd-4b7c-9310-73a2e53f92ab,17,,"[8.3, 49.1]",3857268,0,,,,,-1.2394767,,Right Foot,,,"[21.2, 11.6]",,High Pass,,39.656776,,,,,Kamal Miller,23828.0,,,,,,1,From Kick Off,Milan Borjan,15958.0,Goalkeeper,2,Canada,1833,['615c47bb-fbce-473f-95f6-df4de96f7ae5'],10,,,,,,,,,,,,,,,,,Canada,1833,00:00:10.578,Pass,
,,,,,,,,,,,,,,,,,,1.115734,,,,,,,,,,,,,,d936da64-be25-42cc-93de-7a31f273ca7d,20,,"[20.9, 12.4]",3857268,0,,,,,1.1881455,,Left Foot,,,"[30.6, 36.5]",,Ground Pass,,25.978838,,,,,Atiba Hutchinson,31684.0,,,,,,1,From Kick Off,Kamal Miller,23828.0,Left Center Back,2,Canada,1833,['f78b65c9-6fc4-4f28-896b-ec29f72a483c'],16,,,,,,,,,,,,,,,,,Canada,1833,00:00:16.577,Pass,
,,,,,,,,,,,,,,,,,,1.04298,,,,,,,,,,,,,,c52f247b-ca27-43ba-a0c2-a77326fb55a4,23,,"[30.6, 36.5]",3857268,0,,,,,2.8570743,,Right Foot,,,"[20.0, 39.6]",,Ground Pass,,11.044003,,,,,Steven de Sousa Vitoria,11846.0,,,,,,1,From Kick Off,Atiba Hutchinson,31684.0,Right Defensive Midfield,2,Canada,1833,['5e51a16e-17cb-4709-98f3-a07e42ac337a'],17,,,,,,,,,,,,,,,,,Canada,1833,00:00:17.877,Pass,
,,,,,,,,,,,,,,,,,,1.316458,,,,,,,,,,,,,,52a3fe1c-841e-4c78-ae6c-a4a16a0a8d78,26,,"[18.6, 40.9]",3857268,0,,,,,2.6614177,,Left Foot,,,"[9.0, 45.9]",,Ground Pass,,10.824047,,,,,Milan Borjan,15958.0,,,,,,1,From Kick Off,Steven de Sousa Vitoria,11846.0,Center Back,2,Canada,1833,['6508e2f5-ff5e-4fd4-8569-6996f7048283'],20,,,,,,,,,,,,,,,,,Canada,1833,00:00:20.962,Pass,
,,,,,,,,,,,,,,,,,,4.038415,,,,,,,,,,,,,,eaab856c-2de6-4d0c-8cd9-11b5bf547efc,30,,"[7.0, 47.6]",3857268,0,,,,,-0.45115694,,Right Foot,,,"[65.0, 19.5]",,High Pass,,64.44851,,,Incomplete,,David Junior Hoilett,9922.0,,,,,,1,From Kick Off,Milan Borjan,15958.0,Goalkeeper,2,Canada,1833,"['211cf960-a8ba-4a2f-8ed2-ee17a70e3ff4', 'd82a64eb-a53a-415d-bbd4-26c6e184fe36', 'fbb53c39-b604-42f2-bb58-d9540074efbe']",22,,,,,,,,,,,,,,,,,Canada,1833,00:00:22.512,Pass,True
,,,,,,,,,,,,,,,,,,0.855867,,,,,,,,,,,,,,505c8873-94bd-46fb-b5f4-baab746f99de,36,,"[60.0, 16.5]",3857268,0,,,,,2.55359,,Left Foot,,,"[49.2, 23.7]",,Ground Pass,,12.979984,,,,,Atiba Hutchinson,31684.0,,,,,,1,From Kick Off,Alphonso Davies,12365.0,Left Wing Back,2,Canada,1833,['f81b8e71-4a8e-4643-a9e6-350a943fa973'],32,,,,,,,,,,,,,,,,,Canada,1833,00:00:32.915,Pass,
,,,,,,,,,,,,,,,,,,1.01183,,,,,,,,,,,,,,1192ee18-3882-47e1-bdeb-1214bd48fe0b,39,,"[45.6, 27.6]",3857268,0,,,,,2.158799,,Right Foot,,,"[37.6, 39.6]",,Ground Pass,,14.422205,,,,,Steven de Sousa Vitoria,11846.0,,,,,,1,From Kick Off,Atiba Hutchinson,31684.0,Right Defensive Midfield,2,Canada,1833,['2ab1e207-8dbb-4c30-884c-e744e38510da'],35,,,,,,,,,,,,,,,,,Canada,1833,00:00:35.121,Pass,
,,,,,,,,,,,,,,,,,,1.840854,,,,,,,,,,,,,,509854aa-c7e1-412d-b042-5e370b539ebb,42,,"[42.8, 50.9]",3857268,0,,,,,0.7965088,,Right Foot,,,"[69.5, 78.2]",,High Pass,,38.186123,,,,,Richie Laryea,16120.0,,,,,,1,From Kick Off,Steven de Sousa Vitoria,11846.0,Center Back,2,Canada,1833,['cf07f32d-5d4e-4b45-babd-55c2ab4c167a'],39,,,,,,,,,,,,,,,,,Canada,1833,00:00:39.749,Pass,
,,,,,,,,,,,,,,,,,,1.875212,,,,,,,,,,,,,,b1fd55f4-705a-42c0-9136-9e964f78f0e6,44,,"[69.5, 78.2]",3857268,0,,,,,-2.7985687,,Right Foot,,,"[63.9, 76.2]",,Low Pass,,5.9464273,,,,,Alistair Johnston,44703.0,,,,,,1,From Kick Off,Richie Laryea,16120.0,Right Wing Back,2,Canada,1833,['2db868ce-4d21-458f-bc6d-97f222683430'],41,,,,,,,,,,,,,,,,,Canada,1833,00:00:41.590,Pass,
,,,,,,,,,,,,,,,,,,0.693122,,,,,,,,,,,,,,0ba5673d-d71e-4058-965f-ed083aeee221,47,,"[43.9, 74.2]",3857268,0,,,,,-1.6814536,,Right Foot,,,"[42.0, 57.1]",,Ground Pass,,17.205233,,,Incomplete,,,,,,,,,1,From Kick Off,Alistair Johnston,44703.0,Right Center Back,2,Canada,1833,['733bb649-1818-40af-a858-4707ce3e6d0d'],46,,,,,,,,,,,,,,,,,Canada,1833,00:00:46.507,Pass,
