50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,No Touch,Prone,Standing,Goal Conceded,9de41b4b-bd45-4db9-8ab3-4aa0253f562f,2516,,,"[2.0, 42.1]",3857258,61,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,116,Brazil,781,['6e8938b8-69ba-4158-a8fc-b82f6393cb98'],58,,,,,,,,,,,,,,,,,Serbia,786,00:16:58.695,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[3.2, 43.6]",,Set,,Shot Faced,5f132928-4f2b-420c-a256-ba1792f4678c,2641,,,"[3.2, 43.6]",3857258,66,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,123,Brazil,781,['efb691a5-8622-46bc-a7da-33af3c8308ad'],46,,,,,,,,,,,,,,,,,Serbia,786,00:21:46.843,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[0.8, 40.9]",,Set,,Shot Faced,0ba69be2-5fa8-4b96-9340-5a6bfa44a13b,2687,,,"[0.8, 40.9]",3857258,68,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Alisson Ramsés Becker,5547.0,Goalkeeper,125,Serbia,786,['5652674d-7d13-4013-99a0-48f5cad3c818'],34,,,,,,,,,,,,,,,,,Brazil,781,00:23:34.826,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[2.0, 38.4]",,Set,,Shot Faced,a7c5342a-62aa-4af1-894f-c57b330b03cf,2716,,,"[2.0, 38.4]",3857258,69,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Alisson Ramsés Becker,5547.0,Goalkeeper,128,Serbia,786,['ffa4b36a-3754-492b-933e-97177259902b'],55,,,,,,,,,,,,,,,,,Brazil,781,00:24:55.229,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,No Touch,Set,Diving,Goal Conceded,a8d24d16-0f77-4d99-953f-0a688a5f9216,2791,,,"[1.7, 40.6]",3857258,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vanja Milinković Savić,20600.0,Goalkeeper,134,Brazil,781,['4500f508-3992-4e04-a621-5f9b04aa20b9'],55,,,,,,,,,,,,,,,,,Serbia,786,00:27:55.469,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[1.9, 41.4]",,Set,,Shot Faced,19865a0f-3313-44ba-bb4a-353e622b46d4,2888,,,"[1.9, 41.4]",3857258,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,139,Brazil,781,['4a8e658e-42ab-497e-8ad8-25578371add9'],48,,,,,,,,,,,,,,,,,Serbia,786,00:31:48.596,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[1.7, 40.0]",,Set,,Shot Faced,c9df39c6-32f7-4a10-9eb4-55d4d244d98a,3015,,,"[1.7, 40.0]",3857258,80,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,144,Brazil,781,['14e9cdea-65a3-4e14-b404-60d13662cbac'],53,,,,,,,,,,,,,,,,,Serbia,786,00:35:53.355,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,Both Hands,,In Play Safe,Set,Diving,Shot Saved,54aa58ce-e333-4719-b29d-d2d58ab242f2,3064,,,"[2.6, 41.7]",3857258,81,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,144,Brazil,781,['fb8a9594-5ffe-4494-87f8-c29a460b264c'],33,,,,,,,,,,,,,,,,,Serbia,786,00:36:33.465,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,Both Hands,,Touched Out,Set,Standing,Shot Saved,9b8c56a2-2f49-48a7-85c6-c8ef6ad546dd,3116,,,"[6.2, 39.7]",3857258,82,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,146,Brazil,781,['fc1921f9-3a87-44e3-8bcc-3689b1d7557a'],33,,,,,,,,,,,,,,,,,Serbia,786,00:37:33.116,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[2.9, 38.8]",,Set,,Shot Faced,c8777259-4293-47d8-8986-00555c6e152a,3171,,,"[2.9, 38.8]",3857258,84,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Alisson Ramsés Becker,5547.0,Goalkeeper,149,Brazil,781,['bf5b401f-f05a-4e47-be33-363bcf94b8e0'],22,,,,,,,,,,,,,,,,,Brazil,781,00:39:22.722,Goal Keeper,
