ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.889416,,,,,,,,,,,,,,25113c71-4fb4-4dba-9514-270e4d007f11,17,,,"[42.8, 49.4]",3869486,0,,,,,-1.4723501,,Right Foot,,,,"[45.2, 25.1]",,Ground Pass,,24.41823,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,1,From Kick Off,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,2,Portugal,780,['ccb15faf-0956-4a28-93b3-78cca049638c'],14,,,,,,,,,,,,,,,,,Portugal,780,00:00:14.640,Pass,
,,,,,,,,,,,,,,,,2.110253,,,,,,,,,,,,,,f4725d6a-572b-42eb-b33a-e591a30ff58e,20,,,"[45.2, 25.1]",3869486,0,,,,,1.7272453,,Right Foot,,,,"[39.9, 58.7]",,Ground Pass,,34.015438,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,From Kick Off,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,2,Portugal,780,['44545020-07c7-4c20-a435-c1257985b028'],19,,,,,,,,,,,,,,,,,Portugal,780,00:00:19.812,Pass,
,,,,,,,,,,,,,,,,3.892395,,,,,,,,,,,,,,5fd8591a-778a-43e9-812f-2a909e34cf6d,23,,,"[45.4, 58.5]",3869486,0,,,,,-0.3326197,,Right Foot,,,,"[111.4, 35.7]",,High Pass,,69.82722,Incomplete,,,,,,,,,1,From Kick Off,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,2,Portugal,780,['70f918cf-af77-40c2-94d4-cdc003e3f4bd'],23,,,,,,,,,,,,,,,,,Portugal,780,00:00:23.663,Pass,
,,,,,,,,,,,,,,,,1.291425,,,,,,,,,,,,,,62d9a176-6689-4c36-a0af-c113553e43b1,26,,,"[9.3, 45.5]",3869486,0,,,,,0.8104825,,Keeper Arm,,,,"[22.9, 59.8]",,Ground Pass,,19.734488,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Yassine Bounou,6785.0,Goalkeeper,2,Portugal,780,['e3d2bb84-6ef1-43f2-ad31-78bb0dd144c5'],29,,,,,,,,,,,,,,,,,Morocco,788,00:00:29.061,Pass,
,,,,,,,,,,,,,,,,2.530003,,,,,,,,,,,,,,6b58be74-4b79-4fd8-a70c-29bf9dfb88dd,28,,,"[22.2, 59.6]",3869486,0,,True,,,0.44155705,,Right Foot,,,,"[64.3, 79.5]",,Ground Pass,,46.566296,Out,,,,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Portugal,780,,34,,,,,,,,,,,,,,,,,Morocco,788,00:00:34.725,Pass,
,,,,,,,,,,,,,,,,1.46344,,,,,,,,,,,,,,88b0af11-c6ce-471a-926b-0a202f2be976,29,,,"[56.1, 0.1]",3869486,0,,,,,2.5686264,,,,,,"[37.5, 12.1]",,Low Pass,,22.13504,,,Rúben Santos Gato Alves Dias,5206.0,,,,,Throw-in,1,From Throw In,Raphaël Adelino José Guerreiro,5209.0,Left Back,3,Portugal,780,['4b707a49-fa2a-4193-902f-9efc8b3d55cb'],42,,,,,,,,,,,,,,,,,Portugal,780,00:00:42.601,Pass,
,,,,,,,,,,,,,,,,0.629927,,,,,,,,,,,,,,a3c6fda0-7fbf-4a20-a238-fc05a3c287df,32,,,"[39.9, 13.6]",3869486,0,,,,,-0.7338973,,Right Foot,,,,"[45.0, 9.0]",,Ground Pass,,6.868042,,,Otávio Edmilson da Silva Monteiro,11184.0,,,,,,1,From Throw In,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,3,Portugal,780,['84981131-280f-4b2e-94ec-d2a0485819e2'],47,,,,,,,,,,,,,,,,,Portugal,780,00:00:47.264,Pass,
,,,,,,,,,,,,,,,,4.811167,,,,,,,,,,,,,,a29439f5-79a4-4307-a63f-a0115e43f9a8,35,,,"[50.9, 10.1]",3869486,0,,,,,0.04802506,,Right Foot,,,,"[115.4, 13.2]",,High Pass,,64.574455,Incomplete,,Gonçalo Matias Ramos,38803.0,,,,,,1,From Throw In,Otávio Edmilson da Silva Monteiro,11184.0,Left Center Midfield,3,Portugal,780,"['1a38767d-6f48-4258-9e1f-b26bb36dedce', 'e6b177a6-289f-4a31-b66a-b24e2c829ea4']",49,,,,,,,,,,,,,,,,,Portugal,780,00:00:49.837,Pass,
,,,,,,,,,,,,,,,,1.645969,,,,,,,,,,,,,,c796b00b-d544-4015-955e-7200bfda5329,39,,,"[6.0, 44.0]",3869486,1,,,,,1.4174639,,Left Foot,,,,"[7.7, 55.0]",,Ground Pass,,11.130589,,,Jawad El Yamiq,7459.0,,,,,Goal Kick,1,From Goal Kick,Yassine Bounou,6785.0,Goalkeeper,4,Morocco,788,['8874e251-df7c-4a58-b37d-55c9537b58ef'],17,,,,,,,,,,,,,,,,,Morocco,788,00:01:17.227,Pass,
,,,,,,,,,,,,,,,,1.037597,,,,,,,,,,,,,,db7ef88a-a446-4bdd-9032-7d43f06a0e7b,42,,,"[8.3, 56.4]",3869486,1,,,,,-1.9330232,,Right Foot,,,,"[4.7, 46.9]",,Ground Pass,,10.159232,,,Yassine Bounou,6785.0,,,,,,1,From Goal Kick,Jawad El Yamiq,7459.0,Right Center Back,4,Morocco,788,['a435bf67-b969-4ce6-9b3f-b1407e52f0a6'],20,,,,,,,,,,,,,,,,,Morocco,788,00:01:20.601,Pass,
