50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.472975,,,,,,,,,,,,fda459eb-c325-4469-9951-eb88ab5cdba0,18,,,"[19.3, 65.0]",3857259,0,,,,,0.49466392,,Right Foot,,,,"[35.8, 73.9]",,Ground Pass,,18.747267,,,Andrija Živković,6318.0,,,,,,1,From Kick Off,Nikola Milenković,5603.0,Right Center Back,2,Serbia,786,['22ef3646-8477-455e-a794-701cb24072ff'],10,,,,,,,,,,,,,,,,,,Serbia,786,00:00:10.083,Pass,
,,,,,,,,,,,,,,,,,,,0.841981,,,,,,,,,,,,4d7e6e5f-6f65-4c11-9f7c-a36e527dc468,21,,,"[31.7, 73.3]",3857259,0,,,,,-3.0309355,,Left Foot,,,,"[18.2, 71.8]",,Ground Pass,,13.583077,,,Nikola Milenković,5603.0,,,,,,1,From Kick Off,Andrija Živković,6318.0,Right Wing Back,2,Serbia,786,['cf4cdeb8-eda2-4b49-88ab-e57ee64f68eb'],12,,,,,,,,,,,,,,,,,,Serbia,786,00:00:12.447,Pass,
,,,,,,,,,,,,,,,,,,,4.457723,,,,,,,,,,,,9660a55d-2c00-48ee-9ded-bb7c32082474,24,,,"[18.2, 71.8]",3857259,0,,,,,-0.40937808,,Right Foot,,,,"[71.9, 48.5]",,High Pass,,58.537,Incomplete,,Aleksandar Mitrović,4269.0,,,,,,1,From Kick Off,Nikola Milenković,5603.0,Right Center Back,2,Serbia,786,"['0b33d6d1-1517-42d8-b868-fce8b74ee7d5', 'd19ec7ce-0778-4914-9618-02d2ca68926a']",13,,,,,,,,,,,,,,,,,,Serbia,786,00:00:13.339,Pass,
,,,,,,,,,,,,,,,,,,,1.111493,,,,,,,,,,,,d19ec7ce-0778-4914-9618-02d2ca68926a,27,,,"[48.2, 31.6]",3857259,0,,,,,-1.4887888,,Right Foot,,,,"[48.8, 24.3]",,Ground Pass,,7.324616,,,Martin Hongla Yma II,30016.0,,,,,Recovery,1,Regular Play,Ngoran Suiru Fai Collins,16346.0,Right Back,3,Cameroon,2722,"['29a82442-adcb-4957-ac5f-5e2e033db597', '2ca489e4-203d-4cf3-b605-ccce0517a24b', '9660a55d-2c00-48ee-9ded-bb7c32082474']",17,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:17.797,Pass,True
,,,,,,,,,,,,,,,,,,,2.712695,,,,,,,,,,,,d240f778-b555-46b6-93e1-7239425f1f8f,30,,,"[48.6, 24.3]",3857259,0,,,,,2.8446305,,Right Foot,,,,"[12.0, 35.5]",,Ground Pass,,38.27532,,,Devis Rogers Epassy Mboka,15326.0,,,,,,1,Regular Play,Martin Hongla Yma II,30016.0,Center Defensive Midfield,3,Cameroon,2722,['3874eb01-df7b-48a1-9ba8-0cd928360911'],18,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:18.948,Pass,
,,,,,,,,,,,,,,,,,,,1.961648,,,,,,,,,,,,a1c30ab8-c369-4c12-b7d4-c95f4066ce33,38,,,"[13.5, 43.2]",3857259,1,,True,,,0.011695373,,Right Foot,,,,"[30.6, 43.4]",,Ground Pass,,17.10117,,,Martin Hongla Yma II,30016.0,,,,,,1,Regular Play,Devis Rogers Epassy Mboka,15326.0,Goalkeeper,6,Cameroon,2722,['f368b968-bbdc-440b-ad50-b1b83d4e2035'],40,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:40.526,Pass,
,,,,,,,,,,,,,,,,,,,1.665069,,,,,,,,,,,,98a316dd-bf75-4e56-90f1-557881d1ab79,41,,,"[34.7, 41.9]",3857259,1,,True,,,1.412556,,Right Foot,,,,"[39.2, 70.1]",,Ground Pass,,28.556786,,,Jean-Charles Castelletto,7426.0,,,,,,1,Regular Play,Martin Hongla Yma II,30016.0,Center Defensive Midfield,6,Cameroon,2722,['6c427cc3-58bd-45b8-988c-38ce75d0fbfe'],43,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:43.486,Pass,
,,,,,,,,,,,,,,,,,,,1.261211,,,,,,,,,,,,535377bd-c262-4ec1-a411-d4af97aa76dd,44,,,"[38.1, 72.9]",3857259,1,,,,,0.19739556,,Right Foot,,,,"[56.1, 76.5]",,Ground Pass,,18.35647,,,Ngoran Suiru Fai Collins,16346.0,,,,,,1,Regular Play,Jean-Charles Castelletto,7426.0,Right Center Back,6,Cameroon,2722,"['e7e490a0-f711-43d6-b015-3b7fb04c85e5', 'ecf72198-3c6f-47e2-b9e7-ce4da35471bb']",45,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:45.643,Pass,True
,,,,,,,,,,,,,,,,,,,1.192131,,,,,,,,,,,,7c73bf55-0a17-496e-8740-d3dc68983fcf,48,,,"[52.0, 76.1]",3857259,1,,,,,-2.9562447,,Right Foot,,,,"[36.0, 73.1]",,Ground Pass,,16.27882,,,Jean-Charles Castelletto,7426.0,,,,,,1,Regular Play,Ngoran Suiru Fai Collins,16346.0,Right Back,6,Cameroon,2722,"['3f237e0d-d5bc-46b6-810d-56438036df07', '42680287-2bb5-4975-aaa4-c37d76b68ee1']",48,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:48.113,Pass,True
,,,,,,,,,,,,,,,,,,,1.720189,,,,,,,,,,,,8f190e9c-7e4b-4fd4-9e3b-6e4ef332f827,51,,,"[29.8, 67.3]",3857259,1,,,,,-2.3877027,,Right Foot,,,,"[11.8, 50.4]",,Ground Pass,,24.69028,,,Devis Rogers Epassy Mboka,15326.0,,,,,,1,Regular Play,Jean-Charles Castelletto,7426.0,Right Center Back,6,Cameroon,2722,['d0f712aa-7e42-484b-8efc-a02c5b34c520'],51,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:51.648,Pass,
