50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.558093,,,,,,,,,,,,,b7853dbf-9c12-4b27-94b9-9dfed5f2d7de,15,,,"[87.3, 0.1]",3857301,0,,,,2.85182,,,,"[65.5, 6.6]",,Low Pass,,22.748407,,,,Abdelkarim Hassan Al Haj Fadlalla,124494.0,,,,,,Throw-in,1,From Throw In,Homam Alamin Ahmed,124900.0,Left Wing Back,3,Qatar,3566,['ed041f98-8469-4b7a-b2eb-1fc09b16e601'],16,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:16.752,Pass,
,,,,,,,,,,,,,,,,,,1.513985,,,,,,,,,,,,,f31ee5c7-cd84-4568-834b-db042d8619d0,18,,,"[65.5, 6.6]",3857301,0,,,,1.2233126,,Left Foot,,"[76.8, 37.8]",,Low Pass,,33.183277,,,Incomplete,,,,,,,,,1,From Throw In,Abdelkarim Hassan Al Haj Fadlalla,124494.0,Left Center Back,3,Qatar,3566,['8197c0c5-ed0f-45a3-b6d6-e75f58ff8002'],19,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:19.312,Pass,
,,,,,,,,,,,,,,,,,,1.384705,,,,,,,,,,,,,0a1071b7-781c-4c69-8ca9-48405d3346db,22,,,"[69.6, 62.2]",3857301,0,,,,0.76604575,,Right Foot,,"[85.4, 77.4]",,Ground Pass,,21.924416,,,,Ismaeel Mohammad Mohammad,124899.0,,,,,,,1,From Throw In,Karim Boudiaf,124492.0,Right Center Midfield,3,Qatar,3566,['2f6b30d6-a457-4622-8239-4272fefc4910'],24,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:24.250,Pass,
,,,,,,,,,,,,,,,,,,1.909711,,,,,,,,,,,,,b0a76e48-c3f1-4719-a035-266cfb428074,25,,,"[89.0, 75.0]",3857301,0,,,,-2.9821193,,Right Foot,,"[74.7, 72.7]",,Ground Pass,,14.483784,,,,Karim Boudiaf,124492.0,,,,,,,1,From Throw In,Ismaeel Mohammad Mohammad,124899.0,Right Wing Back,3,Qatar,3566,['9a852d93-5621-4e93-b66f-f48a6ade6f85'],28,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:28.043,Pass,
,,,,,,,,,,,,,,,,,,2.24265,,,,,,,,,,,,,24213fa6-12f1-448e-b2f8-e02db189d22a,28,,,"[71.5, 72.0]",3857301,0,,,,-2.5870469,,Right Foot,,"[42.6, 54.1]",,Ground Pass,,33.99441,,,,Boualem Khoukhi,124493.0,,,,,,,1,From Throw In,Karim Boudiaf,124492.0,Right Center Midfield,3,Qatar,3566,['0187f25d-60ec-4857-9a54-36e95f1f9891'],30,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:30.753,Pass,
,,,,,,,,,,,,,,,,,,1.358842,,,,,,,,,,,,,5ea0e7be-c3ae-401e-9e29-ad1ef6db804a,32,,,"[44.5, 54.7]",3857301,0,,,,0.7211092,,Right Foot,,"[69.3, 76.5]",,Low Pass,,33.01939,,,,Ismaeel Mohammad Mohammad,124899.0,,,,,,,1,From Throw In,Boualem Khoukhi,124493.0,Center Back,3,Qatar,3566,['134ced09-bf2f-4d66-9c14-065571407325'],36,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:36.135,Pass,
,,,,,,,,,,,,,,,,,,0.984666,,,,,,,,,,,,,79922726-fa09-4f2b-a360-7ad3383e73d0,35,,,"[68.7, 77.6]",3857301,0,,,,-3.1111453,,Right Foot,,"[49.0, 77.0]",,Ground Pass,,19.709135,,,,Pedro Miguel Correia,124506.0,,,,,,,1,From Throw In,Ismaeel Mohammad Mohammad,124899.0,Right Wing Back,3,Qatar,3566,['d0aa6677-70e4-4a99-b213-1fb657d507dd'],39,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:39.397,Pass,
,,,,,,,,,,,,,,,,,,3.519579,,,,,,,,,,,,,a983b318-03a3-463f-9b6c-ce8588d9d2f1,39,,,"[46.2, 77.0]",3857301,0,,,,-2.6231372,,Right Foot,,"[15.0, 59.2]",,Ground Pass,,35.920467,,,,Meshaal Aissa Barsham,124510.0,,,,,,,1,From Throw In,Pedro Miguel Correia,124506.0,Right Center Back,3,Qatar,3566,"['0992f183-5c76-4349-b040-5ee7b24c11bf', '9d66a11d-00d8-4905-856d-889420911dab']",41,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:41.352,Pass,True
,,,,,,,,,,,,,,,,,,1.334855,,,,,,,,,,,,,4bd7d973-89d3-4732-bfed-9f1b6bce8344,42,,,"[14.2, 59.2]",3857301,0,,,,0.32658145,,Left Foot,,"[20.4, 61.3]",,Ground Pass,,6.545991,,,,Boualem Khoukhi,124493.0,,,,,,,1,From Throw In,Meshaal Aissa Barsham,124510.0,Goalkeeper,3,Qatar,3566,['a7ace283-5c09-4bde-bc38-320e69f5eeee'],45,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:45.784,Pass,
,,,,,,,,,,,,,,,,,,1.30331,,,,,,,,,,,,,ce721fcb-7413-45b2-ab48-6cd8de838729,45,,,"[25.5, 64.1]",3857301,0,,,,-0.37904438,,Right Foot,,"[37.3, 59.4]",,Ground Pass,,12.701574,,,,Karim Boudiaf,124492.0,,,,,,,1,From Throw In,Boualem Khoukhi,124493.0,Center Back,3,Qatar,3566,['5ff98565-014f-4b3d-a882-5bdfe2cc01f2'],50,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:50.526,Pass,
,,,,,,,,,,,,,,,,,,2.567793,,,,,,,,,,,,,920d939a-71d4-4e02-a518-b40cb57a1f36,47,,,"[37.3, 59.4]",3857301,0,,,,-2.7688658,,Right Foot,,"[8.4, 48.1]",,Ground Pass,,31.03063,,,,Meshaal Aissa Barsham,124510.0,,,,,,,1,From Throw In,Karim Boudiaf,124492.0,Right Center Midfield,3,Qatar,3566,['0615e8f2-632c-4bda-bfc4-4caa79f483a2'],51,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:51.830,Pass,
,,,,,,,,,,,,,,,,,,2.314541,,,,,,,,,,,,,bf2dfc81-9b15-41a2-8d17-2ed338332312,51,,,"[12.7, 45.3]",3857301,0,,,,0.24614894,,Right Foot,,"[52.9, 55.4]",,High Pass,,41.449368,,,,Almoez Ali Zainalabiddin Abdulla,124495.0,,,,,,,1,From Throw In,Meshaal Aissa Barsham,124510.0,Goalkeeper,3,Qatar,3566,"['92cdcca7-b786-477c-8880-061463447933', 'af0ea1c2-cefd-47ce-a31f-82e737e3a276']",59,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:59.459,Pass,True
,,,,,,,,,,,,,,,,,,0.731502,,,,,,,,,,,,,e4ce0a7c-9c9c-4b81-a7c7-42045b283298,58,,,"[49.9, 31.6]",3857301,1,,,,0.5260664,,Right Foot,,"[56.1, 35.2]",,Ground Pass,,7.169379,,,,Nampalys Mendy,4506.0,,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Right Center Back,4,Senegal,787,['ef27c2db-95db-4056-b6af-c5b20c0ec2c7'],5,,,,,,,,,,,,,,,,,,Senegal,787,00:01:05.039,Pass,
,,,,,,,,,,,,,,,,,,1.429835,,,,,,,,,,,,,ed6e9c86-d359-4e6b-bf82-412f21c3b07c,61,,,"[56.1, 35.2]",3857301,1,,,,-2.428794,,Left Foot,,"[44.3, 25.0]",,Ground Pass,,15.597436,,,,Abdou Diallo,8553.0,,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Right Defensive Midfield,4,Senegal,787,['29a179a6-b2cb-49d0-a116-62641c156379'],5,,,,,,,,,,,,,,,,,,Senegal,787,00:01:05.836,Pass,
,,,,,,,,,,,,,,,,,,1.323584,,,,,,,,,,,,,de706cdb-451d-4525-8739-4d0720e3229f,64,,,"[45.2, 20.0]",3857301,1,,,,-0.95588803,,Left Foot,,"[56.5, 4.0]",,Ground Pass,,19.588007,,,,Ismail Jakobs,32915.0,,,,,,,1,Regular Play,Abdou Diallo,8553.0,Left Center Back,4,Senegal,787,['2327db80-f776-4430-95e3-fd07df66aab7'],8,,,,,,,,,,,,,,,,,,Senegal,787,00:01:08.803,Pass,
