50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.294508,,,,,,,,,,,,480090a4-6c2a-44a1-978a-fb438ad38211,702,,,"[22.5, 55.0]",3869219,16,,,,,0.5464617,,Right Foot,,,,"[51.6, 72.7]",,High Pass,,34.06024,,,,Andrej Kramarić,5460.0,,,,,,1,From Goal Kick,Marcelo Brozović,5469.0,Center Defensive Midfield,24,Croatia,785,"['1ef3729f-66a6-44ad-84d4-081581abac20', '4b059db2-deed-4802-97d7-f419342729e2']",58,,,,,,,,,,,,,,,,,Croatia,785,00:16:58.053,Pass,True
,,,,,,,,,,,,,,,,1.538723,,,,,,,,,,,,f6a798fe-2c38-41ce-9be7-cbe6ce30bf6c,705,,,"[51.6, 72.7]",3869219,17,,,,,-1.351665,,Right Foot,,,,"[56.7, 49.8]",,High Pass,,23.461031,,,,Bruno Petković,7693.0,,,,,,1,From Goal Kick,Andrej Kramarić,5460.0,Right Wing,24,Croatia,785,['0e4e6f85-e00a-4b8e-9a6b-14733de69719'],0,,,,,,,,,,,,,,,,,Croatia,785,00:17:00.371,Pass,
,,,,,,,,,,,,,,,,1.165393,,,,,,,,,,,,9a150b2c-4ecc-4efd-8854-ea391fd040f2,713,,,"[77.0, 6.7]",3869219,17,,,,,2.421628,,Right Foot,,,,"[58.3, 23.1]",,Ground Pass,,24.872675,,,,Wataru Endo,23721.0,,,,,,1,Regular Play,Maya Yoshida,3300.0,Center Back,25,Japan,778,['58b786b2-3196-4b5e-b30e-5c67a63575ee'],9,,,,,,,,,,,,,,,,,Japan,778,00:17:09.484,Pass,
,,,,,,,,,,,,,,,,1.11251,,,,,,,,,,,,345e34a0-8c96-4062-8d5c-67191b674825,716,,,"[56.9, 26.5]",3869219,17,,,,,0.7853982,,Right Foot,,,,"[74.6, 44.2]",,Ground Pass,,25.03158,,,,Daichi Kamada,9411.0,,,,,,1,Regular Play,Wataru Endo,23721.0,Right Defensive Midfield,25,Japan,778,['58b3fcc1-f183-4483-8491-4c69f4f5baf8'],11,,,,,,,,,,,,,,,,,Japan,778,00:17:11.769,Pass,
,,,,,,,,,,,,,,,,0.909852,,,,,,,,,,,,6d1265e8-7913-49cd-a949-305592ae3af6,720,,,"[68.2, 46.4]",3869219,17,,,,,-0.9291368,,Right Foot,,,,"[74.7, 37.7]",,Ground Pass,,10.860019,,,,Hidemasa Morita,37221.0,,,,,,1,Regular Play,Daichi Kamada,9411.0,Left Wing,25,Japan,778,"['4495b903-b369-429f-8f46-f475978c1fa1', '945170c3-4760-46a3-847f-15f238e3cd64']",15,,,,,,,,,,,,,,,,,Japan,778,00:17:15.327,Pass,True
,,,,,,,,,,,,,,,,0.833519,,,,,,,,,,,,220c726f-a42b-4446-adb3-b6069df552ae,723,,,"[76.0, 37.2]",3869219,17,,,,,0.5305579,,Right Foot,,,,"[83.5, 41.6]",,Ground Pass,,8.695401,,Unknown,,Ritsu Doan,8361.0,,,,,,1,Regular Play,Hidemasa Morita,37221.0,Left Defensive Midfield,25,Japan,778,['62e35198-b13b-481b-98bd-1c25f5a86d3b'],17,,,,,,,,,,,,,,,,,Japan,778,00:17:17.016,Pass,
,,,,,,,,,,,,,,,,1.258282,,,,,,,,,,,,cd08fa36-b364-4c81-858b-972820e42524,728,,,"[85.6, 41.6]",3869219,18,,,,,-1.0313778,,Right Foot,,,,"[94.4, 26.9]",,Ground Pass,,17.132717,,,,Hidemasa Morita,37221.0,,,,,Free Kick,1,From Free Kick,Daichi Kamada,9411.0,Left Wing,26,Japan,778,['cd58461f-bd8f-440c-b7f8-4d4afcb6fd71'],15,,,,,,,,,,,,,,,,,Japan,778,00:18:15.982,Pass,
,,,,,,,,,,,,,,,,1.243729,,,,,,,,,,,,8d5f9318-318b-4bbb-a155-c440736c7439,730,,,"[94.4, 26.9]",3869219,18,,,,,0.97420496,,Right Foot,,,,"[107.1, 45.6]",,High Pass,,22.604866,,Incomplete,,,,,,,,,1,From Free Kick,Hidemasa Morita,37221.0,Left Defensive Midfield,26,Japan,778,['a09b6c32-2030-4a02-ac22-b8f0e8ca9094'],17,,,,,,,,,,,,,,,,,Japan,778,00:18:17.240,Pass,
,,,,,,,,,,,,,,,,1.90867,,,,,,,,,,,,daf2edf9-568c-4ed6-a397-320f5666988e,733,,,"[87.5, 62.0]",3869219,18,,,,,-1.058186,,Left Foot,,,,"[99.6, 40.5]",,High Pass,,24.671036,,Pass Offside,,Daizen Maeda,30628.0,,,,,Recovery,1,From Free Kick,Ritsu Doan,8361.0,Right Wing,26,Japan,778,"['1ad30a83-f295-4768-a6c3-ca1f2d68b32a', '6625dfb8-c57f-4b08-b74c-c9035a93fb86']",24,,,,,,,,,,,,,,,,,Japan,778,00:18:24.720,Pass,True
,,,,,,,,,,,,,,,,1.137955,,,,,,,,,,,,86bef854-8eda-4654-8be4-5b8145aab2d6,735,,,"[16.1, 40.6]",3869219,18,,True,,,-0.26625204,,Right Foot,,,,"[27.1, 37.6]",,Ground Pass,,11.401754,,,,Marcelo Brozović,5469.0,,,,,Free Kick,1,From Free Kick,Dejan Lovren,3471.0,Right Center Back,27,Croatia,785,['13efd887-186e-47cc-8685-e1930c29b5ff'],33,,,,,,,,,,,,,,,,,Croatia,785,00:18:33.328,Pass,
