50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.642152,,,,,,,,,,,,,c812ecff-c00b-43a3-a2fb-a39b3c34866d,17,,,"[39.8, 68.6]",3857298,0,,,,,-2.2157118,,Right Foot,,,"[31.3, 57.3]",,Ground Pass,,14.140014,,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,1,From Kick Off,João Pedro Cavaco Cancelo,7005.0,Right Back,2,Portugal,780,['7eda36e6-aff8-47ab-84a4-7c659cd1724a'],7,,,,,,,,,,,,,,,,,Portugal,780,00:00:07.450,Pass,
,,,,,,,,,,,,,,,,,1.779117,,,,,,,,,,,,,73f01284-e74c-45ac-8ebe-82845a9ca5da,20,,,"[35.4, 55.4]",3857298,0,,,,,0.92109054,,Left Foot,,,"[47.1, 70.8]",,Ground Pass,,19.340372,,,,,João Pedro Cavaco Cancelo,7005.0,,,,,,1,From Kick Off,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,2,Portugal,780,['5f630cb3-7aeb-4e20-af01-79be39122497'],11,,,,,,,,,,,,,,,,,Portugal,780,00:00:11.164,Pass,
,,,,,,,,,,,,,,,,,0.93625,,,,,,,,,,,,,adb5a9d4-abba-4451-b7ad-ded2435ff406,23,,,"[54.7, 69.7]",3857298,0,,,,,-1.4315171,,Right Foot,,,"[56.2, 59.0]",,Ground Pass,,10.804628,,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Kick Off,João Pedro Cavaco Cancelo,7005.0,Right Back,2,Portugal,780,['2b847d4e-75c9-4e8d-9e6f-81c9b9089c8a'],15,,,,,,,,,,,,,,,,,Portugal,780,00:00:15.238,Pass,
,,,,,,,,,,,,,,,,,0.980005,,,,,,,,,,,,,1033b6fd-c4ea-4eee-856c-0974aa869e97,25,,,"[56.2, 59.0]",3857298,0,,,,,1.4330602,,Left Foot,,,"[57.6, 69.1]",,Ground Pass,,10.1965685,,,,,João Pedro Cavaco Cancelo,7005.0,,,,,,1,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Midfield,2,Portugal,780,['27a1a316-b2d1-4f94-91c3-cd15d89cbc81'],16,,,,,,,,,,,,,,,,,Portugal,780,00:00:16.175,Pass,
,,,,,,,,,,,,,,,,,0.84324,,,,,,,,,,,,,7d40c698-6440-4a0e-b49a-227b0b16d0c1,27,,,"[57.6, 69.1]",3857298,0,,,,,-2.2794225,,Right Foot,,,"[51.6, 62.1]",,Ground Pass,,9.219544,,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Kick Off,João Pedro Cavaco Cancelo,7005.0,Right Back,2,Portugal,780,['0ec5198c-d15d-4fec-834d-4a16c391c587'],17,,,,,,,,,,,,,,,,,Portugal,780,00:00:17.155,Pass,
,,,,,,,,,,,,,,,,,1.28935,,,,,,,,,,,,,ff95b805-f829-4beb-a463-80a5d6700309,30,,,"[49.2, 65.6]",3857298,0,,,,,-2.6870773,,Left Foot,,,"[31.6, 57.0]",,Ground Pass,,19.588772,,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,1,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Midfield,2,Portugal,780,['43cb9674-d94c-4449-b6be-f17abaf52bf7'],18,,,,,,,,,,,,,,,,,Portugal,780,00:00:18.843,Pass,
,,,,,,,,,,,,,,,,,1.20886,,,,,,,,,,,,,7c580429-ddad-47a9-af0c-c31fe6034721,33,,,"[31.3, 55.2]",3857298,0,,,,,-1.3787483,,Right Foot,,,"[34.1, 40.8]",,Ground Pass,,14.669697,,,,,Rúben Diogo Da Silva Neves,9927.0,,,,,,1,From Kick Off,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,2,Portugal,780,['369635b4-f0c2-4b49-84ad-0835e11792e7'],21,,,,,,,,,,,,,,,,,Portugal,780,00:00:21.199,Pass,
,,,,,,,,,,,,,,,,,1.239665,,,,,,,,,,,,,a4c2bc72-d92a-41b9-be4b-ed0122431ae5,37,,,"[31.7, 39.9]",3857298,0,,,,,1.7512032,,Right Foot,,,"[28.8, 55.8]",,Ground Pass,,16.162302,,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,1,From Kick Off,Rúben Diogo Da Silva Neves,9927.0,Center Defensive Midfield,2,Portugal,780,"['1716a199-79e6-4388-8bd3-a12852b7ccb4', '4473a9ab-aef7-47e6-b82d-08580963028b']",23,,,,,,,,,,,,,,,,,Portugal,780,00:00:23.021,Pass,True
,,,,,,,,,,,,,,,,,1.252401,,,,,,,,,,,,,057cc494-048e-4176-8a81-cebb90aa0850,40,,,"[29.3, 58.7]",3857298,0,,,,,1.1722739,,Left Foot,,,"[34.1, 70.1]",,Ground Pass,,12.369317,,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Kick Off,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,2,Portugal,780,['546ace4f-858e-45a4-88a1-45370e7905f1'],24,,,,,,,,,,,,,,,,,Portugal,780,00:00:24.740,Pass,
,,,,,,,,,,,,,,,,,2.014744,,,,,,,,,,,,,a6c6853b-0f96-4ab1-be96-068bc43b9db7,43,,,"[34.4, 73.8]",3857298,0,,,,,-2.7437837,,Right Foot,,,"[15.6, 65.9]",,Ground Pass,,20.3924,,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,1,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Midfield,2,Portugal,780,['662244fd-ef8a-43ab-8566-57839a70eec0'],27,,,,,,,,,,,,,,,,,Portugal,780,00:00:27.187,Pass,
