50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.397398,,,,,,,,,,,,,5205192a-35e9-469c-8279-68aafa47445a,17,,"[45.7, 50.0]",3857257,0,,,,,-1.5405025,,Right Foot,,,,"[46.4, 26.9]",,Ground Pass,,23.110603,,,,Andreas Christensen,3959.0,,,,,,,1,From Kick Off,Joachim Andersen,8247.0,Right Center Back,2,Denmark,776,['56c7d5f4-7e7c-436c-9f31-845c2188c9e3'],15,,,,,,,,,,,,,,,,,Denmark,776,00:00:15.446,Pass,
,,,,,,,,,,,,,,,,0.911498,,,,,,,,,,,,,9fd054d7-3f08-4157-8dbd-fe243b4f6242,20,,"[46.4, 26.9]",3857257,0,,,,,-0.5305579,,Right Foot,,,,"[61.4, 18.1]",,Ground Pass,,17.390802,,,,Christian Dannemann Eriksen,3043.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['c5ae3ce4-444b-48e8-a329-4806cbc95c21'],18,,,,,,,,,,,,,,,,,Denmark,776,00:00:18.135,Pass,
,,,,,,,,,,,,,,,,1.371882,,,,,,,,,,,,,e61944c9-e2a5-4eda-ba96-f79fb6ca5b4e,23,,"[61.4, 18.1]",3857257,0,,,,,1.3593454,,Left Foot,,,,"[65.5, 37.2]",,Ground Pass,,19.535097,,,,Pierre-Emile Højbjerg,3570.0,,,,,,,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Left Center Midfield,2,Denmark,776,['aa338466-f1d5-4cc6-9a05-0b3f394990e1'],19,,,,,,,,,,,,,,,,,Denmark,776,00:00:19.087,Pass,
,,,,,,,,,,,,,,,,0.707408,,,,,,,,,,,,,33f8ceca-1d75-4988-ac32-663531476e3b,27,,"[66.8, 36.0]",3857257,0,,,,,-0.15264933,,Right Foot,,,,"[75.9, 34.6]",,Ground Pass,,9.207063,,,,Martin Braithwaite Christensen,4447.0,,,,,,,1,From Kick Off,Pierre-Emile Højbjerg,3570.0,Center Defensive Midfield,2,Denmark,776,['2720565e-48aa-433c-acff-3694baf58608'],20,,,,,,,,,,,,,,,,,Denmark,776,00:00:20.499,Pass,
,,,,,,,,,,,,,,,,1.605106,,,,,,,,,,,,,9cc8e5e5-3df0-4422-9010-eb6374c4f0ae,29,,"[75.9, 34.6]",3857257,0,,,,,2.6779451,,Right Foot,,,,"[53.7, 45.7]",,Ground Pass,,24.820354,,,,Joachim Andersen,8247.0,,,,,,,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Denmark,776,['f09ef39a-3db2-44b4-a595-27db39099584'],21,,,,,,,,,,,,,,,,,Denmark,776,00:00:21.206,Pass,
,,,,,,,,,,,,,,,,1.132513,,,,,,,,,,,,,3568c97c-b965-415e-9fc7-14a15e5d48cc,32,,"[58.8, 57.3]",3857257,0,,,,,1.4464413,,Left Foot,,,,"[60.8, 73.3]",,Ground Pass,,16.124516,,,,Rasmus Nissen Kristensen,16190.0,,,,,,,1,From Kick Off,Joachim Andersen,8247.0,Right Center Back,2,Denmark,776,['931b63b0-67d6-4303-9b45-cf8dd2e20eee'],26,,,,,,,,,,,,,,,,,Denmark,776,00:00:26.369,Pass,
,,,,,,,,,,,,,,,,2.015187,,,,,,,,,,,,,bd14da00-ce25-499c-bd3e-e1dcb6556093,35,,"[60.8, 73.3]",3857257,0,,,,,-2.143924,,Right Foot,,,,"[51.7, 59.2]",,Ground Pass,,16.781538,,,,Joachim Andersen,8247.0,,,,,,,1,From Kick Off,Rasmus Nissen Kristensen,16190.0,Right Back,2,Denmark,776,['8d4ddb78-c8bb-4d80-81e6-b32808d53246'],28,,,,,,,,,,,,,,,,,Denmark,776,00:00:28.474,Pass,
,,,,,,,,,,,,,,,,1.383072,,,,,,,,,,,,,76114251-cfee-419f-b027-41af0cc41301,38,,"[51.7, 59.2]",3857257,0,,,,,-1.8266886,,Right Foot,,,,"[47.2, 42.0]",,Ground Pass,,17.77892,,,,Andreas Christensen,3959.0,,,,,,,1,From Kick Off,Joachim Andersen,8247.0,Right Center Back,2,Denmark,776,['5e0c56cb-22bc-4bec-9329-cb4422dc1bbf'],31,,,,,,,,,,,,,,,,,Denmark,776,00:00:31.792,Pass,
,,,,,,,,,,,,,,,,1.284281,,,,,,,,,,,,,8ba31a3b-aa4d-4dd9-809d-fff31715d5a9,41,,"[55.5, 40.2]",3857257,0,,,,,-0.038197972,,Right Foot,,,,"[71.2, 39.6]",,Ground Pass,,15.711461,,,,Martin Braithwaite Christensen,4447.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['1c9da6e7-a16d-46a4-a1da-ee20c575bf94'],35,,,,,,,,,,,,,,,,,Denmark,776,00:00:35.865,Pass,
,,,,,,,,,,,,,,,,1.149429,,,,,,,,,,,,,c6e0d7fa-9800-4a11-bd84-622471c5c613,44,,"[72.4, 39.9]",3857257,0,,,,,1.192654,,Right Foot,,,,"[78.2, 54.5]",,Ground Pass,,15.709869,,,,Mathias Jensen,18722.0,,,,,,,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Denmark,776,['e691d268-3c3f-4dd7-bffd-38a036b3202c'],37,,,,,,,,,,,,,,,,,Denmark,776,00:00:37.242,Pass,
,,,,,,,,,,,,,,,,3.144038,,,,,,,,,,,,,5fd18638-ef75-4091-9e80-baae91202738,47,,"[78.2, 54.5]",3857257,0,,,,,-0.76506823,,Left Foot,,,,"[105.8, 28.0]",,High Pass,,38.262383,,Incomplete,,Christian Dannemann Eriksen,3043.0,,,,,,,1,From Kick Off,Mathias Jensen,18722.0,Right Center Midfield,2,Denmark,776,"['8ebceb51-865b-4690-99ea-65383d769b01', 'b9720707-f12d-408f-8c3f-417650fbf504']",38,,,,,,,,,,,,,,,,,Denmark,776,00:00:38.496,Pass,
,,,,,,,,,,,,,,,,1.629847,,,,,,,,,,,,,4a25dc04-7883-4f31-8aa0-f45e87c356e5,55,,"[31.7, 80.0]",3857257,1,,,,,-0.34662104,,,,,,"[61.6, 69.2]",,High Pass,,31.790722,,,,Mitchell Thomas Duke,33492.0,,,,,,Throw-in,1,From Throw In,Miloš Degenek,15957.0,Right Back,4,Australia,792,['06dfa5e3-3996-4c0a-b652-6f5c06c883af'],3,,,,,,,,,,,,,,,,,Australia,792,00:01:03.208,Pass,
,,,,,,,,,,,,,,,,2.367484,,,,,,,,,,,,,3c3eec93-b596-47ec-be22-a307de237f30,57,,"[61.6, 69.2]",3857257,1,,,,,-0.52563703,,Head,,,,"[89.7, 52.9]",,Low Pass,,32.485382,,Incomplete,,,,,,,,,,1,From Throw In,Mitchell Thomas Duke,33492.0,Left Center Forward,4,Australia,792,['67b71219-0b6d-4735-9d8e-62aa8c345743'],4,,,,,,,,,,,,,,,,,Australia,792,00:01:04.878,Pass,
,,,,,,,,,,,,,,,,2.997576,,,,,,,,,,,,,67b71219-0b6d-4735-9d8e-62aa8c345743,58,,"[30.4, 27.2]",3857257,1,,,,,2.6949286,,Right Foot,,,,"[11.4, 36.3]",,Ground Pass,,21.0668,,,,Kasper Schmeichel,3815.0,,,,,,Recovery,1,Regular Play,Joachim Andersen,8247.0,Right Center Back,5,Denmark,776,"['3c3eec93-b596-47ec-be22-a307de237f30', '68a71f01-6ae7-4c48-9e6e-56387abe2e1e']",7,,,,,,,,,,,,,,,,,Denmark,776,00:01:07.245,Pass,
,,,,,,,,,,,,,,,,1.471828,,,,,,,,,,,,,a301a203-2605-4a92-8321-4a45c2bbf99a,61,,"[11.4, 36.3]",3857257,1,,,,,-1.0550866,,Right Foot,,,,"[20.3, 20.6]",,Ground Pass,,18.047161,,,,Andreas Christensen,3959.0,,,,,,,1,Regular Play,Kasper Schmeichel,3815.0,Goalkeeper,5,Denmark,776,['92afed60-0810-4964-bac9-b00e46cc5bc5'],11,,,,,,,,,,,,,,,,,Denmark,776,00:01:11.850,Pass,
,,,,,,,,,,,,,,,,2.623028,,,,,,,,,,,,,74732d75-4354-45ea-9ed0-085a6a2f54a3,64,,"[25.5, 21.5]",3857257,1,,,,,1.5375605,,Right Foot,,,,"[26.8, 60.6]",,Ground Pass,,39.121605,,,,Joachim Andersen,8247.0,,,,,,,1,Regular Play,Andreas Christensen,3959.0,Left Center Back,5,Denmark,776,['d553c3eb-a62e-4f75-9ef3-fab3ab9715bd'],16,,,,,,,,,,,,,,,,,Denmark,776,00:01:16.713,Pass,
,,,,,,,,,,,,,,,,4.118923,,,,,,,,,,,,,790a6231-48c2-4493-b51c-38a6a29cc837,67,,"[35.1, 60.9]",3857257,1,,,,,-0.20058534,,Right Foot,,,,"[107.4, 46.2]",,High Pass,,73.77927,,Incomplete,,Martin Braithwaite Christensen,4447.0,,,,,,,1,Regular Play,Joachim Andersen,8247.0,Right Center Back,5,Denmark,776,"['3ed0d491-0fdf-4d71-836a-e954a50de893', 'f77fcdd4-7209-4d11-af2e-c14dba92d92b']",21,,,,,,,,,,,,,,,,,Denmark,776,00:01:21.202,Pass,
,,,,,,,,,,,,,,,,1.74634,,,,,,,,,,,,,fe04322a-3e38-458f-a403-42c7129eda85,70,,"[14.3, 30.5]",3857257,1,,True,,,-0.71646523,,Right Foot,,,,"[38.3, 9.6]",,High Pass,,31.824677,,,,Aziz Eraltay Behich,5479.0,,,,,,,1,Regular Play,Mathew Ryan,3240.0,Goalkeeper,6,Australia,792,['06355d68-7cb3-4c95-9c30-752538c6047e'],32,,,,,,,,,,,,,,,,,Australia,792,00:01:32.121,Pass,
,,,,,,,,,,,,,,,,2.002202,,,,,,,,,,,,,164a7295-ccff-49a9-81a9-8d874355cfac,75,,"[52.4, 0.2]",3857257,1,,,,,2.1655555,,Left Foot,,,,"[38.6, 20.6]",,Ground Pass,,24.629251,,,,Mathew Ryan,3240.0,,,,,,Free Kick,1,From Free Kick,Kye Rowles,33495.0,Left Center Back,7,Australia,792,['33688123-91db-44dc-b62b-12f1b62021d8'],57,,,,,,,,,,,,,,,,,Australia,792,00:01:57.607,Pass,
,,,,,,,,,,,,,,,,1.607184,,,,,,,,,,,,,a8a0e975-12d7-4aab-965c-a5c8f40ad06f,78,,"[38.6, 20.6]",3857257,2,,,,,1.6349652,,Left Foot,,,,"[37.0, 45.5]",,Ground Pass,,24.951353,,,,Harry Souttar,22293.0,,,,,,,1,From Free Kick,Mathew Ryan,3240.0,Goalkeeper,7,Australia,792,['86987ce1-84f6-4e78-b19e-8b52eba47ecf'],0,,,,,,,,,,,,,,,,,Australia,792,00:02:00.470,Pass,
,,,,,,,,,,,,,,,,1.551811,,,,,,,,,,,,,034c0ab5-672f-4d1c-8700-4ed6b4d560b2,81,,"[30.0, 40.5]",3857257,2,,,,,1.4056476,,Right Foot,,,,"[34.4, 66.9]",,Ground Pass,,26.764154,,,,Miloš Degenek,15957.0,,,,,,,1,From Free Kick,Harry Souttar,22293.0,Right Center Back,7,Australia,792,['680efa61-1bb9-4d30-8b9f-c138f3d8b2e9'],3,,,,,,,,,,,,,,,,,Australia,792,00:02:03.059,Pass,
,,,,,,,,,,,,,,,,0.093733,,,,,,,,,,,,,54726dcf-58fd-42cc-987c-7a16539151c5,85,,"[35.3, 68.6]",3857257,2,,,,,-0.11065722,,Right Foot,,,,"[38.0, 68.3]",,Low Pass,,2.7166154,,Incomplete,,,,,,,,,,1,From Free Kick,Miloš Degenek,15957.0,Right Back,7,Australia,792,"['c1301d92-f84b-4529-a2b2-358e4d41f69c', 'e3b67685-7dbd-44bf-a37e-1ef7cc973100']",5,,,,,,,,,,,,,,,,,Australia,792,00:02:05.722,Pass,True
,,,,,,,,,,,,,,,,1.856782,,,,,,,,,,,,,0176ee0c-1e14-410d-a0da-ae789aed81da,87,,"[52.1, 80.0]",3857257,2,,,,,-0.42043883,,,,,,"[81.4, 66.9]",,High Pass,,32.095173,,Incomplete,,Mitchell Thomas Duke,33492.0,,,,,,Throw-in,1,From Throw In,Miloš Degenek,15957.0,Right Back,8,Australia,792,"['1b4980ad-1576-4e70-b769-9bf00ffad466', '7968e01c-8108-4621-a131-f280ec9a887f']",19,,,,,,,,,,,,,,,,,Australia,792,00:02:19.048,Pass,
,,,,,,,,,,,,,,,,1.708638,,,,,,,,,,,,,860f4c5a-e326-4486-b05a-43dac6f99d2c,91,,"[35.4, 15.6]",3857257,2,,,,True,0.42575106,,,,,,"[44.0, 19.5]",,High Pass,,9.4429865,,Incomplete,,Pierre-Emile Højbjerg,3570.0,,,,,,Recovery,1,From Throw In,Andreas Christensen,3959.0,Left Center Back,8,Australia,792,"['2cf2c6ec-de31-451a-8ccd-e7343926fd13', '855f8ad5-5baf-474f-ab13-122a2e021b11', 'e412f74d-7b10-4bc3-8d27-630595b9b976']",22,,,,,,,,,,,,,,,,,Denmark,776,00:02:22.506,Pass,True
,,,,,,,,,,,,,,,,0.549867,,,,,,,,,,,,,a780988c-f7bf-4e49-8b46-ee6543b9e309,96,,"[84.7, 55.3]",3857257,2,,,,,-1.2956071,f0cb1d2a-2a77-42a6-be8c-4fa4187bed6a,Right Foot,,,,"[87.1, 46.8]",,Ground Pass,,8.832327,,,,Riley McGree,33477.0,True,,,,,,1,From Throw In,Mathew Leckie,5481.0,Right Midfield,8,Australia,792,"['948a6987-a562-4eeb-8636-d603ee23af9e', 'f83360cb-21fa-4aab-a526-882b8493205e']",26,,,,,,,,,,,,,,,,,Australia,792,00:02:26.805,Pass,True
