ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.97667,,,,,,,,,,,,,43b813de-6ef1-4fde-aea6-de126103983b,2126,,,"[3.1, 20.2]",3869151,46,,,,,-0.9624115,,Right Foot,,,"[17.1, 0.1]",,Ground Pass,24.495102,,,,Marcos Javier Acuña,19597.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,69,Argentina,779,['c15db3eb-2fae-491e-8558-eb4d01b3eeda'],37,,,,,,,,,,,,,,,,,Argentina,779,00:46:37.402,Pass,
,,,,,,,,,,,,,,,1.368156,,,,,,,,,,,,,d08165c2-bc73-4469-ac13-cb10f8ca10aa,2129,,,"[17.4, 2.3]",3869151,46,,,,,2.346486,,Left Foot,,,"[7.2, 12.7]",,Ground Pass,14.567086,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Throw In,Marcos Javier Acuña,19597.0,Left Back,69,Argentina,779,['85113d78-60c3-4016-803f-8f0adc5c63c6'],39,,,,,,,,,,,,,,,,,Argentina,779,00:46:39.288,Pass,
,,,,,,,,,,,,,,,0.882572,,,,,,,,,,,,,9fd656a6-4051-422c-aea4-10a0b794c13f,2133,,,"[8.0, 8.1]",3869151,46,,,,,-0.9109479,,Right Foot,,,"[12.5, 2.3]",,Ground Pass,7.340981,,,,Marcos Javier Acuña,19597.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,69,Argentina,779,"['7bbf9eff-3053-4c5a-a653-44d0ec1d2b89', 'ae18aeb5-f94f-4a00-9678-aa3660f1a23e']",41,,,,,,,,,,,,,,,,,Argentina,779,00:46:41.473,Pass,True
,,,,,,,,,,,,,,,1.655746,,,,,,,,,,,,,14fafb13-87f9-4792-8c00-3486d74d1d71,2136,,,"[11.4, 1.8]",3869151,46,,,,,0.51574767,,Right Foot,,,"[36.8, 16.2]",,High Pass,29.197945,,Incomplete,,,,,,,,,1,From Throw In,Marcos Javier Acuña,19597.0,Left Back,69,Argentina,779,['0f8b345a-c800-4d03-ad3a-6be9386942a2'],43,,,,,,,,,,,,,,,,,Argentina,779,00:46:43.293,Pass,
,,,,,,,,,,,,,,,2.020549,,,,,,,,,,,,,b732111a-059b-4fce-bc0d-6ffdcb6d114a,2139,,,"[82.7, 58.3]",3869151,46,,,,,-3.0602908,,Right Foot,,,"[69.2, 57.2]",,Ground Pass,13.544741,,,,Harry Souttar,22293.0,,,,,,1,Regular Play,Keanu Baccus,33488.0,Right Defensive Midfield,70,Australia,792,['7bb68355-13c9-433b-ac00-51b5ea6de328'],46,,,,,,,,,,,,,,,,,Australia,792,00:46:46.554,Pass,
,,,,,,,,,,,,,,,1.396702,,,,,,,,,,,,,57970279-5489-4c0a-a7d9-60acf0084bbe,2142,,,"[68.4, 56.9]",3869151,46,,,,,0.2234766,,Right Foot,,,"[79.4, 59.4]",,Ground Pass,11.280514,,,,Keanu Baccus,33488.0,,,,,,1,Regular Play,Harry Souttar,22293.0,Right Center Back,70,Australia,792,['20b23864-8bed-4789-a34c-394080d24571'],48,,,,,,,,,,,,,,,,,Australia,792,00:46:48.987,Pass,
,,,,,,,,,,,,,,,1.006919,,,,,,,,,,,,,e128fe83-0726-4135-8958-648f05388699,2145,,,"[79.4, 61.7]",3869151,46,,,,,-0.7495161,,Right Foot,,,"[89.5, 52.3]",,Ground Pass,13.797463,,Incomplete,,Mitchell Thomas Duke,33492.0,,,,,,1,Regular Play,Keanu Baccus,33488.0,Right Defensive Midfield,70,Australia,792,"['b28c2f19-0cfb-4bf3-919f-38b31dda6e15', 'f2a835ce-7f88-4b75-aa06-da8d17111850']",51,,,,,,,,,,,,,,,,,Australia,792,00:46:51.156,Pass,
,,,,,,,,,,,,,,,0.726546,,,,,,,,,,,,,53f237d2-b53a-4057-84b4-1f1910018237,2148,,,"[81.9, 34.2]",3869151,46,,,,,2.375547,,Right Foot,,,"[74.0, 41.8]",,Ground Pass,10.962208,,,,Aaron Mooy,3281.0,,,,,Recovery,1,Regular Play,Riley McGree,33477.0,Left Midfield,70,Australia,792,['78de335e-452d-4c09-8898-78ba5ada3ef2'],53,,,,,,,,,,,,,,,,,Australia,792,00:46:53.981,Pass,
,,,,,,,,,,,,,,,3.473752,,,,,,,,,,,,,b66a5220-f6ad-42e7-903f-e6dc1d967eaf,2152,,,"[73.3, 48.2]",3869151,46,,,,,0.16417164,,Right Foot,,,"[106.5, 53.7]",,High Pass,33.65249,,Incomplete,,Mathew Leckie,5481.0,,,,,,1,Regular Play,Aaron Mooy,3281.0,Left Defensive Midfield,70,Australia,792,"['1ee7dceb-4b0b-47df-aeb4-3097981e63e0', '718c9f4b-26eb-4265-8922-b215ee1df03e', 'f945bd45-e7fb-4fde-b3ed-16cd2c2ced5e']",55,,,,,,,,,,,,,,,,,Australia,792,00:46:55.991,Pass,True
,,,,,,,,,,,,,,,0.961557,,,,,,,,,,,,,a09f2164-139b-4a43-b765-841dfeb98d6c,2161,,,"[61.0, 40.1]",3869151,45,,,,,2.9699645,,Right Foot,,,"[46.0, 42.7]",,Ground Pass,15.223666,,,,Enzo Fernandez,38718.0,,,,,Kick Off,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,71,Argentina,779,['d1f87898-8a1d-49ef-8987-01a5b996fa6a'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.637,Pass,
