bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,True,Head,True,,,,,,,,0.0,,,,,,,,,,,,6f7194cf-332d-4150-8577-fd61e9c34c72,3206,,,"[7.6, 33.5]",3857256,99,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Obafemi Akanji,5549.0,Left Center Back,203,Serbia,786,"['0103e4c2-3bea-462d-818f-71743256ecca', 'dc96d1ca-756e-4249-a738-d27d707165a1']",49,,,,,,,,,,,,,,,,,,,Switzerland,773,00:54:49.720,Clearance,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d65c6712-59f2-454e-9394-f9f3ff160e25,19,,,"[99.1, 36.3]",3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,,18,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:18.656,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dbf71c83-efa8-4ddd-a61d-54db72fbf754,27,,,"[103.2, 42.7]",3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,,23,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:23.744,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6cb0070a-6bc9-4207-984e-123cacda0ea5,39,,,"[100.3, 4.6]",3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Djibril Sow,16026.0,Center Attacking Midfield,4,Switzerland,773,['1fcd2902-cf85-406d-b12d-8b0707764176'],48,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:48.188,Ball Recovery,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f96b60de-37ee-49a1-bb9e-7b927c8bbb53,70,,,"[25.6, 26.3]",3857256,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Filip Kostić,5591.0,Left Wing Back,5,Serbia,786,['4bcbaee4-25b2-4a77-a04e-457e7bcc11e6'],32,,,,,,,,,,,,,,,,,,,Serbia,786,00:01:32.551,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,109499bb-2a97-4412-b0ca-d6b9cf02f432,96,,,"[11.4, 55.8]",3857256,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gregor Kobel,17974.0,Goalkeeper,7,Switzerland,773,,12,,,,,,,,,,,,,,,,,,,Switzerland,773,00:02:12.356,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1231b32b-8a20-4c8c-accf-e02269a4e188,124,,,"[20.6, 67.3]",3857256,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nikola Milenković,5603.0,Right Center Back,8,Serbia,786,,53,,,,,,,,,,,,,,,,,,,Serbia,786,00:02:53.006,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4dc7c430-9309-4c97-a079-bc3df8e5982b,185,,,"[96.0, 8.1]",3857256,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Filip Kostić,5591.0,Left Wing Back,10,Serbia,786,,50,,,,,,,,,,,,,,,,,,,Serbia,786,00:03:50.995,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d28f92c4-c73b-44a6-aa7e-91a731dc5cc6,258,,,"[57.6, 64.2]",3857256,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Djibril Sow,16026.0,Center Attacking Midfield,16,Switzerland,773,['c4baee59-74af-4d4f-b3b1-ea0597fc3e29'],32,,,,,,,,,,,,,,,,,,,Switzerland,773,00:07:32.346,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,55d438e4-c02f-406f-aacc-c48629061c23,306,,,"[117.5, 7.5]",3857256,9,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Dušan Tadić,3831.0,Center Attacking Midfield,21,Serbia,786,['bb7c357a-74ea-4f8c-8252-91c08483d21d'],2,,,,,,,,,,,,,,,,,,,Serbia,786,00:09:02.111,Ball Recovery,True
