ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[45.0, 51.1]",,,,,,,,,,0.942831,,,,,,,,,,,ef37d257-802a-4148-a7f7-4e9cf817c015,1371,,"[49.9, 54.5]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,65,Switzerland,773,"['0a98396e-d6cd-4d16-a8a4-8aec2e96c458', 'cc16c2d4-497e-41d9-98a8-91f0b9d64c9e']",6,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:06.960,Carry,
,,,"[44.8, 30.5]",,,,,,,,,,3.293056,,,,,,,,,,,2f2940b9-048f-41f9-ace3-624276346a02,1374,,"[44.5, 38.0]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,65,Switzerland,773,"['a330efbe-d72c-4e59-be65-49ea2ede2611', 'b8f4ec5b-e333-471a-a31d-2b14da644ca7']",9,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:09.023,Carry,
,,,"[41.8, 47.3]",,,,,,,,,,1.093624,,,,,,,,,,,9e108488-0b5c-4042-9c67-48332bb3a342,1377,,"[38.5, 46.2]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,65,Switzerland,773,"['e71b79cf-ff7f-4948-a668-f85d495a0751', 'f7b80c2d-91d4-415a-8f9e-ef5d70207f87']",13,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:13.734,Carry,
,,,"[35.2, 55.3]",,,,,,,,,,1.757767,,,,,,,,,,,213b83a3-3206-4d18-9627-fbb06748cb3d,1381,,"[39.3, 59.1]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Right Center Back,65,Switzerland,773,"['4a57d1e2-73cb-4e7b-91b7-7e8f41d839ea', '9a581db2-9ea8-4b89-8a62-dca4c18f87ee']",16,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:16.131,Carry,
,,,"[12.9, 43.7]",,,,,,,,,,4.183926,,,,,,,,,,,3a343728-843d-4b56-ad83-c586d2e47b70,1384,,"[12.9, 43.7]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yann Sommer,5550.0,Goalkeeper,65,Switzerland,773,"['4549c61f-2577-49b9-a30e-3e975009e746', 'be0d4188-7ea4-4fa6-840c-45c0f41bbbad']",19,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:19.742,Carry,
,,,"[27.5, 37.2]",,,,,,,,,,0.978209,,,,,,,,,,,57048db4-24f0-41e9-8fdc-9a55d37a4d00,1387,,"[28.0, 38.0]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,65,Switzerland,773,"['179fd5a6-b65f-4dd3-847f-1d4b943abe28', 'b8d4eda8-23d3-4322-9c4d-05363c1e35ad', 'da723d92-8bc9-410a-a367-68fe2c083df4']",25,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:25.006,Carry,True
,,,"[9.9, 43.7]",,,,,,,,,,1.267673,,,,,,,,,,,935f5285-e367-4d27-9472-15856adc3245,1391,,"[9.9, 43.7]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yann Sommer,5550.0,Goalkeeper,65,Switzerland,773,"['a2f55bd2-58a8-41f8-8e46-de62f61719bb', 'c3e03cd2-6bd7-4ecd-8abc-3a6521d07f93']",27,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:27.481,Carry,
,,,"[50.2, 56.4]",,,,,,,,,,0.053284,,,,,,,,,,,8667f740-6c7c-4706-ac47-99d202c75933,1395,,"[50.2, 56.4]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Breel-Donald Embolo,5545.0,Right Center Forward,65,Switzerland,773,"['17b303ce-f89a-4053-8e1c-2d1e2096121b', '7bc45037-d365-4003-aa75-7412a020912a', 'f48db4ee-7a2a-480a-8b39-8a805dd7805b']",31,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:31.721,Carry,True
,,,"[55.5, 41.5]",,,,,,,,,,1.839806,,,,,,,,,,,6e6b7278-d478-4f2f-9d66-fc89294229d5,1400,,"[52.9, 44.0]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Djibril Sow,16026.0,Right Center Midfield,66,Switzerland,773,"['22dc9df4-a092-4405-8969-efdd29041315', '41251f99-f436-410f-838a-44208bf56f1e']",47,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:47.183,Carry,
,,,"[73.6, 6.1]",,,,,,,,,,4.148288,,,,,,,,,,,3833291d-d99e-42f1-bfd5-d5f5ceb3c24e,1403,,"[63.7, 10.2]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,66,Switzerland,773,"['1847d021-7532-4325-9cb6-84ab757d2221', '6e98f5cb-926c-41e8-99f5-95e457460312']",50,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:50.140,Carry,
