50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8320312-6c68-4020-aa3e-907d2e5c1e5f,1,,,,3857263,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 133353, 'name': 'Pablo Martín Páez Gavira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6748, 'name': 'Ferrán Torres García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Spain,772,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d91f2ba-dcc1-4f4b-ae0e-7c3b24ad2387,2,,,,3857263,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8511, 'name': 'Thilo Kehrer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd58fad5-ab8a-4e63-a36d-5a1599a2d322,3,,,,3857263,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['b032a919-91f1-4095-bfe2-9eb533f77975'],0,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b032a919-91f1-4095-bfe2-9eb533f77975,4,,,,3857263,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['dd58fad5-ab8a-4e63-a36d-5a1599a2d322'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa83ee10-ab0e-44e8-91d0-87436cfcfd5f,1942,,,,3857263,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Spain,772,['2618e937-50dd-4756-8798-367c7e1be8c2'],0,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2618e937-50dd-4756-8798-367c7e1be8c2,1943,,,,3857263,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Spain,772,['fa83ee10-ab0e-44e8-91d0-87436cfcfd5f'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.708916,,,,,,,,,,,,,1237add3-9c02-4d81-8a0a-d99e41ecf67c,5,,,"[60.0, 40.0]",3857263,0,,,,,-2.9441972,,Right Foot,,,,"[36.0, 35.2]",,Ground Pass,,24.475294,,,,Aymeric Laporte,4353.0,,,,,Kick Off,1,From Kick Off,Pablo Martín Páez Gavira,133353.0,Right Center Midfield,2,Spain,772,['342e8f15-25f1-44e9-82d4-13bc771b75c2'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.469,Pass,
,,,,,,,,,,,,,,,,,,1.016477,,,,,,,,,,,,,1b0b261d-c0c0-495e-9787-eda753743827,8,,,"[37.7, 35.4]",3857263,0,,,,,1.4249854,,Left Foot,,,,"[39.8, 49.7]",,Ground Pass,,14.453373,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['d98d9c9d-e824-43c8-8d1d-d7573b6493b6'],3,,,,,,,,,,,,,,,,,Spain,772,00:00:03.126,Pass,
,,,,,,,,,,,,,,,,,,2.916938,,,,,,,,,,,,,e2d76ac2-cb14-44dd-9a0b-bffdf61185a2,11,,,"[41.8, 50.8]",3857263,0,,,,,-0.9014817,,Right Foot,,,,"[79.3, 3.4]",,High Pass,,60.440136,,,,Ferrán Torres García,6748.0,,True,,,,1,From Kick Off,Rodrigo Hernández Cascante,6765.0,Right Center Back,2,Spain,772,['2854d00a-eca3-4a41-8cfd-52d36bf6b230'],6,,,,,,,,,,,,,,,,,Spain,772,00:00:06.144,Pass,
,,,,,,,,,,,,,,,,,,2.79816,,,,,,,,,,,,,e219687a-faff-4caf-8124-29ea530de9bc,13,,,"[79.3, 3.4]",3857263,0,,,,,0.0,,Right Foot,,,,"[97.1, 3.4]",,Low Pass,,17.8,,Incomplete,,Pedro González López,30486.0,,,,,,1,From Kick Off,Ferrán Torres García,6748.0,Right Wing,2,Spain,772,"['cf9f555e-49af-4e68-859f-9a9f40e53fcb', 'd741c6d5-6cac-47e0-9d9d-bd69aae27423']",9,,,,,,,,,,,,,,,,,Spain,772,00:00:09.061,Pass,
