50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.12578,,,,,,,,,,,,,3573fe13-0312-4fba-869a-1da49ce918e0,28,,,"[49.3, 75.9]",3857274,0,,,,,-1.1232764,,Right Foot,,,,"[50.5, 73.4]",,Ground Pass,,2.7730849,,Incomplete,,Cody Mathès Gakpo,20750.0,,,,,,1,From Kick Off,Denzel Dumfries,8125.0,Right Wing Back,2,Ecuador,3565,"['5f1083ea-ebd7-4644-a727-d057356d91f5', 'eeac8dfe-ca25-4453-a26c-77f803bf8697', 'f80186fb-3a7d-4511-b3c2-52377ce69850']",17,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:17.626,Pass,True
,,,,,,,,,,,,,,,,2.386672,,,,,,,,,,,,,76fc4241-cb24-496b-9004-43a634315867,31,,,"[60.0, 80.0]",3857274,0,,,,,-0.4401371,,,,,,"[92.7, 64.6]",,High Pass,,36.144848,,Incomplete,,Steven Bergwijn,8259.0,,,,,Throw-in,1,From Throw In,Denzel Dumfries,8125.0,Right Wing Back,3,Netherlands,941,"['5553c46d-72a1-4696-baba-6bf3a94d1487', '9cdf0528-9db3-45f5-921d-39fb23e9638c']",38,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:38.632,Pass,
,,,,,,,,,,,,,,,,2.726832,,,,,,,,,,,,,5553c46d-72a1-4696-baba-6bf3a94d1487,34,,,"[27.4, 15.5]",3857274,0,,,,True,1.6092389,,,,,,"[27.0, 25.9]",,High Pass,,10.407689,,,,Felix Eduardo Torres Caicedo,30111.0,,,,,Recovery,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,4,Ecuador,3565,"['76fc4241-cb24-496b-9004-43a634315867', '8a376903-b92f-447d-acc1-144df226a08b', '9d7aa52f-517e-4a9c-b8e3-a32776a41295']",41,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:41.019,Pass,True
,,,,,,,,,,,,,,,,2.73603,,,,,,,,,,,,,c744134c-1328-47c6-897d-98d31b51730c,37,,,"[27.0, 25.9]",3857274,0,,,,,1.2205596,,Right Foot,,,,"[35.0, 47.8]",,High Pass,,23.315445,,,,Angelo Smit Preciado Quiñónez,37737.0,,,,,,1,Regular Play,Felix Eduardo Torres Caicedo,30111.0,Center Back,4,Ecuador,3565,['40700430-8743-4483-9b80-ed2b1b6b7d83'],43,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:43.786,Pass,
,,,,,,,,,,,,,,,,1.598884,,,,,,,,,,,,,d827afeb-7788-497a-978e-20f954bbc8a0,39,,,"[35.0, 47.8]",3857274,0,,,,True,-0.24239135,,,,,,"[53.2, 43.3]",,High Pass,,18.748066,,Incomplete,,Michael Steveen Estrada Martínez,34396.0,,,,,,1,Regular Play,Angelo Smit Preciado Quiñónez,37737.0,Right Wing Back,4,Ecuador,3565,"['2ba4d196-c05e-4be4-b1df-97f2c62d7e30', '8e2a2d5a-d21c-4ac6-8eb6-74857966dab5', 'e23ea09e-079e-4319-bfb2-71d9b1019c23']",46,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:46.522,Pass,True
,,,,,,,,,,,,,,,,1.535855,,,,,,,,,,,,,e23ea09e-079e-4319-bfb2-71d9b1019c23,43,,,"[66.9, 36.8]",3857274,0,,,,True,-0.115045294,,,,,,"[89.4, 34.2]",,High Pass,,22.649725,,Incomplete,,,,,,,,Recovery,1,Regular Play,Nathan Aké,3306.0,Left Center Back,4,Ecuador,3565,"['b0017dc7-7ac0-449b-b942-9328dfbabcbe', 'd827afeb-7788-497a-978e-20f954bbc8a0', 'fcf6b22a-7635-48f1-8b1c-d5db4d0cd793']",48,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:48.121,Pass,True
,,,,,,,,,,,,,,,,2.018229,,,,,,,,,,,,,b0017dc7-7ac0-449b-b942-9328dfbabcbe,44,,,"[30.7, 45.9]",3857274,0,,,,,-0.38416937,,Head,,,,"[54.2, 36.4]",,High Pass,,25.347584,,,,Michael Steveen Estrada Martínez,34396.0,,,,,Recovery,1,Regular Play,Felix Eduardo Torres Caicedo,30111.0,Center Back,4,Ecuador,3565,"['5ccd5f94-5344-4c01-8ca6-c842c27670ea', 'e23ea09e-079e-4319-bfb2-71d9b1019c23']",49,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:49.656,Pass,
,,,,,,,,,,,,,,,,3.628898,,,,,,,,,,,,,f45039e0-0fd8-434b-b821-3aee3f0f6f4c,46,,,"[54.2, 36.4]",3857274,0,,,,,-1.1492925,,Head,,,,"[69.4, 2.5]",,High Pass,,37.151714,,,,Enner Remberto Valencia Lastra,28559.0,,,,,,1,Regular Play,Michael Steveen Estrada Martínez,34396.0,Center Forward,4,Ecuador,3565,['8e54de79-d357-453d-9682-72457db22f32'],51,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:51.675,Pass,
,,,,,,,,,,,,,,,,1.212565,,,,,,,,,,,,,3971591e-6ab1-41ee-a0aa-fb22ab5f35e4,57,,,"[56.1, 62.8]",3857274,1,,,,,0.042942334,,Left Foot,,,,"[81.7, 63.9]",,Ground Pass,,25.623621,,Incomplete,,Steven Bergwijn,8259.0,,,,,,1,Regular Play,Jurriën David Norman Timber,21809.0,Right Center Back,5,Netherlands,941,"['03fb3bee-29f5-4175-9c29-5d5af890dd05', '3b36820c-2e89-415d-b42c-2807a0fb7df9']",1,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:01.517,Pass,
,,,,,,,,,,,,,,,,3.049338,,,,,,,,,,,,,ba599a00-a6f3-44f8-a0c2-40aeb8e7f679,60,,,"[29.3, 21.5]",3857274,1,,,,,0.18759836,,Left Foot,,,,"[58.8, 27.1]",,Ground Pass,,30.026821,,Incomplete,,Michael Steveen Estrada Martínez,34396.0,,,,,Recovery,1,Regular Play,Felix Eduardo Torres Caicedo,30111.0,Center Back,5,Netherlands,941,"['16317a8c-93b2-479b-bae5-93d48087abb2', 'b8d181b0-f0db-45d5-a61a-b9a0bd6b9ba7']",4,,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:04.276,Pass,
,,,,,,,,,,,,,,,,0.60628,,,,,,,,,,,,,429a8a44-22b2-4e9e-9c82-26434d9d41b7,68,,,"[64.7, 50.6]",3857274,1,,,,,-2.4932606,,Left Foot,,,,"[58.1, 45.6]",,Ground Pass,,8.280097,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Teun Koopmeiners,7891.0,Right Defensive Midfield,5,Netherlands,941,['d2135df7-0104-43ec-a65e-46f3c821be02'],8,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:08.012,Pass,
,,,,,,,,,,,,,,,,1.476433,,,,,,,,,,,,,f12d7729-5019-4ca9-b146-5f2fb1a86e60,71,,,"[59.3, 44.1]",3857274,1,,,,,-1.7864004,,Right Foot,,,,"[54.0, 19.9]",,Ground Pass,,24.773575,,,,Daley Blind,3311.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,5,Netherlands,941,['1e1d82d6-176f-47c0-9b98-1a6020445cd3'],9,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:09.256,Pass,
,,,,,,,,,,,,,,,,2.039698,,,,,,,,,,,,,c4d68ad6-b5f3-4268-835b-62aa2239230d,74,,,"[50.9, 20.9]",3857274,1,,,,,2.6550264,,Left Foot,,,,"[37.1, 28.2]",,Ground Pass,,15.611855,,,,Nathan Aké,3306.0,,,,,,1,Regular Play,Daley Blind,3311.0,Left Wing Back,5,Netherlands,941,['39453b23-d9cc-43ab-9bda-c33d6e10f62d'],11,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:11.730,Pass,
,,,,,,,,,,,,,,,,1.197,,,,,,,,,,,,,b842e992-ceb6-4c63-865e-d50eae21c729,77,,,"[43.5, 29.2]",3857274,1,,,,,1.8058645,,Left Foot,,,,"[37.8, 53.0]",,Ground Pass,,24.473047,,,,Virgil van Dijk,3669.0,,,,,,1,Regular Play,Nathan Aké,3306.0,Left Center Back,5,Netherlands,941,['b0fb12df-1e70-4b24-a21a-a2140bc7809d'],16,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:16.088,Pass,
,,,,,,,,,,,,,,,,1.703845,,,,,,,,,,,,,5cfbb034-c5e0-4d46-8f74-1e8bd9406e1f,80,,,"[39.2, 52.7]",3857274,1,,,,,-1.5200784,,Right Foot,,,,"[40.2, 33.0]",,Ground Pass,,19.725365,,,,Nathan Aké,3306.0,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Center Back,5,Netherlands,941,['c9d0d5e8-caa8-47e8-aa01-6f094bd33e4c'],19,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:19.765,Pass,
,,,,,,,,,,,,,,,,1.242388,,,,,,,,,,,,,bd300026-4f09-4127-8a71-a5d7a2867cab,83,,,"[56.9, 22.0]",3857274,1,,,,,-1.5707964,,Right Foot,,,,"[56.9, 4.4]",,Ground Pass,,17.6,,,,Daley Blind,3311.0,,,,,,1,Regular Play,Nathan Aké,3306.0,Left Center Back,5,Netherlands,941,['bea10fc6-9210-4432-9eea-6b287095eec6'],26,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:26.081,Pass,
,,,,,,,,,,,,,,,,2.041866,,,,,,,,,,,,,13426908-73ad-4b61-a49f-d71f57fdc048,86,,,"[56.9, 4.4]",3857274,1,,,,,2.4301336,,Left Foot,,,,"[33.7, 24.4]",,Ground Pass,,30.630703,,,,Virgil van Dijk,3669.0,,,,,,1,Regular Play,Daley Blind,3311.0,Left Wing Back,5,Netherlands,941,['3faf3b1a-6658-4f31-afc7-2aa28f7eb998'],28,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:28.368,Pass,
,,,,,,,,,,,,,,,,2.747028,,,,,,,,,,,,,6cb620b0-4854-491d-bcec-90223d7faf8e,89,,,"[40.2, 37.9]",3857274,1,,,,,0.14461444,,Right Foot,,,,"[91.7, 45.4]",,High Pass,,52.04325,,Incomplete,,Steven Bergwijn,8259.0,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Center Back,5,Netherlands,941,"['24150fd3-60fd-4681-834b-753d1e5da4a9', 'a184db94-f651-46ae-a2ef-7c62d467c237']",33,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:33.297,Pass,
,,,,,,,,,,,,,,,,2.426675,,,,,,,,,,,,,24150fd3-60fd-4681-834b-753d1e5da4a9,91,,,"[28.4, 34.7]",3857274,1,,,,,0.7811429,,Head,,,,"[40.2, 46.4]",,High Pass,,16.617159,,Incomplete,,Gonzalo Jordy Plata Jiménez,31152.0,,,,,Interception,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,5,Netherlands,941,"['3c24e962-072c-4173-89e4-a692e61ea6cd', '5ad62d04-f116-494b-b713-6f5964644d20', '6cb620b0-4854-491d-bcec-90223d7faf8e']",36,,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:36.044,Pass,
,,,,,,,,,,,,,,,,0.42704,,,,,,,,,,,,,3c24e962-072c-4173-89e4-a692e61ea6cd,93,,,"[79.9, 33.7]",3857274,1,,,,,-1.1948354,,Right Foot,,,,"[81.4, 29.9]",,Ground Pass,,4.0853395,,,,Cody Mathès Gakpo,20750.0,,,,,Recovery,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,5,Netherlands,941,"['24150fd3-60fd-4681-834b-753d1e5da4a9', '632d3f55-c8be-4b34-83b0-d9798fa5eaa8']",38,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:38.471,Pass,
,,,,,,,,,,,,,,,,0.558307,,,,,,,,,,,,,718acddb-af5b-48d0-a4b9-2e09b466d8b7,97,,,"[78.3, 34.1]",3857274,1,,,,,0.18863922,,Right Foot,,,,"[89.3, 36.2]",,Ground Pass,,11.198661,,,,Davy Klaassen,4318.0,,,,,,1,Regular Play,Cody Mathès Gakpo,20750.0,Right Center Forward,5,Netherlands,941,"['3d05e000-fe90-497d-9e5a-ecbd84ec9de1', 'dde7d8be-7181-405b-b07b-7b1f5efb21b2']",40,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:40.767,Pass,True
,,,,,,,,,,,,,,,,0.606413,,,,,,,,,,,,,c2f50271-6fb4-4e68-90a7-3b6c932d4b11,99,,,"[89.3, 36.2]",3857274,1,,,,,-2.6044843,,Right Foot,,,,"[80.4, 30.9]",,Ground Pass,,10.358571,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Davy Klaassen,4318.0,Center Attacking Midfield,5,Netherlands,941,['1bffe90d-ab2d-42cf-bf00-45b7d25a3e7d'],41,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:41.325,Pass,
,,,,,,,,,,,,,,,,1.475067,,,,,,,,,,,,,8ec34d20-ee4a-4697-bd13-8b5903986d9b,102,,,"[81.0, 26.6]",3857274,1,,,,,-1.9936502,,Right Foot,,,,"[73.8, 10.6]",,Ground Pass,,17.54537,,,,Daley Blind,3311.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,5,Netherlands,941,['969a8a3e-d42e-4d0d-84c9-5ac5c85e368d'],45,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:45.563,Pass,
,,,,,,,,,,,,,,,,1.31582,,,,,,,,,,,,,9bed461b-d639-4a2c-8d46-68212cfad190,105,,,"[70.3, 15.1]",3857274,1,,,,,2.8890383,,Left Foot,,,,"[51.7, 19.9]",,Ground Pass,,19.209373,,,,Nathan Aké,3306.0,,,,,,1,Regular Play,Daley Blind,3311.0,Left Wing Back,5,Netherlands,941,['ace5ac49-4fb8-4f17-acc5-46c50a25d520'],48,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:48.783,Pass,
,,,,,,,,,,,,,,,,1.443391,,,,,,,,,,,,,21a78812-e719-4a3a-b3b4-167a106c837f,108,,,"[51.9, 26.6]",3857274,1,,,,,1.8285675,,Left Foot,,,,"[46.1, 48.6]",,Ground Pass,,22.751703,,,,Virgil van Dijk,3669.0,,,,,,1,Regular Play,Nathan Aké,3306.0,Left Center Back,5,Netherlands,941,['63532aa1-c56d-444d-b249-a4f4b2d151d6'],52,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:52.048,Pass,
,,,,,,,,,,,,,,,,2.374376,,,,,,,,,,,,,200b4450-3bdf-4b6c-bbd0-7fb842664ab3,111,,,"[55.4, 53.0]",3857274,1,,,,,0.9167136,,Right Foot,,,,"[76.1, 80.0]",,Ground Pass,,34.021904,,Out,,Jurriën David Norman Timber,21809.0,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Center Back,5,Netherlands,941,['b91af7d0-cff7-4542-b165-2dafa5131a43'],58,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:58.171,Pass,
,,,,,,,,,,,,,,,,0.462261,,,,,,,,,,,,,042d8703-26a7-4644-8d45-80f3f39f26b3,113,,,"[47.4, 0.1]",3857274,2,,True,,,2.2167544,,,,,,"[42.5, 6.6]",,Low Pass,,8.140024,,,,Moisés Isaac Caicedo Corozo,37726.0,,,,,Throw-in,1,From Throw In,Pervis Josué Estupiñán Tenorio,24085.0,Left Wing Back,6,Ecuador,3565,['54fb249f-62e1-4d81-bcc9-0eeef2f4a3ed'],8,,,,,,,,,,,,,,,,,,Ecuador,3565,00:02:08.708,Pass,
