50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.710116,,,,,,,,,,,,f97b258c-6120-4048-beaa-8d2f65cca1e5,18,,,"[40.8, 21.4]",3857299,0,,,,-0.49642277,,Left Foot,,,,"[74.4, 3.2]",,Low Pass,,38.212563,,,Jin-Su Kim,40538.0,,,,,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['15c46282-3394-481e-a34a-e30e01dd53bf'],11,,,,,,,,,,,,,,,,,South Korea,791,00:00:11.118,Pass,
,,,,,,,,,,,,,,,,,,0.117446,,,,,,,,,,,,10eef614-1183-4944-9782-98436a380c32,22,,,"[78.1, 3.4]",3857299,0,,,,0.6556956,,Left Foot,,,,"[79.4, 4.4]",,Low Pass,,1.6401219,Incomplete,,,,,,,,,1,From Kick Off,Jin-Su Kim,40538.0,Left Back,2,South Korea,791,"['19d6f5b6-11fc-4ebd-9875-4058949890ce', 'e09aa870-d94b-4fb3-b873-7ac104d7671f']",14,,,,,,,,,,,,,,,,,South Korea,791,00:00:14.054,Pass,True
,,,,,,,,,,,,,,,,,,2.890328,,,,,,,,,,,,21cc9c27-4324-4be2-b7d6-e922a522e08d,24,,,"[100.7, 0.1]",3857299,0,,,,0.9689622,,,,,,"[120.0, 28.2]",,High Pass,,34.08959,Out,,Gue-Sung Cho,40542.0,,,,,Throw-in,1,From Throw In,Jin-Su Kim,40538.0,Left Back,3,South Korea,791,['72e7fab3-9c80-41de-9ef1-acbf591be0aa'],36,,,,,,,,,,,,,,,,,South Korea,791,00:00:36.752,Pass,
,,,,,,,,,,,,,,,,,,1.999997,,,,,,,,,,,,b322420f-7a71-4b68-915c-9bef32f26647,26,,,"[7.0, 44.1]",3857299,0,True,,,-0.6287963,,Right Foot,,,,"[20.2, 34.5]",,Ground Pass,,16.321764,,,Salis Abdul Samed,31029.0,,,,,Goal Kick,1,From Goal Kick,Lawrence Ati-Zigi,8108.0,Goalkeeper,4,Ghana,4885,['52002bf3-5c95-44ac-b586-753af013c0dd'],57,,,,,,,,,,,,,,,,,Ghana,4885,00:00:57.105,Pass,
,,,,,,,,,,,,,,,,,,2.002355,,,,,,,,,,,,62735d65-5177-437d-8d66-74c72a1893d6,28,,,"[20.2, 35.6]",3857299,0,True,,,1.3274637,,Right Foot,,,,"[27.3, 64.2]",,Ground Pass,,29.468119,,,Daniel Amartey,3709.0,,,,,,1,From Goal Kick,Salis Abdul Samed,31029.0,Left Defensive Midfield,4,Ghana,4885,['1370666a-b85b-4747-9f26-c64fd6258cdb'],59,,,,,,,,,,,,,,,,,Ghana,4885,00:00:59.706,Pass,
,,,,,,,,,,,,,,,,,,1.097267,,,,,,,,,,,,6f804de8-65e6-42b7-b4af-a175e7dc168b,30,,,"[31.1, 60.3]",3857299,1,,,,-0.57907426,,Right Foot,,,,"[38.9, 55.2]",,Ground Pass,,9.319335,,,Thomas Teye Partey,6383.0,,,,,,1,From Goal Kick,Daniel Amartey,3709.0,Right Center Back,4,Ghana,4885,['f0f0672b-9dac-48a1-9aad-49bb8b0d2846'],3,,,,,,,,,,,,,,,,,Ghana,4885,00:01:03.854,Pass,
,,,,,,,,,,,,,,,,,,1.870611,,,,,,,,,,,,e472d565-a467-4c77-823d-aca2a35ae6cb,33,,,"[38.9, 55.2]",3857299,1,,,,1.7856998,,Right Foot,,,,"[34.6, 74.9]",,Ground Pass,,20.16383,,,Daniel Amartey,3709.0,,,,,,1,From Goal Kick,Thomas Teye Partey,6383.0,Right Defensive Midfield,4,Ghana,4885,"['b692ce69-d4d1-4eb3-b6ae-7ec41e0113f1', 'f755eb25-3ce1-4757-a990-913abf714fd7']",4,,,,,,,,,,,,,,,,,Ghana,4885,00:01:04.952,Pass,True
,,,,,,,,,,,,,,,,,,3.241287,,,,,,,,,,,,86488435-a1b7-4327-98fc-3a7b97564054,36,,,"[34.0, 74.5]",3857299,1,,,,-0.89375323,,Right Foot,,,,"[68.0, 32.2]",,High Pass,,54.270527,Unknown,,,,,True,,,,1,From Goal Kick,Daniel Amartey,3709.0,Right Center Back,4,Ghana,4885,,6,,,,,,,,,,,,,,,,,Ghana,4885,00:01:06.822,Pass,
,,,,,,,,,,,,,,,,,,1.309115,,,,,,,,,,,,b5858973-2767-4c80-b6cb-57f1084312f1,39,,,"[69.2, 28.4]",3857299,1,,,,-1.3121709,,Left Foot,,,,"[74.2, 9.5]",,Ground Pass,,19.550192,,,Gideon Mensah,23615.0,,,,,Free Kick,1,From Free Kick,André Ayew Pelé,3347.0,Center Attacking Midfield,5,Ghana,4885,['c0ad6165-e831-488f-8b24-7931eca60eb1'],18,,,,,,,,,,,,,,,,,Ghana,4885,00:01:18.870,Pass,
,,,,,,,,,,,,,,,,,,1.120907,,,,,,,,,,,,4743d49e-0629-4a4d-9327-cf35f33bd388,41,,,"[74.2, 9.5]",3857299,1,,,,2.801987,,Left Foot,,,,"[57.5, 15.4]",,Ground Pass,,17.711578,,,Mohamed Salisu,30519.0,,,,,,1,From Free Kick,Gideon Mensah,23615.0,Left Back,5,Ghana,4885,['1a46007d-26ce-4b69-a8e4-7c896040e204'],20,,,,,,,,,,,,,,,,,Ghana,4885,00:01:20.179,Pass,
