50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.308229,,,,,,,,,,,,,bf7e8a7f-af93-46ec-8d39-12e08385d431,16,,,"[56.7, 35.0]",3857288,0,,,,0.1005006,,Right Foot,,,,"[80.5, 37.4]",High Pass,,23.920702,,,Issam Jebali,16352.0,,,,,Recovery,1,Regular Play,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,"['4934dead-2763-4ff9-9da4-7b90e4413753', '9ca28c2f-7f32-4003-a594-61647c52d2b3']",8,,,,,,,,,,,,,,,,Tunisia,777,00:00:08.477,Pass,
,,,,,,,,,,,,,,,,,0.92607,,,,,,,,,,,,,e04c8f72-efdc-4a6c-bfe2-95f242ae5028,23,,,"[74.9, 35.0]",3857288,0,,,,-1.8749275,,Right Foot,,,,"[70.6, 21.3]",Ground Pass,,14.35897,,,Aïssa Bilal Laïdouni,44955.0,,,,,,1,Regular Play,Issam Jebali,16352.0,Center Forward,3,Tunisia,777,['17815f3d-7ccc-4095-98c4-22ed1651def6'],11,,,,,,,,,,,,,,,,Tunisia,777,00:00:11.990,Pass,
,,,,,,,,,,,,,,,,,0.357307,,,,,,,,,,,,,89ac7358-2be6-4561-bb46-57bbb283393d,26,,,"[75.8, 18.6]",3857288,0,,,,-0.26984915,,Right Foot,,,,"[80.5, 17.3]",Ground Pass,,4.876474,,,Youssef Msakni,23910.0,,,,,,1,Regular Play,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,3,Tunisia,777,['7850b6a1-b40d-4147-8a26-3c76c9b5c565'],14,,,,,,,,,,,,,,,,Tunisia,777,00:00:14.227,Pass,
,,,,,,,,,,,,,,,,,1.730267,,,,,,,,,,,,,88c8c430-97f3-49a8-b2b7-a12ba61cbd22,29,,,"[80.5, 16.2]",3857288,0,,,,-2.8376973,,Right Foot,,,,"[63.6, 10.9]",Ground Pass,,17.711578,,,Montassar Omar Talbi,32450.0,,,,,,1,Regular Play,Youssef Msakni,23910.0,Left Attacking Midfield,3,Tunisia,777,['d67a448e-f8eb-4219-bdbe-477792d9b2fc'],15,,,,,,,,,,,,,,,,Tunisia,777,00:00:15.504,Pass,
,,,,,,,,,,,,,,,,,1.571445,,,,,,,,,,,,,0b7758cc-1f81-4c96-ac33-b13c20024b71,32,,,"[56.7, 11.7]",3857288,0,,,,2.0452795,,Right Foot,,,,"[43.5, 37.4]",Ground Pass,,28.891695,,,Yassine Meriah,5651.0,,,,,,1,Regular Play,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,['5610043b-376a-439d-8eb2-925fe885aa41'],18,,,,,,,,,,,,,,,,Tunisia,777,00:00:18.936,Pass,
,,,,,,,,,,,,,,,,,1.549689,,,,,,,,,,,,,fa263ea1-dec3-4a23-80ce-d8a5444a317b,35,,,"[45.2, 45.9]",3857288,0,,,,-1.6242046,,Right Foot,,,,"[43.5, 14.1]",Ground Pass,,31.845407,,,Montassar Omar Talbi,32450.0,,,,,,1,Regular Play,Yassine Meriah,5651.0,Center Back,3,Tunisia,777,['3efec777-67d1-46f7-bf5a-46e8850a057f'],23,,,,,,,,,,,,,,,,Tunisia,777,00:00:23.914,Pass,
,,,,,,,,,,,,,,,,,0.934016,,,,,,,,,,,,,f6986f9a-733c-4fbc-aa2a-6e65506affba,39,,,"[45.2, 18.3]",3857288,0,,,,-0.30932882,,Right Foot,,,,"[64.6, 12.1]",Ground Pass,,20.36664,,,Youssef Msakni,23910.0,,,,,,1,Regular Play,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,"['107c97b2-82b8-4462-afa2-26b184d7a413', 'd4dad210-e31c-47d5-a93e-d15000cc7507']",28,,,,,,,,,,,,,,,,Tunisia,777,00:00:28.721,Pass,True
,,,,,,,,,,,,,,,,,0.349458,,,,,,,,,,,,,2ae6f360-6e31-49f8-9ead-109392a3ca9e,47,,,"[75.3, 8.7]",3857288,0,,,,1.1824776,,Right Foot,,,,"[76.2, 10.9]",Ground Pass,,2.376973,Incomplete,,Youssef Msakni,23910.0,,,,,Recovery,1,Regular Play,Ali Abdi,30681.0,Left Wing Back,3,Tunisia,777,"['1e0f2eba-412e-4f0b-848b-8ca2bd45abf1', '3b9d1a9c-169b-4c08-b5e6-c67cdb5699c4', '5cec81ed-fa9d-440f-9d4a-149b85630ce7', '755d7cbf-eb64-43b0-8975-72bf5e4c51c2']",33,,,,,,,,,,,,,,,,Tunisia,777,00:00:33.815,Pass,True
,,,,,,,,,,,,,,,,,2.162123,,,,,,,,,,,,,0582825e-18af-46eb-8325-5fa48230a2ee,51,,,"[70.6, 27.8]",3857288,0,,,,-0.8755486,,Left Foot,,,,"[86.7, 8.5]",High Pass,,25.133642,,,Youssef Msakni,23910.0,,,,,Recovery,1,Regular Play,Ellyes Joris Skhiri,3767.0,Right Defensive Midfield,3,Tunisia,777,['b95baaf2-3a50-4604-afd7-ac59adc6fdb6'],35,,,,,,,,,,,,,,,,Tunisia,777,00:00:35.741,Pass,
,,,,,,,,,,,,,,,,,1.551717,,,,,,,,,,,,,7c1e20db-3fc7-4412-8895-a7251bb5355f,58,,,"[25.7, 61.5]",3857288,0,,,,-0.92488754,,Left Foot,,,,"[40.7, 41.6]",High Pass,,24.920073,,,Riley McGree,33477.0,,,,,,1,Regular Play,Fran Karačić,28370.0,Right Back,3,Tunisia,777,['ceb4800b-9be4-406d-bc18-a2c3de60525c'],40,,,,,,,,,,,,,,,,Australia,792,00:00:40.576,Pass,
