50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.04081,,,,,,,,,,,,,,,9be2a383-c67a-4ae5-be42-81cc1f33d9d9,20,,,"[20.1, 4.2]",3857297,0,,,,,1.3226262,,Right Foot,,,,"[25.7, 26.3]",,Low Pass,,22.798466,,,,Mohammed Kanoo,5713.0,,,,,,1,Regular Play,Salem Mohammed Al Dawsari,5187.0,Left Wing,3,Saudi Arabia,799,['5185ac22-5f65-46ba-b843-6d65d83e5960'],13,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:13.653,Pass,
,,,,,,,,,,,,,,,,,,1.098127,,,,,,,,,,,,,,,ed6163f7-bbe2-4b56-a646-87547e70c1b4,23,,,"[28.1, 26.7]",3857297,0,,,,,0.06965458,,Right Foot,,,,"[45.3, 27.9]",,Ground Pass,,17.24181,,,,Saleh Khalid Al Shehri,51469.0,,,,,,1,Regular Play,Mohammed Kanoo,5713.0,Right Defensive Midfield,3,Saudi Arabia,799,['26e6851c-41e6-49de-b46d-eb330c7dd2c7'],16,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:16.351,Pass,
,,,,,,,,,,,,,,,,,,0.74393,,,,,,,,,,,,,,,21a08236-6f92-4986-9b68-2c009653c5da,27,,,"[74.8, 40.7]",3857297,0,,,,,-0.13927926,,Right Foot,,,,"[85.5, 39.2]",,Ground Pass,,10.804628,,,,Robert Lewandowski,5668.0,,,,,Recovery,1,Regular Play,Przemysław Frankowski,7979.0,Left Midfield,3,Saudi Arabia,799,['f510f1ff-313e-4112-9076-46d8e132f4eb'],18,,,,,,,,,,,,,,,,,Poland,789,00:00:18.812,Pass,
,,,,,,,,,,,,,,,,,,2.233977,,,,,,,,,,,,,,,eb7f574e-067a-4df2-9a8a-bfaa300be7cf,37,,,"[32.3, 57.8]",3857297,0,,,,,0.5425177,,Right Foot,,,,"[67.3, 78.9]",,Ground Pass,,40.868202,,,,Firas Tariq Nasser Al Albirakan,51099.0,,,,,,1,Regular Play,Abdulelah Al Amri,51094.0,Right Center Back,3,Saudi Arabia,799,['f71186b6-2487-4af9-aac0-358837da7ffc'],24,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:24.450,Pass,
,,,,,,,,,,,,,,,,,,4.052002,,,,,,,,,,,,,,,f17f75a1-4363-448d-94d8-f77e596bfc29,43,,,"[49.5, 80.0]",3857297,0,,True,,,-2.6653934,,,,,,"[21.0, 65.3]",,Low Pass,,32.06774,,,,Mohammed Khalil Al Owais,5714.0,,,,,Throw-in,1,From Throw In,Saud Abdullah Abdul Hamid,51710.0,Right Back,4,Saudi Arabia,799,['53fd33ce-f3f3-46ed-87c6-696c29cb5761'],37,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:37.249,Pass,
,,,,,,,,,,,,,,,,,,1.260922,,,,,,,,,,,,,,,2ccb586d-bf69-4263-bbde-bd1a39f55298,45,,,"[20.7, 62.4]",3857297,0,,,,,-1.4980085,,Right Foot,,,,"[21.4, 52.8]",,Ground Pass,,9.625487,,,,Ali Albulayhi,5715.0,,,,,,1,From Throw In,Mohammed Khalil Al Owais,5714.0,Goalkeeper,4,Saudi Arabia,799,['254964fb-1d15-4e8f-8b75-b0e74c87b040'],41,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:41.301,Pass,
,,,,,,,,,,,,,,,,,,2.73225,,,,,,,,,,,,,,,fec98203-84a6-4eea-a48d-140ef58134ac,48,,,"[21.4, 53.2]",3857297,0,,,,,-1.2338699,,Left Foot,,,,"[33.8, 17.8]",,Ground Pass,,37.508934,,,,Mohammed Al Burayk,5191.0,,,,,,1,From Throw In,Ali Albulayhi,5715.0,Left Center Back,4,Saudi Arabia,799,['933342d3-5038-404a-9cd9-95119323764c'],43,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:43.587,Pass,
,,,,,,,,,,,,,,,,,,1.006079,,,,,,,,,,,,,,,265cacdd-b7a5-450b-aa04-fd65ef3f0693,51,,,"[42.0, 4.5]",3857297,0,,,,,-0.05363977,,Right Foot,,,,"[56.9, 3.7]",,Ground Pass,,14.921461,,,,Salem Mohammed Al Dawsari,5187.0,,,,,,1,From Throw In,Mohammed Al Burayk,5191.0,Left Back,4,Saudi Arabia,799,['5856ff8d-54f9-4f74-a767-33628dcab6a2'],48,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:48.123,Pass,
,,,,,,,,,,,,,,,,,,0.901277,,,,,,,,,,,,,,,0ef72305-e39c-486a-b9fa-22f1a8701ecd,55,,,"[52.2, 3.1]",3857297,0,,,,,3.0628088,,Right Foot,,,,"[44.6, 3.7]",,Ground Pass,,7.623647,,,,Mohammed Al Burayk,5191.0,,,,,,1,From Throw In,Salem Mohammed Al Dawsari,5187.0,Left Wing,4,Saudi Arabia,799,"['a07de9d4-7eba-40dd-8e77-34ea89a7ae6e', 'b27779fc-38b1-4586-8982-ee02bf82deee']",50,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:50.195,Pass,True
,,,,,,,,,,,,,,,,,,1.329217,,,,,,,,,,,,,,,2056de22-11bd-4f29-97d6-f3a777d2a590,58,,,"[43.2, 3.5]",3857297,0,,,,,2.4641325,,Right Foot,,,,"[25.3, 17.9]",,Ground Pass,,22.973246,,,,Ali Albulayhi,5715.0,,,,,,1,From Throw In,Mohammed Al Burayk,5191.0,Left Back,4,Saudi Arabia,799,['80c9be05-fb01-45b5-8469-dffbcfb90c7d'],51,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:51.951,Pass,
