bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.254624,,,,,,,,,,e0c048c4-7d8c-42aa-b537-92551925dbe8,18,,,"[40.5, 43.6]",3869684,0,,,,0.575276,,Right Foot,,,"[53.3, 51.9]",,Ground Pass,,15.255491,,,,Luka Modrić,5463.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,3,Croatia,785,['5f074d74-d63e-4136-8ca6-f353c3c046e6'],21,,,,,,,,,,,,,,,,,Croatia,785,00:00:21.296,Pass,
,,,,,,,,,,,,,,,,,1.367597,,,,,,,,,,98b73228-0dcc-465d-85b5-4f346c72dcbc,21,,,"[52.5, 52.8]",3869684,0,,,,-2.2693057,,Left Foot,,,"[39.4, 37.2]",,Ground Pass,,20.370813,,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Defensive Midfield,3,Croatia,785,['f3585a19-3341-462d-b2de-2be25dadf828'],22,,,,,,,,,,,,,,,,,Croatia,785,00:00:22.590,Pass,
,,,,,,,,,,,,,,,,,1.554898,,,,,,,,,,83850cfc-5183-42f7-9d38-a5ca6ebbae10,24,,,"[44.8, 21.3]",3869684,0,,,,1.5707964,,Left Foot,,,"[44.8, 47.0]",,Ground Pass,,25.7,,,,Luka Modrić,5463.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,3,Croatia,785,['82083fd5-8fc2-411b-8178-062ba1f3171e'],26,,,,,,,,,,,,,,,,,Croatia,785,00:00:26.701,Pass,
,,,,,,,,,,,,,,,,,1.26957,,,,,,,,,,e580c436-7f80-43d8-ab5e-1d752e693ad3,27,,,"[54.4, 66.5]",3869684,0,,,,0.4335149,,Right Foot,,,"[77.3, 77.1]",,Ground Pass,,25.234303,,,,Josip Stanišić,49337.0,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Defensive Midfield,3,Croatia,785,['ef7480e2-2f24-49b7-b593-564cefc5ea54'],31,,,,,,,,,,,,,,,,,Croatia,785,00:00:31.720,Pass,
,,,,,,,,,,,,,,,,,0.192612,,,,,,,,,,cc6ae213-a02a-4011-94ee-20b546b91485,32,,,"[76.6, 77.1]",3869684,0,,,,-1.4677147,,Right Foot,,,"[76.9, 74.2]",,Low Pass,,2.9154758,,Incomplete,,Lovro Majer,28914.0,,,,,,1,From Throw In,Josip Stanišić,49337.0,Right Back,3,Croatia,785,"['3c5eb999-56cc-4298-875f-0adb7f52ab75', '585ef8f1-328f-4a4f-a616-4bb5d726ff77', 'faf8b07f-b00b-41c2-8140-04bc3f1c5569']",33,,,,,,,,,,,,,,,,,Croatia,785,00:00:33.792,Pass,True
,,,,,,,,,,,,,,,,,2.406423,,,,,,,,,,1fbffae5-289b-4096-8350-f8b89a24f74d,36,,,"[86.3, 76.4]",3869684,0,,,,-0.7358304,,Right Foot,,,"[106.4, 58.2]",,Ground Pass,,27.115494,,Incomplete,,Lovro Majer,28914.0,,,,,Recovery,1,From Throw In,Marko Livaja,22041.0,Center Forward,3,Croatia,785,"['431f767a-1fc6-454c-98cf-bdf5302bb4ec', '8db23028-1d92-4bfd-b913-42e6ea33b473', 'f73d781b-ecba-414b-8ef1-b506ee0a5c66']",35,,,,,,,,,,,,,,,,,Croatia,785,00:00:35.782,Pass,True
,,,,,,,,,,,,,,,,,2.265355,,,,,,,,,,7a8978fd-cc03-4a75-ad3d-a838e36ee619,39,,,"[112.1, 80.0]",3869684,1,,,,-1.743158,,,,,"[107.8, 55.3]",,High Pass,,25.071497,,Incomplete,,Marko Livaja,22041.0,,,,,Throw-in,1,From Throw In,Josip Stanišić,49337.0,Right Back,4,Croatia,785,"['3e7453ae-2f2f-4594-b601-ecca0c2ee083', 'b2570717-89e3-4066-a789-5c1b44cb2ea4']",2,,,,,,,,,,,,,,,,,Croatia,785,00:01:02.904,Pass,
,,,,,,,,,,,,,,,,,2.634419,,,,,,,,,,f3114dc8-28e5-40bb-9c75-47c63bfb77bd,43,,,"[93.2, 68.1]",3869684,1,,,,3.0427423,,Head,,,"[69.0, 70.5]",,Low Pass,,24.318718,,,,Josip Šutalo,37148.0,,,,,Recovery,1,From Throw In,Josip Stanišić,49337.0,Right Back,4,Croatia,785,['96575b91-bf8c-4b9f-9a58-234e91804c2c'],7,,,,,,,,,,,,,,,,,Croatia,785,00:01:07.533,Pass,
,,,,,,,,,,,,,,,,,2.691606,,,,,,,,,,4e47b79e-3bb3-4dcb-8c37-290cbbfd930b,46,,,"[69.0, 70.5]",3869684,1,,,,-2.229774,,Right Foot,,,"[50.8, 47.0]",,Ground Pass,,29.72356,,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Josip Šutalo,37148.0,Right Center Back,4,Croatia,785,['4238a63e-9dd6-47a6-ad1b-2f4bd1b89222'],10,,,,,,,,,,,,,,,,,Croatia,785,00:01:10.295,Pass,
,,,,,,,,,,,,,,,,,3.145713,,,,,,,,,,dc19f343-1d17-46a9-ba94-9ea09243cebc,49,,,"[53.0, 40.0]",3869684,1,,,,-0.7378151,,Left Foot,,,"[93.7, 3.0]",,High Pass,,55.004456,,,,Mislav Oršić,16527.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,4,Croatia,785,['dc35c92a-e22a-46bd-95f0-73a47578b034'],14,,,,,,,,,,,,,,,,,Croatia,785,00:01:14.532,Pass,
