50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[60.1, 4.6]",,,,,,,,,,,,,1.53831,,,,,,,,,,,403583c7-bb68-4b22-bf08-73929a302565,2605,,,"[60.9, 3.2]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Joakim Mæhle,16554.0,Left Wing Back,108,Denmark,776,"['1cbf414f-9bca-4ab6-bcc0-7deb3ecf0ae1', '58c851e3-372f-4c8e-8325-54b8fb896566', '690ce92f-6279-41a0-b717-88b454983a3b']",24,,,,,,,,,,,,,,,,,,Denmark,776,00:17:24.890,Carry,True
,,,,,,"[56.2, 12.4]",,,,,,,,,,,,,4.123109,,,,,,,,,,,cd775369-b8f1-4b2e-8640-52fdafc1d112,2609,,,"[46.2, 7.0]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Victor Nelsson,17043.0,Left Center Back,108,Denmark,776,"['4ac0cc74-e1cc-4ed1-a531-c2b9cde363af', 'eb9cf1e9-c7f4-4015-81b8-0a167226fc34']",27,,,,,,,,,,,,,,,,,,Denmark,776,00:17:27.781,Carry,
,,,,,,"[80.1, 4.0]",,,,,,,,,,,,,2.334067,,,,,,,,,,,aada2fa5-72f7-47c4-a038-0e887cf30235,2612,,,"[79.9, 3.2]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Joakim Mæhle,16554.0,Left Wing Back,108,Denmark,776,"['74ee8bd8-15c4-443c-94b6-8087295fa020', '821c8890-2a8a-494e-813c-99cf214ed293', 'f2f28d21-a236-48b5-b1a9-6609ee4bf22a']",33,,,,,,,,,,,,,,,,,,Denmark,776,00:17:33.378,Carry,True
,,,,,,"[58.0, 4.9]",,,,,,,,,,,,,1.363709,,,,,,,,,,,1e0e9587-0b1c-46b1-9fb2-a9757110863c,2616,,,"[64.6, 4.4]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Mikkel Damsgaard,24443.0,Left Wing,108,Denmark,776,"['1b943d72-0a28-4d41-a1ac-0a66b992cca7', '8c4c963f-f9c8-4a47-9e76-a15708935267']",36,,,,,,,,,,,,,,,,,,Denmark,776,00:17:36.681,Carry,
,,,,,,"[49.5, 31.0]",,,,,,,,,,,,,2.138717,,,,,,,,,,,ba92efbe-a00a-4de8-b92b-b400348cabbe,2619,,,"[49.3, 31.4]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Andreas Christensen,3959.0,Center Back,108,Denmark,776,"['3b756981-2737-49ee-a86f-24a19a5ec058', '3e7b682c-4bd7-46cc-a89c-207d4554e6bd']",39,,,,,,,,,,,,,,,,,,Denmark,776,00:17:39.405,Carry,
,,,,,,"[74.9, 9.6]",,,,,,,,,,,,,4.904172,,,,,,,,,,,ccff4cb5-aaf6-4c4c-a8dd-78511b51e470,2622,,,"[56.9, 17.9]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Mikkel Damsgaard,24443.0,Left Wing,108,Denmark,776,"['195164ab-c573-4113-95a6-ef9f9c663b17', '914cfddb-1b16-4035-8fee-79962ed89125', 'f8d526db-a702-4d08-b6a6-4a921abeb1ef']",42,,,,,,,,,,,,,,,,,,Denmark,776,00:17:42.769,Carry,True
,,,,,,"[36.9, 78.8]",,,,,,,,,,,,,0.489242,,,,,,,,,,,bd3fc4e0-b4d9-47de-aac2-7e951f8bb234,2631,,,"[34.8, 78.5]",3857266,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jules Koundé,4445.0,Right Back,109,France,771,"['5bbdbd29-e930-49a6-8101-e99e725e9832', 'd6de183d-9886-4ea6-99e6-212bee3e4171', 'f7cfe64f-2832-492b-9d12-6d47b283ad42']",56,,,,,,,,,,,,,,,,,,France,771,00:17:56.963,Carry,True
,,,,,,"[35.8, 77.9]",,,,,,,,,,,,,0.118814,,,,,,,,,,,aab9edfc-22ae-4635-a75d-ee912b6e3e22,2636,,,"[35.8, 77.9]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,110,France,771,"['63adfff5-0141-40f8-ad60-42b0ae5dee0d', 'cdc45d4a-8fc7-418d-a495-db2d8b281a67']",10,,,,,,,,,,,,,,,,,,France,771,00:18:10.045,Carry,
,,,,,,"[42.0, 17.0]",,,,,,,,,,,,,2.050706,,,,,,,,,,,a04dbabd-6284-46ad-b1e3-71bf8fd7d257,2639,,,"[37.0, 21.8]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Theo Bernard François Hernández,6704.0,Left Back,110,France,771,"['691cb937-e3e5-4e9a-a1aa-fc7f9441fc97', 'dddb2ab8-9106-448f-a177-d29851b74900']",13,,,,,,,,,,,,,,,,,,France,771,00:18:13.066,Carry,
,,,,,,"[57.2, 20.7]",,,,,,,,,,,,,1.286015,,,,,,,,,,,5fab398e-4e20-4b95-b741-c245ba895d43,2642,,,"[56.9, 11.4]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,110,France,771,"['0fd1520e-24d9-4015-917c-8fe369888a38', '556b0197-1059-44d8-a5da-dbb0bd6ab2aa', 'c0627c74-770a-47c5-b176-8b47e638e89a']",16,,,,,,,,,,,,,,,,,,France,771,00:18:16.306,Carry,True
