ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.060282,,,,,,,,,,,,,,7ffd0a47-904f-4f75-9ef5-24749d263223,16,,"[58.5, 75.3]",3857267,0,,,,,-2.7430701,,Right Foot,,,"[47.1, 70.5]",Ground Pass,,12.369317,,,,Felix Eduardo Torres Caicedo,30111.0,,,,,,1,From Kick Off,Angelo Smit Preciado Quiñónez,37737.0,Right Back,2,Ecuador,3565,['7b621b3f-cc28-4a7a-bf97-cf94427122a7'],12,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:12.435,Pass,
,,,,,,,,,,,,,,,,,2.623382,,,,,,,,,,,,,,61fb36f8-c090-4be8-b212-fac7500aa44a,19,,"[45.6, 67.4]",3857267,0,,,,,-1.8265541,,Right Foot,,,"[38.2, 39.1]",Ground Pass,,29.251495,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,From Kick Off,Felix Eduardo Torres Caicedo,30111.0,Right Center Back,2,Ecuador,3565,['d47adac6-6088-4376-96f0-325cd5dc2b2b'],14,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:14.259,Pass,
,,,,,,,,,,,,,,,,,1.633994,,,,,,,,,,,,,,98f2e0a9-511e-48c8-80a6-00ad5fe181d1,22,,"[40.7, 33.3]",3857267,0,,,,,-0.81814176,,Left Foot,,,"[65.8, 6.5]",Ground Pass,,36.718525,,,,Pervis Josué Estupiñán Tenorio,24085.0,,,,,,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Center Back,2,Ecuador,3565,['6941d90e-7f80-4cbe-9783-1d13ed5453d7'],18,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:18.122,Pass,
,,,,,,,,,,,,,,,,,1.413882,,,,,,,,,,,,,,9ef7a2c8-ba6d-4f50-a067-58cafffbd05b,30,,"[52.4, 10.0]",3857267,0,,,,,2.9039042,,Right Foot,,,"[33.0, 14.7]",Ground Pass,,19.961212,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,From Kick Off,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,2,Ecuador,3565,['133315bb-abff-4f2a-9f50-64c4cc2171ee'],24,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:24.586,Pass,
,,,,,,,,,,,,,,,,,2.439998,,,,,,,,,,,,,,77a46855-38bc-44a3-8ce1-cc8fb155d1fa,33,,"[30.1, 16.8]",3857267,0,,,,,2.4172432,,Left Foot,,,"[8.4, 36.0]",Ground Pass,,28.974644,,,,Hernán Ismael Galíndez,37522.0,,,,,,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Center Back,2,Ecuador,3565,['c5a7fab5-ceb5-4fba-a08d-2e5736307188'],27,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:27.142,Pass,
,,,,,,,,,,,,,,,,,3.819804,,,,,,,,,,,,,,5d2dc122-23af-4751-bd5d-eb628f792e9c,36,,"[8.4, 38.0]",3857267,0,,,,,-0.09156712,,Right Foot,,,"[87.9, 30.7]",High Pass,,79.83446,,Incomplete,,Michael Steveen Estrada Martínez,34396.0,,,,,,1,From Kick Off,Hernán Ismael Galíndez,37522.0,Goalkeeper,2,Ecuador,3565,"['4b1f703d-0f92-48d0-bd0d-18aca8ecbdb3', '95217ebb-d0f2-4bd5-a0b2-834be54a1237']",32,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:32.317,Pass,
,,,,,,,,,,,,,,,,,1.518123,,,,,,,,,,,,,,95217ebb-d0f2-4bd5-a0b2-834be54a1237,38,,"[32.2, 49.4]",3857267,0,,,,,-0.69192135,,Head,,,"[42.7, 40.7]",High Pass,,13.635982,,,,Pathé Ismaël Ciss,31751.0,,,,,Recovery,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Ecuador,3565,"['5d2dc122-23af-4751-bd5d-eb628f792e9c', '63e96ab2-037f-4bae-9d41-db4318f382e1']",36,,,,,,,,,,,,,,,,,Senegal,787,00:00:36.136,Pass,
,,,,,,,,,,,,,,,,,0.977365,,,,,,,,,,,,,,fb6b690e-6730-4318-9070-121ec2365fbc,48,,"[38.6, 43.1]",3857267,0,,,,,-1.9032227,,Right Foot,,,"[35.7, 34.7]",Ground Pass,,8.886507,,Incomplete,,Pape Gueye,21026.0,,,,,Recovery,1,Regular Play,Idrissa Gana Gueye,3436.0,Center Attacking Midfield,3,Senegal,787,"['705ed5db-df24-4a34-a401-65bf6bc82d89', '9d4e1937-47c9-4a3e-bd31-e4ff91d010e8']",42,,,,,,,,,,,,,,,,,Senegal,787,00:00:42.504,Pass,
,,,,,,,,,,,,,,,,,1.257431,,,,,,,,,,,,,,9d4e1937-47c9-4a3e-bd31-e4ff91d010e8,51,,"[84.4, 45.4]",3857267,0,,,,,-2.4087775,,Left Foot,,,"[79.4, 40.9]",Ground Pass,,6.726812,,Incomplete,,Moisés Isaac Caicedo Corozo,37726.0,,,,,Recovery,1,Regular Play,Alan Steven Franco Palma,37945.0,Right Center Midfield,3,Senegal,787,"['27292dd1-0d7f-43b3-abbd-5736010fbc5a', '5674e1a9-44c9-4d80-aa2a-b273742aef43', '5da868e5-8e84-4cbe-8856-90f092d825ec', 'fb6b690e-6730-4318-9070-121ec2365fbc']",43,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:43.481,Pass,True
,,,,,,,,,,,,,,,,,3.121585,,,,,,,,,,,,,,5674e1a9-44c9-4d80-aa2a-b273742aef43,53,,"[40.7, 39.2]",3857267,0,,,,,-1.8941677,,Right Foot,,,"[28.3, 2.2]",Low Pass,,39.022556,,,,Ismail Jakobs,32915.0,,,,,Recovery,1,Regular Play,Idrissa Gana Gueye,3436.0,Center Attacking Midfield,3,Senegal,787,"['9d4e1937-47c9-4a3e-bd31-e4ff91d010e8', 'ff27f284-bb3d-420e-81fe-9fcf892048e8']",44,,,,,,,,,,,,,,,,,Senegal,787,00:00:44.738,Pass,
,,,,,,,,,,,,,,,,,1.410592,,,,,,,,,,,,,,99c91d0f-6d1f-4386-adb2-057f797e9a05,56,,"[32.3, 1.4]",3857267,0,,,,,0.034708276,,Left Foot,,,"[46.7, 1.9]",Ground Pass,,14.408678,,,,Pape Gueye,21026.0,,,,,,1,Regular Play,Ismail Jakobs,32915.0,Left Back,3,Senegal,787,['9ece9d29-a83f-4d51-a916-620c4137dfd4'],50,,,,,,,,,,,,,,,,,Senegal,787,00:00:50.455,Pass,
,,,,,,,,,,,,,,,,,1.25972,,,,,,,,,,,,,,c4641db8-bf87-41be-a6bc-a96ac63c6e22,60,,"[47.8, 1.9]",3857267,0,,,,,0.034950797,,Left Foot,,,"[62.1, 2.4]",Ground Pass,,14.308739,,,,Ismaïla Sarr,2941.0,,,,,,1,Regular Play,Pape Gueye,21026.0,Left Defensive Midfield,3,Senegal,787,"['4d88d5bc-8b26-49db-94ff-77dcee5aa851', '75cdf1f7-80b6-435e-9e47-aa4a5b51bf84']",52,,,,,,,,,,,,,,,,,Senegal,787,00:00:52.620,Pass,True
