50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,79f98851-f3d8-49d2-8efd-622c0434a9ae,273,,,"[50.1, 43.2]",3869552,6,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Right Defensive Midfield,7,Morocco,788,['90e0e852-1483-4196-ab93-05b47f48cf3e'],18,,,,,,,,,,,,,,,,,,Morocco,788,00:06:18.901,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c5fb45da-9961-40e0-8ce3-c5a0c19b766b,278,,,"[70.0, 38.9]",3869552,6,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,7,Morocco,788,"['2a2b0c77-dfa9-47e7-a54a-0d7488af2d2f', '72b9327f-4d1b-496c-8e9a-0e1d039ce64d', 'b0f7f79b-9cff-493d-a1ca-e3cb7936edd3']",19,,,,,,,,,,,,,,,,,,France,771,00:06:19.872,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c3fe5966-97dc-430f-8ced-25322889c991,318,,,"[51.5, 66.0]",3869552,7,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing,7,Morocco,788,"['83e19487-3930-4143-a168-d6b47c87345b', '8f0f7260-92ca-421b-9cf1-f65da1bd98f0']",0,,,,,,,,,,,,,,,,,,France,771,00:07:00.655,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e4a2b689-3e6a-4a67-8406-c657a7171f8a,495,,,"[54.7, 8.7]",3869552,10,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Noussair Mazraoui,15890.0,Left Wing Back,15,France,771,"['5f2187ea-30c9-4dd0-9fcc-0d63269f3524', '60e9069d-580a-4faf-9416-8f6c16915d30']",38,,,,,,,,,,,,,,,,,,Morocco,788,00:10:38.433,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77927d8f-be85-49dc-a936-70ee753708c2,1177,,,"[70.1, 5.0]",3869552,29,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,41,Morocco,788,"['57a0241e-829e-451a-ace7-1439a1c4df3b', '758d2da1-4fec-4e49-ae86-e29f7158f4bc']",47,,,,,,,,,,,,,,,,,,France,771,00:29:47.587,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b143184-e8ba-4a6f-a59c-d534c7428649,2001,,,"[40.4, 76.3]",3869552,50,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Achraf Dari,139016.0,Right Center Back,83,Morocco,788,"['41c48843-ab39-40e9-8484-9eac99036383', 'a3f662c2-51fa-4063-807b-1c289458891d']",32,,,,,,,,,,,,,,,,,,Morocco,788,00:05:32.928,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,95700e52-0d3c-48dc-9a5e-53428197325a,2392,,,"[26.4, 14.7]",3869552,61,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Selim Amallah,23774.0,Left Center Midfield,97,France,771,"['0148a948-279b-4ec9-a1ed-a781b567193f', '41baf4b1-baef-4c21-ae0a-675539e09688']",7,,,,,,,,,,,,,,,,,,Morocco,788,00:16:07.310,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,10f9f6fb-35ab-42d5-bd71-98c2c22071b4,2402,,,"[67.5, 69.6]",3869552,61,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jules Koundé,4445.0,Right Back,98,Morocco,788,"['bdff2a72-fc1a-48e3-932d-c9c48d6fc705', 'c09a1e6b-cb10-4f44-b9e7-179ac2bd46ec']",14,,,,,,,,,,,,,,,,,,France,771,00:16:14.029,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4b8161d3-3984-4c17-9d70-806b1af9f428,2568,,,"[16.1, 68.1]",3869552,65,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Achraf Hakimi Mouh,5245.0,Right Back,103,France,771,"['0a8c86dd-8891-4eaf-b85b-105229c0d07b', '90c1dcd2-f1f1-4e87-a482-6f07d16d5126']",17,,,,,,,,,,,,,,,,,,Morocco,788,00:20:17.312,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b3325ae6-d56b-4440-98c6-a7ee3a4cc844,2571,,,"[16.1, 67.7]",3869552,65,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Hakim Ziyech,5237.0,Right Wing,103,France,771,"['0a8c86dd-8891-4eaf-b85b-105229c0d07b', '3b135fb2-e4e8-483e-9592-20605d043197']",17,,,,,,,,,,,,,,,,,,Morocco,788,00:20:17.987,Dribbled Past,
