ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.587353,,,,,,,,,,,,,,,,37537025-39c7-43f5-accc-13434a58924b,4274,,"[68.0, 37.9]",3857291,94,,,,,-1.1035516,,Right Foot,,,,"[73.6, 26.8]",,Ground Pass,12.432618,,,,Carlos Soler Barragán,6583.0,,,,,,2,Regular Play,Jorge Resurrección Merodio,5199.0,Center Defensive Midfield,140,Spain,772,['9a25c16c-6e0a-44bb-b84d-33d17baf1d28'],41,,,,,,,,,,,,,,,,Spain,772,00:49:41.538,Pass,
,,,,,,,,,,,,,,,,,1.264274,,,,,,,,,,,,,,,,f6c42b75-8dbf-464f-b2b8-3da0eb2f458b,4277,,"[74.1, 26.8]",3857291,94,,,,,-1.0241572,,Right Foot,,,,"[87.0, 5.6]",,Low Pass,24.816326,,,,Alejandro Balde Martínez,39161.0,,,,,,2,Regular Play,Carlos Soler Barragán,6583.0,Left Center Midfield,140,Spain,772,['0e562cb3-da61-44da-b28a-4751ef9c99b0'],42,,,,,,,,,,,,,,,,Spain,772,00:49:42.788,Pass,
,,,,,,,,,,,,,,,,,1.377192,,,,,,,,,,,,,,,,a43bd5f7-6412-407a-a16a-9c517d29e63c,4280,,"[86.9, 5.8]",3857291,94,,,,,2.8557053,,Left Foot,,,,"[53.9, 15.5]",,Ground Pass,34.396076,,,,Aymeric Laporte,4353.0,,,,,,2,Regular Play,Alejandro Balde Martínez,39161.0,Left Back,140,Spain,772,['28d2903a-2f67-4736-8f02-d613e1835f4d'],47,,,,,,,,,,,,,,,,Spain,772,00:49:47.078,Pass,
,,,,,,,,,,,,,,,,,1.566723,,,,,,,,,,,,,,,,16275652-a749-4e3c-b030-15f4822a6df3,4283,,"[53.9, 15.5]",3857291,94,,,,,1.395895,,Left Foot,,,,"[58.3, 40.4]",,Ground Pass,25.285767,,,,Rodrigo Hernández Cascante,6765.0,,,,,,2,Regular Play,Aymeric Laporte,4353.0,Left Center Back,140,Spain,772,['1964a2e7-4c96-4d89-a3b9-ba571361510a'],51,,,,,,,,,,,,,,,,Spain,772,00:49:51.024,Pass,
,,,,,,,,,,,,,,,,,0.981418,,,,,,,,,,,,,,,,9629c680-a237-4dcf-b367-dc610b6ec87b,4286,,"[56.7, 40.2]",3857291,94,,,,,0.6347622,,Right Foot,,,,"[69.6, 49.7]",,Ground Pass,16.02061,,,,Pablo Martín Páez Gavira,133353.0,,,,,,2,Regular Play,Rodrigo Hernández Cascante,6765.0,Right Center Back,140,Spain,772,['066ea51a-cac8-4dd9-9152-fb946d156236'],54,,,,,,,,,,,,,,,,Spain,772,00:49:54.036,Pass,
,,,,,,,,,,,,,,,,,1.000179,,,,,,,,,,,,,,,,7eac2cb8-461b-46e4-9c09-844a0ab35607,4288,,"[69.6, 49.7]",3857291,94,,,,,-2.6117437,,Right Foot,,,,"[55.6, 41.5]",,Ground Pass,16.224672,,,,Rodrigo Hernández Cascante,6765.0,,,,,,2,Regular Play,Pablo Martín Páez Gavira,133353.0,Right Center Midfield,140,Spain,772,['ecf4e869-e558-483f-bdc0-96991adf874d'],55,,,,,,,,,,,,,,,,Spain,772,00:49:55.017,Pass,
,,,,,,,,,,,,,,,,,0.857153,,,,,,,,,,,,,,,,db71f1e5-502a-450d-970f-0b9e4515fbcc,4291,,"[55.6, 41.5]",3857291,94,,,,,-0.9750897,,Right Foot,,,,"[65.7, 26.6]",,Ground Pass,18.000555,,,,Daniel Olmo Carvajal,16532.0,,,,,,2,Regular Play,Rodrigo Hernández Cascante,6765.0,Right Center Back,140,Spain,772,['80a9acea-380e-4fd8-8f72-c04c1a234422'],56,,,,,,,,,,,,,,,,Spain,772,00:49:56.772,Pass,
,,,,,,,,,,,,,,,,,1.275975,,,,,,,,,,,,,,,,826a66fa-eacd-495a-bb51-006bf81d9da4,4294,,"[67.1, 22.1]",3857291,94,,,,,-0.76805884,,Right Foot,,,,"[84.7, 5.1]",,Ground Pass,24.469572,,,,Carlos Soler Barragán,6583.0,,,,,,2,Regular Play,Daniel Olmo Carvajal,16532.0,Left Wing,140,Spain,772,['11b4b41b-fb52-424c-b28b-85f180d41ccb'],58,,,,,,,,,,,,,,,,Spain,772,00:49:58.962,Pass,
,,,,,,,,,,,,,,,,,0.591429,,,,,,,,,,,,,,,,216a701c-210e-481f-a050-168d988e069e,4297,,"[99.1, 16.9]",3857291,95,,,,,-1.0648459,,Right Foot,,,,"[103.2, 9.5]",,Ground Pass,8.459906,,,,Alejandro Balde Martínez,39161.0,,,,,,2,Regular Play,Carlos Soler Barragán,6583.0,Left Center Midfield,140,Spain,772,['702a58b2-db99-4e63-91a6-fab28a8f1acf'],3,,,,,,,,,,,,,,,,Spain,772,00:50:03.130,Pass,
,,,,,,,,,,,,,,,,,1.260349,,,,,,,,,,,,,,,,75307668-440b-4d2d-8cf6-0deedd928d80,4300,,"[102.3, 9.2]",3857291,95,,,,,2.9045253,,Left Foot,,,,"[87.4, 12.8]",,Ground Pass,15.328732,,,,Daniel Olmo Carvajal,16532.0,,,,,,2,Regular Play,Alejandro Balde Martínez,39161.0,Left Back,140,Spain,772,['15369fb3-c337-4c13-9575-121699597e68'],4,,,,,,,,,,,,,,,,Spain,772,00:50:04.574,Pass,
