50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.37899,,,,,,,,,,,,,f0036fc9-3a60-4f14-aa27-f9ceffd1c98c,18,,,"[45.5, 42.8]",3869519,0,,,,,1.3963754,,Right Foot,,,,"[49.5, 65.5]",,Ground Pass,,23.049728,,,,,Josip Juranović,29163.0,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Croatia,785,['abeb5a4f-4103-469d-9b49-fdd58fb013ec'],11,,,,,,,,,,,,,,,,,Croatia,785,00:00:11.642,Pass,
,,,,,,,,,,,,,,,,,1.104454,,,,,,,,,,,,,8dca0306-758d-451b-a046-0b18eb30e9a7,21,,,"[49.0, 65.8]",3869519,0,,,,,-2.0971887,,Right Foot,,,,"[40.4, 51.0]",,Ground Pass,,17.117243,,,,,Dejan Lovren,3471.0,,,,,,1,From Kick Off,Josip Juranović,29163.0,Right Back,2,Croatia,785,['c5b0df45-2a3c-4518-8f45-f2f3c35c9bd7'],14,,,,,,,,,,,,,,,,,Croatia,785,00:00:14.742,Pass,
,,,,,,,,,,,,,,,,,2.205657,,,,,,,,,,,,,8ce55137-b675-4a4e-8468-a5b5c10f5415,24,,,"[41.0, 50.1]",3869519,0,,,,,-1.3287833,,Right Foot,,,,"[50.8, 10.4]",,Ground Pass,,40.891685,,,,,Borna Sosa,12625.0,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Croatia,785,['c186b9ff-1cab-48e1-b802-42112cfad7c8'],17,,,,,,,,,,,,,,,,,Croatia,785,00:00:17.011,Pass,
,,,,,,,,,,,,,,,,,1.062619,,,,,,,,,,,,,9aac8a5b-7a66-45a6-97ea-0ef3e2df51a0,28,,,"[51.4, 9.8]",3869519,0,,,,,2.7385736,,Left Foot,,,,"[38.5, 15.3]",,Ground Pass,,14.023552,,,,,Joško Gvardiol,33018.0,,,,,,1,From Kick Off,Borna Sosa,12625.0,Left Back,2,Croatia,785,"['99e0795b-61d6-4d15-8981-7fde75ed7883', 'fa2ae1ab-a2c6-46d3-8836-d6774bbc2701']",20,,,,,,,,,,,,,,,,,Croatia,785,00:00:20.966,Pass,True
,,,,,,,,,,,,,,,,,1.730393,,,,,,,,,,,,,cdf328ca-b795-4b0b-b968-9321ab282344,31,,,"[36.2, 15.8]",3869519,0,,,,,2.504975,,Right Foot,,,,"[10.5, 34.8]",,Ground Pass,,31.960756,,,,,Dominik Livaković,16531.0,,,,,,1,From Kick Off,Joško Gvardiol,33018.0,Left Center Back,2,Croatia,785,['8d952f79-bedf-4e07-b1eb-aee720c642f9'],23,,,,,,,,,,,,,,,,,Croatia,785,00:00:23.015,Pass,
,,,,,,,,,,,,,,,,,2.303256,,,,,,,,,,,,,dc638b1d-0b33-40b9-b056-e96fcefb06ca,34,,,"[12.8, 43.2]",3869519,0,,,,,0.90937907,,Left Foot,,,,"[27.2, 61.7]",,Ground Pass,,23.443762,,,,,Dejan Lovren,3471.0,,,,,,1,From Kick Off,Dominik Livaković,16531.0,Goalkeeper,2,Croatia,785,['3cd81685-dec5-4be9-ad27-8f2be42fc303'],26,,,,,,,,,,,,,,,,,Croatia,785,00:00:26.950,Pass,
,,,,,,,,,,,,,,,,,2.669608,,,,,,,,,,,,,b5a4e3e4-3d37-41a9-9603-e4f58ad26109,37,,,"[35.9, 62.3]",3869519,0,,,,,-1.5122621,,Right Foot,,,,"[39.0, 9.4]",,High Pass,,52.990753,,,,,Borna Sosa,12625.0,,True,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Croatia,785,['b500b671-c8c5-41fd-a1aa-40722b9db466'],33,,,,,,,,,,,,,,,,,Croatia,785,00:00:33.063,Pass,
,,,,,,,,,,,,,,,,,1.087445,,,,,,,,,,,,,547e9483-00b6-47b8-9117-829cb33fda85,40,,,"[32.4, 8.1]",3869519,0,,,,,2.8215284,,Left Foot,,,,"[14.6, 14.0]",,Ground Pass,,18.752333,,,,,Joško Gvardiol,33018.0,,,,,,1,From Kick Off,Borna Sosa,12625.0,Left Back,2,Croatia,785,['cb0ba6c5-2476-4386-96f0-2475210ad64d'],37,,,,,,,,,,,,,,,,,Croatia,785,00:00:37.755,Pass,
,,,,,,,,,,,,,,,,,2.480451,,,,,,,,,,,,,d46c6650-4adc-4b17-8fd3-8fe816744103,44,,,"[9.5, 14.3]",3869519,0,,,,,1.5707964,,Left Foot,,,,"[9.5, 46.0]",,Ground Pass,,31.7,,,,,Dominik Livaković,16531.0,,,,,,1,From Kick Off,Joško Gvardiol,33018.0,Left Center Back,2,Croatia,785,['0b830114-1843-4368-a0a3-8000bd702a24'],47,,,,,,,,,,,,,,,,,Croatia,785,00:00:47.843,Pass,
,,,,,,,,,,,,,,,,,1.381182,,,,,,,,,,,,,2f2cc591-e303-4018-8539-7f71f6527b90,47,,,"[8.3, 50.9]",3869519,0,,,,,0.8630858,,Right Foot,,,,"[16.0, 59.9]",,Ground Pass,,11.844408,,,,,Dejan Lovren,3471.0,,,,,,1,From Kick Off,Dominik Livaković,16531.0,Goalkeeper,2,Croatia,785,['bc159d05-30f3-42b6-95ea-e013715b9cf1'],50,,,,,,,,,,,,,,,,,Croatia,785,00:00:50.557,Pass,
