bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.179572,,,,,,,,,,,,,,a274d500-5d54-40f2-bee1-274216eafda0,17,,,"[64.5, 10.2]",3857270,0,,,,,1.19029,,Right Foot,,,,"[65.9, 13.7]",,Ground Pass,3.7696154,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,Regular Play,João Félix Sequeira,12041.0,Left Center Forward,3,Portugal,780,['69568e72-d608-4984-8fa8-7ff00b21cbb7'],14,,,,,,,,,,,,,,,,,,Portugal,780,00:00:14.278,Pass,
,,,,,,,,,,,,,,,,0.411697,,,,,,,,,,,,,,97faf4af-d335-437c-9c35-d90367908aeb,21,,,"[65.3, 13.5]",3857270,0,,,,,-2.5269296,,Right Foot,,,,"[61.9, 11.1]",,Ground Pass,4.1617303,,,,João Félix Sequeira,12041.0,,,,,,,1,Regular Play,Cristiano Ronaldo dos Santos Aveiro,5207.0,Right Center Forward,3,Portugal,780,['dcdcaf7c-7b66-4b89-8efa-7aa558040eb7'],15,,,,,,,,,,,,,,,,,,Portugal,780,00:00:15.457,Pass,
,,,,,,,,,,,,,,,,0.720784,,,,,,,,,,,,,,1de56f27-a5ac-4200-b29e-6d134c4ade22,27,,,"[65.3, 21.4]",3857270,0,,,,,0.24497867,,Right Foot,,,,"[75.3, 23.9]",,Ground Pass,10.307764,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,Free Kick,1,From Free Kick,William Silva de Carvalho,5214.0,Left Center Midfield,4,Portugal,780,['067f9cf1-3064-4e49-a642-080c5a60071a'],30,,,,,,,,,,,,,,,,,,Portugal,780,00:00:30.326,Pass,
,,,,,,,,,,,,,,,,0.743745,,,,,,,,,,,,,,3714899a-eadf-4559-ac63-b4a67f0f1b06,29,,,"[75.3, 23.9]",3857270,0,,,,,3.070285,,Right Foot,,,,"[66.9, 24.5]",,Ground Pass,8.421401,,,,William Silva de Carvalho,5214.0,,,,,,,1,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Right Center Forward,4,Portugal,780,['ddb3f67f-25fb-43b5-bb3c-a6227c3c9af8'],31,,,,,,,,,,,,,,,,,,Portugal,780,00:00:31.047,Pass,
,,,,,,,,,,,,,,,,1.908487,,,,,,,,,,,,,,22cc5c36-33eb-4a87-a856-09904c9b25b5,31,,,"[66.6, 24.4]",3857270,0,,,,,-2.1130407,,Right Foot,,,,"[56.9, 8.3]",,Ground Pass,18.796276,,,,Nuno Mendes,41092.0,,,,,,,1,From Free Kick,William Silva de Carvalho,5214.0,Left Center Midfield,4,Portugal,780,['03ef58d0-d42b-4c04-97a5-9b7b97d0a44c'],31,,,,,,,,,,,,,,,,,,Portugal,780,00:00:31.791,Pass,
,,,,,,,,,,,,,,,,0.997557,,,,,,,,,,,,,,2daccf6f-35e7-4889-94d8-21ea4ed3c8d1,34,,,"[56.7, 8.3]",3857270,0,,,,,2.366295,,Right Foot,,,,"[41.7, 23.0]",,Ground Pass,21.002142,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,,1,From Free Kick,Nuno Mendes,41092.0,Left Back,4,Portugal,780,['b8429b4b-8309-4a64-8eeb-1f6dd5c203f6'],34,,,,,,,,,,,,,,,,,,Portugal,780,00:00:34.090,Pass,
,,,,,,,,,,,,,,,,2.661046,,,,,,,,,,,,,,a7fb096a-0546-4f53-81ab-574982eb5a96,37,,,"[37.7, 23.6]",3857270,0,,,,,2.3541744,,Right Foot,,,,"[13.0, 48.4]",,Ground Pass,35.001858,,,,Diogo Meireles Costa,32975.0,,,,,,,1,From Free Kick,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,4,Portugal,780,['b1bc2b2e-e204-499f-8695-f795551cf546'],36,,,,,,,,,,,,,,,,,,Portugal,780,00:00:36.889,Pass,
,,,,,,,,,,,,,,,,1.595508,,,,,,,,,,,,,,ea4482c8-409a-4f2a-9d7c-06e460657a57,40,,,"[13.0, 48.4]",3857270,0,,,,,1.4988487,,Left Foot,,,,"[14.6, 70.6]",,Ground Pass,22.257584,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Free Kick,Diogo Meireles Costa,32975.0,Goalkeeper,4,Portugal,780,['4fe9bd31-93b4-4a47-a3ca-a7105c230e60'],42,,,,,,,,,,,,,,,,,,Portugal,780,00:00:42.742,Pass,
,,,,,,,,,,,,,,,,0.74785,,,,,,,,,,,,,,e85166ce-8173-4bbf-bcb4-77c72a57cc03,43,,,"[14.7, 70.6]",3857270,0,,,,,0.6337927,,Right Foot,,,,"[23.0, 76.7]",,Ground Pass,10.300486,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,4,Portugal,780,['fe1acf35-914a-4c2f-8c2a-8f608ccb0c20'],48,,,,,,,,,,,,,,,,,,Portugal,780,00:00:48.282,Pass,
,,,,,,,,,,,,,,,,0.99608,,,,,,,,,,,,,,63feaa18-d91f-42c0-a2c8-0f7782fa923c,46,,,"[23.0, 76.7]",3857270,0,,,,,-2.5222197,,Left Foot,,,,"[12.2, 69.0]",,Ground Pass,13.263861,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Free Kick,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Midfield,4,Portugal,780,['6dc6326f-50ff-47a5-a87d-eef53b1236b2'],49,,,,,,,,,,,,,,,,,,Portugal,780,00:00:49.074,Pass,
