50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.118703,,,,,,,,,,,,,95f3c489-12c6-4898-a8f7-90e3d01fe6d7,17,,,"[36.9, 64.8]",3869253,0,,,,-1.1364291,,Right Foot,,,"[45.9, 45.4]",,Ground Pass,,21.385977,,,,In-Beom Hwang,23763.0,,,,,,1,From Kick Off,Min Jae Kim,43565.0,Right Center Back,2,South Korea,791,['679fa0c2-54c8-4ae5-9823-6d04e6d94c06'],15,,,,,,,,,,,,,,,,,South Korea,791,00:00:15.740,Pass,
,,,,,,,,,,,,,,,,,,1.374363,,,,,,,,,,,,,76d20484-483e-4645-8229-d147422b3555,20,,,"[46.9, 47.7]",3869253,0,,,,2.1623409,,Right Foot,,,"[33.8, 67.2]",,High Pass,,23.491701,,,,Min Jae Kim,43565.0,,,,,,1,From Kick Off,In-Beom Hwang,23763.0,Left Defensive Midfield,2,South Korea,791,['64414e96-b09a-4609-a319-7bf7cd7a1142'],16,,,,,,,,,,,,,,,,,South Korea,791,00:00:16.919,Pass,
,,,,,,,,,,,,,,,,,,1.419414,,,,,,,,,,,,,0b77ac44-bddd-44ae-933a-b2c8676d98be,24,,,"[33.8, 70.8]",3869253,0,,,,-0.1955141,,Right Foot,,,"[74.7, 62.7]",,Low Pass,,41.694363,,Incomplete,,Heung-Min Son,3083.0,,,,,,1,From Kick Off,Min Jae Kim,43565.0,Right Center Back,2,South Korea,791,"['8afc8fed-a83f-46d9-8fd3-a13cbc3cc045', '8dff7f25-399a-4972-a9d1-3c8729f4835a', 'aa9467ff-c876-40e9-aa6d-b589812add6d']",19,,,,,,,,,,,,,,,,,South Korea,791,00:00:19.914,Pass,True
,,,,,,,,,,,,,,,,,,1.860021,,,,,,,,,,,,,8afc8fed-a83f-46d9-8fd3-a13cbc3cc045,26,,,"[45.4, 17.4]",3869253,0,,,,0.14574812,,Right Foot,,,"[67.2, 20.6]",,High Pass,,22.033611,,Incomplete,,Lucas Tolentino Coelho de Lima,22600.0,,,,,Recovery,1,From Kick Off,Thiago Emiliano da Silva,3295.0,Left Center Back,2,South Korea,791,"['0b77ac44-bddd-44ae-933a-b2c8676d98be', '50ef35a4-0e26-439b-86d2-001a14dcb4e1', '7b34fb26-6f0d-4948-8207-072c78f1bd70']",21,,,,,,,,,,,,,,,,,Brazil,781,00:00:21.333,Pass,
,,,,,,,,,,,,,,,,,,1.362364,,,,,,,,,,,,,50ef35a4-0e26-439b-86d2-001a14dcb4e1,28,,,"[52.9, 59.5]",3869253,0,,,True,-1.5298835,,,,,"[53.6, 42.4]",,Low Pass,,17.11432,,Incomplete,,Hee-Chan Hwang,5620.0,,,,,Recovery,1,From Kick Off,Woo-Young Jung,5618.0,Right Defensive Midfield,2,South Korea,791,"['02303796-47f5-45b7-9c92-25e18c1b1192', '0d3305eb-392b-45fa-b3e4-095ee85ae97f', '767d9ae9-80b0-478b-af05-ecbba4fe2167', '8afc8fed-a83f-46d9-8fd3-a13cbc3cc045']",23,,,,,,,,,,,,,,,,,South Korea,791,00:00:23.193,Pass,True
,,,,,,,,,,,,,,,,,,0.823161,,,,,,,,,,,,,71eef24a-81f3-4ffb-92e2-5d2c53681c45,34,,,"[66.3, 39.1]",3869253,0,,,,0.1746722,,Left Foot,,,"[85.0, 42.4]",,Low Pass,,18.988945,,Incomplete,,Richarlison de Andrade,3280.0,,,,,,1,From Kick Off,Raphael Dias Belloli,10595.0,Right Wing,2,South Korea,791,"['43e95f1f-fece-446c-b354-a5bd48c5eb81', 'c5adb09b-9a51-4957-8169-7ecbb3e2cdae', 'f42927fd-fdae-4243-9a6a-b8156660c1ea']",25,,,,,,,,,,,,,,,,,Brazil,781,00:00:25.389,Pass,True
,,,,,,,,,,,,,,,,,,2.19197,,,,,,,,,,,,,113e273c-da4f-4628-a28f-1c2b36071527,38,,,"[35.9, 30.7]",3869253,0,,,,-1.0762308,,Left Foot,,,"[46.2, 11.6]",,Ground Pass,,21.70023,,,,Jin-Su Kim,40538.0,,,,,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['d108ee16-dc6d-4207-9a1f-d5b703da9dbd'],27,,,,,,,,,,,,,,,,,South Korea,791,00:00:27.619,Pass,
,,,,,,,,,,,,,,,,,,0.993934,,,,,,,,,,,,,2d3e894f-11d2-4bc4-91b1-d39037ce0c1c,41,,,"[45.9, 8.6]",3869253,0,,,,1.9440477,,Left Foot,,,"[40.3, 22.9]",,Ground Pass,,15.357409,,,,In-Beom Hwang,23763.0,,,,,,1,From Kick Off,Jin-Su Kim,40538.0,Left Back,2,South Korea,791,['7cfb8474-71c8-425e-b7b9-c54192d38220'],30,,,,,,,,,,,,,,,,,South Korea,791,00:00:30.954,Pass,
,,,,,,,,,,,,,,,,,,0.322936,,,,,,,,,,,,,765fc943-da64-4e0b-9809-89a4316dd2d0,44,,,"[41.5, 17.2]",3869253,0,,,,-0.21356043,,Left Foot,,,"[49.8, 15.4]",,Ground Pass,,8.492938,,Incomplete,,Hee-Chan Hwang,5620.0,,,,,,1,From Kick Off,In-Beom Hwang,23763.0,Left Defensive Midfield,2,South Korea,791,"['471c88d6-d620-4108-9226-af01b3418661', '9f6cc5fc-75cb-4b5b-a40a-4746cc752a3e']",33,,,,,,,,,,,,,,,,,South Korea,791,00:00:33.145,Pass,
,,,,,,,,,,,,,,,,,,1.026982,,,,,,,,,,,,,4cf7ebaa-52a8-454d-965b-922cf26a581c,49,,,"[50.0, 29.3]",3869253,0,,,,-0.11010565,,Left Foot,,,"[69.9, 27.1]",,Ground Pass,,20.021238,,,,Heung-Min Son,3083.0,,,,,,1,From Kick Off,Woo-Young Jung,5618.0,Right Defensive Midfield,2,South Korea,791,['b29499a8-6119-41a8-92b7-3f50b2352af8'],37,,,,,,,,,,,,,,,,,South Korea,791,00:00:37.271,Pass,
