ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.51964,,,,,,,,,,,,,,,,30744a68-8e1d-46bb-ba97-6cee5674fe65,17,,"[27.2, 49.2]",3857271,0,,,,-1.3375511,,Right Foot,,,,"[35.8, 13.0]",,Ground Pass,,37.207527,,,Luke Shaw,3382.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['43584de5-eceb-4677-a104-544e1517e491'],12,,,,,,,,,,,,,,,,,,,England,768,00:00:12.331,Pass,
,,,,,,,,,,,,,,,,1.187793,,,,,,,,,,,,,,,,2c1bf166-2d28-4f6e-a32a-86c2f46b1df2,20,,"[45.8, 7.5]",3857271,0,,,,2.6162257,,Left Foot,,,,"[32.0, 15.5]",,Ground Pass,,15.951176,,,Harry Maguire,3336.0,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['d64c472e-d638-4c89-812d-ecc53202f50e'],17,,,,,,,,,,,,,,,,,,,England,768,00:00:17.750,Pass,
,,,,,,,,,,,,,,,,2.044465,,,,,,,,,,,,,,,,08c88dce-a355-48ac-bcec-4fdb9f0332b8,23,,"[31.1, 18.7]",3857271,0,,,,1.4716203,,Right Foot,,,,"[33.1, 38.8]",,Ground Pass,,20.199257,,,John Stones,3244.0,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['dfa76e4d-55e5-43b4-af97-bd4595c169b0'],20,,,,,,,,,,,,,,,,,,,England,768,00:00:20.467,Pass,
,,,,,,,,,,,,,,,,0.97026,,,,,,,,,,,,,,,,d6e1fd56-9958-487e-bb92-da049de5fbe2,26,,"[37.2, 46.3]",3857271,0,,,,0.44099775,,Right Foot,,,,"[49.7, 52.2]",,Ground Pass,,13.822446,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['fa02d785-c74c-4d6b-9d09-d120944706f2'],23,,,,,,,,,,,,,,,,,,,England,768,00:00:23.638,Pass,
,,,,,,,,,,,,,,,,1.27865,,,,,,,,,,,,,,,,1c197271-20f4-4a77-bd01-fab49df35aa5,28,,"[49.7, 52.2]",3857271,0,,,,-2.819842,,Right Foot,,,,"[37.4, 48.1]",,Ground Pass,,12.965339,,,John Stones,3244.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Right Defensive Midfield,3,England,768,['cfb77de4-b0a0-42dd-a560-073387c6d6ae'],24,,,,,,,,,,,,,,,,,,,England,768,00:00:24.609,Pass,
,,,,,,,,,,,,,,,,1.086099,,,,,,,,,,,,,,,,ee860efb-4279-49ec-bf13-15b2cfb2ec9f,31,,"[37.4, 48.1]",3857271,0,,,,-1.0211544,,Right Foot,,,,"[44.2, 37.0]",,Ground Pass,,13.017296,,,Declan Rice,3943.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['1dedc279-85b5-4b37-870a-18a66c9a7a1b'],26,,,,,,,,,,,,,,,,,,,England,768,00:00:26.587,Pass,
,,,,,,,,,,,,,,,,1.585365,,,,,,,,,,,,,,,,7b3db7f4-aabd-4036-acb7-1cdb9502b7b3,34,,"[47.9, 27.5]",3857271,0,,,,-1.0714496,,Right Foot,,,,"[60.5, 4.4]",,Ground Pass,,26.312925,,,Luke Shaw,3382.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,3,England,768,['b1e44da1-a1f9-4a66-aebb-f70c94f59f09'],29,,,,,,,,,,,,,,,,,,,England,768,00:00:29.332,Pass,
,,,,,,,,,,,,,,,,1.631389,,,,,,,,,,,,,,,,7f567344-0f28-4186-b5c2-49efb3903e89,37,,"[59.9, 2.6]",3857271,0,,,,2.6425781,,Left Foot,,,,"[38.8, 14.1]",,Ground Pass,,24.030397,,,Harry Maguire,3336.0,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['b998b2d9-6f43-4c67-a8b2-2b4742b05304'],32,,,,,,,,,,,,,,,,,,,England,768,00:00:32.036,Pass,
,,,,,,,,,,,,,,,,2.019111,,,,,,,,,,,,,,,,7224f03b-6465-4d1a-be54-220d25d12c32,40,,"[38.8, 14.1]",3857271,0,,,,1.359284,,Right Foot,,,,"[45.8, 46.7]",,Ground Pass,,33.343063,,,John Stones,3244.0,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['43a029f5-a07f-4929-95de-7d4b758d51b4'],35,,,,,,,,,,,,,,,,,,,England,768,00:00:35.776,Pass,
,,,,,,,,,,,,,,,,2.142865,,,,,,,,,,,,,,,,507baa28-a0b4-45b3-b4a2-ba891e04ca45,43,,"[54.0, 42.9]",3857271,0,,,,-1.522447,,Right Foot,,,,"[54.9, 24.3]",,Ground Pass,,18.621761,,,Harry Maguire,3336.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['06ac48af-b275-400e-8c87-f75563f66f9c'],43,,,,,,,,,,,,,,,,,,,England,768,00:00:43.411,Pass,
