50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[93.0, 36.5]",,,,,,,,,,,,0.133445,,,,,,,,,,,,,,,40414438-67e9-4e2e-be0f-6d07b4f026c6,4594,,,"[91.3, 36.8]",3869321,118,,,,,,,,,,,,,,,,,,,,,,,,,4,From Keeper,Lautaro Javier Martínez,11456.0,Left Wing,219,Argentina,779,"['042a2fdc-0cf3-4303-832e-a4df0fac213a', 'c703be3d-1d15-43d2-8094-e77470537b4a', 'f3551324-dee5-4ce0-90ee-7d19f9d27d11']",34,,,,,,,,,,,,,,,,,,Argentina,779,00:13:34.772,Carry,True
,,,,,,"[88.1, 7.2]",,,,,,,,,,,,3.210927,,,,,,,,,,,,,,,5fbe94a9-4727-4800-b708-d744cb2bb522,4602,,,"[90.6, 6.8]",3869321,118,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Alexis Mac Allister,27886.0,Left Center Midfield,220,Argentina,779,"['85c78a3f-cba7-4fdb-b35d-3213272a10d7', 'c06c4b3a-707a-4ca5-8fa8-c662051fb515']",51,,,,,,,,,,,,,,,,,,Argentina,779,00:13:51.770,Carry,
,,,,,,"[89.1, 15.9]",,,,,,,,,,,,0.947493,,,,,,,,,,,,,,,4b83747a-2b78-475e-8f0f-17e5dd74f70e,4605,,,"[90.2, 15.4]",3869321,118,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Enzo Fernandez,38718.0,Right Center Midfield,220,Argentina,779,"['0b4e7fa4-dc0b-404e-af85-cbba45f2f474', '6e2e322b-26e1-4a6d-a50e-257b90b5425a']",56,,,,,,,,,,,,,,,,,,Argentina,779,00:13:56.115,Carry,
,,,,,,"[80.5, 11.7]",,,,,,,,,,,,3.552085,,,,,,,,,,,,,,,7c9e72eb-ff62-46c4-a17f-94c9c78233e5,4608,,,"[85.1, 4.2]",3869321,118,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Alexis Mac Allister,27886.0,Left Center Midfield,220,Argentina,779,"['6765804b-fa8e-4a9e-97f7-ff54f29b9ab8', 'b1e0017f-cabe-4e50-bc4c-8d1e6405b451']",57,,,,,,,,,,,,,,,,,,Argentina,779,00:13:57.649,Carry,
,,,,,,"[67.2, 40.8]",,,,,,,,,,,,0.933052,,,,,,,,,,,,,,,60b6a1c2-3bdd-46d2-98c7-31e744ba3dfd,4611,,,"[67.3, 37.3]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Germán Alejandro Pezzella,7161.0,Right Center Back,220,Argentina,779,"['5fd3e696-a960-4c23-a568-2e6a575f07c6', '6e8ae0db-e0c1-49bf-a180-2a4fb4b49639']",2,,,,,,,,,,,,,,,,,,Argentina,779,00:14:02.915,Carry,
,,,,,,"[73.1, 51.9]",,,,,,,,,,,,0.730758,,,,,,,,,,,,,,,71fda06d-9791-4d07-aaa8-ade5a748501c,4614,,,"[73.1, 51.9]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,220,Argentina,779,"['47df1e0a-ff29-468e-8eb5-a7ef8cb64a48', 'dcf9402d-51d7-49ca-8f04-47594d378a45']",4,,,,,,,,,,,,,,,,,,Argentina,779,00:14:04.713,Carry,
,,,,,,"[88.8, 56.2]",,,,,,,,,,,,2.601268,,,,,,,,,,,,,,,9a1d1c5b-8523-4650-aeeb-91ac865b0224,4617,,,"[88.8, 56.2]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,220,Argentina,779,"['0cb72971-a741-4fce-98d3-99d37cdc7d08', '57f33676-48e9-4716-bdb3-df87e8f24544']",6,,,,,,,,,,,,,,,,,,Argentina,779,00:14:06.371,Carry,
,,,,,,"[89.4, 48.1]",,,,,,,,,,,,0.763952,,,,,,,,,,,,,,,0205ffb1-8ecf-4ccf-beda-dab011ec902f,4620,,,"[89.8, 48.5]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Ángel Fabián Di María Hernández,2995.0,Right Wing,220,Argentina,779,"['b217d012-4b51-4f1b-b9ad-feeb4c8d2251', 'f154ae22-95dd-4ff2-b5e2-7756cbe84028']",9,,,,,,,,,,,,,,,,,,Argentina,779,00:14:09.580,Carry,
,,,,,,"[69.5, 39.4]",,,,,,,,,,,,0.858926,,,,,,,,,,,,,,,a0ae7f6d-bacb-4774-9287-56969dd27b2b,4628,,,"[69.5, 39.4]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Germán Alejandro Pezzella,7161.0,Right Center Back,220,Argentina,779,"['21cbb76d-6d7f-4f2e-a972-ff957e1cf74f', '952a18da-a65d-46ff-b1c4-8a36c5d1403c']",15,,,,,,,,,,,,,,,,,,Argentina,779,00:14:15.574,Carry,
,,,,,,"[87.1, 40.5]",,,,,,,,,,,,1.738303,,,,,,,,,,,,,,,866dae23-4462-4bbe-9024-729784d91879,4631,,,"[84.0, 43.2]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Ángel Fabián Di María Hernández,2995.0,Right Wing,220,Argentina,779,"['eb844041-0912-4c50-851c-75d1b8e53e62', 'f1ae579d-65f8-4139-a502-4aaae64b1f88']",17,,,,,,,,,,,,,,,,,,Argentina,779,00:14:17.411,Carry,
