50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.394692,,,,,,,,,,,,,965473f5-9b0c-4765-9b0d-7792ead0614c,15,,"[44.9, 34.4]",3857284,0,,,,True,-0.34194982,,,,,,"[50.8, 32.3]",,High Pass,,6.2625875,,,Incomplete,,,,,,,,,,1,From Counter,Daizen Maeda,30628.0,Center Forward,3,Japan,778,"['2acdf188-d6cf-490b-97f2-4744b738e70d', 'e1e8024f-5eba-4db5-be0c-1bd46f5dd98f']",9,,,,,,,,,,,,,,,,,,Japan,778,00:00:09.029,Pass,True
,,,,,,,,,,,,,,,,,,4.51948,,,,,,,,,,,,,2acdf188-d6cf-490b-97f2-4744b738e70d,16,,"[69.3, 47.8]",3857284,0,,,,,-3.1156244,,Left Foot,,,,"[23.1, 46.6]",,High Pass,,46.21558,,,,,Manuel Neuer,5570.0,,,,,,Recovery,1,Regular Play,Joshua Kimmich,5579.0,Right Defensive Midfield,4,Germany,770,"['965473f5-9b0c-4765-9b0d-7792ead0614c', 'c4e1e3f3-0861-4c2f-8803-df0b25de76b9']",10,,,,,,,,,,,,,,,,,,Germany,770,00:00:10.424,Pass,
,,,,,,,,,,,,,,,,,,2.290487,,,,,,,,,,,,,9d85d453-6681-4e0f-b745-8dc2cb0edba0,19,,"[21.8, 45.1]",3857284,0,,,,,-1.388628,,Right Foot,,,,"[26.7, 18.5]",,Ground Pass,,27.04755,,,,,Nico Schlotterbeck,24118.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['6c8dcdff-bb19-4f10-a545-2398bf864a17'],16,,,,,,,,,,,,,,,,,,Germany,770,00:00:16.322,Pass,
,,,,,,,,,,,,,,,,,,1.669856,,,,,,,,,,,,,73203b8d-6144-4df2-a951-1c227b3bab15,21,,"[26.7, 18.5]",3857284,0,,,,,2.2172358,,Left Foot,,,,"[14.4, 34.8]",,Ground Pass,,20.420088,,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Nico Schlotterbeck,24118.0,Left Center Back,4,Germany,770,['163aecaa-47b1-4296-9343-8f1689d5a015'],18,,,,,,,,,,,,,,,,,,Germany,770,00:00:18.613,Pass,
,,,,,,,,,,,,,,,,,,1.903329,,,,,,,,,,,,,5c3ddb41-dc83-4e67-956f-47b56a497845,23,,"[14.4, 34.8]",3857284,0,,,,,-0.97219807,,Right Foot,,,,"[26.2, 17.5]",,Ground Pass,,20.941109,,,,,Nico Schlotterbeck,24118.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['07f7fbf0-871f-4395-ac99-aa882e1bad59'],20,,,,,,,,,,,,,,,,,,Germany,770,00:00:20.282,Pass,
,,,,,,,,,,,,,,,,,,2.223687,,,,,,,,,,,,,6adbff42-b5fc-40a7-b43c-9f9cbd45bf4e,26,,"[26.9, 19.6]",3857284,0,,,,,1.6997072,,Left Foot,,,,"[22.7, 52.0]",,Ground Pass,,32.67109,,,,,Antonio Rüdiger,3167.0,,,,,,,1,Regular Play,Nico Schlotterbeck,24118.0,Left Center Back,4,Germany,770,['c47fb2df-7aee-43b0-9ae8-6844d6a5d558'],23,,,,,,,,,,,,,,,,,,Germany,770,00:00:23.737,Pass,
,,,,,,,,,,,,,,,,,,1.711333,,,,,,,,,,,,,d6f75cd5-d840-4e5a-9ec0-327c6bd1c648,28,,"[22.7, 52.0]",3857284,0,,,,,-1.998665,,Right Foot,,,,"[14.4, 33.8]",,Ground Pass,,20.00325,,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Right Center Back,4,Germany,770,['438137e1-cd32-443d-be22-9b5e015df128'],25,,,,,,,,,,,,,,,,,,Germany,770,00:00:25.960,Pass,
,,,,,,,,,,,,,,,,,,1.428169,,,,,,,,,,,,,4d802f4b-3db2-45bf-b3fb-3fdfbb3649f0,30,,"[14.4, 33.8]",3857284,0,,,,,-0.89687437,,Right Foot,,,,"[26.3, 18.9]",,Ground Pass,,19.068823,,,,,Nico Schlotterbeck,24118.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['ad6800ee-2ef0-4019-ab7a-61f7d65b6596'],27,,,,,,,,,,,,,,,,,,Germany,770,00:00:27.672,Pass,
,,,,,,,,,,,,,,,,,,2.230123,,,,,,,,,,,,,817d908b-15af-4fd5-aacd-f5ef8a0402b7,33,,"[32.6, 18.2]",3857284,0,,,,,2.2267847,,Left Foot,,,,"[19.9, 34.7]",,Ground Pass,,20.821623,,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Nico Schlotterbeck,24118.0,Left Center Back,4,Germany,770,['9e5697cb-0f44-415a-845d-06d392558acc'],31,,,,,,,,,,,,,,,,,,Germany,770,00:00:31.746,Pass,
,,,,,,,,,,,,,,,,,,1.906385,,,,,,,,,,,,,3a16547e-d6d7-4c8b-af27-d3445d26db73,36,,"[22.9, 40.4]",3857284,0,,,,,1.256646,,Left Foot,,,,"[31.9, 68.1]",,Ground Pass,,29.125418,,,,,Niklas Süle,6322.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['9f504364-d51e-4861-a31f-2ba211034c06'],35,,,,,,,,,,,,,,,,,,Germany,770,00:00:35.160,Pass,
,,,,,,,,,,,,,,,,,,2.653254,,,,,,,,,,,,,56ab8654-875e-4363-b724-a7c16b191e67,39,,"[31.4, 67.7]",3857284,0,,,,,-2.0634031,,Right Foot,,,,"[14.6, 36.4]",,Ground Pass,,35.523655,,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Niklas Süle,6322.0,Right Back,4,Germany,770,['d9490dd0-f00b-4881-affc-a3b9b85c1df1'],38,,,,,,,,,,,,,,,,,,Germany,770,00:00:38.410,Pass,
,,,,,,,,,,,,,,,,,,2.551705,,,,,,,,,,,,,b019ba33-be43-4803-b49b-5de69d64faf5,42,,"[21.5, 32.6]",3857284,0,,,,,1.340892,,Left Foot,,,,"[27.0, 56.1]",,Ground Pass,,24.135036,,,,,Antonio Rüdiger,3167.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['49d7af67-0cde-409d-9988-766d38c0533a'],46,,,,,,,,,,,,,,,,,,Germany,770,00:00:46.536,Pass,
,,,,,,,,,,,,,,,,,,1.608541,,,,,,,,,,,,,004caa54-57c8-4296-a37a-8850b46b8e23,44,,"[27.0, 55.6]",3857284,0,,,,,-2.3092492,,Right Foot,,,,"[12.8, 40.0]",,Ground Pass,,21.095022,,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Right Center Back,4,Germany,770,['c4ae852e-1e29-4a3f-8b53-a175ce73f78c'],49,,,,,,,,,,,,,,,,,,Germany,770,00:00:49.088,Pass,
,,,,,,,,,,,,,,,,,,1.814136,,,,,,,,,,,,,01109241-6978-46f8-9ecb-1cd49a10f5d6,47,,"[13.7, 39.5]",3857284,0,,,,,-1.0157489,,Right Foot,,,,"[31.0, 11.6]",,Ground Pass,,32.828342,,,,,Nico Schlotterbeck,24118.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['ba7893d7-f0dc-400f-b851-90e8ea448693'],51,,,,,,,,,,,,,,,,,,Germany,770,00:00:51.750,Pass,
,,,,,,,,,,,,,,,,,,2.548201,,,,,,,,,,,,,9d3539e9-9a6f-4da5-8c68-f7cb35ae9f70,51,,"[39.3, 10.9]",3857284,0,,,,,0.36350524,,Left Foot,,,,"[83.2, 27.6]",,High Pass,,46.96914,,,Incomplete,,,,,,,,,,1,Regular Play,Nico Schlotterbeck,24118.0,Left Center Back,4,Germany,770,"['464651fb-ceaa-43ac-af0f-c5a451bbe146', 'deb7cf1e-8026-44db-8b5f-1ee98c6089c7']",55,,,,,,,,,,,,,,,,,,Germany,770,00:00:55.335,Pass,True
,,,,,,,,,,,,,,,,,,1.56769,,,,,,,,,,,,,464651fb-ceaa-43ac-af0f-c5a451bbe146,52,,"[36.9, 52.5]",3857284,0,,,,,0.3840441,,Head,,,,"[51.5, 58.4]",,High Pass,,15.747064,,,,,Wataru Endo,23721.0,,,,,,Recovery,1,Regular Play,Ko Itakura,29595.0,Right Center Back,5,Japan,778,"['9d3539e9-9a6f-4da5-8c68-f7cb35ae9f70', 'bf34d874-f0b3-420e-bfa2-dc5055641e43']",57,,,,,,,,,,,,,,,,,,Japan,778,00:00:57.883,Pass,
,,,,,,,,,,,,,,,,,,2.271893,,,,,,,,,,,,,c8fb2777-0cf0-441a-a7c8-aed220d4e4d5,54,,"[51.5, 58.4]",3857284,0,,,,,-1.3854483,,Head,,,,"[52.7, 52.0]",,High Pass,,6.511528,,,,,Ao Tanaka,37208.0,,,,,,,1,Regular Play,Wataru Endo,23721.0,Right Defensive Midfield,5,Japan,778,['562d732e-843f-4a66-8caa-b898b98ae4a0'],59,,,,,,,,,,,,,,,,,,Japan,778,00:00:59.450,Pass,
,,,,,,,,,,,,,,,,,,1.453477,,,,,,,,,,,,,89f614b5-5b4f-4110-bc8e-756902222474,56,,"[52.9, 51.7]",3857284,1,,,,,0.09065989,,Head,,,,"[68.3, 53.1]",,Low Pass,,15.463506,,,Incomplete,,,,,,,,,,1,Regular Play,Ao Tanaka,37208.0,Left Defensive Midfield,5,Japan,778,['63e4a334-798c-495b-a713-76ff45a0f6a8'],1,,,,,,,,,,,,,,,,,,Japan,778,00:01:01.722,Pass,
,,,,,,,,,,,,,,,,,,2.689365,,,,,,,,,,,,,63e4a334-798c-495b-a713-76ff45a0f6a8,57,,"[51.8, 27.0]",3857284,1,,,,,0.6916885,,Right Foot,,,,"[80.9, 51.1]",,High Pass,,37.78386,,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Nico Schlotterbeck,24118.0,Left Center Back,5,Japan,778,"['89f614b5-5b4f-4110-bc8e-756902222474', '996165ab-19eb-4dd3-8b6f-bd69507008f2']",3,,,,,,,,,,,,,,,,,,Germany,770,00:01:03.176,Pass,
,,,,,,,,,,,,,,,,,,1.944135,,,,,,,,,,,,,996165ab-19eb-4dd3-8b6f-bd69507008f2,59,,"[39.2, 29.0]",3857284,1,,,,True,0.748918,,,,,,"[46.3, 35.6]",,Low Pass,,9.693812,,,,,Ao Tanaka,37208.0,,,,,,Recovery,1,Regular Play,Yuto Nagatomo,5690.0,Left Back,5,Japan,778,"['146c9ecd-79e8-4f7d-bb6b-131d115f67b6', '63e4a334-798c-495b-a713-76ff45a0f6a8', '7abf4573-f0dc-46d7-8857-84057f2c9742']",5,,,,,,,,,,,,,,,,,,Japan,778,00:01:05.865,Pass,True
,,,,,,,,,,,,,,,,,,4.442324,,,,,,,,,,,,,cc27dd49-9727-4a94-99b5-e0d75b4d6af4,62,,"[46.1, 35.0]",3857284,1,,,,,0.09263033,,Right Foot,,,,"[101.0, 40.1]",,High Pass,,55.136375,,,Incomplete,,,,,,,,,,1,Regular Play,Ao Tanaka,37208.0,Left Defensive Midfield,5,Japan,778,['18a004ac-4a55-434d-9c8b-c2d4cb15a8a0'],8,,,,,,,,,,,,,,,,,,Japan,778,00:01:08.155,Pass,
,,,,,,,,,,,,,,,,,,1.274574,,,,,,,,,,,,,01586db1-a482-455c-86fd-4c9f14145c14,67,,"[26.3, 23.2]",3857284,1,,,,,-0.49544603,,Left Foot,,,,"[46.1, 12.5]",,Ground Pass,,22.506222,,,,,Jamal Musiala,39565.0,,,,,,,1,Regular Play,Nico Schlotterbeck,24118.0,Left Center Back,6,Germany,770,['9518e929-e4a5-4f5e-b073-eb2f1a1a0c38'],15,,,,,,,,,,,,,,,,,,Germany,770,00:01:15.695,Pass,
,,,,,,,,,,,,,,,,,,0.890227,,,,,,,,,,,,,36e22eea-fd39-465e-8a70-37db76a4603e,85,,"[77.8, 4.0]",3857284,1,,,,,-0.49394137,,Left Foot,,,,"[83.0, 1.2]",,Ground Pass,,5.905929,,,,,Kai Havertz,8966.0,,,,,,Recovery,1,Regular Play,David Raum,12034.0,Left Back,7,Germany,770,['f8d80b4a-732c-47e0-9b12-8e3b4dc47070'],26,,,,,,,,,,,,,,,,,,Germany,770,00:01:26.249,Pass,
,,,,,,,,,,,,,,,,,,0.724924,,,,,,,,,,,,,4eaa7ccd-0bed-4952-9057-e04b44a16a3a,87,,"[83.0, 1.2]",3857284,1,,,,,1.8727475,,Right Foot,,,,"[81.1, 7.3]",,Ground Pass,,6.3890533,,,,,Jamal Musiala,39565.0,,,,,,,1,Regular Play,Kai Havertz,8966.0,Center Forward,7,Germany,770,['f6068695-de97-4759-a93e-87ec71c2e601'],27,,,,,,,,,,,,,,,,,,Germany,770,00:01:27.139,Pass,
,,,,,,,,,,,,,,,,,,1.423156,,,,,,,,,,,,,514a0f16-9d7e-4992-a7fd-f00f3b9c498a,91,,"[80.9, 8.7]",3857284,1,,,,,1.3565619,,Right Foot,,,,"[86.1, 32.6]",,Ground Pass,,24.45915,,,,,Serge Gnabry,8400.0,,,,,,,1,Regular Play,Jamal Musiala,39565.0,Left Wing,7,Germany,770,"['298a33f8-9cfb-43a5-a2ea-d02461f305a4', '43594bb9-f324-4738-ba6b-3430ddb4b46b']",28,,,,,,,,,,,,,,,,,,Germany,770,00:01:28.945,Pass,True
,,,,,,,,,,,,,,,,,,0.790352,,,,,,,,,,,,,29beacbe-4242-4e67-8271-382cf1f1bb20,95,,"[99.5, 30.0]",3857284,1,,,,,-0.23860933,,Right Foot,,,,"[106.9, 28.2]",,Ground Pass,,7.615773,,,Incomplete,,Kai Havertz,8966.0,,,,,,,1,Regular Play,Serge Gnabry,8400.0,Right Wing,7,Germany,770,"['2c88c2e8-f8ec-42e5-b05b-9e4ff0a74101', '361ea986-c857-4b76-ab37-9b4140871511', 'edbc7a5a-0908-4e1a-80a5-8fee36c4e5a2']",33,,,,,,,,,,,,,,,,,,Germany,770,00:01:33.476,Pass,True
,,,,,,,,,,,,,,,,,,2.673914,,,,,,,,,,,,,16183f9a-5f71-450d-888e-7ac5d28a8158,99,,"[26.9, 50.1]",3857284,1,,,,True,1.9667742,,,,,,"[14.4, 80.0]",,High Pass,,32.407715,,,Out,,,,,,,,,Recovery,1,Regular Play,Daizen Maeda,30628.0,Center Forward,7,Germany,770,['d580f2bc-97ef-4234-b49b-317c24a15e89'],35,,,,,,,,,,,,,,,,,,Japan,778,00:01:35.785,Pass,True
,,,,,,,,,,,,,,,,,,0.84283,,,,,,,,,,,,,8f810ffc-34f3-43c5-9cdf-8b337fbb2cc1,100,,"[104.1, 0.1]",3857284,1,,,,,0.49488744,,,,,,"[110.4, 3.5]",,Low Pass,,7.1589108,,,,,Kai Havertz,8966.0,,,,,,Throw-in,1,From Throw In,David Raum,12034.0,Left Back,8,Germany,770,['c2d22444-0ab1-4852-a137-7a46e1af70a5'],47,,,,,,,,,,,,,,,,,,Germany,770,00:01:47.850,Pass,
,,,,,,,,,,,,,,,,,,1.524441,,,,,,,,,,,,,b575659e-8fbb-4b12-832b-67e5aa0a4123,103,,"[110.5, 3.5]",3857284,1,,,,,-3.1177876,,Left Foot,,,,"[102.1, 3.3]",,Ground Pass,,8.402381,,,,,David Raum,12034.0,,,,,,,1,From Throw In,Kai Havertz,8966.0,Center Forward,8,Germany,770,['284c6596-cc32-46f1-9d9d-7c1b622525fb'],49,,,,,,,,,,,,,,,,,,Germany,770,00:01:49.250,Pass,
,,,,,,,,,,,,,,,,,,0.737648,,,,,,,,,,,,,d3cfc00b-c1ae-45e8-afc5-3825876f74aa,106,,"[101.2, 3.3]",3857284,1,,,,,-0.3529904,,Right Foot,,,,"[105.0, 1.9]",,Ground Pass,,4.049691,,,,,Kai Havertz,8966.0,,,,,,,1,From Throw In,David Raum,12034.0,Left Back,8,Germany,770,['9dbe50c0-a3bf-485c-94a6-3de4f4e373d6'],51,,,,,,,,,,,,,,,,,,Germany,770,00:01:51.501,Pass,
,,,,,,,,,,,,,,,,,,1.387994,,,,,,,,,,,,,b501648b-d7cc-4e2e-8606-af1dfe2ef4ae,109,,"[105.7, 1.9]",3857284,1,,,,,1.5707964,,Left Foot,True,,,"[105.7, 36.9]",,Low Pass,,35.0,,,,,Thomas Müller,5562.0,,,,,,,1,From Throw In,Kai Havertz,8966.0,Center Forward,8,Germany,770,['6ef1df97-9a05-487f-81af-44c1bf2f6f0e'],53,,,,,,,,,,,,,,,,,,Germany,770,00:01:53.816,Pass,
,,,,,,,,,,,,,,,,,,2.208205,,,,,,,,,,,,,3986a348-6cf8-4d91-a6b0-942784ee0a35,112,,"[102.8, 33.8]",3857284,1,,,,,3.1282005,,Right Foot,,,,"[80.4, 34.1]",,Ground Pass,,22.402008,,,,,Antonio Rüdiger,3167.0,,,,,,,1,From Throw In,Thomas Müller,5562.0,Center Attacking Midfield,8,Germany,770,['f3e8c05b-6121-44e1-9710-94040251d39e'],57,,,,,,,,,,,,,,,,,,Germany,770,00:01:57.214,Pass,
