50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.109383,,,,,,,,,,,13d38fb2-046c-4d52-a9c9-abcdc39d9df4,18,,,"[45.9, 3.7]",3857294,0,,,,2.213403,,Left Foot,,,,"[32.5, 21.6]",,Ground Pass,,22.360008,,,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Wing Back,2,Netherlands,941,['53a4196b-bdc1-4969-bef7-323376f5b087'],9,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:09.764,Pass,
,,,,,,,,,,,,,,,,1.575738,,,,,,,,,,,eb5e0190-5d41-45ca-8978-41d1eb49438b,21,,,"[33.0, 21.0]",3857294,0,,,,-0.91066474,,Right Foot,,,,"[44.8, 5.8]",,Ground Pass,,19.24266,,,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Center Back,2,Netherlands,941,['4b6186ec-2e25-48ee-8415-307ecc9fcfc8'],13,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:13.188,Pass,
,,,,,,,,,,,,,,,,0.78673,,,,,,,,,,,bc557ac8-b84d-4366-8b6e-5c37c92a97da,24,,,"[60.5, 3.9]",3857294,0,,,,0.521017,,Left Foot,,,,"[72.0, 10.5]",,Ground Pass,,13.259336,,,,,Memphis Depay,2988.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Wing Back,2,Netherlands,941,['61f9f7d5-9eed-4a35-a521-092e095c50d3'],17,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:17.816,Pass,
,,,,,,,,,,,,,,,,1.383248,,,,,,,,,,,f8919a5f-d640-43e8-a5ca-885cd286c64c,27,,,"[71.1, 9.0]",3857294,0,,,,3.0975683,,Right Foot,,,,"[48.4, 10.0]",,Ground Pass,,22.722015,,,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Memphis Depay,2988.0,Left Center Forward,2,Netherlands,941,['0f2da04d-bed1-43d5-bb5d-84698d531e39'],19,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:19.426,Pass,
,,,,,,,,,,,,,,,,1.40559,,,,,,,,,,,94df1704-fc52-48f1-a82d-bae491e20892,30,,,"[48.7, 17.0]",3857294,0,,,,1.4175361,,Left Foot,,,,"[54.4, 53.9]",,Ground Pass,,37.33765,,,,,Jurriën David Norman Timber,21809.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['117625e5-3324-4529-b0ce-bd447d60efa1'],22,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:22.192,Pass,
,,,,,,,,,,,,,,,,1.390939,,,,,,,,,,,327f3042-6c15-4a23-b820-c749b4bbf865,33,,,"[55.0, 56.8]",3857294,0,,,,-2.280199,,Right Foot,,,,"[45.9, 46.2]",,Ground Pass,,13.970325,,,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Jurriën David Norman Timber,21809.0,Right Center Back,2,Netherlands,941,['8976b6a1-4d84-420d-bb6d-606cf328a2a9'],27,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:27.355,Pass,
,,,,,,,,,,,,,,,,3.831154,,,,,,,,,,,5c96474f-9f5d-4668-841e-776bef612508,36,,,"[48.7, 48.0]",3857294,0,,,,0.07087805,681866bd-f8fb-40de-b641-8b3829f92fa8,Right Foot,,,,"[114.9, 52.7]",,High Pass,,66.36663,,,,,Memphis Depay,2988.0,True,,Through Ball,True,,1,From Kick Off,Virgil van Dijk,3669.0,Center Back,2,Netherlands,941,['85d12ac5-420b-4c0b-88cc-e0376d3d38d9'],30,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:30.004,Pass,
,,,,,,,,,,,,,,,,0.894567,,,,,,,,,,,ff573bc2-c5c7-4bad-8d7a-45712c4602f2,40,,,"[7.0, 36.1]",3857294,0,True,,,1.7582254,,Left Foot,,,,"[5.9, 41.9]",,Ground Pass,,5.903389,,,,,Boualem Khoukhi,124493.0,,,,,Goal Kick,1,From Goal Kick,Meshaal Aissa Barsham,124510.0,Goalkeeper,3,Qatar,3566,['69456474-cc8b-4e20-a950-5379735ad2bf'],48,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:48.086,Pass,
,,,,,,,,,,,,,,,,1.535363,,,,,,,,,,,0d4a32f5-7935-4838-adbe-5ea658d44ac2,42,,,"[5.9, 41.4]",3857294,0,,,,1.4531159,,Right Foot,,,,"[8.3, 61.7]",,Ground Pass,,20.44138,,,,,Pedro Miguel Correia,124506.0,,,,,,1,From Goal Kick,Boualem Khoukhi,124493.0,Center Back,3,Qatar,3566,['bd622090-6a93-4248-adfd-2d2f7f59c5ed'],49,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:49.747,Pass,
,,,,,,,,,,,,,,,,2.273378,,,,,,,,,,,aaca88eb-b6c6-4cf8-9302-3749f93b60dd,45,,,"[8.6, 66.8]",3857294,0,,,,-0.1302791,,Right Foot,,,,"[60.5, 60.0]",,High Pass,,52.34358,,,Incomplete,,Almoez Ali Zainalabiddin Abdulla,124495.0,,,,,,1,From Goal Kick,Pedro Miguel Correia,124506.0,Right Center Back,3,Qatar,3566,"['0b778e89-4cdd-4e8d-94bd-52c3174bd38e', 'af26f6b6-a6fc-41ec-9628-52cbada2269c']",52,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:52.883,Pass,
