50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.412101,,,,,,,,,,,922c7f33-1c52-492e-91c8-044c301d74d5,16,,"[49.0, 67.2]",3857275,0,,,,,-2.1910458,,Right Foot,,,,"[37.5, 51.1]",,Ground Pass,,19.785349,,,,Nader Ghandri,25582.0,,,,,,,1,From Kick Off,Yassine Meriah,5651.0,Right Center Back,2,Tunisia,777,['db6652f0-fe05-4149-9844-229f4f53b57c'],7,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:07.530,Pass,
,,,,,,,,,,,,,,,,,1.69447,,,,,,,,,,,9af5107d-9210-494c-9f49-ee676d98ae58,19,,"[39.0, 37.3]",3857275,0,,,,,-1.8005,,Right Foot,,,,"[34.3, 17.2]",,Ground Pass,,20.642189,,,,Montassar Omar Talbi,32450.0,,,,,,,1,From Kick Off,Nader Ghandri,25582.0,Center Back,2,Tunisia,777,['11793e24-71f1-41bb-a881-2f0e5315c17a'],11,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:11.162,Pass,
,,,,,,,,,,,,,,,,,1.586747,,,,,,,,,,,8bd97a80-84a9-43fa-828a-71ef623abf18,22,,"[36.7, 11.0]",3857275,0,,,,,-0.3973637,,Right Foot,,,,"[56.0, 2.9]",,Ground Pass,,20.930838,,,,Ali Maâloul,5647.0,,,,,,,1,From Kick Off,Montassar Omar Talbi,32450.0,Left Center Back,2,Tunisia,777,['2e1eb3b2-c7c4-411e-b3d9-834dffbbf748'],13,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:13.933,Pass,
,,,,,,,,,,,,,,,,,2.133363,,,,,,,,,,,1323f22d-c0e5-409d-abcf-542ed1244f49,25,,"[63.1, 1.7]",3857275,0,,,,,0.8423314,,Left Foot,,,,"[90.4, 32.3]",,High Pass,,41.007927,,,,Anis Ben Slimane,35592.0,,,,,,,1,From Kick Off,Ali Maâloul,5647.0,Left Wing Back,2,Tunisia,777,['881507b7-4fd0-4b31-8393-ee6bd2c5cf84'],16,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:16.536,Pass,
,,,,,,,,,,,,,,,,,1.660983,,,,,,,,,,,211d4d1f-07ee-45bc-b7dc-ad421f586b65,30,,"[11.4, 47.0]",3857275,0,,True,,,0.7853982,,Keeper Arm,,,,"[23.7, 59.3]",,Ground Pass,,17.394827,,,,Raphaël Varane,5485.0,,,,,,,1,From Keeper,Steve Mandanda,3543.0,Goalkeeper,3,France,771,['90d013bc-539d-4ce8-903a-59764334c162'],34,,,,,,,,,,,,,,,,,,France,771,00:00:34.618,Pass,
,,,,,,,,,,,,,,,,,1.141648,,,,,,,,,,,a4f41db0-4a3a-41b5-ab08-6725e485f375,32,,"[32.5, 63.7]",3857275,0,,,,,1.4362754,,Left Foot,,,,"[34.3, 77.0]",,Ground Pass,,13.421252,,,,Axel Disasi,7439.0,,,,,,,1,From Keeper,Raphaël Varane,5485.0,Right Center Back,3,France,771,['476254a6-6db0-43ec-823e-a36b3e652ec6'],38,,,,,,,,,,,,,,,,,,France,771,00:00:38.318,Pass,
,,,,,,,,,,,,,,,,,0.014414,,,,,,,,,,,a4bd8cde-c62e-4c01-bfe2-1000878f4b1f,36,,"[26.7, 78.0]",3857275,0,,,,,0.0,,Right Foot,,,,"[31.9, 78.0]",,High Pass,,5.2,,Incomplete,,,,,,,,,,1,From Keeper,Axel Disasi,7439.0,Right Back,3,France,771,['6298807e-af52-4f9f-80c4-28d9adfd5098'],43,,,,,,,,,,,,,,,,,,France,771,00:00:43.056,Pass,
,,,,,,,,,,,,,,,,,1.383162,,,,,,,,,,,1de33d42-c0b7-47f0-b2e1-64d335f7a7b2,38,,"[33.3, 80.0]",3857275,1,,,,,-0.280199,,,,,,"[47.2, 76.0]",,High Pass,,14.464093,,,,Randal Kolo Muani,22097.0,,,,,,Throw-in,1,From Throw In,Axel Disasi,7439.0,Right Back,4,France,771,['5032884c-2c10-40dc-a814-ef51d0ae65ee'],1,,,,,,,,,,,,,,,,,,France,771,00:01:01.127,Pass,
,,,,,,,,,,,,,,,,,1.533476,,,,,,,,,,,b3569b5e-a446-4694-a27b-ac14fe546f35,43,,"[73.7, 8.6]",3857275,1,,,,,2.8833404,,Left Foot,,,,"[47.2, 15.6]",,High Pass,,27.40894,,,,Nader Ghandri,25582.0,,,,,,Recovery,1,Regular Play,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,5,Tunisia,777,['041b155d-a483-415d-88cb-fbe0bd5bf683'],3,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:03.563,Pass,
,,,,,,,,,,,,,,,,,1.627941,,,,,,,,,,,c1c64f51-0025-466f-92b9-d5ef9cb9a809,46,,"[47.2, 17.4]",3857275,1,,,,,1.7081743,,Right Foot,,,,"[44.2, 39.1]",,Ground Pass,,21.906391,,,,Yassine Meriah,5651.0,,,,,,,1,Regular Play,Nader Ghandri,25582.0,Center Back,5,Tunisia,777,['4672841d-e292-4927-9bbd-a05ff77cb654'],6,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:06.358,Pass,
