50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.105209,,,,,,,,,,,,,,a02ab1da-48e4-4540-bb3a-ca2365332082,949,,,"[100.3, 66.3]",3857300,30,,,,,-1.0199388,,Right Foot,True,,,"[113.2, 45.3]",,Low Pass,24.645689,Incomplete,,,,,,,,,1,From Corner,Abdulelah Saad Hameed Al-Malki,56755.0,Center Defensive Midfield,43,Saudi Arabia,799,['4e1d9045-63d0-47c6-ae21-942e6c04294d'],11,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:30:11.751,Pass,
,,,,,,,,,,,,,,,,,,2.598188,,,,,,,,,,,,,,4c8ec7a4-a0ad-46bd-bfb7-6b33ba81bd88,951,,,"[105.8, 44.4]",3857300,30,,,,,-1.9775434,,Head,,,,"[97.4, 24.9]",,High Pass,21.232286,,,Mohammed Kanoo,5713.0,,,,,Recovery,1,From Corner,Hassan Mohammed Al-Tambakti,51546.0,Right Center Back,43,Saudi Arabia,799,['6a072963-1d1e-40bb-ab3f-fc958390fe66'],14,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:30:14.904,Pass,
,,,,,,,,,,,,,,,,,,1.545434,,,,,,,,,,,,,,ed437d80-5cab-4bf6-99ba-ab69acd9e0c9,957,,,"[101.8, 8.8]",3857300,31,,,,,1.1721301,,Right Foot,True,,,"[114.9, 39.9]",,High Pass,33.746407,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Salem Mohammed Al Dawsari,5187.0,Left Midfield,44,Saudi Arabia,799,['fe97b1cf-6c81-469f-a258-9bcefee77e03'],10,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:31:10.295,Pass,
,,,,,,,,,,,,,,,,,,2.628488,,,,,,,,,,,,,,399f4555-3591-4fd3-9fd3-17312e92b921,960,,,"[13.6, 37.9]",3857300,31,,,,,-1.0251412,,Keeper Arm,,,,"[34.0, 4.3]",,High Pass,39.308014,,,Alejandro Darío Gómez,7006.0,,,,,,1,From Keeper,Damián Emiliano Martínez,6909.0,Goalkeeper,45,Argentina,779,['4dce3c6e-73ee-455f-bc83-1c1c0a230298'],17,,,,,,,,,,,,,,,,,Argentina,779,00:31:17.631,Pass,
,,,,,,,,,,,,,,,,,,4.340522,,,,,,,,,,,,,,78b5f84c-dffe-4c89-93c5-6029b0da3b70,963,,,"[38.2, 3.8]",3857300,31,,,,,0.04482046,,Right Foot,,,,"[98.4, 6.5]",,Ground Pass,60.260517,Pass Offside,,Ángel Fabián Di María Hernández,2995.0,,,Through Ball,True,,1,From Keeper,Alejandro Darío Gómez,7006.0,Left Midfield,45,Argentina,779,['8b1fb440-58f5-4e45-bb91-c5bdd292de6a'],21,,,,,,,,,,,,,,,,,Argentina,779,00:31:21.947,Pass,
,,,,,,,,,,,,,,,,,,2.448215,,,,,,,,,,,,,,1db45ff4-3a03-4a68-bdb4-591d47098186,965,,,"[45.0, 73.6]",3857300,31,,True,,,-1.4559197,,Right Foot,,,,"[45.9, 65.8]",,Ground Pass,7.8517513,,,Abdulelah Saad Hameed Al-Malki,56755.0,,,,,Free Kick,1,From Free Kick,Saud Abdullah Abdul Hamid,51710.0,Right Back,46,Saudi Arabia,799,['9c04d58e-e7a3-4475-a04a-cf3beeebf2dc'],36,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:31:36.021,Pass,
,,,,,,,,,,,,,,,,,,0.968434,,,,,,,,,,,,,,0075bb37-073f-46c2-8d29-59815c7e3a20,967,,,"[38.5, 62.7]",3857300,31,,,,,-0.96079236,,Right Foot,,,,"[45.0, 53.4]",,Ground Pass,11.346365,,,Mohammed Kanoo,5713.0,,,,,,1,From Free Kick,Abdulelah Saad Hameed Al-Malki,56755.0,Center Defensive Midfield,46,Saudi Arabia,799,['a2f343a6-a6b8-4eba-934b-228472acf9df'],41,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:31:41.035,Pass,
,,,,,,,,,,,,,,,,,,1.448653,,,,,,,,,,,,,,f14fd31d-cca6-4bd4-b8e3-e607ce895b01,970,,,"[44.5, 58.3]",3857300,31,,,,,1.3723266,,Right Foot,,,,"[48.1, 76.2]",,Ground Pass,18.258423,,,Saud Abdullah Abdul Hamid,51710.0,,,,,,1,From Free Kick,Mohammed Kanoo,5713.0,Left Center Midfield,46,Saudi Arabia,799,['303e04bb-41a1-4fed-bc58-e2f5ece8194d'],43,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:31:43.474,Pass,
,,,,,,,,,,,,,,,,,,2.771114,,,,,,,,,,,,,,df3f6477-74c2-4dca-b793-71209a19f2d3,973,,,"[48.1, 76.7]",3857300,31,,,,,-0.045014616,,Right Foot,,,,"[92.5, 74.7]",,High Pass,44.445023,,,Salman Mohammed Al Faraj,5178.0,,,,,,1,From Free Kick,Saud Abdullah Abdul Hamid,51710.0,Right Back,46,Saudi Arabia,799,['39ef2890-9094-4e12-8c71-8f4a6ab8d77a'],46,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:31:46.318,Pass,
,,,,,,,,,,,,,,,,,,1.831255,,,,,,,,,,,,,,c61f643b-8af3-4272-999f-48cf02994425,979,,,"[99.4, 80.0]",3857300,32,,,,,-0.44344833,,,,,,"[111.4, 74.3]",,Low Pass,13.284954,,,Saud Abdullah Abdul Hamid,51710.0,,,,,Throw-in,1,From Throw In,Salman Mohammed Al Faraj,5178.0,Right Center Midfield,47,Saudi Arabia,799,['e5246038-0af5-4ed5-b58f-959dcde83176'],0,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:32:00.389,Pass,
