ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.641935,,,,,,,,,,,,,2e51670b-5452-49d9-9c8f-223f318ecb72,18,,"[72.0, 32.1]",3869152,0,,,,True,0.97413594,,,,,"[82.8, 48.0]",,High Pass,,19.221083,,,,,Antoine Griezmann,5487.0,,,,,Recovery,1,From Kick Off,Adrien Rabiot,3026.0,Left Defensive Midfield,2,France,771,"['d56bca49-36c1-44d9-9894-f2086c4736b0', 'e9212856-e67a-4aae-ab03-ab083504e0db']",14,,,,,,,,,,,,,,,,France,771,00:00:14.727,Pass,True
,,,,,,,,,,,,,,2.403843,,,,,,,,,,,,,770e84de-5a95-4868-8b92-68afadefeee0,24,,"[93.4, 61.7]",3869152,1,,,,,-0.947988,,Left Foot,,,"[119.9, 24.8]",,High Pass,,45.429726,,,Out,,,,,,,,Free Kick,1,From Free Kick,Antoine Griezmann,5487.0,Center Attacking Midfield,3,France,771,,11,,,,,,,,,,,,,,,,France,771,00:01:11.072,Pass,
,,,,,,,,,,,,,,3.57081,,,,,,,,,,,,,e4d112da-7fbe-488d-afc8-385138c6a0df,25,,"[7.0, 44.1]",3869152,1,,,,,0.26136392,,Right Foot,,,"[64.2, 59.4]",,High Pass,,59.210896,,,Incomplete,,Robert Lewandowski,5668.0,,,,,Goal Kick,1,From Goal Kick,Wojciech Szczęsny,5669.0,Goalkeeper,4,Poland,789,"['19243195-bbb1-4196-85b8-7b2151867d11', 'de2e2c0b-f476-4ca0-ba46-9c40e521a909']",40,,,,,,,,,,,,,,,,Poland,789,00:01:40.356,Pass,
,,,,,,,,,,,,,,1.738595,,,,,,,,,,,,,19243195-bbb1-4196-85b8-7b2151867d11,28,,"[55.9, 20.7]",3869152,1,,,,True,0.21795821,,,,,"[70.8, 24.0]",,High Pass,,15.261062,,,,,Olivier Giroud,3604.0,,,,,Recovery,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,5,France,771,"['0e49b03d-d639-4a3a-a4eb-6a829e4e39b7', 'bed9440c-e1c6-48af-bfa0-b3bb18c73b25', 'e4d112da-7fbe-488d-afc8-385138c6a0df']",43,,,,,,,,,,,,,,,,France,771,00:01:43.927,Pass,True
,,,,,,,,,,,,,,1.192415,,,,,,,,,,,,,76ffecb0-a0df-4774-81f7-68dee52e4f39,30,,"[70.8, 24.0]",3869152,1,,,,,-1.136843,,Head,,,"[74.6, 15.8]",,High Pass,,9.037699,,,Incomplete,,Kylian Mbappé Lottin,3009.0,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,5,France,771,"['b4fbb8e4-b05e-445c-9127-3f4804de6698', 'f467bf24-3d18-42bc-b0be-353b12a2d50b']",45,,,,,,,,,,,,,,,,France,771,00:01:45.666,Pass,
,,,,,,,,,,,,,,1.915334,,,,,,,,,,,,,2c220578-8c3f-4809-8537-5ed266f712fd,33,,"[25.5, 0.1]",3869152,1,,True,,,2.6998851,,,,,"[12.6, 6.2]",,Low Pass,,14.269548,,,,,Dayotchanculle Upamecano,8519.0,,,,,Throw-in,1,From Throw In,Theo Bernard François Hernández,6704.0,Left Back,6,France,771,['d2482d9e-5c2d-4778-89f0-02588df86fda'],59,,,,,,,,,,,,,,,,France,771,00:01:59.407,Pass,
,,,,,,,,,,,,,,2.139685,,,,,,,,,,,,,7eccdfae-0e68-4edb-bb07-4e8ab6f01e53,35,,"[17.5, 6.2]",3869152,2,,,,,1.4952823,,Left Foot,,,"[19.8, 36.6]",,Ground Pass,,30.486883,,,,,Raphaël Varane,5485.0,,,,,,1,From Throw In,Dayotchanculle Upamecano,8519.0,Left Center Back,6,France,771,['e8fab152-6721-4dc4-80fb-87069e0dd91e'],3,,,,,,,,,,,,,,,,France,771,00:02:03.470,Pass,
,,,,,,,,,,,,,,1.268526,,,,,,,,,,,,,4fd7b771-4e03-41a8-9241-de10a2da0a6f,38,,"[19.8, 36.6]",3869152,2,,,,,1.2445915,,Right Foot,,,"[28.9, 63.5]",,Ground Pass,,28.397535,,,,,Jules Koundé,4445.0,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,6,France,771,['72994471-327d-48ac-80b7-d0e4572a62a7'],6,,,,,,,,,,,,,,,,France,771,00:02:06.907,Pass,
,,,,,,,,,,,,,,1.729926,,,,,,,,,,,,,7f5b086c-c12b-4e6c-a7bd-f81af1d0f320,42,,"[26.1, 67.4]",3869152,2,,,,,0.3142319,,Right Foot,,,"[46.1, 73.9]",,Ground Pass,,21.029741,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Throw In,Jules Koundé,4445.0,Right Back,6,France,771,"['4fd45761-63ca-48d4-907f-0cf8087f8bd3', '77c5b459-82e8-4066-b662-8fdf4528b9a2']",8,,,,,,,,,,,,,,,,France,771,00:02:08.965,Pass,True
,,,,,,,,,,,,,,1.660292,,,,,,,,,,,,,6e1f127a-8561-47e5-b8ac-a3082dc4dbd2,47,,"[55.0, 33.9]",3869152,2,,,,,-1.0895592,,Left Foot,,,"[70.3, 4.6]",,Low Pass,,33.0542,,,,,Kylian Mbappé Lottin,3009.0,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,6,France,771,['f9529936-c78b-4ada-a4e1-e66cb3aa921b'],17,,,,,,,,,,,,,,,,France,771,00:02:17.658,Pass,
