50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[11.0, 24.7]",,,,,,,,,,,1.691642,,,,,,,,,,,,,,79eca7bd-74a5-4bd9-85ca-d0ee21699974,2018,,,"[12.7, 32.4]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Francisco Guillermo Ochoa Magaña,5577.0,Goalkeeper,138,Mexico,794,"['443dec18-dca9-4dbb-86c9-37e2dbb3d793', '93c9eeec-75f6-44df-80f9-3a33ed82e92e', 'a7e8db53-a927-49c1-b0b6-33f2e3dbbf80']",10,,,,,,,,,,,,,,,,,,Mexico,794,00:18:10.518,Carry,True
,,,,"[72.1, 73.4]",,,,,,,,,,,3.058888,,,,,,,,,,,,,,d2add173-524d-4071-8416-b3b657aeaea6,2025,,,"[76.7, 78.8]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sultan Abdullah Salim Al Ghannam,57620.0,Right Wing Back,138,Mexico,794,"['ec64d97c-01ed-4bbd-ac4d-5386c0ac51fb', 'fbe78a7d-9ede-4559-9553-e7f2426bf20c', 'fe139566-35d4-4c71-b077-92ce918bd773']",22,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:18:22.746,Carry,True
,,,,"[49.3, 15.9]",,,,,,,,,,,1.771887,,,,,,,,,,,,,,95c5d912-60d2-4854-ac23-1cd7666bc203,2030,,,"[45.2, 15.9]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Edson Omar Álvarez Velázquez,5567.0,Right Defensive Midfield,138,Mexico,794,"['6fb4f631-a704-4a5a-8af7-280a43631b2c', '806e7817-1811-4875-bdee-8574e1418835']",27,,,,,,,,,,,,,,,,,,Mexico,794,00:18:27.190,Carry,
,,,,"[50.1, 8.5]",,,,,,,,,,,1.062404,,,,,,,,,,,,,,2ccc0976-50bc-4b99-951d-41ec31a659f9,2033,,,"[52.6, 5.9]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jesús Daniel Gallardo Vasconcelos,5576.0,Left Back,138,Mexico,794,"['53989dac-18b4-4e03-a697-0e0527f9a041', 'c3c8b96e-3488-4476-b5bb-2959a46b5e8d', 'e0a499f3-c60d-4808-8b1d-218722ecc43b']",29,,,,,,,,,,,,,,,,,,Mexico,794,00:18:29.924,Carry,True
,,,,"[59.5, 19.7]",,,,,,,,,,,2.37436,,,,,,,,,,,,,,2d31a064-1c40-459f-ae20-6e91d2b52936,2037,,,"[50.1, 8.5]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jesús Daniel Gallardo Vasconcelos,5576.0,Left Back,138,Mexico,794,"['8f7ac9e4-fca3-4f3c-bad5-c42e16d8dc91', 'c3c8b96e-3488-4476-b5bb-2959a46b5e8d', 'c8e195ee-c6cb-424d-a26a-f903be54da84', 'e0a499f3-c60d-4808-8b1d-218722ecc43b']",30,,,,,,,,,,,,,,,,,,Mexico,794,00:18:30.987,Carry,True
,,,,"[54.0, 45.3]",,,,,,,,,,,0.816345,,,,,,,,,,,,,,6029adce-e9ae-4dd6-96a1-b5f6e2f73c01,2040,,,"[53.5, 44.4]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,138,Mexico,794,"['9bc23b9a-039e-4021-84d5-5bfd8a21af83', 'c9d6a20b-76e1-4256-b3de-fff6ef6822f8']",35,,,,,,,,,,,,,,,,,,Mexico,794,00:18:35.015,Carry,
,,,,"[74.5, 74.5]",,,,,,,,,,,1.224082,,,,,,,,,,,,,,56ac364f-0d29-42f7-a73d-a6ce3dc980e7,2043,,,"[76.3, 75.5]",3857260,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carlos Uriel Antuna Romero,15452.0,Right Wing,138,Mexico,794,"['2776852f-cde0-4034-9b09-e75b72fd756f', '986b4682-ec75-4260-8fcc-d02dbe811c68']",38,,,,,,,,,,,,,,,,,,Mexico,794,00:18:38.058,Carry,
,,,,"[81.8, 60.8]",,,,,,,,,,,1.41382,,,,,,,,,,,,,,707fd415-e59d-4484-b9d0-513e6a5cd1e4,2051,,,"[85.4, 62.2]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Orbelín Pineda Alvarado,26280.0,Center Attacking Midfield,139,Mexico,794,"['2020bad0-b648-4546-9342-2190cf764872', '85a9b278-1f09-4e8d-a035-4773540b1ba7', '8b2aeba6-10ba-4e20-9436-95dd06fa745f']",2,,,,,,,,,,,,,,,,,,Mexico,794,00:19:02.316,Carry,True
,,,,"[67.5, 48.3]",,,,,,,,,,,0.892254,,,,,,,,,,,,,,5e7d9d0f-cd63-4138-b6aa-c071bef59c02,2054,,,"[69.9, 52.9]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Luis Gerardo Chávez Magallón,28825.0,Left Defensive Midfield,139,Mexico,794,"['01aad3cc-cdf6-4f72-a3f7-5ab5e4dfd58c', '88d3cad1-3591-4879-a4ae-d18d176b59e6']",4,,,,,,,,,,,,,,,,,,Mexico,794,00:19:04.460,Carry,
,,,,"[66.7, 21.3]",,,,,,,,,,,0.907422,,,,,,,,,,,,,,99623945-35a6-45e6-b2d0-e1766b0a6ebb,2057,,,"[66.7, 21.3]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,139,Mexico,794,"['167f0dfb-3f05-480c-ad08-9ac410eb46ea', 'adcd166d-75ba-4a23-bd40-2e50fe86c588']",7,,,,,,,,,,,,,,,,,,Mexico,794,00:19:07.263,Carry,
