50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.096824,,,,,,,,,,,,2fe32187-b15e-4d5e-921e-32e0704fccee,2117,,,"[7.0, 44.1]",3857281,48,True,,,-1.5707964,,Right Foot,,,,"[7.0, 21.4]",,Ground Pass,,22.7,,,,,Joško Gvardiol,33018.0,,,,,Goal Kick,2,From Goal Kick,Dominik Livaković,16531.0,Goalkeeper,95,Croatia,785,['d6d35612-66b2-4ecc-bc4c-ce87ede7478a'],47,,,,,,,,,,,,,,,,,Croatia,785,00:03:47.887,Pass,
,,,,,,,,,,,,,,,,,1.136066,,,,,,,,,,,,e08c41cd-801a-4ff5-928b-2fadbc35aa56,2119,,,"[7.0, 21.4]",3857281,48,,,,-1.1568707,,Right Foot,,,,"[14.6, 4.1]",,Ground Pass,,18.895767,,,,,Borna Sosa,12625.0,,,,,,2,From Goal Kick,Joško Gvardiol,33018.0,Left Center Back,95,Croatia,785,['d8285dd8-7df3-440a-a1a0-1761bc1ea97c'],51,,,,,,,,,,,,,,,,,Croatia,785,00:03:51.033,Pass,
,,,,,,,,,,,,,,,,,2.717135,,,,,,,,,,,,e8aec8d8-48b7-4308-ad74-de192d493c65,2122,,,"[14.6, 4.1]",3857281,48,,,,0.28163043,,Left Foot,,,,"[66.1, 19.0]",,High Pass,,53.612125,,,Incomplete,,Marko Livaja,22041.0,,,,,,2,From Goal Kick,Borna Sosa,12625.0,Left Back,95,Croatia,785,"['4b37f712-aae5-4f7b-a3c9-f6a5a7beb2bd', '92dec471-d47e-43f3-919e-4b0cc6359b32']",53,,,,,,,,,,,,,,,,,Croatia,785,00:03:53.379,Pass,
,,,,,,,,,,,,,,,,,1.627899,,,,,,,,,,,,4b37f712-aae5-4f7b-a3c9-f6a5a7beb2bd,2124,,,"[54.0, 61.1]",3857281,48,,,,0.64667237,,Other,,,,"[69.1, 72.5]",,Low Pass,,18.920095,,,,,Tajon Buchanan,24024.0,,,,,Interception,2,From Goal Kick,Steven de Sousa Vitoria,11846.0,Center Back,95,Croatia,785,"['6e427287-a303-4118-9fe9-d3d209dd430c', 'e8aec8d8-48b7-4308-ad74-de192d493c65']",56,,,,,,,,,,,,,,,,,Canada,1833,00:03:56.096,Pass,
,,,,,,,,,,,,,,,,,1.984508,,,,,,,,,,,,3391bab8-fdf1-4f65-860e-48db4fc60da7,2127,,,"[72.5, 76.0]",3857281,48,,,,-0.5771227,,Right Foot,,,,"[96.0, 60.7]",,Ground Pass,,28.041754,,,Incomplete,,Jonathan Osorio,12770.0,,,,,,2,From Goal Kick,Tajon Buchanan,24024.0,Right Wing Back,95,Croatia,785,"['0b04ad80-f1ba-4b44-a733-c51407fefc45', 'e7cd24ca-bbab-4482-9ad2-8a3d6467e880']",59,,,,,,,,,,,,,,,,,Canada,1833,00:03:59.565,Pass,
,,,,,,,,,,,,,,,,,1.150251,,,,,,,,,,,,486020b6-bd41-4228-81c2-88e6d456998b,2132,,,"[25.0, 7.5]",3857281,49,,,,-0.24326046,,Left Foot,,,,"[38.7, 4.1]",,Ground Pass,,14.115594,,,,,Mateo Kovačić,5456.0,,,,,,2,From Goal Kick,Joško Gvardiol,33018.0,Left Center Back,95,Croatia,785,['d74dc47a-1bc0-4dc8-893d-64426e1da620'],3,,,,,,,,,,,,,,,,,Croatia,785,00:04:03.226,Pass,
,,,,,,,,,,,,,,,,,1.290008,,,,,,,,,,,,fbf7c0ad-6ebf-4c59-96ae-92706751d93e,2136,,,"[33.9, 13.9]",3857281,49,,,,1.8597717,,Right Foot,,,,"[26.2, 39.8]",,Ground Pass,,27.020363,,,,,Dejan Lovren,3471.0,,,,,,2,From Goal Kick,Mateo Kovačić,5456.0,Left Center Midfield,95,Croatia,785,"['2bd75898-66dc-4a0e-a014-4c159fad99c1', '83f7ccc7-ac40-4329-98a6-7ef35229ef4b']",7,,,,,,,,,,,,,,,,,Croatia,785,00:04:07.031,Pass,True
,,,,,,,,,,,,,,,,,2.222092,,,,,,,,,,,,7e6c7ff4-b6cb-4fc2-ac09-b8dc36f9cf91,2139,,,"[26.8, 42.8]",3857281,49,,,,1.0560361,,Left Foot,,,,"[44.9, 74.8]",,Ground Pass,,36.764248,,,,,Josip Juranović,29163.0,,,,,,2,From Goal Kick,Dejan Lovren,3471.0,Right Center Back,95,Croatia,785,['25e92874-ca60-48e7-bd1b-9a629846b219'],9,,,,,,,,,,,,,,,,,Croatia,785,00:04:09.619,Pass,
,,,,,,,,,,,,,,,,,0.717745,,,,,,,,,,,,c6a84957-5c78-4bdc-b5fc-d0ee38dc6f7a,2142,,,"[56.3, 72.0]",3857281,49,,,,0.70492715,,Right Foot,,,,"[63.0, 77.7]",,Ground Pass,,8.79659,,,,,Andrej Kramarić,5460.0,,,,,,2,From Goal Kick,Josip Juranović,29163.0,Right Back,95,Croatia,785,['439e2a47-748b-4fff-ae1a-a843d870ef08'],13,,,,,,,,,,,,,,,,,Croatia,785,00:04:13.231,Pass,
,,,,,,,,,,,,,,,,,1.251136,,,,,,,,,,,,3f30e228-8a30-41e3-9c42-aac75ead8f55,2145,,,"[63.0, 77.7]",3857281,49,,,,-2.641152,,Right Foot,,,,"[50.2, 70.7]",,Ground Pass,,14.589037,,,,,Luka Modrić,5463.0,,,,,,2,From Goal Kick,Andrej Kramarić,5460.0,Right Wing,95,Croatia,785,['95a7aacc-43fd-4644-a4c9-469d6503e326'],14,,,,,,,,,,,,,,,,,Croatia,785,00:04:14.029,Pass,
,,,,,,,,,,,,,,,,,1.202176,,,,,,,,,,,,b79b6399-d5a9-4444-8053-dc811c8dc0dc,2148,,,"[50.2, 70.7]",3857281,49,,,,0.7786869,,Right Foot,,,,"[57.7, 78.1]",,Ground Pass,,10.536128,,,,,Andrej Kramarić,5460.0,,,,,,2,From Goal Kick,Luka Modrić,5463.0,Right Center Midfield,95,Croatia,785,['8565a7c2-df24-483c-8aa3-0fe11093865c'],16,,,,,,,,,,,,,,,,,Croatia,785,00:04:16.123,Pass,
,,,,,,,,,,,,,,,,,1.330979,,,,,,,,,,,,7902ed6b-01a6-4d8d-a8c3-5590a58353da,2151,,,"[61.6, 74.4]",3857281,49,,,,-2.864367,,Right Foot,,,,"[49.3, 70.9]",,Ground Pass,,12.788276,,,,,Luka Modrić,5463.0,,,,,,2,From Goal Kick,Andrej Kramarić,5460.0,Right Wing,95,Croatia,785,['c3531701-6616-449e-8255-150ed6f19102'],19,,,,,,,,,,,,,,,,,Croatia,785,00:04:19.344,Pass,
,,,,,,,,,,,,,,,,,1.529462,,,,,,,,,,,,08e94fa1-9089-4037-baf2-bd016abf57ca,2155,,,"[42.9, 74.8]",3857281,49,,,,0.109089,,Right Foot,,,,"[63.9, 77.1]",,Ground Pass,,21.125576,,,,,Josip Juranović,29163.0,,,,,,2,From Goal Kick,Luka Modrić,5463.0,Right Center Midfield,95,Croatia,785,"['04facb1b-3b37-4865-90e6-55c90a48877d', '48094922-8e76-4a9f-954e-01b58e0fff56']",22,,,,,,,,,,,,,,,,,Croatia,785,00:04:22.758,Pass,True
,,,,,,,,,,,,,,,,,0.589512,,,,,,,,,,,,dfec1be1-9e6a-4aab-8f16-622525bd3c66,2159,,,"[57.4, 76.0]",3857281,49,,,,-2.2702003,,Right Foot,,,,"[52.1, 69.7]",,Ground Pass,,8.232861,,,,,Marcelo Brozović,5469.0,,,,,,2,From Goal Kick,Josip Juranović,29163.0,Right Back,95,Croatia,785,['b723e020-d869-4191-999b-d173d0c8770b'],25,,,,,,,,,,,,,,,,,Croatia,785,00:04:25.479,Pass,
,,,,,,,,,,,,,,,,,1.160587,,,,,,,,,,,,ded8272f-79fc-4beb-a5f3-55303fba04b9,2161,,,"[51.0, 69.8]",3857281,49,,,,2.158799,,Right Foot,,,,"[46.0, 77.3]",,Ground Pass,,9.013878,,,,,Luka Modrić,5463.0,,,,,,2,From Goal Kick,Marcelo Brozović,5469.0,Center Defensive Midfield,95,Croatia,785,['7cc6a771-073b-44f1-a510-88b8d613b9cb'],26,,,,,,,,,,,,,,,,,Croatia,785,00:04:26.069,Pass,
,,,,,,,,,,,,,,,,,2.596352,,,,,,,,,,,,941dda41-4afd-413d-8f68-396c0b9438dc,2164,,,"[46.0, 77.3]",3857281,49,,,,-0.15865526,,Right Foot,,,,"[98.5, 68.9]",,Low Pass,,53.167755,,,Incomplete,,Marko Livaja,22041.0,,,,,,2,From Goal Kick,Luka Modrić,5463.0,Right Center Midfield,95,Croatia,785,"['58ba1415-6577-4c2f-b92b-fa8dac6cc3c1', '5f5e9105-aa33-47c0-8709-57a72cf2ab2f']",28,,,,,,,,,,,,,,,,,Croatia,785,00:04:28.461,Pass,
,,,,,,,,,,,,,,,,,2.684944,,,,,,,,,,,,c7d42d8e-59a2-4c76-bf71-7574d9cda3f0,2169,,,"[15.0, 17.6]",3857281,49,,,,2.0253532,,Right Foot,,,,"[4.2, 39.7]",,Ground Pass,,24.597765,,,,,Milan Borjan,15958.0,,,,,,2,Regular Play,Steven de Sousa Vitoria,11846.0,Center Back,96,Canada,1833,['6e90ebb2-08c9-4c65-91b3-85980030f40e'],32,,,,,,,,,,,,,,,,,Canada,1833,00:04:32.396,Pass,
,,,,,,,,,,,,,,,,,3.153942,,,,,,,,,,,,64021544-308e-4e7e-bba2-85194a0d9761,2172,,,"[8.5, 52.2]",3857281,49,,,,0.30700558,,Right Foot,,,,"[63.7, 69.7]",,High Pass,,57.9076,,,,,Jonathan David,23640.0,,,,,,2,Regular Play,Milan Borjan,15958.0,Goalkeeper,96,Canada,1833,['90eb9f4a-d163-45c1-9e96-575441a1094b'],38,,,,,,,,,,,,,,,,,Canada,1833,00:04:38.712,Pass,
,,,,,,,,,,,,,,,,,1.754129,,,,,,,,,,,,4b1dcf46-faea-4216-b7ca-feb5d09bdaad,2175,,,"[63.7, 69.7]",3857281,49,,,True,3.1311219,,,,,,"[44.6, 69.9]",,High Pass,,19.101048,,,,,Tajon Buchanan,24024.0,,,,,,2,Regular Play,Jonathan David,23640.0,Right Center Forward,96,Canada,1833,"['2deb6b03-1610-43a5-b9b3-0f72aed4ddfe', 'eb8d04f0-5ff1-4886-b3f0-78cd2b684bf9']",41,,,,,,,,,,,,,,,,,Canada,1833,00:04:41.866,Pass,True
,,,,,,,,,,,,,,,,,1.408235,,,,,,,,,,,,78e7e056-7e82-41e1-87af-871ca234d93c,2179,,,"[66.5, 15.7]",3857281,49,,,,2.4421887,,Right Foot,,,,"[60.2, 21.0]",,Ground Pass,,8.232861,,,,,Marcelo Brozović,5469.0,,,,,Recovery,2,Regular Play,Ivan Perišić,5474.0,Left Wing,97,Croatia,785,['da28b818-0e81-4f17-9676-a62abec4a0c5'],46,,,,,,,,,,,,,,,,,Croatia,785,00:04:46.037,Pass,
