ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.609061,,,,,,,,,,,,,6cc97331-5a0d-4446-8dda-d3441061f68d,16,,,"[32.9, 20.9]",3857285,0,,,,1.8120366,,Left Foot,,,,"[26.7, 46.1]",,Ground Pass,,25.951492,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['e52d5d41-6ac2-4512-87c2-57388af990fb'],11,,,,,,,,,,,,,,,,,Netherlands,941,00:00:11.809,Pass,
,,,,,,,,,,,,,,,,1.609056,,,,,,,,,,,,,893412b8-c70f-46cb-9b27-9912dc337890,19,,,"[26.7, 46.1]",3857285,0,,,,-1.2961024,,Right Foot,,,,"[32.9, 24.1]",,Ground Pass,,22.856947,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Center Back,2,Netherlands,941,['0b1a9fe8-c02c-4b5c-a9db-c5298424caeb'],14,,,,,,,,,,,,,,,,,Netherlands,941,00:00:14.863,Pass,
,,,,,,,,,,,,,,,,1.256461,,,,,,,,,,,,,53b96fa8-3276-4c5f-859e-8547c0da383a,22,,,"[41.5, 22.2]",3857285,0,,,,2.0693135,,Left Foot,,,,"[32.3, 39.1]",,Ground Pass,,19.241882,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['21924ad2-e71a-41e9-a53a-e014813be373'],20,,,,,,,,,,,,,,,,,Netherlands,941,00:00:20.981,Pass,
,,,,,,,,,,,,,,,,1.465618,,,,,,,,,,,,,9639ecc9-17a8-41bf-9049-714e826f7050,25,,,"[34.2, 39.2]",3857285,0,,,,-1.3292307,,Right Foot,,,,"[37.6, 25.4]",,Ground Pass,,14.21267,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Center Back,2,Netherlands,941,['3b850593-4c6f-4bcf-a504-643d5518341b'],25,,,,,,,,,,,,,,,,,Netherlands,941,00:00:25.171,Pass,
,,,,,,,,,,,,,,,,1.321378,,,,,,,,,,,,,892ad5ee-1463-41d9-9cf7-b52a4c806d63,28,,,"[37.7, 23.0]",3857285,0,,,,-1.176669,,Left Foot,,,,"[46.6, 1.6]",,Ground Pass,,23.176928,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['e7b88f03-a3e3-41e1-8b84-e80d38bf7d11'],27,,,,,,,,,,,,,,,,,Netherlands,941,00:00:27.358,Pass,
,,,,,,,,,,,,,,,,1.534099,,,,,,,,,,,,,dbda9ef0-9273-4d00-8d87-cb1c1ff78515,30,,,"[46.6, 1.6]",3857285,0,,,,2.4047673,,Left Foot,,,,"[31.5, 15.3]",,Ground Pass,,20.388721,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Wing Back,2,Netherlands,941,['3fe494d0-e17f-4875-8a49-255945d24165'],28,,,,,,,,,,,,,,,,,Netherlands,941,00:00:28.679,Pass,
,,,,,,,,,,,,,,,,0.884934,,,,,,,,,,,,,203458b6-4c2f-4a52-ad98-a635d9474700,33,,,"[32.9, 17.6]",3857285,0,,,,0.27043614,,Left Foot,,,,"[43.0, 20.4]",,Ground Pass,,10.480935,,,Steven Berghuis,7745.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['3177e626-8288-42ec-b7e0-8535d93f71b4'],31,,,,,,,,,,,,,,,,,Netherlands,941,00:00:31.600,Pass,
,,,,,,,,,,,,,,,,1.016037,,,,,,,,,,,,,02d95e67-0b82-4650-b54b-02df19f2f225,37,,,"[40.7, 21.9]",3857285,0,,,,-2.97531,,Left Foot,,,,"[26.4, 19.5]",,Ground Pass,,14.5,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Steven Berghuis,7745.0,Right Defensive Midfield,2,Netherlands,941,"['569c10bb-fc25-47cd-a9b5-f35ff561c18e', 'e1032c0f-1cce-4628-bc80-c98c2da518e8']",33,,,,,,,,,,,,,,,,,Netherlands,941,00:00:33.124,Pass,True
,,,,,,,,,,,,,,,,1.165729,,,,,,,,,,,,,2b4867e6-9f92-44f5-b422-d8aa462a1797,40,,,"[26.4, 19.5]",3857285,0,,,,1.7059959,,Left Foot,,,,"[22.7, 46.7]",,Ground Pass,,27.4505,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['0f056939-b6cc-4c77-9cbe-2928b76a7475'],35,,,,,,,,,,,,,,,,,Netherlands,941,00:00:35.051,Pass,
,,,,,,,,,,,,,,,,0.953238,,,,,,,,,,,,,aa5db76d-a0b1-4749-9cfb-7e23db4c0f08,43,,,"[21.9, 53.6]",3857285,0,,,,1.0261456,,Right Foot,,,,"[34.5, 74.4]",,Ground Pass,,24.318718,,,Matthijs de Ligt,8069.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Center Back,2,Netherlands,941,['ad1da7b9-94fe-4540-b513-1116ef1f2653'],38,,,,,,,,,,,,,,,,,Netherlands,941,00:00:38.337,Pass,
