50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[62.9, 17.8]",,,,,,,,,,,,1.342659,,,,,,,,,,,,c9bce9e5-9d2d-4784-9ca8-4e14e0f02d8a,743,,"[69.3, 17.8]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,33,Switzerland,773,"['2fc4e6e1-cdb4-47a9-94eb-315e5c1dd303', 'e20abeb2-0512-46c1-9bb0-cb65469d48e7']",1,,,,,,,,,,,,,,,,,Switzerland,773,00:17:01.654,Carry,
,,,"[50.4, 23.7]",,,,,,,,,,,,1.044079,,,,,,,,,,,,fb64bc38-c68d-4a4d-a50f-793f8c7cfc05,746,,"[50.6, 21.8]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nico Elvedi,8814.0,Left Center Back,33,Switzerland,773,"['23d25a63-c674-4687-a40d-c22b46f6291f', '25d7c0ba-399a-4633-9cd9-14b1bcdb2a16']",4,,,,,,,,,,,,,,,,,Switzerland,773,00:17:04.259,Carry,
,,,"[51.2, 49.1]",,,,,,,,,,,,2.28206,,,,,,,,,,,,16a0d1b3-104d-43dc-bbca-f6259025ddb5,749,,"[49.5, 49.1]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Right Center Back,33,Switzerland,773,"['61f8bbb6-c45e-4d3d-8c38-1b8fb5eb801f', 'a6cf5667-42ed-4933-bfca-ddb46a510374']",6,,,,,,,,,,,,,,,,,Switzerland,773,00:17:06.699,Carry,
,,,"[67.0, 22.2]",,,,,,,,,,,,3.749185,,,,,,,,,,,,86b415aa-a132-4689-b503-32fba12e09d0,752,,"[51.8, 29.9]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nico Elvedi,8814.0,Left Center Back,33,Switzerland,773,"['6c37f409-169f-44f1-bbc3-59156396a3e7', 'f9f7cd09-fd2c-4c33-a8a4-5a717e7fee82']",10,,,,,,,,,,,,,,,,,Switzerland,773,00:17:10.341,Carry,
,,,"[78.5, 27.0]",,,,,,,,,,,,2.964032,,,,,,,,,,,,d73792c9-4799-4998-b745-0498687d0e8f,756,,"[83.3, 23.5]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Breel-Donald Embolo,5545.0,Center Forward,33,Switzerland,773,"['09edaf72-6361-4ac4-9cf5-86b82e71afd0', '1dc6885c-970a-4391-957f-77119e8a854c', 'f9afab63-b388-4e0e-97d8-808b00047208']",15,,,,,,,,,,,,,,,,,Switzerland,773,00:17:15.473,Carry,True
,,,"[70.4, 51.1]",,,,,,,,,,,,2.985077,,,,,,,,,,,,9cb4667a-59b0-47ee-825f-f31f9f214582,759,,"[70.4, 50.9]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,33,Switzerland,773,"['3eb4267a-22e0-4c27-95b6-13098df963f5', '6eed2b30-e852-4b27-90d6-cb85e3c9b870']",19,,,,,,,,,,,,,,,,,Switzerland,773,00:17:19.574,Carry,
,,,"[72.9, 42.6]",,,,,,,,,,,,1.123396,,,,,,,,,,,,552b8c78-1b99-4eba-bcc5-d38ec010ffb3,762,,"[79.9, 45.1]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Djibril Sow,16026.0,Center Attacking Midfield,33,Switzerland,773,"['930f5cf3-428e-40ee-bcd2-d8fe6e442958', 'c5d938e2-d791-415c-80c2-24868a13a387', 'fe36cfcf-3ffe-422d-888a-f518480ea00c']",23,,,,,,,,,,,,,,,,,Switzerland,773,00:17:23.616,Carry,True
,,,"[70.1, 22.2]",,,,,,,,,,,,1.319381,,,,,,,,,,,,e28527c6-5403-4973-9d56-a6ca2fe4f209,766,,"[68.5, 25.1]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nico Elvedi,8814.0,Left Center Back,33,Switzerland,773,"['af774e05-6bed-48f9-98a6-00c2c9f3e995', 'f2b628f4-2a36-4f09-b99f-2869edaf2c6b']",26,,,,,,,,,,,,,,,,,Switzerland,773,00:17:26.723,Carry,
,,,"[80.1, 2.2]",,,,,,,,,,,,2.349474,,,,,,,,,,,,e59b37ee-ba4f-49e8-b30b-8a395268505c,769,,"[77.6, 3.0]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,33,Switzerland,773,"['435cb8ab-f8c3-4f39-bfd0-187f11c15707', '52dc6d85-91a1-4814-a82d-1a0cb4fbc3db']",29,,,,,,,,,,,,,,,,,Switzerland,773,00:17:29.286,Carry,
,,,"[82.0, 19.3]",,,,,,,,,,,,2.77804,,,,,,,,,,,,45c94c82-1961-4785-9345-b0c596284578,773,,"[83.0, 15.3]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Breel-Donald Embolo,5545.0,Center Forward,33,Switzerland,773,"['071ebb85-8353-4ff2-8378-511a76c3ea5a', '98a46d19-1f27-4e0d-9862-3de63559eaf4', 'f6d139fa-80b8-4c14-a05b-0188a413b8cd']",32,,,,,,,,,,,,,,,,,Switzerland,773,00:17:32.422,Carry,True
,,,"[83.7, 28.0]",,,,,,,,,,,,1.061803,,,,,,,,,,,,4c4615f9-8e18-4141-8a8e-46f92872ded9,776,,"[83.7, 28.0]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,33,Switzerland,773,"['99752ced-ae81-4e2a-ad70-04d8d5ccce6a', 'c640739f-4b8e-4094-92aa-5cbc4426ea10']",36,,,,,,,,,,,,,,,,,Switzerland,773,00:17:36.567,Carry,
,,,"[93.7, 75.9]",,,,,,,,,,,,6.175614,,,,,,,,,,,,ad23448c-3c66-44fe-a6ef-fbf3a17a1a1a,779,,"[82.8, 47.0]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,33,Switzerland,773,"['21cfc3ae-fd66-4825-99cb-fe6364ca8e4f', 'e9c75849-1821-4b7b-9435-da4adf220d8b', 'ea6abc29-f6a9-4d4f-8823-8fcd007abde1']",38,,,,,,,,,,,,,,,,,Switzerland,773,00:17:38.555,Carry,True
,,,"[75.3, 62.8]",,,,,,,,,,,,3.804707,,,,,,,,,,,,d073a3d8-d079-407c-a7ec-a570e5a596ad,783,,"[68.1, 58.0]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Right Center Back,33,Switzerland,773,"['73c852ad-35c6-4757-b56c-2ac3235e9bfa', 'a58d31b7-b936-4e33-a8a0-123170120c25', 'd5a84ebc-7347-4364-9581-5f9990351140']",46,,,,,,,,,,,,,,,,,Switzerland,773,00:17:46.457,Carry,True
