50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873a4a77-da5c-43cc-aacd-c48131aa8495,1763,,,"[81.4, 29.2]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,85,England,768,['5f7fa52d-9194-43e2-b155-4f68639189d9'],54,,,,,,,,,,,,,,,,,England,768,00:45:54.057,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658c1661-a8b7-494a-a8b5-9e062ed62e7f,1767,,,"[90.5, 47.6]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bukayo Saka,22084.0,Right Wing,85,England,768,"['23fde3fd-1259-45cf-a788-7e4fc0357ec6', '2c174fe1-e14b-4c0f-8bef-8e52a16abd35']",57,,,,,,,,,,,,,,,,,England,768,00:45:57.002,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994bae33-2470-41e4-9ca1-8b612b6a7757,1771,,,"[23.0, 35.2]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,86,France,771,['16339df4-1e73-4af3-84e1-a7138533dbe6'],59,,,,,,,,,,,,,,,,,France,771,00:45:59.220,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f628f4-ad55-4fb3-9e1a-3a349a3639f6,1774,,,"[29.0, 44.0]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,86,France,771,['e63266ab-75ea-4a44-beb5-0e51fa0fc8d6'],0,,,,,,,,,,,,,,,,,France,771,00:46:00.681,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0dd883-49d2-4b39-b083-ae789f36055b,1777,,,"[36.2, 34.9]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,86,France,771,['72118a7b-d5ec-4852-b20f-eaf0b00671b3'],2,,,,,,,,,,,,,,,,,France,771,00:46:02.259,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5692e88d-c449-4a6f-93f9-7d907104b451,1780,,,"[65.2, 7.0]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,86,France,771,['f9d7a6d5-077a-4e19-bf08-57242cb0976f'],5,,,,,,,,,,,,,,,,,France,771,00:46:05.170,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807e73bf-afbf-4acf-9d96-6469482719f3,1784,,,"[70.4, 25.5]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,86,France,771,"['ec02ead2-cb4f-4f91-8d61-e79178cb0922', 'ff79e693-3439-4ec0-96cb-9c1f39742175']",10,,,,,,,,,,,,,,,,,France,771,00:46:10.444,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732853d4-96df-4eed-a649-6197a7648275,1787,,,"[68.6, 35.2]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,86,France,771,['1a7bfb5e-7fe2-4ec8-a32f-23d8290e5a3f'],11,,,,,,,,,,,,,,,,,France,771,00:46:11.789,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70ec9aad-9f93-4746-bc54-cf1bc06d3e09,1790,,,"[77.3, 72.2]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,86,France,771,['dbfe6e69-86e7-4b41-8926-52d89b06e00b'],14,,,,,,,,,,,,,,,,,France,771,00:46:14.889,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a6ba7309-4bbc-445e-9b2c-069134f9ed58,1793,,,"[82.8, 76.4]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,86,France,771,['4bdcd09c-78d4-410a-889e-7b60d840494f'],16,,,,,,,,,,,,,,,,,France,771,00:46:16.389,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1cec58ac-7df5-4b5b-803d-1401c690c9ca,1796,,,"[76.9, 66.2]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,86,France,771,['ecdc218d-f921-466b-a516-7afc2fedea64'],18,,,,,,,,,,,,,,,,,France,771,00:46:18.493,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5f68b83-576e-4d94-b168-9207e922ad50,1799,,,"[73.9, 75.0]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,86,France,771,['68ec6ca5-9975-4a5c-a3e7-d713d486b497'],21,,,,,,,,,,,,,,,,,France,771,00:46:21.308,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56e1ceb5-e5c9-4758-938b-3f4e76d14004,1802,,,"[64.4, 60.3]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,86,France,771,['5786683b-7a4b-4325-8fe9-c3836c1718c5'],22,,,,,,,,,,,,,,,,,France,771,00:46:22.895,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c9e75f1-fc98-41b8-82c2-d35c869d8d81,1805,,,"[66.1, 76.0]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,86,France,771,['4837d8e5-911d-45fb-b57a-58244d447cf7'],28,,,,,,,,,,,,,,,,,France,771,00:46:28.518,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e91169a-dcd6-4529-bb69-30cc28c361bf,1807,,,"[62.0, 65.1]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,86,France,771,['82a1d238-c6b9-458c-9151-3b95567ff395'],29,,,,,,,,,,,,,,,,,France,771,00:46:29.407,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348fd60-70d9-43dc-a3bc-b00b3112926a,1810,,,"[51.9, 39.8]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,86,France,771,['a21bce57-f749-49ee-8854-9e1380a4ee52'],32,,,,,,,,,,,,,,,,,France,771,00:46:32.804,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178028b3-07dc-40d7-892c-ba9d5cbf080d,1813,,,"[64.3, 4.8]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Theo Bernard François Hernández,6704.0,Left Back,86,France,771,['df1f390d-a95f-431d-8819-b275c9aa7f3c'],40,,,,,,,,,,,,,,,,,France,771,00:46:40.063,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c7393e1-f6be-441f-870f-4c6d3c1acfcd,1816,,,"[76.7, 4.6]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,86,France,771,['4488b017-92f4-4109-9d0a-f91809ffb780'],41,,,,,,,,,,,,,,,,,France,771,00:46:41.916,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12264160-c82d-4645-bbc7-45e5e307197b,1823,,,"[59.4, 12.2]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,86,France,771,['2ad5862f-267e-4360-a034-f3e0a2ba6503'],44,,,,,,,,,,,,,,,,,France,771,00:46:44.949,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a2353c3-874a-4160-a0cd-a1b66739418a,1826,,,"[46.2, 26.9]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,86,France,771,['07ac794f-40f7-4b26-8199-cf6217917f8c'],47,,,,,,,,,,,,,,,,,France,771,00:46:47.015,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889ef58-bd86-4e07-a897-1adcee813b61,1829,,,"[32.7, 47.4]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,86,France,771,['ad98756b-f81a-4136-9e4d-6bfbdf0a0273'],53,,,,,,,,,,,,,,,,,France,771,00:46:53.210,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9ee2c3d-5ef1-41b5-a4e3-66d6d86f2a2c,1832,,,"[38.5, 24.7]",3869354,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,86,France,771,['86c0d848-0fec-4068-8f41-53bb9f1eb537'],57,,,,,,,,,,,,,,,,,France,771,00:46:57.131,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b13acf56-708a-46bd-8d4a-29390d3278de,1836,,,"[15.3, 24.0]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Harry Maguire,3336.0,Left Center Back,87,England,768,['53dd52c0-740f-4f5d-9889-d91df3e099d0'],12,,,,,,,,,,,,,,,,,England,768,00:47:12.754,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aae7cca1-cfd0-46d2-a2d3-c85265095014,1839,,,"[34.5, 41.7]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,John Stones,3244.0,Right Center Back,87,England,768,['eab64173-c741-4a11-b1cd-99df58a099d7'],21,,,,,,,,,,,,,,,,,England,768,00:47:21.860,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab63051b-27d2-4167-85ca-8bf221f93629,1842,,,"[58.2, 66.2]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Bukayo Saka,22084.0,Right Wing,87,England,768,['9785ee5a-b2bc-48e9-af32-984e5a0accb9'],28,,,,,,,,,,,,,,,,,England,768,00:47:28.786,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4183fefc-acae-482a-8afe-14db5aa1b0d5,1846,,,"[40.1, 45.6]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,John Stones,3244.0,Right Center Back,87,England,768,['49bfa6cd-a46c-4c48-bdd2-88c7fc7fdb0e'],32,,,,,,,,,,,,,,,,,England,768,00:47:32.667,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c6e5e6-f3b4-4632-b683-57dbb46a5f5f,1849,,,"[64.0, 4.4]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Harry Maguire,3336.0,Left Center Back,87,England,768,['acf9c773-8b4d-48eb-8e1f-638322e75885'],40,,,,,,,,,,,,,,,,,England,768,00:47:40.133,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cfb6255-8c4f-4e04-9efa-e31e151f860c,1852,,,"[79.4, 2.5]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Luke Shaw,3382.0,Left Back,87,England,768,['75247d80-a2e1-453b-89de-e5b9eb314b47'],42,,,,,,,,,,,,,,,,,England,768,00:47:42.269,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d81c066-8b42-4321-a467-b3a25167dbe9,1855,,,"[64.0, 8.3]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Harry Maguire,3336.0,Left Center Back,87,England,768,['281fac10-f560-4073-b734-a283c82a420a'],44,,,,,,,,,,,,,,,,,England,768,00:47:44.936,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c92b1bf-5c0e-4663-8e38-5b843ed66c66,1858,,,"[107.7, 10.5]",3869354,47,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Luke Shaw,3382.0,Left Back,87,England,768,['8ea2453d-a2f5-469a-97db-22823ece046c'],48,,,,,,,,,,,,,,,,,England,768,00:47:48.388,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e7cb4f5-d580-46ad-b67c-044e849b0e7b,1862,,,"[93.3, 75.8]",3869354,48,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jude Bellingham,30714.0,Left Center Midfield,88,England,768,['e4847b26-1049-4939-9c88-681f39d4318f'],36,,,,,,,,,,,,,,,,,England,768,00:48:36.428,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01f8a022-6c7c-4d84-8b2a-133ad5e6bbac,1865,,,"[96.1, 61.6]",3869354,48,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bukayo Saka,22084.0,Right Wing,88,England,768,['546e07df-7a3c-4874-8f6f-fb2530c5066a'],37,,,,,,,,,,,,,,,,,England,768,00:48:37.324,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71de1dd8-b330-41c0-ba00-208aca8b890e,1867,,,"[26.7, 4.2]",3869354,48,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Theo Bernard François Hernández,6704.0,Left Back,88,England,768,['95a83354-a199-425a-9b6c-985c2b8e97a0'],38,,,,,,,,,,,,,,,,,France,771,00:48:38.986,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6a16ed9-8730-428a-8000-7ffd8958babc,1881,,,"[52.9, 36.5]",3869354,49,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Harry Maguire,3336.0,Left Center Back,90,England,768,['e58ea885-8a9f-4c1d-a022-094215105b08'],47,,,,,,,,,,,,,,,,,England,768,00:49:47.793,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303c6d57-090b-48b7-b49c-256c045c6525,1884,,,"[59.5, 33.8]",3869354,49,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Declan Rice,3943.0,Center Defensive Midfield,90,England,768,['2866dda8-2bd4-490c-b64a-f6b80eec6c61'],49,,,,,,,,,,,,,,,,,England,768,00:49:49.656,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b39f3a3d-d3ec-4a58-b1d2-5cfb0090b0ec,1886,,,"[47.0, 30.3]",3869354,49,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Harry Maguire,3336.0,Left Center Back,90,England,768,['a6c23425-4019-4b59-adda-a010c15f3809'],51,,,,,,,,,,,,,,,,,England,768,00:49:51.299,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abfec7c1-4fd3-4900-be01-04e0d8c7ba85,1888,,,"[46.6, 48.8]",3869354,49,,,,,,,,,,,,,,,,,,,,,,,,1,Other,John Stones,3244.0,Right Center Back,90,England,768,['571defc0-5e07-4a8f-99d7-d8baf9fdd839'],52,,,,,,,,,,,,,,,,,England,768,00:49:52.986,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c72976e-772a-4971-b8b2-1aa8e5b2a7f1,1894,,,"[44.5, 38.5]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Harry Maguire,3336.0,Left Center Back,91,England,768,['511f8679-5242-457d-a4d7-9057a1abfe13'],2,,,,,,,,,,,,,,,,,England,768,00:00:02.266,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4d06386-121a-46a3-b2e3-5bcdde165fcd,1897,,,"[44.1, 55.6]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,John Stones,3244.0,Right Center Back,91,England,768,['19e52ec9-e768-4ba2-9f2d-6cf74a5292cc'],4,,,,,,,,,,,,,,,,,England,768,00:00:04.768,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ecbf576-d4dd-44eb-99fd-1417da756e37,1901,,,"[57.2, 60.3]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Jordan Brian Henderson,3532.0,Right Center Midfield,91,England,768,['dee2e85e-7a4a-4b73-81a2-9005e656d31b'],6,,,,,,,,,,,,,,,,,England,768,00:00:06.473,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4168fcd-63f7-4874-99f1-d5f7ee64cfa7,1904,,,"[55.4, 75.5]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Kyle Walker,3205.0,Right Back,91,England,768,['949cd18e-aae2-488d-a4d7-f49a54efa1d2'],7,,,,,,,,,,,,,,,,,England,768,00:00:07.880,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e64dd22d-46ec-4949-8a6c-93edde50d4d5,1907,,,"[68.7, 76.5]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Jordan Brian Henderson,3532.0,Right Center Midfield,91,England,768,['926b0820-eec0-49b3-b83c-2b4eb1a2a5a0'],12,,,,,,,,,,,,,,,,,England,768,00:00:12.586,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3cb04b9-746f-46cf-957e-44e0d098804f,1910,,,"[59.9, 77.2]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Kyle Walker,3205.0,Right Back,91,England,768,['10ceedee-9787-45ff-b7c9-700a0600578c'],13,,,,,,,,,,,,,,,,,England,768,00:00:13.528,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990ef50-5e28-4c79-ae34-ccc3433c3fb5,1913,,,"[39.2, 68.4]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,John Stones,3244.0,Right Center Back,91,England,768,['c3bce519-dd9c-4650-9c99-797f3b9f4308'],15,,,,,,,,,,,,,,,,,England,768,00:00:15.881,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a17e977-eb9d-4334-a5b0-6a00968388b6,1916,,,"[48.2, 27.8]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Harry Maguire,3336.0,Left Center Back,91,England,768,['02dc56c1-1ec9-46a3-ae8e-c7fd92580457'],20,,,,,,,,,,,,,,,,,England,768,00:00:20.060,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93a9b672-b17c-4587-845a-a31bd21b5dd7,1919,,,"[51.4, 9.4]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Luke Shaw,3382.0,Left Back,91,England,768,['aa77cb18-0869-4c8c-902e-b3b4fd620984'],21,,,,,,,,,,,,,,,,,England,768,00:00:21.682,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51af4331-283e-4511-981b-e31983484927,1921,,,"[65.1, 9.4]",3869354,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Philip Foden,4354.0,Left Wing,91,England,768,['24aaa63e-836b-439f-9296-87508b587a70'],22,,,,,,,,,,,,,,,,,England,768,00:00:22.982,Ball Receipt*,
