50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.228659,,,,,,,,,,,b18eea89-7869-4267-90d1-afe7f2695a5f,15,,,"[36.6, 78.0]",3857273,0,,,,,-0.6147819,,Right Foot,,,,"[69.6, 54.7]",,High Pass,,40.39666,,,Incomplete,,,,,,,,,1,From Throw In,Ramin Rezaeian,5235.0,Right Back,3,Iran,797,['c5327fa3-cc38-46d0-8428-6394bb5432de'],16,,,,,,,,,,,,,,,,,,Iran,797,00:00:16.897,Pass,
,,,,,,,,,,,,,,,,,,,0.932237,,,,,,,,,,,c5327fa3-cc38-46d0-8428-6394bb5432de,16,,,"[50.5, 25.4]",3857273,0,,,,,0.27829966,,Head,,,,"[63.8, 29.2]",,High Pass,,13.832209,,,,,Aaron Ramsey,3517.0,,,,,Recovery,1,From Throw In,Joe Rodon,11250.0,Center Back,3,Iran,797,"['3c644b93-4042-455a-949d-3cab41256824', 'b18eea89-7869-4267-90d1-afe7f2695a5f']",19,,,,,,,,,,,,,,,,,,Wales,907,00:00:19.126,Pass,
,,,,,,,,,,,,,,,,,,,2.931213,,,,,,,,,,,8b936167-7c10-4d8e-ab3a-9b008811c6b9,23,,,"[65.1, 27.5]",3857273,0,,,,,0.11928124,,Right Foot,,,,"[91.8, 30.7]",,High Pass,,26.891077,,,Incomplete,,Kieffer Roberto Francisco Moore,3853.0,,,,,Recovery,1,From Throw In,Ethan Ampadu,4934.0,Center Defensive Midfield,3,Iran,797,"['96efbb16-f73a-4ea4-a335-139dc9c3b4c5', 'c5e842cb-5d61-4176-a3e0-1c2b92180600']",23,,,,,,,,,,,,,,,,,,Wales,907,00:00:23.072,Pass,
,,,,,,,,,,,,,,,,,,,2.098289,,,,,,,,,,,c5e842cb-5d61-4176-a3e0-1c2b92180600,25,,,"[28.3, 49.4]",3857273,0,,,,,-0.16685516,,Head,,,,"[47.3, 46.2]",,High Pass,,19.26759,,,Unknown,,,,,,,,Recovery,1,From Throw In,Seyed Majid Hosseini,5228.0,Right Center Back,3,Iran,797,['8b936167-7c10-4d8e-ab3a-9b008811c6b9'],26,,,,,,,,,,,,,,,,,,Iran,797,00:00:26.004,Pass,
,,,,,,,,,,,,,,,,,,,1.948569,,,,,,,,,,,bdfc7247-3000-4916-b50d-0ca8a4ae56f5,28,,,"[50.5, 45.7]",3857273,0,,,,,-0.6861709,,Right Foot,,,,"[87.5, 15.4]",,High Pass,,47.82353,,,,,Mehdi Taremi,5226.0,,,,,Free Kick,1,From Free Kick,Saeid Ezatolahi Afagh,5722.0,Right Defensive Midfield,4,Iran,797,['094957be-6b90-4a61-a3c7-7d2e3c2e40d1'],37,,,,,,,,,,,,,,,,,,Iran,797,00:00:37.095,Pass,
,,,,,,,,,,,,,,,,,,,1.208536,,,,,,,,,,,be56b2fc-0d49-46b8-b13f-2fd4ce09dc6f,31,,,"[68.7, 10.4]",3857273,0,,,,,-2.8809903,,Right Foot,,,,"[55.2, 6.8]",,Ground Pass,,13.971757,,,,,Milad Mohammadi,5720.0,,,,,,1,From Free Kick,Mehdi Taremi,5226.0,Center Attacking Midfield,4,Iran,797,['864f71a1-b561-4e2b-bced-474630eda9b0'],44,,,,,,,,,,,,,,,,,,Iran,797,00:00:44.335,Pass,
,,,,,,,,,,,,,,,,,,,0.926806,,,,,,,,,,,57dda3c9-af06-4100-9e50-e65be925b1a9,34,,,"[47.1, 6.8]",3857273,0,,,,,2.3561945,,Right Foot,,,,"[36.8, 17.1]",,Ground Pass,,14.5664,,,,,Morteza Pouraliganji,5220.0,,,,,,1,From Free Kick,Milad Mohammadi,5720.0,Left Back,4,Iran,797,['a59db339-4944-4fd9-864f-93ff60317bc5'],46,,,,,,,,,,,,,,,,,,Iran,797,00:00:46.787,Pass,
,,,,,,,,,,,,,,,,,,,1.884841,,,,,,,,,,,2c5c59e9-764b-4b2c-aafc-1224a3e21203,37,,,"[36.4, 19.8]",3857273,0,,,,,1.5760456,,Right Foot,,,,"[36.2, 57.9]",,Ground Pass,,38.100525,,,,,Seyed Majid Hosseini,5228.0,,,,,,1,From Free Kick,Morteza Pouraliganji,5220.0,Left Center Back,4,Iran,797,['a0b8d645-6088-45b8-a392-0d7dbbe15996'],48,,,,,,,,,,,,,,,,,,Iran,797,00:00:48.781,Pass,
,,,,,,,,,,,,,,,,,,,2.181554,,,,,,,,,,,918eb25a-5f96-489b-b146-1a1fc8ea21c7,41,,,"[40.0, 62.0]",3857273,0,,,,,0.12688664,,Right Foot,,,,"[88.6, 68.2]",,High Pass,,48.993877,,,Incomplete,,,,,,,,,1,From Free Kick,Seyed Majid Hosseini,5228.0,Right Center Back,4,Iran,797,['3762b72e-430d-4807-98d8-c385cefe52ea'],52,,,,,,,,,,,,,,,,,,Iran,797,00:00:52.516,Pass,
,,,,,,,,,,,,,,,,,,,1.332498,,,,,,,,,,,3762b72e-430d-4807-98d8-c385cefe52ea,42,,,"[31.5, 11.9]",3857273,0,,,,,-0.4825133,,Head,,,,"[42.0, 6.4]",,Low Pass,,11.85327,,,Incomplete,,Neco Williams,34794.0,,,,,Recovery,1,From Free Kick,Ben Davies,3086.0,Left Center Back,4,Iran,797,"['09a34e02-8374-40d6-ac05-19a66b394f53', '2657ecc8-36c6-4507-9efa-e6917a77ca8d', '918eb25a-5f96-489b-b146-1a1fc8ea21c7']",54,,,,,,,,,,,,,,,,,,Wales,907,00:00:54.698,Pass,
,,,,,,,,,,,,,,,,,,,1.356635,,,,,,,,,,,ea9159f9-8ab9-4866-93be-b6ee24bad79b,47,,,"[87.5, 79.1]",3857273,0,,,,,-2.796037,,Right Foot,,,,"[85.0, 78.2]",,Ground Pass,,2.657066,,,,,Ali Gholizadeh,23874.0,,,,,,1,From Free Kick,Ahmad Nourollahi,124167.0,Left Defensive Midfield,4,Iran,797,"['4898f854-b6de-4e1f-9b6d-77f6eeed5bb3', '9111d937-07e7-48b6-b004-20f77e4faca7']",58,,,,,,,,,,,,,,,,,,Iran,797,00:00:58.077,Pass,True
,,,,,,,,,,,,,,,,,,,0.186245,,,,,,,,,,,e45a5c22-b896-4174-b101-e268f435c576,50,,,"[86.2, 78.5]",3857273,0,,,,,0.0,,Left Foot,,,,"[88.2, 78.5]",,Ground Pass,,2.0,,,Incomplete,,,,,,,,,1,From Free Kick,Ali Gholizadeh,23874.0,Right Midfield,4,Iran,797,"['4898f854-b6de-4e1f-9b6d-77f6eeed5bb3', '6fbb5965-a327-468e-8add-97e052778a64']",59,,,,,,,,,,,,,,,,,,Iran,797,00:00:59.531,Pass,True
,,,,,,,,,,,,,,,,,,,1.616747,,,,,,,,,,,68476421-a51c-480f-b33b-f97184f1b958,57,,,"[43.7, 35.0]",3857273,1,,,,,1.5079652,,Right Foot,,,,"[45.6, 65.2]",,Ground Pass,,30.259708,,,,,Connor Roberts,4774.0,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Right Center Midfield,5,Wales,907,['bbefc595-8704-423f-9365-7775e061a6ea'],5,,,,,,,,,,,,,,,,,,Wales,907,00:01:05.265,Pass,
,,,,,,,,,,,,,,,,,,,2.928746,,,,,,,,,,,b9189992-db86-4d04-bd6b-d20b949b45bb,61,,,"[44.3, 65.6]",3857273,1,,,,,-2.8703406,,Right Foot,,,,"[27.4, 60.9]",,Ground Pass,,17.54138,,,,,Chris Mepham,4767.0,,,,,,1,Regular Play,Connor Roberts,4774.0,Right Wing Back,5,Wales,907,"['1f3b4217-c787-429d-a09e-5e9223dd0031', 'c0ee843c-984b-4e94-914d-0847c91e649b']",7,,,,,,,,,,,,,,,,,,Wales,907,00:01:07.747,Pass,True
,,,,,,,,,,,,,,,,,,,2.475949,,,,,,,,,,,b5d00af6-08e7-4068-b34f-f90b9db7cd0f,64,,,"[24.0, 60.9]",3857273,1,,,,,-2.500484,,Right Foot,,,,"[3.9, 45.9]",,Ground Pass,,25.080072,,,,,Wayne Hennessey,3488.0,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,5,Wales,907,['8435e606-e189-439d-ad18-1cc1aabacff9'],10,,,,,,,,,,,,,,,,,,Wales,907,00:01:10.998,Pass,
,,,,,,,,,,,,,,,,,,,2.109424,,,,,,,,,,,688fff69-2b5d-4007-8863-6fe82f0583c5,68,,,"[5.8, 45.9]",3857273,1,,,,,-1.440048,,Right Foot,,,,"[10.1, 13.2]",,Ground Pass,,32.98151,,,,,Ben Davies,3086.0,,,,,,1,Regular Play,Wayne Hennessey,3488.0,Goalkeeper,5,Wales,907,['ed2195a0-d401-4138-ba94-3b02df307019'],14,,,,,,,,,,,,,,,,,,Wales,907,00:01:14.589,Pass,
