50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[31.6, 32.0]",,,,,,,,,,,,,0.968848,,,,,,,,,,,,,67d90532-f07d-491a-b729-b44088bcf0af,190,,"[31.0, 28.0]",3857296,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Dejan Lovren,3471.0,Right Center Back,10,Croatia,785,"['4679525f-0db3-4ff0-b12c-905c38e8486e', 'a1b03554-5367-4c00-ad14-9af422ead80a']",23,,,,,,,,,,,,,,,,,Croatia,785,00:03:23.535,Carry,
,,,,,"[44.2, 48.6]",,,,,,,,,,,,,2.082869,,,,,,,,,,,,,ba8b8c63-fbe2-4ebd-a9ab-566592059347,193,,"[43.1, 64.4]",3857296,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Josip Juranović,29163.0,Right Back,10,Croatia,785,"['1aee07b6-91b0-4dba-889a-bec374cfd5d5', '21e78d99-cc4a-41c7-8432-630e1a912c5e']",26,,,,,,,,,,,,,,,,,Croatia,785,00:03:26.183,Carry,
,,,,,"[68.2, 9.4]",,,,,,,,,,,,,5.601588,,,,,,,,,,,,,52ab090f-d53f-408c-a60e-f3aa6d7fb4e8,198,,"[33.3, 19.5]",3857296,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,10,Croatia,785,"['7f5f2a63-1440-4b4d-b1b7-1d22987f9a48', 'b378c3ce-3c68-4061-a926-8768ca1b5eb6']",31,,,,,,,,,,,,,,,,,Croatia,785,00:03:31.770,Carry,
,,,,,"[79.6, 2.4]",,,,,,,,,,,,,1.474495,,,,,,,,,,,,,98908710-3990-44bc-9be9-53a450e22b4c,201,,"[79.6, 2.4]",3857296,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Borna Sosa,12625.0,Left Back,10,Croatia,785,"['239527c7-37f5-476b-99f5-fe471c09e8f6', 'e57d8d8c-8e72-4d4e-b225-cf187bee6ec8']",38,,,,,,,,,,,,,,,,,Croatia,785,00:03:38.570,Carry,
,,,,,"[96.8, 14.9]",,,,,,,,,,,,,0.88607,,,,,,,,,,,,,27331c54-67b0-4506-abdb-7b09fff9d918,204,,"[95.1, 17.8]",3857296,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marko Livaja,22041.0,Center Forward,10,Croatia,785,"['cb917bf9-9f67-405e-a7bb-ab0c1bdf7a31', 'cccc3526-e235-476f-a034-3b91338e32c2']",41,,,,,,,,,,,,,,,,,Croatia,785,00:03:41.268,Carry,
,,,,,"[69.4, 39.4]",,,,,,,,,,,,,3.410959,,,,,,,,,,,,,11715bb5-5a47-44ee-b3ba-ea17a27c5f78,214,,"[47.6, 52.4]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kevin De Bruyne,3089.0,Right Wing,11,Belgium,782,"['49ff5784-d63b-4e57-bcc8-851fd69b2adf', '607330fd-f193-4f22-80a8-f67523f04431']",4,,,,,,,,,,,,,,,,,Belgium,782,00:04:04.008,Carry,
,,,,,"[108.5, 24.3]",,,,,,,,,,,,,4.7087,,,,,,,,,,,,,f99dc166-5d3a-4623-8b02-4f0e33d9fc7c,217,,"[111.7, 17.1]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Yannick Ferreira Carrasco,5633.0,Left Wing,11,Belgium,782,"['099d4f72-7d2a-4b84-b91c-6dde2a0f0ca1', 'e55009dc-dd23-4898-8a18-38e9bab3b1fb']",10,,,,,,,,,,,,,,,,,Belgium,782,00:04:10.820,Carry,
,,,,,"[92.0, 22.0]",,,,,,,,,,,,,0.039999,,,,,,,,,,,,,4a59f8f8-aa1b-4ab5-a3e4-e6692c5123f9,220,,"[92.0, 22.0]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Timothy Castagne,6989.0,Left Back,11,Belgium,782,"['06677642-acf2-4093-ab09-02c872c4241b', '574d0009-bd0d-4f63-8865-da24918818b3']",16,,,,,,,,,,,,,,,,,Belgium,782,00:04:16.911,Carry,
,,,,,"[89.7, 36.8]",,,,,,,,,,,,,1.346564,,,,,,,,,,,,,8ddbbb3b-00c3-4316-9aec-3342b09d219d,223,,"[90.5, 32.3]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kevin De Bruyne,3089.0,Right Wing,11,Belgium,782,"['0b5ed4e2-971f-4839-b433-332cf9194e21', 'a0ee928b-3014-451e-ab71-c0f26772dbb3']",18,,,,,,,,,,,,,,,,,Belgium,782,00:04:18.164,Carry,
,,,,,"[84.8, 56.6]",,,,,,,,,,,,,0.851496,,,,,,,,,,,,,a913e274-df56-4f88-a955-2924785e6dcb,226,,"[84.5, 53.4]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Axel Witsel,5642.0,Left Defensive Midfield,11,Belgium,782,"['43cf10d5-4694-4600-9e08-b61bade4a3c1', '7094d9c2-a096-487f-8d1d-b890475c0cde']",20,,,,,,,,,,,,,,,,,Belgium,782,00:04:20.642,Carry,
