50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a8ef5628-cbee-4216-a180-3c0d8f9fac9a,5126,,,,3869420,120,,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,257,Croatia,785,['66bdff93-ff68-419a-bafe-e2d23978a0ef'],0,,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,66bdff93-ff68-419a-bafe-e2d23978a0ef,5127,,,,3869420,120,,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,257,Croatia,785,['a8ef5628-cbee-4216-a180-3c0d8f9fac9a'],0,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.86554,,,,,,,,,,,,,,9f66f598-c069-4beb-8b57-b836f4d14a40,5,,,"[60.0, 40.0]",3869420,0,,,,,-3.038068,,Right Foot,,,,"[44.6, 38.4]",,Ground Pass,,15.482894,,,,,Marcelo Brozović,5469.0,,,,,Kick Off,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Croatia,785,['687facae-c228-459f-bd4f-cb901dfbd0ef'],0,,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.489,Pass,
,,,,,,,,,,,,,,,,,,,0.77002,,,,,,,,,,,,,,33f72bd6-436c-499f-af29-85e564e001cc,8,,,"[46.8, 38.4]",3869420,0,,,,,-0.059102684,,Right Foot,,,,"[63.7, 37.4]",,Ground Pass,,16.92956,,,,,Luka Modrić,5463.0,,,,,,1,From Kick Off,Marcelo Brozović,5469.0,Center Defensive Midfield,2,Croatia,785,['ffc0b6bd-faf4-4582-ae96-df9e5d1569da'],2,,,,,,,,,,,,,,,,,,Croatia,785,00:00:02.333,Pass,
,,,,,,,,,,,,,,,,,,,0.997715,,,,,,,,,,,,,,c824d580-b89c-4d71-86df-79c8013361cb,11,,,"[63.7, 37.4]",3869420,0,,,,,2.3660302,,Right Foot,,,,"[48.3, 52.5]",,Ground Pass,,21.5678,,,,,Dejan Lovren,3471.0,,,,,,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Croatia,785,['21bcedf0-d449-4cbe-8cbe-6fbd033545ef'],3,,,,,,,,,,,,,,,,,,Croatia,785,00:00:03.824,Pass,
,,,,,,,,,,,,,,,,,,,1.571293,,,,,,,,,,,,,,695be0c1-9ec9-4ba7-a56b-acc9773cc872,14,,,"[49.9, 53.3]",3869420,0,,,,,0.59091806,,Right Foot,,,,"[81.5, 74.5]",,Ground Pass,,38.052597,,,,,Josip Juranović,29163.0,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Croatia,785,['aa0e03bf-a648-4bee-80e6-86da382a1107'],5,,,,,,,,,,,,,,,,,,Croatia,785,00:00:05.954,Pass,
,,,,,,,,,,,,,,,,,,,0.176461,,,,,,,,,,,,,,be2acd6e-6c41-4383-b382-b0997ac057c0,17,,,"[80.5, 72.5]",3869420,0,,,,,-1.4920124,,Right Foot,,,,"[80.8, 68.7]",,Low Pass,,3.8118236,,,Incomplete,,,,,,,,,1,From Kick Off,Josip Juranović,29163.0,Right Back,2,Croatia,785,['b0f9a855-4cdc-48d1-b196-5be513b8e7e7'],8,,,,,,,,,,,,,,,,,,Croatia,785,00:00:08.492,Pass,
,,,,,,,,,,,,,,,,,,,1.103838,,,,,,,,,,,,,,7a5af064-c7a0-4a3d-a300-a998f0d5a8d0,21,,,"[45.1, 0.1]",3869420,0,,,,,1.5957911,,,,,,"[44.9, 8.1]",,Low Pass,,8.0025,,,,,Carlos Henrique Casimiro,5539.0,,,,,Throw-in,1,From Throw In,Danilo Luiz da Silva,3063.0,Left Back,3,Brazil,781,['5968908e-55ba-475a-adca-7caecfd14089'],15,,,,,,,,,,,,,,,,,,Brazil,781,00:00:15.356,Pass,
,,,,,,,,,,,,,,,,,,,1.607829,,,,,,,,,,,,,,f904af04-2df1-4bd0-b1cd-90a86f2b9fae,24,,,"[39.8, 8.0]",3869420,0,,,,,2.6731944,,Right Foot,,,,"[23.0, 16.5]",,Ground Pass,,18.827906,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Throw In,Carlos Henrique Casimiro,5539.0,Left Defensive Midfield,3,Brazil,781,['51bc12f6-7e80-4320-b7fe-c19a1d58da58'],17,,,,,,,,,,,,,,,,,,Brazil,781,00:00:17.466,Pass,
,,,,,,,,,,,,,,,,,,,1.62564,,,,,,,,,,,,,,0a3b56af-a6ad-44ca-a265-73e0703a8a8c,27,,,"[21.8, 22.3]",3869420,0,,,,,1.3912977,,Right Foot,,,,"[26.3, 47.1]",,Ground Pass,,25.20496,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Throw In,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Brazil,781,['84792093-a930-4a1b-af0a-333ddcbdc806'],20,,,,,,,,,,,,,,,,,,Brazil,781,00:00:20.474,Pass,
