50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.707185,,,,,,,,,,,,,e449e798-53b8-4437-a7d7-630601dd7e2c,15,,"[32.8, 69.3]",3857289,0,,,,,-2.2205021,,Right Foot,,,,"[21.1, 53.9]",,Ground Pass,19.340372,,,,Nicolás Hernán Otamendi,3090.0,,,,,1,From Goal Kick,Gonzalo Ariel Montiel,28263.0,Right Back,3,Argentina,779,['599aa4cb-05ae-456f-8a16-742fbf70a0ad'],22,,,,,,,,,,,,,,,,Argentina,779,00:00:22.955,Pass,
,,,,,,,,,,,,,,,,,1.401034,,,,,,,,,,,,,e1875421-cceb-4527-aee7-b533dc1cbb2d,18,,"[24.1, 51.7]",3857289,0,,,,,0.9769373,,Right Foot,,,,"[34.7, 67.4]",,Ground Pass,18.943336,,,,Gonzalo Ariel Montiel,28263.0,,,,,1,From Goal Kick,Nicolás Hernán Otamendi,3090.0,Right Center Back,3,Argentina,779,['b84cd944-30ce-4b1c-afb5-9edc3fbc91e9'],27,,,,,,,,,,,,,,,,Argentina,779,00:00:27.142,Pass,
,,,,,,,,,,,,,,,,,1.120189,,,,,,,,,,,,,f439d637-1160-453a-bcf7-4e5977d70e99,21,,"[39.9, 68.8]",3857289,0,,,,,0.6314535,,Right Foot,,,,"[46.6, 73.7]",,Ground Pass,8.300602,,,,Ángel Fabián Di María Hernández,2995.0,,,,,1,From Goal Kick,Gonzalo Ariel Montiel,28263.0,Right Back,3,Argentina,779,['50a8be76-b8e9-413c-846e-bfd1f40f6d47'],29,,,,,,,,,,,,,,,,Argentina,779,00:00:29.748,Pass,
,,,,,,,,,,,,,,,,,4.088238,,,,,,,,,,,,,fc2453cd-fcf9-4f0f-aed2-07323acdf466,25,,"[43.9, 72.9]",3857289,0,,,,,-1.3290435,,Left Foot,,,,"[58.3, 14.5]",,High Pass,60.149147,,,,Marcos Javier Acuña,19597.0,,True,,,1,From Goal Kick,Ángel Fabián Di María Hernández,2995.0,Right Midfield,3,Argentina,779,"['322a2607-d386-4d83-909e-c8527421806f', 'f4c23709-2f29-4782-bc51-9cf83760655c']",32,,,,,,,,,,,,,,,,Argentina,779,00:00:32.020,Pass,True
,,,,,,,,,,,,,,,,,1.682487,,,,,,,,,,,,,0889a163-35e2-4ffe-bca5-e9113540d2a1,28,,"[57.8, 12.3]",3857289,0,,,,,0.6035224,,Left Foot,,,,"[68.1, 19.4]",,Low Pass,12.509996,,,,Lautaro Javier Martínez,11456.0,,,,,1,From Goal Kick,Marcos Javier Acuña,19597.0,Left Back,3,Argentina,779,['a49d619a-8080-40a4-8419-b05ce1254c5d'],36,,,,,,,,,,,,,,,,Argentina,779,00:00:36.109,Pass,
,,,,,,,,,,,,,,,,,2.124517,,,,,,,,,,,,,7fc917af-3ad9-4690-a71a-b85bfde2bb7d,34,,"[75.4, 0.1]",3857289,0,,,,,2.9914162,,,,,,"[45.0, 4.7]",,Low Pass,30.746058,,,,Lisandro Martínez,27768.0,,,,Throw-in,1,From Throw In,Marcos Javier Acuña,19597.0,Left Back,4,Argentina,779,['a17570da-1e52-4701-9b8d-dc54589fac43'],50,,,,,,,,,,,,,,,,Argentina,779,00:00:50.693,Pass,
,,,,,,,,,,,,,,,,,2.018236,,,,,,,,,,,,,ce6071cc-8681-426b-bf6d-2d75c0c377da,37,,"[39.0, 5.0]",3857289,0,,,,,2.2175548,,Left Foot,,,,"[27.9, 19.7]",,Ground Pass,18.420097,,,,Nicolás Hernán Otamendi,3090.0,,,,,1,From Throw In,Lisandro Martínez,27768.0,Left Center Back,4,Argentina,779,['384ee19f-4a54-48d0-9688-c45acd18a095'],54,,,,,,,,,,,,,,,,Argentina,779,00:00:54.188,Pass,
,,,,,,,,,,,,,,,,,1.62258,,,,,,,,,,,,,8008e6b2-54dd-4cb9-9500-5ea8672f15f7,40,,"[28.2, 25.9]",3857289,0,,,,,1.1722739,,Right Foot,,,,"[45.8, 67.7]",,Ground Pass,45.35416,,,,Gonzalo Ariel Montiel,28263.0,,True,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Right Center Back,4,Argentina,779,['0874fd9b-44e3-458b-b010-d1e3340b2a53'],57,,,,,,,,,,,,,,,,Argentina,779,00:00:57.611,Pass,
,,,,,,,,,,,,,,,,,1.139481,,,,,,,,,,,,,7bdfa2b9-86e0-4d25-849e-c7230a329fa3,43,,"[45.3, 69.3]",3857289,1,,,,,0.19118446,,Right Foot,,,,"[60.8, 72.3]",,Ground Pass,15.787653,,,,Ángel Fabián Di María Hernández,2995.0,,,,,1,From Throw In,Gonzalo Ariel Montiel,28263.0,Right Back,4,Argentina,779,['b85fb792-73ce-413a-a41b-35c868eca8bd'],1,,,,,,,,,,,,,,,,Argentina,779,00:01:01.454,Pass,
,,,,,,,,,,,,,,,,,0.892785,,,,,,,,,,,,,9b00601f-a352-4fb2-9a4e-d02388cb8122,50,,"[55.9, 68.0]",3857289,1,,True,,,-2.746366,,Right Foot,,,,"[39.6, 61.2]",,Ground Pass,17.661541,,,,Rodrigo Javier De Paul,7797.0,,,,Free Kick,1,From Free Kick,Gonzalo Ariel Montiel,28263.0,Right Back,5,Argentina,779,['16ff98aa-f3ab-4a84-b7bd-5e60f69bfd9f'],10,,,,,,,,,,,,,,,,Argentina,779,00:01:10.741,Pass,
,,,,,,,,,,,,,,,,,0.966092,,,,,,,,,,,,,305051a3-151a-4067-a862-8879733e5e0a,52,,"[61.3, 64.2]",3857289,1,,,,,2.3561945,,Right Foot,,,,"[54.0, 71.5]",,Ground Pass,10.323759,,,,Gonzalo Ariel Montiel,28263.0,,,,,1,From Free Kick,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,5,Argentina,779,['dacce204-05a5-4806-a8c5-5d3e65ba4982'],22,,,,,,,,,,,,,,,,Argentina,779,00:01:22.332,Pass,
,,,,,,,,,,,,,,,,,1.767107,,,,,,,,,,,,,b4f133ae-e930-4e3f-a01d-43491ff98897,55,,"[54.0, 71.5]",3857289,1,,,,,-2.5417738,,Right Foot,,,,"[38.5, 60.9]",,Ground Pass,18.777912,,,,Nicolás Hernán Otamendi,3090.0,,,,,1,From Free Kick,Gonzalo Ariel Montiel,28263.0,Right Back,5,Argentina,779,['da44461d-d44f-46df-b333-1552f9c83294'],25,,,,,,,,,,,,,,,,Argentina,779,00:01:25.238,Pass,
,,,,,,,,,,,,,,,,,1.044403,,,,,,,,,,,,,adf8714b-5d98-4fad-85a7-e8896936d7ff,58,,"[38.2, 58.2]",3857289,1,,,,,-0.59168583,,Right Foot,,,,"[50.7, 49.8]",,Ground Pass,15.060212,,,,Guido Rodríguez,26404.0,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Right Center Back,5,Argentina,779,['7e3e8901-4638-4747-a5e3-f3a2c7522545'],27,,,,,,,,,,,,,,,,Argentina,779,00:01:27.645,Pass,
,,,,,,,,,,,,,,,,,1.951443,,,,,,,,,,,,,b4a3692d-05f8-4e8d-b391-124d49eb9c2a,61,,"[49.4, 50.3]",3857289,1,,,,,-1.795143,,Right Foot,,,,"[42.6, 20.5]",,Ground Pass,30.565994,,,,Lisandro Martínez,27768.0,,,,,1,From Free Kick,Guido Rodríguez,26404.0,Left Defensive Midfield,5,Argentina,779,['d10d3dfc-dc96-4b4e-a3e8-9b7e97bb67cb'],28,,,,,,,,,,,,,,,,Argentina,779,00:01:28.797,Pass,
,,,,,,,,,,,,,,,,,0.98265,,,,,,,,,,,,,a4e671bb-f413-4d82-8bcd-cd20d0b6f463,65,,"[55.9, 12.1]",3857289,1,,,,,-0.59168583,,Left Foot,,,,"[68.4, 3.7]",,Ground Pass,15.060212,,,,Marcos Javier Acuña,19597.0,,,,,1,From Free Kick,Lisandro Martínez,27768.0,Left Center Back,5,Argentina,779,"['44bf874b-b3c2-4424-beb2-d884bfe84380', '4d53464e-d749-41b8-a52a-297a3b17d913']",34,,,,,,,,,,,,,,,,Argentina,779,00:01:34.241,Pass,True
