50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,4.625382,,,,,,,,,,,,88a6c333-6ec0-4019-98c7-d1109c3c14ef,14,,,"[20.4, 74.7]",3857261,0,,,,,0.09765511,,Left Foot,,"[74.5, 80.0]",,High Pass,,54.358994,,,Out,,Harry Kane,10955.0,,,,,,Recovery,1,From Throw In,John Stones,3244.0,Right Center Back,3,Wales,907,"['544d2090-8f94-48d1-b78b-f3ffa62ba544', 'b4c94739-cd55-492e-87a3-a80964868fca']",25,,,,,,,,,,,,,,,,,,England,768,00:00:25.598,Pass,
,,,,,,,,,,,,,,,,,1.085077,,,,,,,,,,,,ab0839fc-7a71-4559-a581-fa72af71234a,16,,,"[43.6, 0.1]",3857261,0,,,,,0.5658543,,,,"[51.0, 4.8]",,Low Pass,,8.766413,,,,,Aaron Ramsey,3517.0,,,,,,Throw-in,1,From Throw In,Ben Davies,3086.0,Left Back,4,Wales,907,['9bc9a6f7-86bd-4a8c-80f6-c530fe42df8f'],39,,,,,,,,,,,,,,,,,,Wales,907,00:00:39.613,Pass,
,,,,,,,,,,,,,,,,,0.751505,,,,,,,,,,,,93ba4ae1-07e8-404b-be6b-fa772c50d067,19,,,"[51.0, 4.8]",3857261,0,,,,,-2.7158415,,Right Foot,,"[42.4, 0.9]",,Ground Pass,,9.4429865,,,,,Ben Davies,3086.0,,,,,,,1,From Throw In,Aaron Ramsey,3517.0,Center Attacking Midfield,4,Wales,907,['8ac43856-0fbb-4f9e-a341-52c9486e2eae'],40,,,,,,,,,,,,,,,,,,Wales,907,00:00:40.752,Pass,
,,,,,,,,,,,,,,,,,1.834126,,,,,,,,,,,,82685247-32a1-4c6c-8187-8b7f2816b9d0,21,,,"[42.8, 0.9]",3857261,0,,,,,0.28309578,,Left Foot,,"[48.3, 2.5]",,High Pass,,5.7280016,,,,,Aaron Ramsey,3517.0,,,,,,,1,From Throw In,Ben Davies,3086.0,Left Back,4,Wales,907,['cc50354e-07cc-41fe-b799-c094dc3232bf'],41,,,,,,,,,,,,,,,,,,Wales,907,00:00:41.504,Pass,
,,,,,,,,,,,,,,,,,2.710967,,,,,,,,,,,,12be8f9f-7519-4f2c-a419-53e36cfec623,24,,,"[48.3, 2.5]",3857261,0,,,,True,2.8514106,,,,"[33.9, 6.8]",,High Pass,,15.028307,,,,,Joe Rodon,11250.0,,,,,,,1,From Throw In,Aaron Ramsey,3517.0,Center Attacking Midfield,4,Wales,907,"['0a96bfa0-04f5-4d6a-88b4-2926abd673f7', '9aa18094-0ad3-448d-9b80-ae1783ae6cb5']",43,,,,,,,,,,,,,,,,,,Wales,907,00:00:43.338,Pass,True
,,,,,,,,,,,,,,,,,0.800743,,,,,,,,,,,,fa447980-c57e-4ce9-9e77-8052d0aa29bc,27,,,"[35.2, 6.8]",3857261,0,,,,True,0.22082877,,,,"[40.1, 7.9]",,High Pass,,5.0219517,,,,,Ethan Ampadu,4934.0,,,,,,,1,From Throw In,Joe Rodon,11250.0,Left Center Back,4,Wales,907,"['06a437d0-b1ae-4476-b8b4-916a1e91ba83', '1d91dfcb-9a8f-474a-a8ea-1fa1d4c71694']",46,,,,,,,,,,,,,,,,,,Wales,907,00:00:46.049,Pass,True
,,,,,,,,,,,,,,,,,0.080365,,,,,,,,,,,,b0fff6e1-e3ea-4b1c-9e71-7f49d34b611a,29,,,"[40.1, 7.9]",3857261,0,,,,,-1.5707964,,Right Foot,,"[40.1, 6.6]",,Low Pass,,1.3,,,Incomplete,,,,,,,,,,1,From Throw In,Ethan Ampadu,4934.0,Left Defensive Midfield,4,Wales,907,['1c2c98b6-af71-4ad6-843d-899281a4b25b'],46,,,,,,,,,,,,,,,,,,Wales,907,00:00:46.849,Pass,
,,,,,,,,,,,,,,,,,1.549269,,,,,,,,,,,,1c2c98b6-af71-4ad6-843d-899281a4b25b,30,,,"[80.0, 73.5]",3857261,0,,,,,1.5323538,,Left Foot,,"[80.2, 78.7]",,Ground Pass,,5.2038445,,,,,Jude Bellingham,30714.0,,,,,,Recovery,1,Regular Play,Jordan Brian Henderson,3532.0,Right Center Midfield,5,England,768,"['4f00b46f-ee51-4377-8a43-4b4054cc0364', 'b0fff6e1-e3ea-4b1c-9e71-7f49d34b611a']",46,,,,,,,,,,,,,,,,,,England,768,00:00:46.930,Pass,
,,,,,,,,,,,,,,,,,0.617434,,,,,,,,,,,,2004b16b-4f5f-49d0-9dc7-36dbebd7e931,34,,,"[80.4, 76.9]",3857261,0,,,,,-1.006927,,Right Foot,,"[84.7, 70.1]",,Ground Pass,,8.045496,,,,,Harry Kane,10955.0,,,,,,,1,Regular Play,Jude Bellingham,30714.0,Left Center Midfield,5,England,768,['e6b312b3-f913-4835-8a4a-b6b3722ca506'],50,,,,,,,,,,,,,,,,,,England,768,00:00:50.134,Pass,
,,,,,,,,,,,,,,,,,1.403539,,,,,,,,,,,,0db547b3-4279-49a0-baad-ac7319f58903,37,,,"[84.5, 70.1]",3857261,0,,,,,2.5957775,,Right Foot,,"[68.2, 80.0]",,Low Pass,,19.07092,,,Out,,Kyle Walker,3205.0,,,,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,5,England,768,['4a8cdb84-358c-4820-9c83-aff4ffb1f8bb'],50,,,,,,,,,,,,,,,,,,England,768,00:00:50.783,Pass,
