50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.189924,,,,,,,,,,,,,4ea96f7f-a95c-4519-9ae8-a24f4eba09bf,20,,,"[89.5, 4.4]",3939975,0,,,,-0.06053202,,Left Foot,,,"[96.1, 4.0]",,Ground Pass,6.61211,,,,Julio César Enciso Espínola,47112.0,,,,,,1,From Kick Off,Matías David Espinoza Acosta,46677.0,Left Back,2,Paraguay,3567,"['69ea54c4-f149-4c7e-89db-fe96a5386e60', 'ca08e303-ab04-4b13-b4f4-efd357db37b6']",16,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:16.264,Pass,True
,,,,,,,,,,,,,,,,0.8392,,,,,,,,,,,,,e77aad19-0107-40f1-b5d3-535fc7fc6bf9,27,,,"[20.8, 76.5]",3939975,0,,,,-1.5120405,,Right Foot,,,"[21.4, 66.3]",,Ground Pass,10.217632,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,,1,Regular Play,Daniel Muñoz Mejía,27423.0,Right Back,3,Colombia,769,['0a92e4f2-0845-4904-bfa6-f6a9e729269a'],19,,,,,,,,,,,,,,,,,Colombia,769,00:00:19.221,Pass,
,,,,,,,,,,,,,,,,0.996451,,,,,,,,,,,,,86482314-a614-4992-aaba-24692da53ebf,30,,,"[23.4, 67.3]",3939975,0,,,,0.5191461,,Right Foot,,,"[38.1, 75.7]",,Ground Pass,16.93074,,,,James David Rodríguez Rubio,5695.0,,,,,,1,Regular Play,Jefferson Andrés Lerma Solís,5678.0,Center Defensive Midfield,3,Colombia,769,['ca262269-5259-4508-bce8-30957505edea'],20,,,,,,,,,,,,,,,,,Colombia,769,00:00:20.813,Pass,
,,,,,,,,,,,,,,,,0.445938,,,,,,,,,,,,,dc3ad449-0a24-4f4e-9bb3-fc5391e6607f,34,,,"[39.0, 76.1]",3939975,0,,,,-0.515549,,Left Foot,,,"[45.0, 72.7]",,Ground Pass,6.8963757,,,,Richard Rios Montoya,49395.0,,,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,3,Colombia,769,"['376985bf-f445-484f-b54d-5cf599b14a03', 'e810d06e-183e-491e-936e-3ecc927353ec']",22,,,,,,,,,,,,,,,,,Colombia,769,00:00:22.531,Pass,True
,,,,,,,,,,,,,,,,0.600418,,,,,,,,,,,,,3f3e5bcb-ba94-4439-8148-aa6bf4ae208a,39,,,"[74.9, 4.2]",3939975,0,,,,2.9833524,,Right Foot,,,"[65.5, 5.7]",,Ground Pass,9.518929,,,,Adrián Andrés Cubas,28657.0,,,,,,1,Regular Play,Hernesto Ezequiel Caballero Benítez,47186.0,Left Center Midfield,4,Paraguay,3567,['533c1555-3d8b-4acf-a66e-592585e1b0ab'],24,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:24.665,Pass,
,,,,,,,,,,,,,,,,1.015178,,,,,,,,,,,,,d25e8bad-367a-46f2-83d4-1dbd678c8606,42,,,"[62.5, 4.4]",3939975,0,,,,3.0947518,,Right Foot,,,"[43.3, 5.3]",,Ground Pass,19.221083,,,,Omar Federico Alderete Fernández,29009.0,,,,,,1,Regular Play,Adrián Andrés Cubas,28657.0,Center Defensive Midfield,4,Paraguay,3567,['9fc06da5-cf46-4802-a682-27acf93e3ab8'],26,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:26.697,Pass,
,,,,,,,,,,,,,,,,0.838263,,,,,,,,,,,,,c89e5a78-d788-478f-95f3-5b519ed7cade,46,,,"[46.3, 4.6]",3939975,0,,,,-0.12583758,,Left Foot,,,"[62.9, 2.5]",,Ground Pass,16.732304,,,,Matías David Espinoza Acosta,46677.0,,,,,,1,Regular Play,Omar Federico Alderete Fernández,29009.0,Left Center Back,4,Paraguay,3567,['d84e3dc6-f6ca-4e18-984e-9e70298138ec'],29,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:29.766,Pass,
,,,,,,,,,,,,,,,,1.348056,,,,,,,,,,,,,e9bda420-c6db-4724-93fa-4326a5bce499,53,,,"[84.8, 0.1]",3939975,0,,,,0.40317455,,,,,"[105.9, 9.1]",,High Pass,22.939268,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Matías David Espinoza Acosta,46677.0,Left Back,5,Paraguay,3567,['f156c3a1-85f2-4404-a3c4-085015bf87fd'],55,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:55.888,Pass,
,,,,,,,,,,,,,,,,1.69836,,,,,,,,,,,,,f156c3a1-85f2-4404-a3c4-085015bf87fd,54,,,"[14.2, 71.0]",3939975,0,,,,-1.2445413,,Head,,,"[18.7, 57.7]",,High Pass,14.040655,,,,Jhon Adolfo Arias Andrade,27277.0,,,,,Recovery,1,Regular Play,Daniel Muñoz Mejía,27423.0,Right Back,6,Colombia,769,"['95b43a4e-7bc2-4aa1-ad1b-02a03dbf1971', 'e9bda420-c6db-4724-93fa-4326a5bce499']",57,,,,,,,,,,,,,,,,,Colombia,769,00:00:57.236,Pass,
,,,,,,,,,,,,,,,,2.128341,,,,,,,,,,,,,c46bdf4a-833c-49b0-92b9-916be671b518,56,,,"[18.7, 57.7]",3939975,0,,,,2.7819455,,Head,,,"[6.2, 62.4]",,High Pass,13.3544,,,,Davinson Sánchez Mina,3494.0,,,,,,1,Regular Play,Jhon Adolfo Arias Andrade,27277.0,Left Center Midfield,6,Colombia,769,['368a604b-b806-4b4c-9638-872523df54e3'],58,,,,,,,,,,,,,,,,,Colombia,769,00:00:58.974,Pass,
,,,,,,,,,,,,,,,,0.0903,,,,,,,,,,,,,2f8c0e40-cf67-45d0-a694-7b7ae0b4e88c,59,,,"[6.0, 61.6]",3939975,1,,,,0.07677189,,Right Foot,,,"[8.6, 61.8]",,Low Pass,2.607681,,Incomplete,,,,,,,,,1,Regular Play,Davinson Sánchez Mina,3494.0,Right Center Back,6,Colombia,769,"['9a17b364-fd33-4462-aa24-f9681a0ea198', 'da0c3724-3065-4751-a6db-47e18edb94ca']",1,,,,,,,,,,,,,,,,,Colombia,769,00:01:01.102,Pass,True
,,,,,,,,,,,,,,,,1.181956,,,,,,,,,,,,,0edfb27a-15b6-401f-b4f6-b555c45fe1d4,61,,,"[8.4, 80.0]",3939975,1,,,,-1.4405849,,,,,"[9.5, 71.6]",,Low Pass,8.471718,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,Throw-in,1,From Throw In,Daniel Muñoz Mejía,27423.0,Right Back,7,Colombia,769,['d6d8a1fc-ae9d-47a4-8d4b-4d9e41481719'],26,,,,,,,,,,,,,,,,,Colombia,769,00:01:26.629,Pass,
,,,,,,,,,,,,,,,,3.113114,,,,,,,,,,,,,49ba8482-709c-4e61-8eef-cfca2f439c19,63,,,"[9.5, 71.6]",3939975,1,,,,-0.07736466,,Right Foot,,,"[48.2, 68.6]",,High Pass,38.816105,,Incomplete,,,,,,,,,1,From Throw In,Jefferson Andrés Lerma Solís,5678.0,Center Defensive Midfield,7,Colombia,769,['0cf3575e-c735-4454-b738-958e6d1fad81'],27,,,,,,,,,,,,,,,,,Colombia,769,00:01:27.811,Pass,
,,,,,,,,,,,,,,,,1.741674,,,,,,,,,,,,,0cf3575e-c735-4454-b738-958e6d1fad81,65,,,"[71.9, 11.5]",3939975,1,,,True,-2.1619534,,,,,"[67.0, 4.2]",,Low Pass,8.792042,,,,Matías David Espinoza Acosta,46677.0,,,,,Recovery,1,From Throw In,Omar Federico Alderete Fernández,29009.0,Left Center Back,7,Colombia,769,"['05742c6b-37d9-4678-bf65-9afee38d072d', '49ba8482-709c-4e61-8eef-cfca2f439c19', 'c04158fb-8be5-4268-8b9e-3b6a1d33317c']",30,,,,,,,,,,,,,,,,,Paraguay,3567,00:01:30.925,Pass,True
