50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.078735,,,,,,,,,,,,,,0fe35903-e852-4dad-b109-42b0481542c3,15,,,"[7.6, 9.6]",3939980,0,,,,,0.4126614,,Left Foot,,,"[49.4, 27.9]",High Pass,,45.630363,Incomplete,,,,,,,,,1,From Throw In,Willian Joel Pacho Tenorio,41593.0,Left Center Back,3,Ecuador,3565,['227aa82e-efab-4536-889f-e4b3564e24a1'],28,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:28.337,Pass,
,,,,,,,,,,,,,,,,,,,0.971717,,,,,,,,,,,,,,227aa82e-efab-4536-889f-e4b3564e24a1,16,,,"[70.7, 52.2]",3939980,0,,,,,-0.67583865,,Head,,,"[81.8, 43.3]",Low Pass,,14.227438,,,Kasey Palmer,3317.0,,,,,Recovery,1,From Throw In,Damion Lowe,49120.0,Right Defensive Midfield,3,Ecuador,3565,"['0fe35903-e852-4dad-b109-42b0481542c3', '2134185b-0924-4a9b-abe9-d7d23a661dad']",30,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:30.416,Pass,
,,,,,,,,,,,,,,,,,,,0.689164,,,,,,,,,,,,,,f9a5d4a9-ab1f-438c-a2b0-474d56460f3f,18,,,"[81.7, 43.4]",3939980,0,,,,,-0.5813802,,Head,,,"[88.7, 38.8]",Low Pass,,8.376157,Incomplete,,Damion Lowe,49120.0,,,,,,1,From Throw In,Kasey Palmer,3317.0,Left Defensive Midfield,3,Ecuador,3565,"['08d549f8-5ad0-4a3b-a507-015826653f27', '86345b6e-668e-4ed0-9c1d-9600a9f510e0']",31,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:31.443,Pass,
,,,,,,,,,,,,,,,,,,,2.783134,,,,,,,,,,,,,,86345b6e-668e-4ed0-9c1d-9600a9f510e0,20,,,"[31.4, 41.3]",3939980,0,,,,,-0.7307651,,Right Foot,,,"[44.9, 29.2]",High Pass,,18.128983,,,Jeremy Leonel Sarmiento Morante,40211.0,,,,,Recovery,1,From Throw In,Alan Steven Franco Palma,37945.0,Right Defensive Midfield,3,Ecuador,3565,"['aa5fb248-78e5-4efa-ab05-940b294eb067', 'f9a5d4a9-ab1f-438c-a2b0-474d56460f3f']",32,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:32.132,Pass,
,,,,,,,,,,,,,,,,,,,3.033837,,,,,,,,,,,,,,eec50502-5719-4b3e-bace-7979c46e999c,23,,,"[45.3, 29.3]",3939980,0,,,,True,0.14428939,,,,,"[68.7, 32.7]",High Pass,,23.645718,Incomplete,,,,,,,,,1,From Throw In,Jeremy Leonel Sarmiento Morante,40211.0,Left Wing,3,Ecuador,3565,"['743a39e3-cbb5-4246-8638-9b2ff5231c76', 'b187b588-f727-4d30-9cb6-55b40468b507']",34,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:34.915,Pass,True
,,,,,,,,,,,,,,,,,,,2.72796,,,,,,,,,,,,,,743a39e3-cbb5-4246-8638-9b2ff5231c76,24,,,"[51.4, 47.4]",3939980,0,,,,,-3.0924096,,Left Foot,,,"[12.8, 45.5]",Ground Pass,,38.646732,,,Jahmali Waite,226523.0,,,,,Recovery,1,Regular Play,Ethan Pinnock,4610.0,Left Center Back,4,Jamaica,2305,"['a3fbf420-f03b-442d-bbe1-1cf1a90d17b7', 'eec50502-5719-4b3e-bace-7979c46e999c']",37,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:37.949,Pass,
,,,,,,,,,,,,,,,,,,,2.038977,,,,,,,,,,,,,,55c37591-04a1-4d49-b49c-100137d1738f,27,,,"[12.5, 49.2]",3939980,0,,,,,1.1432579,,Left Foot,,,"[23.8, 74.0]",Ground Pass,,27.253073,,,Di'Shon Bernard,33145.0,,,,,,1,Regular Play,Jahmali Waite,226523.0,Goalkeeper,4,Jamaica,2305,['2c4fbc75-2ce5-40fc-9a9f-017014beec73'],42,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:42.150,Pass,
,,,,,,,,,,,,,,,,,,,1.754218,,,,,,,,,,,,,,f12b0d7e-2e66-49f5-9305-f86438d484df,30,,,"[31.0, 74.3]",3939980,0,,,,,-2.0831857,,Right Foot,,,"[20.2, 55.1]",Ground Pass,,22.029072,,,Joël Latibeaudiere,32685.0,,,,,,1,Regular Play,Di'Shon Bernard,33145.0,Right Center Back,4,Jamaica,2305,['e6faacc0-3fbe-4dcd-acc4-fccf070d1327'],49,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:49.061,Pass,
,,,,,,,,,,,,,,,,,,,1.736735,,,,,,,,,,,,,,1e724a75-8a6f-4cd0-8f76-32a1e15a9357,33,,,"[20.8, 50.7]",3939980,0,,,,,-1.5188949,,Right Foot,,,"[22.4, 19.9]",Ground Pass,,30.84153,,,Ethan Pinnock,4610.0,,,,,,1,Regular Play,Joël Latibeaudiere,32685.0,Center Back,4,Jamaica,2305,['03da8f25-a0a0-4d4c-ac62-449cfe5b0da7'],52,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:52.015,Pass,
,,,,,,,,,,,,,,,,,,,1.899444,,,,,,,,,,,,,,93549bd9-53a2-4408-846b-2c36ef05e064,36,,,"[22.4, 19.9]",3939980,0,,,,,2.459987,,Left Foot,,,"[11.8, 28.5]",Ground Pass,,13.649908,,,Jahmali Waite,226523.0,,,,,,1,Regular Play,Ethan Pinnock,4610.0,Left Center Back,4,Jamaica,2305,['79785b37-2b43-4293-83b0-d817c98423d4'],53,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:53.812,Pass,
