50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.973775,,,,,,,,,,,,,,9db3af61-f362-4c75-a682-f4d07dee2c7c,106,,,"[63.1, 58.8]",3939984,2,,,,,-1.4141945,,Right Foot,,,"[65.8, 41.7]",,Ground Pass,,17.311846,,Incomplete,,Brandon Aguilera Zamora,108340.0,,,,,,1,From Free Kick,Haxzel Quirós Cruz,132510.0,Right Wing Back,7,Costa Rica,795,"['919cbe03-dbf4-45fc-87c8-51b82a5959f7', 'c28d23ba-7013-49d4-ba27-1b06278cef3f']",20,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:20.665,Pass,
,,,,,,,,,,,,,,,,0.939163,,,,,,,,,,,,,,919cbe03-dbf4-45fc-87c8-51b82a5959f7,108,,,"[54.3, 38.4]",3939984,2,,,,,-0.14073019,,Right Foot,,,"[66.3, 36.7]",,Ground Pass,,12.119819,,,,James David Rodríguez Rubio,5695.0,,,,,Recovery,1,From Free Kick,Richard Rios Montoya,49395.0,Right Center Midfield,7,Costa Rica,795,"['46c9dd03-54c8-4c5d-9358-0d3e0a6ea791', '9db3af61-f362-4c75-a682-f4d07dee2c7c']",21,,,,,,,,,,,,,,,,,,Colombia,769,00:02:21.639,Pass,
,,,,,,,,,,,,,,,,0.29462,,,,,,,,,,,,,,b3bcabb4-a8fc-4b25-a208-87d705733706,115,,,"[47.2, 44.1]",3939984,2,,,,,-3.0172377,,Left Foot,,,"[45.6, 43.9]",,Ground Pass,,1.6124516,,,,Orlando Moisés Galo Calderón,132516.0,,,,,Recovery,1,From Free Kick,Brandon Aguilera Zamora,108340.0,Left Defensive Midfield,7,Costa Rica,795,"['3ab66096-aa41-4357-a7d1-4afce9bc2911', '4f250304-7a23-4472-b163-abaff258f60f']",25,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:25.019,Pass,True
,,,,,,,,,,,,,,,,2.829221,,,,,,,,,,,,,,8a61e12e-257d-4c92-8849-15b5a2825bcd,118,,,"[39.0, 40.4]",3939984,2,,,,,3.0356688,,Right Foot,,,"[4.2, 44.1]",,Ground Pass,,34.996143,,,,Patrick Gilmar Sequeira Mejías,97291.0,,,,,,1,From Free Kick,Orlando Moisés Galo Calderón,132516.0,Right Defensive Midfield,7,Costa Rica,795,['78e35813-8f02-4d80-83e5-86a64e09317c'],27,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:27.448,Pass,
,,,,,,,,,,,,,,,,2.904054,,,,,,,,,,,,,,0378a632-7236-48cb-a89b-292a89591f37,122,,,"[4.6, 46.6]",3939984,2,,,,,0.36946455,,Right Foot,,,"[68.9, 71.5]",,High Pass,,68.95288,,Incomplete,,,,,,,,,1,From Free Kick,Patrick Gilmar Sequeira Mejías,97291.0,Goalkeeper,7,Costa Rica,795,"['001aa710-0adc-4773-b9b7-0c5cd75c0e98', 'fc70532b-04ac-4aac-a622-610332c08c66']",33,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:33.779,Pass,True
,,,,,,,,,,,,,,,,2.219798,,,,,,,,,,,,,,2c1f2277-306d-4e72-b4c9-22be1e0e8562,125,,,"[48.4, 3.1]",3939984,2,,,,,0.28330797,,Left Foot,,,"[80.0, 12.3]",,High Pass,,32.912003,,,,James David Rodríguez Rubio,5695.0,,,,,,1,Regular Play,Johan Andrés Mojica Palacio,5691.0,Left Back,8,Colombia,769,['8d59b791-e8c6-42de-a6ed-6dd8a275bce4'],40,,,,,,,,,,,,,,,,,,Colombia,769,00:02:40.827,Pass,
,,,,,,,,,,,,,,,,1.995223,,,,,,,,,,,,,,bba250ed-6751-4f54-be23-1220c0f6a242,128,,,"[79.8, 11.9]",3939984,2,,,,True,0.8339038,,,,,"[94.5, 28.1]",,High Pass,,21.875328,,,,Jhon Andrés Córdoba Copete,8817.0,,,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,8,Colombia,769,"['19c0c72c-670c-4152-803b-0a6955707430', '3b0537d1-8fd2-4714-bd1d-53a11adb14ef']",43,,,,,,,,,,,,,,,,,,Colombia,769,00:02:43.047,Pass,True
,,,,,,,,,,,,,,,,1.465158,,,,,,,,,,,,,,2e56bd0a-2059-4502-949a-513771afca48,136,,,"[8.5, 63.6]",3939984,2,,,,,0.8768455,,Left Foot,,,"[18.9, 76.1]",,Ground Pass,,16.260689,,,,Haxzel Quirós Cruz,132510.0,,,,,,1,Regular Play,Francisco Javier Calvo Quesada,5600.0,Left Center Back,9,Costa Rica,795,['2d5470d1-25c3-4a11-beb7-2f8045eb9f4d'],50,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:50.124,Pass,
,,,,,,,,,,,,,,,,2.542559,,,,,,,,,,,,,,78c16eb0-0920-4192-9440-6c8470eee90b,139,,,"[21.3, 76.2]",3939984,2,,,,,-1.5623648,,Right Foot,,,"[21.8, 16.9]",,High Pass,,59.30211,,,,Ariel Lassiter,19101.0,,True,,,,1,Regular Play,Haxzel Quirós Cruz,132510.0,Right Wing Back,9,Costa Rica,795,['5530b86f-2ac9-435e-84ec-e362b5d211d3'],52,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:52.740,Pass,
,,,,,,,,,,,,,,,,1.393353,,,,,,,,,,,,,,c6a6c0d4-243f-4533-a155-415cf774c07e,142,,,"[56.2, 1.4]",3939984,3,,,,,2.4679224,,Left Foot,,,"[44.8, 10.5]",,Ground Pass,,14.5866375,,,,Brandon Aguilera Zamora,108340.0,,,,,,1,Regular Play,Ariel Lassiter,19101.0,Left Wing Back,9,Costa Rica,795,['27902794-6cfe-4870-b77a-32e8bfd7610c'],1,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:01.850,Pass,
