50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,4.563273,,,,,,,,,,,,,dc6191a7-5e9f-4301-bb52-69a48a2ae85a,17,,,"[27.6, 60.1]",3939972,0,,,,-0.030563727,,Right Foot,,,,"[106.1, 57.7]",,High Pass,,78.53668,,Incomplete,,,,,,,,1,From Kick Off,Felix Eduardo Torres Caicedo,30111.0,Right Center Back,2,Ecuador,3565,['e5ce3c52-6074-4784-8721-c89f00d1a634'],16,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:16.048,Pass,
,,,,,,,,,,,,,,,,,2.182032,,,,,,,,,,,,,2ae3f948-6f85-4148-a20f-4248904b8675,20,,,"[14.0, 37.1]",3939972,0,,,,1.3244736,,Keeper Arm,,,,"[18.4, 54.6]",,Ground Pass,,18.044666,,,,Nahuel Adolfo Ferraresi Hernández,49587.0,,,,,1,Regular Play,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,3,Venezuela,3563,['d7435ab8-544b-449e-93a7-93b52f7ee82e'],24,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:24.822,Pass,
,,,,,,,,,,,,,,,,,2.201593,,,,,,,,,,,,,a0eebfba-5160-4aba-b03b-7a2343fdbf28,23,,,"[21.1, 53.8]",3939972,0,,,,-1.6473134,,Right Foot,,,,"[18.8, 23.8]",,Ground Pass,,30.088037,,,,Yordan Hernando Osorio Paredes,10337.0,,,,,1,Regular Play,Nahuel Adolfo Ferraresi Hernández,49587.0,Right Center Back,3,Venezuela,3563,['c0ba43f3-4a72-4068-b86f-d9d8a9644325'],28,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:28.202,Pass,
,,,,,,,,,,,,,,,,,1.068023,,,,,,,,,,,,,ead29f34-f9c4-4dcb-813b-68452a6bc6c6,26,,,"[19.8, 22.0]",3939972,0,,,,-1.0439917,,Right Foot,,,,"[31.2, 2.4]",,Ground Pass,,22.674215,,,,Miguel Ángel Navarro Zárate,36520.0,,,,,1,Regular Play,Yordan Hernando Osorio Paredes,10337.0,Left Center Back,3,Venezuela,3563,['7c120cae-520c-42de-b6d6-4a1ba1c30120'],30,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:30.812,Pass,
,,,,,,,,,,,,,,,,,0.933456,,,,,,,,,,,,,ff762d0e-755b-42b3-adc0-b0bd03d9de10,29,,,"[27.8, 4.0]",3939972,0,,,,2.1815224,,Left Foot,,,,"[15.9, 21.0]",,Ground Pass,,20.751144,,,,Yordan Hernando Osorio Paredes,10337.0,,,,,1,Regular Play,Miguel Ángel Navarro Zárate,36520.0,Left Back,3,Venezuela,3563,['b643aee0-783f-4521-ab79-89d4d5f6b59a'],33,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:33.646,Pass,
,,,,,,,,,,,,,,,,,2.439994,,,,,,,,,,,,,a556adb5-48f4-43e4-a15d-c22beef1011f,32,,,"[12.9, 23.7]",3939972,0,,,,1.5085622,,Right Foot,,,,"[15.0, 57.4]",,Ground Pass,,33.765366,,,,Nahuel Adolfo Ferraresi Hernández,49587.0,,,,,1,Regular Play,Yordan Hernando Osorio Paredes,10337.0,Left Center Back,3,Venezuela,3563,['20493e72-a115-4548-ace7-a41d958fe543'],36,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:36.005,Pass,
,,,,,,,,,,,,,,,,,1.670163,,,,,,,,,,,,,fbf46ba5-0d17-4cb8-8b08-9dbb45c65379,35,,,"[21.1, 59.4]",3939972,0,,,,0.75389,,Right Foot,,,,"[39.1, 76.3]",,Ground Pass,,24.69028,,,,Alexander David González Sibulo,24168.0,,,,,1,Regular Play,Nahuel Adolfo Ferraresi Hernández,49587.0,Right Center Back,3,Venezuela,3563,['1479d80f-266a-4088-b4ab-bb15f25a71b8'],39,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:39.347,Pass,
,,,,,,,,,,,,,,,,,1.381432,,,,,,,,,,,,,0865c4cb-616e-4a4a-a6e5-b9a0bca4e713,38,,,"[43.4, 70.8]",3939972,0,,,,-0.49756673,,Right Foot,,,,"[63.1, 60.1]",,Ground Pass,,22.418297,,Incomplete,,Cristian Sleiker Cásseres Yepes,13493.0,,,,,1,Regular Play,Alexander David González Sibulo,24168.0,Right Back,3,Venezuela,3563,"['d4ead491-7e25-4ee5-933c-d6b5753075f1', 'fbd8a538-e816-4ed7-af6a-f18dfe9936c8']",43,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:43.072,Pass,
,,,,,,,,,,,,,,,,,0.869737,,,,,,,,,,,,,ae8326cb-d032-4663-bcc8-9b136a208521,42,,,"[50.1, 16.3]",3939972,0,,,,-2.7842839,,Right Foot,,,,"[42.6, 13.5]",,Ground Pass,,8.005623,,,,Piero Martín Hincapié Reyna,38004.0,,,,,1,Regular Play,Moisés Isaac Caicedo Corozo,37726.0,Right Defensive Midfield,4,Ecuador,3565,['fe5cbc26-cd00-4f5c-abb1-12b98236f210'],45,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:45.820,Pass,
,,,,,,,,,,,,,,,,,2.019046,,,,,,,,,,,,,d606343d-a9ff-4e82-ad98-e802cabe49bd,45,,,"[39.5, 14.5]",3939972,0,,,,2.653932,,Left Foot,,,,"[21.4, 24.1]",,Ground Pass,,20.488289,,,,Willian Joel Pacho Tenorio,41593.0,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Back,4,Ecuador,3565,['db16e070-fb24-43dd-bf22-08e7011ecd84'],47,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:47.608,Pass,
