50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[1.1, 38.4]",,Set,,Shot Faced,dc2c66d2-991e-4c4b-8dd5-25ce24ab9844,829,,,"[1.1, 38.4]",3939979,18,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Julio José González Vela-Alvizu,36949.0,Goalkeeper,39,Venezuela,3563,['781581b6-c21e-4d5b-bb7c-ef7c5b2cdd3c'],4,,,,,,,,,,,,,,,,,Mexico,794,00:18:04.066,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Left Hand,,Saved Twice,Set,Standing,Shot Saved,83ff9588-fd5e-4620-be1b-ecd82a4b3c82,840,,,"[11.9, 42.4]",3939979,18,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,40,Mexico,794,['b7da2e8c-4416-4d92-86da-a09f5bd61fd8'],13,,,,,,,,,,,,,,,,,Venezuela,3563,00:18:13.508,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[1.2, 38.6]",,Set,,Shot Faced,ffdbe56d-506b-448e-9f72-387c8809da59,922,,,"[1.2, 38.6]",3939979,20,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,46,Mexico,794,['a1e39bb9-ee23-48de-b737-33906aad2c5d'],41,,,,,,,,,,,,,,,,,Venezuela,3563,00:20:41.140,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Both Hands,,Success,Set,Standing,Shot Saved,f2734c99-2758-484b-8733-f874656a7521,1044,,,"[1.4, 41.0]",3939979,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,50,Mexico,794,['1b5af749-23ad-47cb-bafe-7ebc9a6ae023'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:24:00.035,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[4.4, 43.3]",,Set,,Shot Faced,d4ee7b17-c0ef-491a-8110-43115a7b519f,1321,,,"[4.4, 43.3]",3939979,33,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julio José González Vela-Alvizu,36949.0,Goalkeeper,70,Venezuela,3563,['873f7c56-58c0-4635-ae63-e08352676121'],10,,,,,,,,,,,,,,,,,Mexico,794,00:33:10.451,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[1.9, 41.7]",,Set,,Shot Faced,58f3b46a-0912-4c7e-b385-018ccf84fad4,1399,,,"[1.9, 41.7]",3939979,35,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,74,Mexico,794,['6b7a8acd-9f05-4310-9eb5-1e30866d8c6c'],20,,,,,,,,,,,,,,,,,Venezuela,3563,00:35:20.675,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Right Foot,,Clear,,,Keeper Sweeper,ce437a2b-a57f-481c-a612-dcc3ff0a0265,1496,,,"[19.0, 27.3]",3939979,37,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,78,Mexico,794,['f50085d6-f33b-4ee3-ae39-241bc3b867f6'],44,,,,,,,,,,,,,,,,,Venezuela,3563,00:37:44.403,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Both Hands,,In Play Safe,Set,Standing,Shot Saved,80409d49-225a-4648-9e70-c9903cf47753,1960,,,"[2.0, 44.4]",3939979,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Julio José González Vela-Alvizu,36949.0,Goalkeeper,102,Venezuela,3563,['8c551b66-7684-4dd5-b08c-f83d06170815'],31,,,,,,,,,,,,,,,,,Mexico,794,00:04:31.666,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[3.9, 43.2]",,Set,,Shot Faced,92f1149e-e9ba-47c0-9a2d-185aa4039fda,1989,,,"[3.9, 43.2]",3939979,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Julio José González Vela-Alvizu,36949.0,Goalkeeper,102,Venezuela,3563,['7f849e98-462f-400e-abb9-3f850970be06'],2,,,,,,,,,,,,,,,,,Mexico,794,00:05:02.869,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[3.5, 41.9]",,Set,,Shot Faced,47b91ef7-8ec0-45ff-b535-aae0f30d0aeb,2077,,,"[3.5, 41.9]",3939979,52,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Julio José González Vela-Alvizu,36949.0,Goalkeeper,106,Venezuela,3563,['29773027-f207-4f41-b3e3-633d3f7c6156'],15,,,,,,,,,,,,,,,,,Mexico,794,00:07:15.509,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[1.6, 37.8]",,Set,,Shot Faced,03224d40-515d-4570-93b5-4c48dc790076,2083,,,"[1.6, 37.8]",3939979,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Julio José González Vela-Alvizu,36949.0,Goalkeeper,107,Venezuela,3563,['9511ecbc-6a0e-41ee-8c19-904707f4c7dc'],2,,,,,,,,,,,,,,,,,Mexico,794,00:08:02.654,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,No Touch,Set,Standing,Penalty Conceded,d3824f3d-8e66-48c7-ae5d-53829363df03,2132,,,"[1.0, 40.0]",3939979,56,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Julio José González Vela-Alvizu,36949.0,Goalkeeper,110,Venezuela,3563,['6cedeed6-7b23-43f1-a159-5e0737dc0d7f'],23,,,,,,,,,,,,,,,,,Mexico,794,00:11:23.417,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[0.9, 39.3]",,Set,,Shot Faced,a862695d-0219-497f-bee8-f2b0ecc13d0b,2421,,,"[0.9, 39.3]",3939979,66,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,125,Mexico,794,['7883e662-8001-4203-b64b-2dd1b83f56a7'],32,,,,,,,,,,,,,,,,,Venezuela,3563,00:21:32.747,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,In Play Danger,,,Punch,a19b8239-47b0-4bd3-8b89-33e9112accee,2529,,,"[1.8, 37.9]",3939979,68,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,127,Mexico,794,['9dcf3a84-4e0d-42f1-8a92-1ca4eacb2ba9'],0,,,,,,,,,,,,,,,,,Venezuela,3563,00:23:00.804,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[2.5, 39.8]",,Set,,Shot Faced,d3e0f33d-1723-4a39-8c81-1c8a7f16b112,2732,,,"[2.5, 39.8]",3939979,75,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Julio José González Vela-Alvizu,36949.0,Goalkeeper,142,Venezuela,3563,['62622f2a-a9b6-4169-a53f-36f791c496dd'],50,,,,,,,,,,,,,,,,,Mexico,794,00:30:50.214,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[1.8, 36.8]",,Set,,Shot Faced,178aee4f-6401-45ba-a5de-14453cccf344,2776,,,"[1.8, 36.8]",3939979,76,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,143,Mexico,794,['2a090293-2230-4e41-90e7-be31e73add69'],47,,,,,,,,,,,,,,,,,Venezuela,3563,00:31:47.050,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[1.8, 38.5]",,Set,,Shot Faced,b3fe7d5e-9517-47e6-b3f0-0e47f609fd9a,2913,,,"[1.8, 38.5]",3939979,80,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Julio José González Vela-Alvizu,36949.0,Goalkeeper,148,Venezuela,3563,['2aec952d-5749-43bd-b5aa-cc21a8e1adb1'],22,,,,,,,,,,,,,,,,,Mexico,794,00:35:22.886,Goal Keeper,
