50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.311417,,,,,,,,,,,,,cb9d58c2-acbd-49cd-8319-ebf7d40bd689,1693,,,"[92.6, 2.1]",3939992,51,,,,,0.3109983,,Right Foot,,,,"[95.4, 3.0]",,Ground Pass,,2.9410882,,Incomplete,,,,,,,,2,From Throw In,Ramón Sosa Acosta,87603.0,Left Wing,89,Paraguay,3567,['2dc0a9f6-8705-452c-a927-2c8ad057624d'],50,,,,,,,,,,,,,,,,Paraguay,3567,00:06:50.963,Pass,
,,,,,,,,,,,,,,,,,2.355558,,,,,,,,,,,,,307414dc-c132-45e5-a4d3-d5df6ebf4c9f,1695,,,"[83.0, 0.1]",3939992,51,,,,,3.046877,,,,,,"[63.0, 2.0]",,Low Pass,,20.090048,,,,Hernesto Ezequiel Caballero Benítez,47186.0,,,,Throw-in,2,From Throw In,Ramón Sosa Acosta,87603.0,Left Wing,90,Paraguay,3567,['3bba939e-c8bf-4558-85e9-1c6c5d39c97f'],54,,,,,,,,,,,,,,,,Paraguay,3567,00:06:54.236,Pass,
,,,,,,,,,,,,,,,,,2.481737,,,,,,,,,,,,,0d8ad8f1-ee97-4654-bf1a-63688e3568a6,1698,,,"[57.5, 1.6]",3939992,51,,,,,1.6317893,,Right Foot,,,,"[55.1, 40.9]",,Ground Pass,,39.373215,,,,Fabián Cornelio Balbuena González,10290.0,,,,,2,From Throw In,Hernesto Ezequiel Caballero Benítez,47186.0,Center Defensive Midfield,90,Paraguay,3567,['21867d0a-d252-4102-b92f-c143c5ad86c6'],57,,,,,,,,,,,,,,,,Paraguay,3567,00:06:57.054,Pass,
,,,,,,,,,,,,,,,,,1.486897,,,,,,,,,,,,,31ead7c6-5cd4-4430-9969-277d957cf020,1701,,,"[55.4, 42.6]",3939992,52,,,,,0.844154,,Right Foot,,,,"[65.8, 54.3]",,Ground Pass,,15.654073,,,,Ángel Rodrigo Romero Villamayor,30795.0,,,,,2,From Throw In,Fabián Cornelio Balbuena González,10290.0,Right Center Back,90,Paraguay,3567,['14067889-4765-4578-9571-30bae4114c99'],1,,,,,,,,,,,,,,,,Paraguay,3567,00:07:01.173,Pass,
,,,,,,,,,,,,,,,,,1.192902,,,,,,,,,,,,,c5f68370-5974-4aae-ae90-dd21dfd9b8ab,1705,,,"[57.0, 51.4]",3939992,52,,,,,-3.0735161,,Right Foot,,,,"[43.8, 50.5]",,Ground Pass,,13.230646,,,,Fabián Cornelio Balbuena González,10290.0,,,,,2,From Throw In,Ángel Rodrigo Romero Villamayor,30795.0,Right Wing,90,Paraguay,3567,['4323b5d4-7524-4de4-a244-4d4daf2bc7d2'],4,,,,,,,,,,,,,,,,Paraguay,3567,00:07:04.961,Pass,
,,,,,,,,,,,,,,,,,1.438828,,,,,,,,,,,,,12c4d4cc-3272-4564-8919-2e601c47681a,1708,,,"[43.8, 50.5]",3939992,52,,,,,-0.7531513,,Right Foot,,,,"[56.6, 38.5]",,Ground Pass,,17.54537,,,,Ángel Rodrigo Romero Villamayor,30795.0,,,,,2,From Throw In,Fabián Cornelio Balbuena González,10290.0,Right Center Back,90,Paraguay,3567,['27fe3fa7-ec64-4183-9e47-ce967b462cd3'],6,,,,,,,,,,,,,,,,Paraguay,3567,00:07:06.291,Pass,
,,,,,,,,,,,,,,,,,1.544921,,,,,,,,,,,,,8289dac4-1c5e-4c9d-8660-19293f8e8287,1711,,,"[57.6, 35.3]",3939992,52,,,,,-1.3042932,,Right Foot,,,,"[66.8, 1.6]",,Ground Pass,,34.933224,,,,Néstor Rafael Giménez Florentín,195989.0,,,,,2,From Throw In,Ángel Rodrigo Romero Villamayor,30795.0,Right Wing,90,Paraguay,3567,['d4e655c2-1086-4b77-aac3-5ed84681ae1e'],9,,,,,,,,,,,,,,,,Paraguay,3567,00:07:09.438,Pass,
,,,,,,,,,,,,,,,,,1.181167,,,,,,,,,,,,,3aa93fbc-84eb-4ec5-9989-acf9b92dfa86,1715,,,"[63.7, 4.2]",3939992,52,,,,,1.8925469,,Right Foot,,,,"[62.1, 9.0]",,Ground Pass,,5.059644,,,,Ángel Rodrigo Romero Villamayor,30795.0,,,,,2,From Throw In,Néstor Rafael Giménez Florentín,195989.0,Left Back,90,Paraguay,3567,"['352c4025-283d-4df8-94b9-f4a28f8725bf', 'c833b772-d738-4930-ad06-f3da1a572dca']",13,,,,,,,,,,,,,,,,Paraguay,3567,00:07:13.039,Pass,True
,,,,,,,,,,,,,,,,,1.472101,,,,,,,,,,,,,d1db40ff-f853-4ed8-945e-8a4b13b38a80,1718,,,"[68.1, 4.2]",3939992,52,,,,,-0.1916485,,Right Foot,,,,"[81.5, 1.6]",,Ground Pass,,13.649908,,,,Damián Josué Bobadilla Benítez,87449.0,,,,,2,From Throw In,Ángel Rodrigo Romero Villamayor,30795.0,Right Wing,90,Paraguay,3567,['adafc155-e6e2-4b1c-9a9c-676df8fd29ff'],15,,,,,,,,,,,,,,,,Paraguay,3567,00:07:15.455,Pass,
,,,,,,,,,,,,,,,,,1.116439,,,,,,,,,,,,,5bc0a848-ae3b-42e3-8906-91725911b1f4,1721,,,"[80.8, 4.0]",3939992,52,,,,,2.0893784,,Right Foot,,,,"[69.9, 23.1]",,Ground Pass,,21.991362,,,,Hernesto Ezequiel Caballero Benítez,47186.0,,,,,2,From Throw In,Damián Josué Bobadilla Benítez,87449.0,Left Center Midfield,90,Paraguay,3567,['0dc35663-4220-4f4f-874d-c89c08fc6bb1'],20,,,,,,,,,,,,,,,,Paraguay,3567,00:07:20.243,Pass,
