50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.484348,,,,,,,,,,,,,46afaab9-18f8-4853-94ca-b11925903da9,22,,,"[62.7, 1.6]",3939983,0,,,,,2.714965,,Right Foot,,,,"[61.6, 2.1]",Ground Pass,,1.2083046,Incomplete,,Wendell Nascimento Borges,8212.0,,,,,,1,From Kick Off,Vinícius José Paixão de Oliveira Júnior,18395.0,Left Center Forward,2,Paraguay,3567,"['59fc0ff1-1768-4ee1-9a57-f2d40b942ac6', '780d5cd9-1e93-4414-aa82-52d8f5b60b62']",13,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:13.222,Pass,
,,,,,,,,,,,,,,,,,,,,2.895361,,,,,,,,,,,,,048f5726-0ea5-46fe-8ba1-7e1ca7854b52,27,,,"[51.9, 76.1]",3939983,0,,,,,-2.3583543,,Left Foot,,,,"[28.7, 53.0]",Ground Pass,,32.73912,,,Omar Federico Alderete Fernández,29009.0,,,,,,1,From Kick Off,Adrián Andrés Cubas,28657.0,Right Defensive Midfield,2,Paraguay,3567,"['24f908f8-8a63-4eca-8b31-676ea6685fa2', '800ddc0d-e422-4e1c-b3f9-14158fc47562']",14,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:14.974,Pass,True
,,,,,,,,,,,,,,,,,,,,3.056044,,,,,,,,,,,,,f26a76b3-2a41-4e78-9647-87f008aff311,29,,,"[27.8, 51.0]",3939983,0,,,,,-3.079416,,Left Foot,,,,"[2.1, 49.4]",Ground Pass,,25.749758,,,Rodrigo Mario Morínigo Acosta,62016.0,,,,,,1,From Kick Off,Omar Federico Alderete Fernández,29009.0,Left Center Back,2,Paraguay,3567,['67783737-1568-4a00-b46d-a54f85e8ee22'],17,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:17.869,Pass,
,,,,,,,,,,,,,,,,,,,,2.21172,,,,,,,,,,,,,038b4faf-5998-4fc3-8d67-e8164f9a11ba,31,,,"[2.1, 49.4]",3939983,0,,,,,0.9619445,,Right Foot,,,,"[19.6, 74.5]",Ground Pass,,30.598366,,,Fabián Cornelio Balbuena González,10290.0,,,,,,1,From Kick Off,Rodrigo Mario Morínigo Acosta,62016.0,Goalkeeper,2,Paraguay,3567,['2589fe74-d508-446c-bcd9-e5e95de44295'],20,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:20.925,Pass,
,,,,,,,,,,,,,,,,,,,,0.288122,,,,,,,,,,,,,9e7f5c38-391c-4412-b249-fd9e088207f1,34,,,"[21.0, 74.8]",3939983,0,,,,,0.56931317,,Left Foot,,,,"[23.5, 76.4]",Ground Pass,,2.9681644,Incomplete,,Víctor Gustavo Velázquez Ramos,28943.0,,,,,,1,From Kick Off,Fabián Cornelio Balbuena González,10290.0,Right Center Back,2,Paraguay,3567,"['15b0ecc2-55a1-4f5d-bd48-c4a030b9323c', '90c0e331-115b-4b86-a465-c0942cfac8fc']",23,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:23.364,Pass,
,,,,,,,,,,,,,,,,,,,,1.527806,,,,,,,,,,,,,3931c2fa-ae4e-42a3-a40a-5b270c185bd9,37,,,"[37.1, 80.0]",3939983,0,,,,,-0.54497874,,,,,,"[56.4, 68.3]",High Pass,,22.569448,,,Julio César Enciso Espínola,47112.0,,,,,Throw-in,1,From Throw In,Víctor Gustavo Velázquez Ramos,28943.0,Right Back,3,Paraguay,3567,['dfd85b8c-34fa-407e-a008-c999ced8c7b9'],33,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:33.311,Pass,
,,,,,,,,,,,,,,,,,,,,1.055284,,,,,,,,,,,,,08899c5c-6660-49b7-af79-9b10e2617b2b,39,,,"[56.4, 68.2]",3939983,0,,,,,0.7763894,,Right Foot,,,,"[62.0, 73.7]",Ground Pass,,7.8492036,Incomplete,,Damián Josué Bobadilla Benítez,87449.0,,,,,,1,From Throw In,Julio César Enciso Espínola,47112.0,Center Attacking Midfield,3,Paraguay,3567,"['00ea7077-45d0-48c9-a044-b978f7b1adfb', 'b07f846d-3617-4cec-841f-33161245322c']",34,,,,,,,,,,,,,,,,,,,,Paraguay,3567,00:00:34.838,Pass,
,,,,,,,,,,,,,,,,,,,,1.113836,,,,,,,,,,,,,6193f68e-8f4e-4a12-aab4-18ab8239ded7,43,,,"[57.5, 6.0]",3939983,0,,,,,3.0698597,,Left Foot,,,,"[40.8, 7.2]",Ground Pass,,16.74306,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Wendell Nascimento Borges,8212.0,Left Back,4,Brazil,781,['1f8fd6c6-f9bd-4526-9b09-0dbd8f3ddc82'],36,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:36.355,Pass,
,,,,,,,,,,,,,,,,,,,,2.242583,,,,,,,,,,,,,41d7534f-a279-4cb0-825d-66e941c4f2d4,46,,,"[26.6, 15.5]",3939983,0,,,,,1.9112465,,Right Foot,,,,"[17.0, 42.6]",Ground Pass,,28.75013,,,Alisson Ramsés Becker,5547.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,4,Brazil,781,['f2172791-60a3-4745-b444-f4de57ce166b'],39,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:39.693,Pass,
,,,,,,,,,,,,,,,,,,,,1.400008,,,,,,,,,,,,,6db1da3e-3b80-47bf-be8a-4828606d584b,49,,,"[17.0, 42.6]",3939983,0,,,,,-1.3741988,,Right Foot,,,,"[21.8, 18.5]",Ground Pass,,24.57336,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Alisson Ramsés Becker,5547.0,Goalkeeper,4,Brazil,781,['e5690cfb-2a50-48ac-833b-1198fc02b573'],42,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:42.950,Pass,
