50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,"[78.0, 26.2]",,,,,,,,,,,,,,0.861207,,,,,,,,,,,,0689601d-84ff-4358-a0f9-487a613ff1d8,1900,,,"[75.2, 26.2]",3942229,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yordan Hernando Osorio Paredes,10337.0,Left Center Back,115,Venezuela,3563,"['452a9351-fb79-4b87-9340-6a3d51ef09f8', '99f4ff2e-ab66-4382-84fd-386d60482615']",21,,,,,,,,,,,,,,,,,,Venezuela,3563,00:08:21.309,Carry,
,,,,,,,"[79.9, 18.4]",,,,,,,,,,,,,,1.933583,,,,,,,,,,,,8e1be0c7-a8ca-431e-8859-3fbe6d681854,1903,,,"[87.5, 13.8]",3942229,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yangel Clemente Herrera Ravelo,16249.0,Center Attacking Midfield,115,Venezuela,3563,"['2cbcb965-e44b-4c6d-a505-e94c6d817435', 'eaa4e803-7955-4671-b46a-92db7f77b827']",23,,,,,,,,,,,,,,,,,,Venezuela,3563,00:08:23.152,Carry,
,,,,,,,"[117.2, 69.5]",,,,,,,,,,,,,,2.691616,,,,,,,,,,,,e3b2ed04-1b2b-4dac-a219-a53f89e0a7a4,1906,,,"[105.3, 71.1]",3942229,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yeferson Julio Soteldo Martínez,25115.0,Right Wing,115,Venezuela,3563,"['cf0e2ca1-ab10-4b1e-b1d0-06972346c617', 'ec140a92-c161-4292-9d1c-a29d86dfd45c']",27,,,,,,,,,,,,,,,,,,Venezuela,3563,00:08:27.590,Carry,
,,,,,,,"[94.2, 50.0]",,,,,,,,,,,,,,1.261835,,,,,,,,,,,,341a9dac-6cb8-47b8-98cf-1f6f52d0395b,1911,,,"[94.4, 47.3]",3942229,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Andrés Martínez Torres,36917.0,Right Defensive Midfield,115,Venezuela,3563,"['7b95e1e8-979c-4fb9-8ed6-cfeb4ef5ce3f', 'b4465a02-ebc0-4aab-a515-dbaf00602773']",33,,,,,,,,,,,,,,,,,,Venezuela,3563,00:08:33.275,Carry,
,,,,,,,"[98.5, 59.4]",,,,,,,,,,,,,,0.767282,,,,,,,,,,,,4b4a22d9-2b8e-4d76-bcec-b09afd35aa93,1914,,,"[98.5, 61.8]",3942229,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jon Mikel Aramburu Mejías,113450.0,Right Back,115,Venezuela,3563,"['7d1f61cc-1248-42a1-b06a-fc2119afd542', 'cfd5d31a-d044-4926-be79-34eff5b1a1c8']",35,,,,,,,,,,,,,,,,,,Venezuela,3563,00:08:35.355,Carry,
,,,,,,,"[110.5, 48.9]",,,,,,,,,,,,,,1.051629,,,,,,,,,,,,936cb182-6b17-4cdc-8e9b-6152d0e53fa1,1919,,,"[106.4, 52.6]",3942229,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Andrés Martínez Torres,36917.0,Right Defensive Midfield,115,Venezuela,3563,"['cb61719b-7433-4e8e-8970-d649ed9abce5', 'cd90ecc4-6b96-414f-9c29-a072ff2c924d', 'ed40333c-82ac-4cbf-a271-1df4c905aa25']",37,,,,,,,,,,,,,,,,,,Venezuela,3563,00:08:37.619,Carry,True
,,,,,,,"[89.5, 24.8]",,,,,,,,,,,,,,0.024299,,,,,,,,,,,,57c77315-48af-4b94-bf96-facad9370617,1926,,,"[88.4, 24.8]",3942229,54,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Cyle Larin,16459.0,Center Forward,116,Canada,1833,"['2ef8f9d9-9ebe-43c3-9690-5a64cb28c464', '40251132-7656-4bf1-85b1-8ef2753c28f1', 'bc20f19b-598b-4bcd-a871-12a8ce19cc28']",16,,,,,,,,,,,,,,,,,,Canada,1833,00:09:16.226,Carry,True
,,,,,,,"[37.7, 64.8]",,,,,,,,,,,,,,0.895354,,,,,,,,,,,,18dfef68-96de-4e68-a00d-17942ae0b65b,1940,,,"[39.3, 62.9]",3942229,54,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Jon Mikel Aramburu Mejías,113450.0,Right Back,116,Canada,1833,"['447949ed-ddcb-4189-b6e0-7b75af6316dc', '9443d1f8-ff67-4ac9-81e6-f2fa183a3f58', 'abc3415f-4bc2-4d11-afba-a7ef16b9a936']",27,,,,,,,,,,,,,,,,,,Venezuela,3563,00:09:27.797,Carry,True
,,,,,,,"[44.5, 62.6]",,,,,,,,,,,,,,0.632957,,,,,,,,,,,,0cb79153-da8e-44ed-8723-3b843e9d4a96,1954,,,"[42.6, 59.9]",3942229,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Andrés Martínez Torres,36917.0,Right Defensive Midfield,117,Venezuela,3563,"['213badc8-7335-41ce-9bad-89aa70e56597', '304a02b9-759a-4264-8f26-83e20062cbd1', 'a4a5af69-6591-400e-b696-d01c6893d5dc', 'c0c4b362-803b-4984-b882-6ac50b65fadd', 'c765157f-023e-4d63-bd46-c001c9f2ad66']",31,,,,,,,,,,,,,,,,,,Venezuela,3563,00:09:31.824,Carry,True
,,,,,,,"[45.3, 62.1]",,,,,,,,,,,,,,1.190626,,,,,,,,,,,,31accf0a-5d42-4e69-9766-521b51cb1acc,1957,,,"[44.5, 62.6]",3942229,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Andrés Martínez Torres,36917.0,Right Defensive Midfield,117,Venezuela,3563,"['213badc8-7335-41ce-9bad-89aa70e56597', '304a02b9-759a-4264-8f26-83e20062cbd1', '31430917-cce8-4d2b-8cf6-c2af3ac9b418', 'a4a5af69-6591-400e-b696-d01c6893d5dc', 'b1f00a3b-be28-4c65-9c07-8aedf8cc5df8', 'c765157f-023e-4d63-bd46-c001c9f2ad66']",32,,,,,,,,,,,,,,,,,,Venezuela,3563,00:09:32.457,Carry,True
,,,,,,,"[46.5, 29.8]",,,,,,,,,,,,,,0.12591,,,,,,,,,,,,3b1e33cc-53b8-407f-8ebf-260fbcda813a,1968,,,"[47.0, 29.6]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,119,Canada,1833,"['05f764f6-1173-48a0-b24e-6521ad54f604', '86ae543a-1800-49cb-8d33-4e7e18ba024b']",6,,,,,,,,,,,,,,,,,,Canada,1833,00:10:06.358,Carry,
,,,,,,,"[54.5, 21.3]",,,,,,,,,,,,,,0.113104,,,,,,,,,,,,77ab82a3-aeae-4146-8933-a3064879c54f,1971,,,"[55.1, 21.0]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jacob Shaffelburg,26152.0,Left Wing,119,Canada,1833,"['3c9ed256-8923-435e-8af1-abe6cfb26573', 'e7978b9d-fb95-4420-8a21-72e3883c1485']",7,,,,,,,,,,,,,,,,,,Canada,1833,00:10:07.708,Carry,
,,,,,,,"[62.9, 33.8]",,,,,,,,,,,,,,0.48674,,,,,,,,,,,,482ad7bb-767e-4636-8857-780b24791881,1975,,,"[64.1, 35.3]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cristian Sleiker Cásseres Yepes,13493.0,Left Defensive Midfield,120,Venezuela,3563,"['1b1edbba-be22-4452-9e35-ac9beb6aad43', 'b1f3a6ea-c5cf-4d32-a2d7-6469ed778db0', 'f610243e-932b-4d0a-987d-6d2db6e41634']",11,,,,,,,,,,,,,,,,,,Venezuela,3563,00:10:11.061,Carry,True
,,,,,,,"[63.4, 1.8]",,,,,,,,,,,,,,0.120434,,,,,,,,,,,,d8e4c90f-186c-4e61-befe-c5bcdf05a7b2,1979,,,"[63.4, 1.5]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Miguel Ángel Navarro Zárate,36520.0,Left Back,120,Venezuela,3563,"['25b83670-488e-46cd-be15-c30bc975ee36', 'c15b0354-2ff4-4dc3-a1af-60f91235514f']",14,,,,,,,,,,,,,,,,,,Venezuela,3563,00:10:14.195,Carry,
