50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.608001,,,,,,,,,,,,,ab96d63a-64be-44b2-abe5-1b7c852554e0,28,,,"[21.8, 50.2]",3939982,0,,True,,,1.1717736,,Right Foot,,,,"[33.1, 77.0]",,Ground Pass,,29.084875,,,,Nahitan Michel Nández Acosta,5247.0,,,,,,Free Kick,1,From Free Kick,Ronald Federico Araújo da Silva,32480.0,Right Center Back,4,Uruguay,783,['a0529bfd-419f-4ed8-956d-105c971bb02b'],29,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:29.622,Pass,
,,,,,,,,,,,,,,,,1.392587,,,,,,,,,,,,,44118fdf-192d-4710-a2a0-ea3880bbe03f,31,,,"[39.3, 78.2]",3939982,0,,,,,-2.5457287,,Right Foot,,,,"[24.7, 68.3]",,Ground Pass,,17.64001,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,,1,From Free Kick,Nahitan Michel Nández Acosta,5247.0,Right Back,4,Uruguay,783,"['ec340513-deb9-4d45-8149-587048f2ff3d', 'fd65ddc3-cddd-4472-a183-ebc192f45e57']",32,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:32.924,Pass,True
,,,,,,,,,,,,,,,,2.943377,,,,,,,,,,,,,a5981640-b8e4-4c96-bcd6-f6cb19a20eda,34,,,"[46.8, 56.4]",3939982,0,,,,,-1.6199371,,Right Foot,,,,"[44.7, 13.7]",,Ground Pass,,42.75161,,,,Mathías Olivera Miramontes,7104.0,,,True,,,,1,From Free Kick,Ronald Federico Araújo da Silva,32480.0,Right Center Back,4,Uruguay,783,['cde21899-2ea7-4c7e-ac96-81706588a29a'],41,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:41.821,Pass,
,,,,,,,,,,,,,,,,3.047492,,,,,,,,,,,,,21ae1401-9951-4b85-b2ce-b985a7132aa6,37,,,"[55.2, 14.9]",3939982,0,,,,,0.94841236,,Left Foot,,,,"[93.3, 68.0]",,High Pass,,65.35457,,,,Facundo Pellistri Rebollo,36288.0,,,True,,,,1,From Free Kick,Mathías Olivera Miramontes,7104.0,Left Center Back,4,Uruguay,783,['0cb5141c-0db6-4854-9794-7efa4519f244'],47,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:47.736,Pass,
,,,,,,,,,,,,,,,,1.429055,,,,,,,,,,,,,dce74966-bc0d-4036-84f1-2debee9163cb,39,,,"[93.3, 68.0]",3939982,0,,,,,-3.038782,,Head,,,,"[80.7, 66.7]",,Low Pass,,12.666886,,,,Nahitan Michel Nández Acosta,5247.0,,,,,,,1,From Free Kick,Facundo Pellistri Rebollo,36288.0,Right Wing,4,Uruguay,783,['5e528b5f-4454-440e-9f8d-ed6799906437'],50,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:50.784,Pass,
,,,,,,,,,,,,,,,,1.193234,,,,,,,,,,,,,7408c7c0-d8ca-4161-a5d0-d0363c67a67b,42,,,"[79.0, 66.1]",3939982,0,,,,,-2.2706892,,Right Foot,,,,"[72.6, 58.5]",,Ground Pass,,9.935794,,,,Manuel Ugarte Ribeiro,36659.0,,,,,,,1,From Free Kick,Nahitan Michel Nández Acosta,5247.0,Right Back,4,Uruguay,783,['9f69e179-edfc-44aa-bfea-19072c9263be'],53,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:53.042,Pass,
,,,,,,,,,,,,,,,,1.712358,,,,,,,,,,,,,5dadd65a-d4bc-4678-bc79-d0bd6569abcf,45,,,"[70.7, 55.8]",3939982,0,,,,,-2.1272423,,Right Foot,,,,"[57.7, 34.9]",,Ground Pass,,24.613209,,,,Mathías Olivera Miramontes,7104.0,,,,,,,1,From Free Kick,Manuel Ugarte Ribeiro,36659.0,Right Defensive Midfield,4,Uruguay,783,['ae3ab3d5-2bbe-465f-b047-fc52dfd22bd6'],55,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:55.350,Pass,
,,,,,,,,,,,,,,,,1.543826,,,,,,,,,,,,,1e737f14-7595-45af-bb61-5aaf68111f97,48,,,"[58.1, 33.9]",3939982,0,,,,,-1.0833031,,Left Foot,,,,"[70.4, 10.7]",,Ground Pass,,26.258904,,,,Matías Nicolás Viña Susperreguy,34476.0,,,,,,,1,From Free Kick,Mathías Olivera Miramontes,7104.0,Left Center Back,4,Uruguay,783,['f7c1bf6f-9d49-4363-8bb6-6047d044cee0'],58,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:58.166,Pass,
,,,,,,,,,,,,,,,,2.830117,,,,,,,,,,,,,80fc0941-a5b0-4355-8b47-c6a9633aadcd,51,,,"[78.6, 7.4]",3939982,1,,,,,0.41947746,,Left Foot,,,,"[115.6, 23.9]",,High Pass,,40.512344,,Incomplete,,Maximiliano Javier Araújo Vilches,35492.0,,,,,,,1,From Free Kick,Matías Nicolás Viña Susperreguy,34476.0,Left Back,4,Uruguay,783,"['04298217-707f-4d72-a090-68e9df1fc634', 'd1218621-7b1a-44c7-bb4a-9643333d4240']",0,,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:00.973,Pass,
,,,,,,,,,,,,,,,,1.076237,,,,,,,,,,,,,83672159-f10b-4704-9645-8d30d2ffb478,54,,,"[98.7, 0.1]",3939982,1,,True,,,3.034382,,,,,,"[76.4, 2.5]",,Low Pass,,22.428776,,,,Mathías Olivera Miramontes,7104.0,,,,,,Throw-in,1,From Throw In,Matías Nicolás Viña Susperreguy,34476.0,Left Back,5,Uruguay,783,['dd0b6907-272e-425d-bcd2-568733d7297a'],15,,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:15.817,Pass,
,,,,,,,,,,,,,,,,2.520231,,,,,,,,,,,,,10a72947-3e08-44ce-b513-085e842ba0dc,56,,,"[69.3, 7.4]",3939982,1,,True,,,2.2974386,,Right Foot,,,,"[54.9, 23.6]",,Ground Pass,,21.67487,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,,1,From Throw In,Mathías Olivera Miramontes,7104.0,Left Center Back,5,Uruguay,783,['e29e67c1-b176-4b2d-85f9-d476c299e9e3'],17,,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:17.475,Pass,
