50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.148906,,,,,,,,,,,,,3bf5ace0-e217-4263-a3fb-11d86f108d60,854,,,"[68.7, 8.7]",3939977,17,,,,2.2520945,,Left Foot,,,"[56.7, 23.5]",Ground Pass,,19.053608,,,,Lisandro Martínez,27768.0,,,,,,,1,From Throw In,Nicolás Alejandro Tagliafico,5507.0,Left Back,31,Argentina,779,['de01e84c-da66-4e50-9cec-7a7a3113f5f8'],27,,,,,,,,,,,,,,,,,,Argentina,779,00:17:27.076,Pass,
,,,,,,,,,,,,,,,,1.656382,,,,,,,,,,,,,c6b6851d-46a1-4517-a879-795dc8c20dcb,857,,,"[56.5, 23.9]",3939977,17,,,,1.6752833,,Left Foot,,,"[53.7, 50.6]",Ground Pass,,26.846415,,,,Cristian Gabriel Romero,20572.0,,,,,,,1,From Throw In,Lisandro Martínez,27768.0,Left Center Back,31,Argentina,779,['4d5f4206-ec26-4d66-b601-c41410109a66'],29,,,,,,,,,,,,,,,,,,Argentina,779,00:17:29.098,Pass,
,,,,,,,,,,,,,,,,0.993076,,,,,,,,,,,,,acfa6144-ca72-46e6-b8d2-1e2a0707dc4b,860,,,"[53.3, 51.9]",3939977,17,,,,0.8488965,,Right Foot,,,"[61.4, 61.1]",Ground Pass,,12.25765,,,,Rodrigo Javier De Paul,7797.0,,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,31,Argentina,779,['afd73933-4480-478e-881e-80b3abcaa82a'],31,,,,,,,,,,,,,,,,,,Argentina,779,00:17:31.654,Pass,
,,,,,,,,,,,,,,,,1.338004,,,,,,,,,,,,,dcf3e72e-8527-46d6-85fe-f659fe5e5fc9,864,,,"[62.5, 43.4]",3939977,17,,,,-1.9431145,,Right Foot,,,"[55.9, 26.5]",Ground Pass,,18.143044,,,,Lisandro Martínez,27768.0,,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Midfield,31,Argentina,779,['d7785b92-456a-4c90-8e7f-06057f8f1e9c'],37,,,,,,,,,,,,,,,,,,Argentina,779,00:17:37.378,Pass,
,,,,,,,,,,,,,,,,1.142588,,,,,,,,,,,,,d5f2529a-262e-4cea-ba68-47bf3ff78dcf,867,,,"[57.6, 13.4]",3939977,17,,,,-0.6627295,,Left Foot,,,"[61.7, 10.2]",Ground Pass,,5.2009616,,,,Enzo Fernandez,38718.0,,,,,,,1,From Throw In,Lisandro Martínez,27768.0,Left Center Back,31,Argentina,779,['937a2509-a6a1-46af-bb03-a6b3d6a8f26f'],42,,,,,,,,,,,,,,,,,,Argentina,779,00:17:42.285,Pass,
,,,,,,,,,,,,,,,,1.781056,,,,,,,,,,,,,8dc50481-dbde-4fea-9b16-83179b30809d,870,,,"[62.5, 9.8]",3939977,17,,,,1.7935101,,Right Foot,,,"[54.8, 43.8]",Ground Pass,,34.86101,,,,Cristian Gabriel Romero,20572.0,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Left Defensive Midfield,31,Argentina,779,['ec085fb3-54c6-47ae-9db1-b7d87698dc8d'],44,,,,,,,,,,,,,,,,,,Argentina,779,00:17:44.682,Pass,
,,,,,,,,,,,,,,,,1.032574,,,,,,,,,,,,,5d0c141f-866e-4f97-8935-18bb53e53a07,873,,,"[63.4, 52.1]",3939977,17,,,,-1.3148532,,Right Foot,,,"[66.2, 41.4]",Ground Pass,,11.060289,,,,Alexis Mac Allister,27886.0,,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,31,Argentina,779,['372fb647-a99d-403e-9870-2ac02c388e7d'],50,,,,,,,,,,,,,,,,,,Argentina,779,00:17:50.564,Pass,
,,,,,,,,,,,,,,,,2.264498,,,,,,,,,,,,,7e5a320a-cac1-40fe-b647-d523b569fcde,876,,,"[73.4, 43.6]",3939977,17,,,,-1.1297321,,Right Foot,,,"[92.0, 4.2]",High Pass,,43.569714,,,,Nicolás Iván González,20687.0,,,,,,,1,From Throw In,Alexis Mac Allister,27886.0,Right Defensive Midfield,31,Argentina,779,['1d502bc7-5edb-4ab7-976a-7945a1679468'],53,,,,,,,,,,,,,,,,,,Argentina,779,00:17:53.248,Pass,
,,,,,,,,,,,,,,,,0.815881,,,,,,,,,,,,,41b37501-9079-49d1-9af3-76e90aceb4ee,879,,,"[93.3, 5.1]",3939977,17,,,,2.317752,,Left Foot,,,"[85.8, 13.2]",Ground Pass,,11.0390215,,,,Enzo Fernandez,38718.0,,,,,,,1,From Throw In,Nicolás Iván González,20687.0,Left Midfield,31,Argentina,779,['a4085498-a1e0-49d7-a2eb-77183757e717'],56,,,,,,,,,,,,,,,,,,Argentina,779,00:17:56.454,Pass,
,,,,,,,,,,,,,,,,1.803542,,,,,,,,,,,,,ddf43c95-4c31-48d3-96be-9eb0a94841c9,882,,,"[86.0, 16.0]",3939977,17,,,,0.66127235,,Right Foot,True,,"[116.2, 39.5]",High Pass,,38.26604,,Incomplete,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Left Defensive Midfield,31,Argentina,779,['e6823356-c456-43ce-9d79-2c02a61844e8'],58,,,,,,,,,,,,,,,,,,Argentina,779,00:17:58.481,Pass,
